# Renewables.ninja Weather (Point API) - -3.566, -44.557 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Fortaleza, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Fortaleza", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-3.56607", "lon": "-44.55707", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2018-01-01 00:00,2017-12-31 21:00,28.253,0,1.154,0,0,0.736
2018-01-01 01:00,2017-12-31 22:00,27.441,0,1.158,0,0,0.708
2018-01-01 02:00,2017-12-31 23:00,26.840,0,1.160,0,0,0.616
2018-01-01 03:00,2018-01-01 00:00,26.385,0,1.161,0,0,0.455
2018-01-01 04:00,2018-01-01 01:00,26.034,0,1.161,0,0,0.332
2018-01-01 05:00,2018-01-01 02:00,25.776,0,1.162,0,0,0.272
2018-01-01 06:00,2018-01-01 03:00,25.585,0,1.163,0,0,0.192
2018-01-01 07:00,2018-01-01 04:00,25.361,0,1.163,0,0,0.166
2018-01-01 08:00,2018-01-01 05:00,25.100,0,1.165,0.629,3.017,0.139
2018-01-01 09:00,2018-01-01 06:00,25.684,0,1.165,99.266,212.434,0.134
2018-01-01 10:00,2018-01-01 07:00,27.616,0,1.161,329.900,536.808,0.019
2018-01-01 11:00,2018-01-01 08:00,29.966,0,1.156,579.724,826.881,0.005
2018-01-01 12:00,2018-01-01 09:00,32.375,0,1.149,781.578,1063.052,0.004
2018-01-01 13:00,2018-01-01 10:00,34.541,0,1.143,924.865,1229.072,0.009
2018-01-01 14:00,2018-01-01 11:00,36.266,0,1.136,994.809,1313.638,0.017
2018-01-01 15:00,2018-01-01 12:00,37.452,0,1.131,987.045,1311.111,0.040
2018-01-01 16:00,2018-01-01 13:00,37.944,0,1.127,868.440,1221.631,0.120
2018-01-01 17:00,2018-01-01 14:00,37.853,0,1.125,696.531,1051.024,0.236
2018-01-01 18:00,2018-01-01 15:00,37.214,0,1.124,476.609,811.276,0.339
2018-01-01 19:00,2018-01-01 16:00,35.782,0,1.126,206.180,518.382,0.482
2018-01-01 20:00,2018-01-01 17:00,33.832,0,1.130,54.535,192.635,0.474
2018-01-01 21:00,2018-01-01 18:00,31.666,0,1.137,0.121,0.986,0.422
2018-01-01 22:00,2018-01-01 19:00,30.451,0,1.143,0,0,0.301
2018-01-01 23:00,2018-01-01 20:00,29.358,0,1.149,0,0,0.161
2018-01-02 00:00,2018-01-01 21:00,28.303,0,1.154,0,0,0.038
2018-01-02 01:00,2018-01-01 22:00,27.361,0,1.157,0,0,0.019
2018-01-02 02:00,2018-01-01 23:00,26.656,0,1.160,0,0,0.017
2018-01-02 03:00,2018-01-02 00:00,26.103,0,1.161,0,0,0.017
2018-01-02 04:00,2018-01-02 01:00,25.659,0,1.162,0,0,0.063
2018-01-02 05:00,2018-01-02 02:00,25.299,0,1.163,0,0,0.117
2018-01-02 06:00,2018-01-02 03:00,25.049,0,1.164,0,0,0.172
2018-01-02 07:00,2018-01-02 04:00,24.907,0,1.165,0,0,0.204
2018-01-02 08:00,2018-01-02 05:00,24.644,0,1.166,0.606,3.001,0.184
2018-01-02 09:00,2018-01-02 06:00,25.286,0,1.166,95.250,212.410,0.189
2018-01-02 10:00,2018-01-02 07:00,27.372,0,1.162,317.080,537.058,0.057
2018-01-02 11:00,2018-01-02 08:00,29.822,0,1.156,577.279,827.294,0.034
2018-01-02 12:00,2018-01-02 09:00,32.250,0,1.149,780.365,1063.552,0.039
2018-01-02 13:00,2018-01-02 10:00,34.366,0,1.142,923.002,1229.926,0.033
2018-01-02 14:00,2018-01-02 11:00,35.985,0,1.136,992.361,1314.446,0.100
2018-01-02 15:00,2018-01-02 12:00,36.951,0,1.131,965.258,1311.966,0.371
2018-01-02 16:00,2018-01-02 13:00,37.054,0,1.128,789.384,1222.131,0.684
2018-01-02 17:00,2018-01-02 14:00,36.384,0,1.128,540.675,1051.524,0.795
2018-01-02 18:00,2018-01-02 15:00,35.264,0,1.129,323.609,811.589,0.891
2018-01-02 19:00,2018-01-02 16:00,33.834,0,1.133,171.326,518.632,0.926
2018-01-02 20:00,2018-01-02 17:00,32.139,0,1.138,53.358,192.617,0.922
2018-01-02 21:00,2018-01-02 18:00,30.387,0,1.143,0.170,0.977,0.818
2018-01-02 22:00,2018-01-02 19:00,29.191,0,1.149,0,0,0.477
2018-01-02 23:00,2018-01-02 20:00,28.208,0,1.154,0,0,0.219
2018-01-03 00:00,2018-01-02 21:00,27.376,0,1.158,0,0,0.081
2018-01-03 01:00,2018-01-02 22:00,26.694,0,1.160,0,0,0.061
2018-01-03 02:00,2018-01-02 23:00,26.128,0,1.162,0,0,0.138
2018-01-03 03:00,2018-01-03 00:00,25.689,0,1.163,0,0,0.252
2018-01-03 04:00,2018-01-03 01:00,25.346,0,1.164,0,0,0.306
