# Renewables.ninja Wind power (Point API) - -3.566, -44.557 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Fortaleza, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Fortaleza", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "-3.56607", "lon": "-44.55707", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": "true"}}
time,local_time,electricity,wind_speed
2018-01-01 00:00,2017-12-31 21:00,0.361,7.149
2018-01-01 01:00,2017-12-31 22:00,0.256,6.312
2018-01-01 02:00,2017-12-31 23:00,0.180,5.600
2018-01-01 03:00,2018-01-01 00:00,0.135,5.105
2018-01-01 04:00,2018-01-01 01:00,0.111,4.788
2018-01-01 05:00,2018-01-01 02:00,0.089,4.498
2018-01-01 06:00,2018-01-01 03:00,0.099,4.625
2018-01-01 07:00,2018-01-01 04:00,0.081,4.364
2018-01-01 08:00,2018-01-01 05:00,0.068,4.149
2018-01-01 09:00,2018-01-01 06:00,0.092,4.531
2018-01-01 10:00,2018-01-01 07:00,0.265,6.392
2018-01-01 11:00,2018-01-01 08:00,0.285,6.560
2018-01-01 12:00,2018-01-01 09:00,0.248,6.236
2018-01-01 13:00,2018-01-01 10:00,0.192,5.718
2018-01-01 14:00,2018-01-01 11:00,0.144,5.205
2018-01-01 15:00,2018-01-01 12:00,0.105,4.723
2018-01-01 16:00,2018-01-01 13:00,0.081,4.366
2018-01-01 17:00,2018-01-01 14:00,0.069,4.170
2018-01-01 18:00,2018-01-01 15:00,0.074,4.264
2018-01-01 19:00,2018-01-01 16:00,0.106,4.739
2018-01-01 20:00,2018-01-01 17:00,0.134,5.087
2018-01-01 21:00,2018-01-01 18:00,0.177,5.562
2018-01-01 22:00,2018-01-01 19:00,0.233,6.113
2018-01-01 23:00,2018-01-01 20:00,0.305,6.714
2018-01-02 00:00,2018-01-01 21:00,0.295,6.641
2018-01-02 01:00,2018-01-01 22:00,0.245,6.209
2018-01-02 02:00,2018-01-01 23:00,0.191,5.706
2018-01-02 03:00,2018-01-02 00:00,0.139,5.154
2018-01-02 04:00,2018-01-02 01:00,0.101,4.672
2018-01-02 05:00,2018-01-02 02:00,0.072,4.234
2018-01-02 06:00,2018-01-02 03:00,0.058,3.983
2018-01-02 07:00,2018-01-02 04:00,0.045,3.714
2018-01-02 08:00,2018-01-02 05:00,0.029,3.358
2018-01-02 09:00,2018-01-02 06:00,0.055,3.935
2018-01-02 10:00,2018-01-02 07:00,0.204,5.843
2018-01-02 11:00,2018-01-02 08:00,0.208,5.878
2018-01-02 12:00,2018-01-02 09:00,0.179,5.586
2018-01-02 13:00,2018-01-02 10:00,0.155,5.322
2018-01-02 14:00,2018-01-02 11:00,0.140,5.165
2018-01-02 15:00,2018-01-02 12:00,0.125,4.985
2018-01-02 16:00,2018-01-02 13:00,0.121,4.932
2018-01-02 17:00,2018-01-02 14:00,0.148,5.258
2018-01-02 18:00,2018-01-02 15:00,0.211,5.908
2018-01-02 19:00,2018-01-02 16:00,0.299,6.665
2018-01-02 20:00,2018-01-02 17:00,0.344,7.026
2018-01-02 21:00,2018-01-02 18:00,0.331,6.918
2018-01-02 22:00,2018-01-02 19:00,0.311,6.764
2018-01-02 23:00,2018-01-02 20:00,0.286,6.567
2018-01-03 00:00,2018-01-02 21:00,0.255,6.305
2018-01-03 01:00,2018-01-02 22:00,0.206,5.863
2018-01-03 02:00,2018-01-02 23:00,0.161,5.404
2018-01-03 03:00,2018-01-03 00:00,0.120,4.921
2018-01-03 04:00,2018-01-03 01:00,0.067,4.129
