# Renewables.ninja Weather (Point API) - -5.580, -44.384 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Fortaleza, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Fortaleza", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-5.5799743", "lon": "-44.3841617", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2020-01-01 00:00,2019-12-31 21:00,26.404,0.001,1.139,0,0,0.885
2020-01-01 01:00,2019-12-31 22:00,26.008,0.001,1.141,0,0,0.869
2020-01-01 02:00,2019-12-31 23:00,25.590,0.001,1.142,0,0,0.852
2020-01-01 03:00,2020-01-01 00:00,25.145,0.001,1.143,0,0,0.831
2020-01-01 04:00,2020-01-01 01:00,24.818,0.001,1.144,0,0,0.823
2020-01-01 05:00,2020-01-01 02:00,24.596,0.001,1.144,0,0,0.872
2020-01-01 06:00,2020-01-01 03:00,24.381,0.002,1.145,0,0,0.900
2020-01-01 07:00,2020-01-01 04:00,24.150,0.002,1.147,0,0,0.916
2020-01-01 08:00,2020-01-01 05:00,23.912,0.002,1.148,0.659,6.830,0.916
2020-01-01 09:00,2020-01-01 06:00,23.980,0.002,1.150,43.208,235.036,0.912
2020-01-01 10:00,2020-01-01 07:00,24.829,0.003,1.149,167.755,558.032,0.883
2020-01-01 11:00,2020-01-01 08:00,26.438,0.004,1.146,400.664,846.768,0.649
2020-01-01 12:00,2020-01-01 09:00,28.353,0.185,1.140,678.530,1081.515,0.423
2020-01-01 13:00,2020-01-01 10:00,29.871,0.123,1.134,798.789,1246.065,0.408
2020-01-01 14:00,2020-01-01 11:00,31.024,0.112,1.130,850.392,1329.532,0.586
2020-01-01 15:00,2020-01-01 12:00,31.679,0.096,1.126,803.881,1325.669,0.766
2020-01-01 16:00,2020-01-01 13:00,31.808,0.092,1.124,678.679,1235.641,0.752
2020-01-01 17:00,2020-01-01 14:00,31.604,0.098,1.122,535.049,1064.764,0.731
2020-01-01 18:00,2020-01-01 15:00,30.974,0.155,1.122,356.577,825.052,0.756
2020-01-01 19:00,2020-01-01 16:00,29.859,0.262,1.124,193.573,532.620,0.764
2020-01-01 20:00,2020-01-01 17:00,28.186,0.353,1.128,52.423,207.632,0.819
2020-01-01 21:00,2020-01-01 18:00,26.708,0.378,1.131,0.240,2.408,0.847
2020-01-01 22:00,2020-01-01 19:00,25.962,0.390,1.134,0,0,0.867
2020-01-01 23:00,2020-01-01 20:00,25.674,0.388,1.137,0,0,0.885
2020-01-02 00:00,2020-01-01 21:00,25.742,0.375,1.138,0,0,0.886
2020-01-02 01:00,2020-01-01 22:00,25.862,0.333,1.139,0,0,0.879
2020-01-02 02:00,2020-01-01 23:00,25.486,0.311,1.140,0,0,0.868
2020-01-02 03:00,2020-01-02 00:00,24.566,0.372,1.141,0,0,0.814
2020-01-02 04:00,2020-01-02 01:00,23.688,0.449,1.144,0,0,0.790
2020-01-02 05:00,2020-01-02 02:00,23.184,0.516,1.147,0,0,0.798
2020-01-02 06:00,2020-01-02 03:00,23.011,0.538,1.148,0,0,0.783
2020-01-02 07:00,2020-01-02 04:00,22.952,0.493,1.149,0,0,0.779
2020-01-02 08:00,2020-01-02 05:00,22.911,0.380,1.150,1.270,6.794,0.782
2020-01-02 09:00,2020-01-02 06:00,23.311,0.247,1.150,76.144,234.974,0.713
2020-01-02 10:00,2020-01-02 07:00,24.209,0.148,1.149,252.048,558.240,0.599
2020-01-02 11:00,2020-01-02 08:00,25.651,0.085,1.146,467.195,847.019,0.437
