# Renewables.ninja Weather (Point API) - -22.838, -43.309 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-22.837643302555122", "lon": "-43.30915157048124", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2018-12-31 22:00,24.509,2.820,1.147,0,0,0.346
2019-01-01 01:00,2018-12-31 23:00,24.333,2.242,1.147,0,0,0.133
2019-01-01 02:00,2019-01-01 00:00,24.130,0.650,1.147,0,0,0.136
2019-01-01 03:00,2019-01-01 01:00,23.880,0.107,1.147,0,0,0.369
2019-01-01 04:00,2019-01-01 02:00,23.694,0.037,1.147,0,0,0.758
2019-01-01 05:00,2019-01-01 03:00,23.583,0.021,1.147,0,0,0.895
2019-01-01 06:00,2019-01-01 04:00,23.497,0.013,1.148,0,0,0.918
2019-01-01 07:00,2019-01-01 05:00,23.402,0.007,1.149,0,0,0.925
2019-01-01 08:00,2019-01-01 06:00,23.675,0.002,1.150,36.669,99.744,0.936
2019-01-01 09:00,2019-01-01 07:00,24.719,0.001,1.151,208.570,404.114,0.935
2019-01-01 10:00,2019-01-01 08:00,25.954,0,1.148,428.074,701.702,0.880
2019-01-01 11:00,2019-01-01 09:00,27.349,0,1.144,648.665,965.985,0.785
2019-01-01 12:00,2019-01-01 10:00,28.608,0.001,1.139,836.118,1179.080,0.762
2019-01-01 13:00,2019-01-01 11:00,29.834,0.007,1.135,972.240,1326.512,0.641
2019-01-01 14:00,2019-01-01 12:00,30.983,0.027,1.130,1044.103,1398.058,0.483
2019-01-01 15:00,2019-01-01 13:00,31.758,0.050,1.127,1042.301,1388.927,0.421
2019-01-01 16:00,2019-01-01 14:00,31.809,0.073,1.125,976.894,1299.458,0.376
2019-01-01 17:00,2019-01-01 15:00,31.222,0.079,1.126,822.909,1136.418,0.457
2019-01-01 18:00,2019-01-01 16:00,30.197,0.070,1.129,574.398,910.218,0.494
2019-01-01 19:00,2019-01-01 17:00,29.035,0.070,1.133,345.390,636.586,0.541
2019-01-01 20:00,2019-01-01 18:00,27.863,0.076,1.136,143.140,334.245,0.424
2019-01-01 21:00,2019-01-01 19:00,26.635,0.078,1.139,15.321,51.241,0.399
