# Renewables.ninja Weather (Point API) - -7.482, -44.417 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Fortaleza, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Fortaleza", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-7.482138661877258", "lon": "-44.41686459661807", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2018-12-31 21:00,26.548,0.130,1.114,0,0,0.940
2019-01-01 01:00,2018-12-31 22:00,26.026,0.127,1.115,0,0,0.938
2019-01-01 02:00,2018-12-31 23:00,25.599,0.145,1.115,0,0,0.941
2019-01-01 03:00,2019-01-01 00:00,25.172,0.149,1.116,0,0,0.935
2019-01-01 04:00,2019-01-01 01:00,24.769,0.159,1.117,0,0,0.936
2019-01-01 05:00,2019-01-01 02:00,24.584,0.132,1.118,0,0,0.917
2019-01-01 06:00,2019-01-01 03:00,24.474,0.095,1.120,0,0,0.915
2019-01-01 07:00,2019-01-01 04:00,24.341,0.064,1.122,0,0,0.899
2019-01-01 08:00,2019-01-01 05:00,24.084,0.018,1.124,2.270,10.803,0.826
2019-01-01 09:00,2019-01-01 06:00,25.031,0.011,1.126,117.167,251.845,0.816
2019-01-01 10:00,2019-01-01 07:00,27.653,0.132,1.121,355.382,573.744,0.833
2019-01-01 11:00,2019-01-01 08:00,29.800,0.263,1.116,538.837,861.620,0.813
2019-01-01 12:00,2019-01-01 09:00,31.007,0.083,1.114,672.050,1095.338,0.744
2019-01-01 13:00,2019-01-01 10:00,32.246,0.076,1.111,782.096,1259.540,0.726
2019-01-01 14:00,2019-01-01 11:00,33.218,0.067,1.107,828.864,1342.791,0.830
2019-01-01 15:00,2019-01-01 12:00,33.963,0.057,1.104,831.631,1339.509,0.876
2019-01-01 16:00,2019-01-01 13:00,34.301,0.052,1.101,751.590,1249.743,0.879
2019-01-01 17:00,2019-01-01 14:00,34.249,0.040,1.099,630.214,1079.927,0.858
2019-01-01 18:00,2019-01-01 15:00,33.777,0.032,1.098,464.174,840.869,0.763
2019-01-01 19:00,2019-01-01 16:00,32.711,0.034,1.100,239.091,549.719,0.639
2019-01-01 20:00,2019-01-01 17:00,31.381,0.041,1.102,77.430,225.948,0.622
2019-01-01 21:00,2019-01-01 18:00,29.397,0.043,1.105,1.054,5.192,0.544
2019-01-01 22:00,2019-01-01 19:00,28.389,0.034,1.108,0,0,0.622
2019-01-01 23:00,2019-01-01 20:00,27.647,0.029,1.112,0,0,0.575
2019-01-02 00:00,2019-01-01 21:00,26.960,0.022,1.114,0,0,0.272
2019-01-02 01:00,2019-01-01 22:00,26.328,0.020,1.116,0,0,0.270
2019-01-02 02:00,2019-01-01 23:00,25.758,0.014,1.117,0,0,0.446
2019-01-02 03:00,2019-01-02 00:00,25.233,0.004,1.118,0,0,0.630
2019-01-02 04:00,2019-01-02 01:00,24.833,0.001,1.118,0,0,0.916
2019-01-02 05:00,2019-01-02 02:00,24.709,0,1.119,0,0,0.943
2019-01-02 06:00,2019-01-02 03:00,24.614,0,1.121,0,0,0.939
2019-01-02 07:00,2019-01-02 04:00,23.617,0,1.124,0,0,0.937
2019-01-02 08:00,2019-01-02 05:00,22.663,0.001,1.128,3.331,10.737,0.942
2019-01-02 09:00,2019-01-02 06:00,24.624,0.002,1.130,126.550,251.720,0.943
2019-01-02 10:00,2019-01-02 07:00,27.706,0.005,1.124,370.555,573.977,0.937
2019-01-02 11:00,2019-01-02 08:00,29.969,0.006,1.119,620.026,861.870,0.936
2019-01-02 12:00,2019-01-02 09:00,31.897,0.009,1.114,820.924,1095.806,0.935
2019-01-02 13:00,2019-01-02 10:00,33.621,0.005,1.109,963.192,1260.040,0.935
2019-01-02 14:00,2019-01-02 11:00,35.001,0.002,1.104,1035.160,1343.291,0.936
2019-01-02 15:00,2019-01-02 12:00,35.825,0.002,1.100,1013.880,1340.026,0.938
2019-01-02 16:00,2019-01-02 13:00,36.248,0.001,1.097,934.215,1250.243,0.940
2019-01-02 17:00,2019-01-02 14:00,36.212,0.002,1.095,782.592,1079.944,0.944
2019-01-02 18:00,2019-01-02 15:00,35.707,0.002,1.094,583.251,841.119,0.937
2019-01-02 19:00,2019-01-02 16:00,34.710,0.002,1.094,340.503,549.719,0.768
2019-01-02 20:00,2019-01-02 17:00,33.149,0.003,1.096,95.012,225.766,0.546
2019-01-02 21:00,2019-01-02 18:00,30.706,0.003,1.099,1.164,5.145,0.288
2019-01-02 22:00,2019-01-02 19:00,29.689,0.003,1.102,0,0,0.212
2019-01-02 23:00,2019-01-02 20:00,28.902,0.002,1.104,0,0,0.206
2019-01-03 00:00,2019-01-02 21:00,28.342,0.001,1.106,0,0,0.294
2019-01-03 01:00,2019-01-02 22:00,27.842,0,1.108,0,0,0.385
2019-01-03 02:00,2019-01-02 23:00,27.392,0,1.110,0,0,0.426
2019-01-03 03:00,2019-01-03 00:00,26.888,0,1.111,0,0,0.438
2019-01-03 04:00,2019-01-03 01:00,26.384,0,1.113,0,0,0.433
2019-01-03 05:00,2019-01-03 02:00,25.859,0,1.115,0,0,0.447
2019-01-03 06:00,2019-01-03 03:00,25.665,0,1.118,0,0,0.506
2019-01-03 07:00,2019-01-03 04:00,25.580,0,1.121,0,0,0.498
2019-01-03 08:00,2019-01-03 05:00,25.416,0.002,1.123,2.193,10.668,0.534
2019-01-03 09:00,2019-01-03 06:00,26.304,0.001,1.124,114.059,251.595,0.641
2019-01-03 10:00,2019-01-03 07:00,28.789,0.002,1.119,373.225,573.977,0.830
2019-01-03 11:00,2019-01-03 08:00,31.031,0.003,1.114,620.357,862.120,0.939
2019-01-03 12:00,2019-01-03 09:00,32.915,0,1.110,819.266,1096.306,0.934
2019-01-03 13:00,2019-01-03 10:00,34.551,0,1.104,952.541,1260.557,0.936
2019-01-03 14:00,2019-01-03 11:00,35.860,0,1.100,1018.921,1344.242,0.935
2019-01-03 15:00,2019-01-03 12:00,36.794,0,1.095,1007.727,1340.527,0.935
2019-01-03 16:00,2019-01-03 13:00,37.295,0,1.092,919.513,1250.743,0.941
2019-01-03 17:00,2019-01-03 14:00,37.324,0,1.089,768.282,1080.444,0.952
2019-01-03 18:00,2019-01-03 15:00,36.745,0,1.088,536.055,841.369,0.959
2019-01-03 19:00,2019-01-03 16:00,35.458,0,1.089,241.337,549.953,0.917
2019-01-03 20:00,2019-01-03 17:00,33.858,0,1.092,70.356,225.641,0.920
2019-01-03 21:00,2019-01-03 18:00,31.714,0,1.095,0.779,5.092,0.957
2019-01-03 22:00,2019-01-03 19:00,30.836,0,1.099,0,0,0.972
2019-01-03 23:00,2019-01-03 20:00,30.099,0,1.102,0,0,0.941
2019-01-04 00:00,2019-01-03 21:00,29.360,0,1.105,0,0,0.559
2019-01-04 01:00,2019-01-03 22:00,28.455,0,1.108,0,0,0.295
2019-01-04 02:00,2019-01-03 23:00,27.564,0,1.109,0,0,0.179
2019-01-04 03:00,2019-01-04 00:00,26.848,0,1.110,0,0,0.169
2019-01-04 04:00,2019-01-04 01:00,26.407,0,1.111,0,0,0.218
2019-01-04 05:00,2019-01-04 02:00,26.069,0,1.113,0,0,0.309
2019-01-04 06:00,2019-01-04 03:00,25.783,0,1.115,0,0,0.449
2019-01-04 07:00,2019-01-04 04:00,25.704,0,1.118,0,0,0.546
2019-01-04 08:00,2019-01-04 05:00,25.594,0,1.121,1.873,10.591,0.526
2019-01-04 09:00,2019-01-04 06:00,26.540,0,1.123,86.454,251.410,0.430
2019-01-04 10:00,2019-01-04 07:00,29.116,0,1.117,305.910,573.978,0.139
2019-01-04 11:00,2019-01-04 08:00,31.664,0,1.112,608.477,862.370,0.025
2019-01-04 12:00,2019-01-04 09:00,33.494,0,1.107,803.050,1096.806,0.041
2019-01-04 13:00,2019-01-04 10:00,35.002,0,1.103,931.353,1261.507,0.044
2019-01-04 14:00,2019-01-04 11:00,36.342,0,1.099,1007.792,1344.742,0.040
2019-01-04 15:00,2019-01-04 12:00,37.365,0,1.095,1014.178,1341.477,0.039
2019-01-04 16:00,2019-01-04 13:00,37.828,0,1.091,938.704,1251.243,0.045
2019-01-04 17:00,2019-01-04 14:00,37.628,0,1.089,785.184,1080.944,0.103
2019-01-04 18:00,2019-01-04 15:00,36.822,0,1.089,577.901,841.620,0.271
2019-01-04 19:00,2019-01-04 16:00,35.549,0,1.090,339.397,549.969,0.522
2019-01-04 20:00,2019-01-04 17:00,33.757,0,1.093,86.479,225.454,0.611
2019-01-04 21:00,2019-01-04 18:00,31.690,0,1.097,1.065,5.036,0.644
2019-01-04 22:00,2019-01-04 19:00,30.444,0,1.101,0,0,0.450
2019-01-04 23:00,2019-01-04 20:00,29.467,0,1.104,0,0,0.114
2019-01-05 00:00,2019-01-04 21:00,28.633,0,1.107,0,0,0.035
2019-01-05 01:00,2019-01-04 22:00,27.772,0,1.109,0,0,0.025
2019-01-05 02:00,2019-01-04 23:00,26.923,0,1.110,0,0,0.356
2019-01-05 03:00,2019-01-05 00:00,26.156,0,1.112,0,0,0.855
2019-01-05 04:00,2019-01-05 01:00,25.766,0,1.114,0,0,0.778
2019-01-05 05:00,2019-01-05 02:00,25.405,0,1.116,0,0,0.428
2019-01-05 06:00,2019-01-05 03:00,24.781,0,1.118,0,0,0.298
2019-01-05 07:00,2019-01-05 04:00,24.383,0,1.122,0,0,0.463
2019-01-05 08:00,2019-01-05 05:00,24.347,0,1.125,2.361,10.509,0.779
2019-01-05 09:00,2019-01-05 06:00,25.621,0,1.126,100.847,251.222,0.826
2019-01-05 10:00,2019-01-05 07:00,28.628,0,1.119,343.695,574.003,0.505
2019-01-05 11:00,2019-01-05 08:00,31.313,0,1.113,614.484,862.629,0.758
2019-01-05 12:00,2019-01-05 09:00,33.188,0.185,1.108,804.502,1097.306,0.794
2019-01-05 13:00,2019-01-05 10:00,34.672,0.602,1.104,933.453,1262.007,0.636
2019-01-05 14:00,2019-01-05 11:00,35.532,0.814,1.100,952.489,1345.291,0.320
2019-01-05 15:00,2019-01-05 12:00,36.060,0.785,1.097,939.851,1342.009,0.459
2019-01-05 16:00,2019-01-05 13:00,36.290,0.879,1.094,885.077,1251.761,0.729
2019-01-05 17:00,2019-01-05 14:00,36.174,0.541,1.092,765.330,1081.444,0.785
2019-01-05 18:00,2019-01-05 15:00,35.542,0.230,1.091,547.918,841.870,0.783
2019-01-05 19:00,2019-01-05 16:00,34.255,0.139,1.092,260.369,549.969,0.867
2019-01-05 20:00,2019-01-05 17:00,32.048,0.064,1.095,66.645,225.210,0.874
2019-01-05 21:00,2019-01-05 18:00,29.853,0.035,1.098,0.760,4.975,0.889
2019-01-05 22:00,2019-01-05 19:00,29.182,0.033,1.101,0,0,0.905
2019-01-05 23:00,2019-01-05 20:00,28.697,0.049,1.103,0,0,0.910
2019-01-06 00:00,2019-01-05 21:00,28.359,0.074,1.105,0,0,0.943
2019-01-06 01:00,2019-01-05 22:00,27.916,0.132,1.107,0,0,0.959
2019-01-06 02:00,2019-01-05 23:00,27.500,0.289,1.109,0,0,0.966
2019-01-06 03:00,2019-01-06 00:00,26.907,0.691,1.112,0,0,0.972
2019-01-06 04:00,2019-01-06 01:00,26.351,1.010,1.113,0,0,0.978
2019-01-06 05:00,2019-01-06 02:00,25.919,1.169,1.114,0,0,0.974
2019-01-06 06:00,2019-01-06 03:00,25.559,1.286,1.115,0,0,0.962
2019-01-06 07:00,2019-01-06 04:00,25.096,1.171,1.118,0,0,0.952
2019-01-06 08:00,2019-01-06 05:00,24.603,1.534,1.121,0.946,10.421,0.959
2019-01-06 09:00,2019-01-06 06:00,24.653,0.946,1.124,39.632,251.037,0.956
2019-01-06 10:00,2019-01-06 07:00,25.333,0.778,1.124,127.574,574.227,0.934
2019-01-06 11:00,2019-01-06 08:00,26.491,0.674,1.122,218.346,862.879,0.919
2019-01-06 12:00,2019-01-06 09:00,27.438,0.008,1.120,291.788,1097.806,0.924
2019-01-06 13:00,2019-01-06 10:00,28.165,0.007,1.118,365.628,1262.508,0.934
2019-01-06 14:00,2019-01-06 11:00,28.893,0.009,1.116,452.226,1346.241,0.935
2019-01-06 15:00,2019-01-06 12:00,29.412,0.009,1.114,454.077,1342.527,0.935
2019-01-06 16:00,2019-01-06 13:00,29.471,0.007,1.112,376.667,1252.711,0.933
2019-01-06 17:00,2019-01-06 14:00,29.304,0.006,1.112,302.569,1081.944,0.949
2019-01-06 18:00,2019-01-06 15:00,28.802,0.004,1.112,209.472,842.345,0.933
2019-01-06 19:00,2019-01-06 16:00,28.087,0.004,1.114,102.432,549.969,0.874
2019-01-06 20:00,2019-01-06 17:00,27.077,0.004,1.116,32.472,225.019,0.850
2019-01-06 21:00,2019-01-06 18:00,25.953,0.008,1.117,0.293,4.911,0.881
2019-01-06 22:00,2019-01-06 19:00,25.576,0.010,1.119,0,0,0.897
2019-01-06 23:00,2019-01-06 20:00,25.256,0.009,1.121,0,0,0.905
2019-01-07 00:00,2019-01-06 21:00,24.963,0.006,1.122,0,0,0.902
2019-01-07 01:00,2019-01-06 22:00,24.660,0.007,1.123,0,0,0.902
2019-01-07 02:00,2019-01-06 23:00,24.349,0.009,1.124,0,0,0.910
2019-01-07 03:00,2019-01-07 00:00,24.031,0.012,1.124,0,0,0.901
2019-01-07 04:00,2019-01-07 01:00,23.813,0.016,1.125,0,0,0.880
2019-01-07 05:00,2019-01-07 02:00,23.754,0.016,1.126,0,0,0.898
2019-01-07 06:00,2019-01-07 03:00,23.785,0.014,1.127,0,0,0.915
2019-01-07 07:00,2019-01-07 04:00,23.712,0.012,1.128,0,0,0.918
2019-01-07 08:00,2019-01-07 05:00,23.364,0.010,1.129,1.163,10.329,0.903
2019-01-07 09:00,2019-01-07 06:00,23.974,0.008,1.130,62.664,250.849,0.825
2019-01-07 10:00,2019-01-07 07:00,25.997,0.008,1.126,232.892,574.228,0.588
2019-01-07 11:00,2019-01-07 08:00,28.379,0.010,1.121,445.012,863.129,0.330
2019-01-07 12:00,2019-01-07 09:00,29.810,0.220,1.118,624.484,1098.306,0.343
2019-01-07 13:00,2019-01-07 10:00,30.695,0.335,1.115,700.875,1263.040,0.402
2019-01-07 14:00,2019-01-07 11:00,31.283,0.371,1.112,688.423,1346.742,0.516
2019-01-07 15:00,2019-01-07 12:00,31.349,0.399,1.110,576.781,1343.477,0.751
2019-01-07 16:00,2019-01-07 13:00,31.001,0.399,1.109,436.314,1253.243,0.858
2019-01-07 17:00,2019-01-07 14:00,30.569,0.447,1.108,341.702,1082.444,0.778
2019-01-07 18:00,2019-01-07 15:00,30.137,0.403,1.109,279.178,842.595,0.692
2019-01-07 19:00,2019-01-07 16:00,29.523,0.278,1.110,197.612,549.978,0.604
2019-01-07 20:00,2019-01-07 17:00,28.184,0.106,1.112,67.933,224.775,0.548
2019-01-07 21:00,2019-01-07 18:00,26.328,0.052,1.116,0.791,4.842,0.464
2019-01-07 22:00,2019-01-07 19:00,25.570,0.029,1.119,0,0,0.362
2019-01-07 23:00,2019-01-07 20:00,25.023,0.015,1.121,0,0,0.442
2019-01-08 00:00,2019-01-07 21:00,24.557,0.025,1.123,0,0,0.852
2019-01-08 01:00,2019-01-07 22:00,24.159,0.038,1.124,0,0,0.830
2019-01-08 02:00,2019-01-07 23:00,23.969,0.033,1.125,0,0,0.810
2019-01-08 03:00,2019-01-08 00:00,23.807,0.021,1.125,0,0,0.796
2019-01-08 04:00,2019-01-08 01:00,23.675,0.011,1.126,0,0,0.782
2019-01-08 05:00,2019-01-08 02:00,23.339,0.004,1.127,0,0,0.762
2019-01-08 06:00,2019-01-08 03:00,23.058,0.003,1.128,0,0,0.861
2019-01-08 07:00,2019-01-08 04:00,22.965,0.003,1.129,0,0,0.847
2019-01-08 08:00,2019-01-08 05:00,22.798,0.001,1.131,1.849,10.229,0.793
