# Renewables.ninja Weather (Point API) - -9.524, -44.414 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Fortaleza, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Fortaleza", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-9.52435295", "lon": "-44.41434693094406", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2018-12-31 21:00,28.213,0.017,1.096,0,0,0.738
2019-01-01 01:00,2018-12-31 22:00,27.438,0.007,1.098,0,0,0.771
2019-01-01 02:00,2018-12-31 23:00,26.633,0.009,1.100,0,0,0.857
2019-01-01 03:00,2019-01-01 00:00,25.982,0.014,1.102,0,0,0.903
2019-01-01 04:00,2019-01-01 01:00,25.199,0.017,1.105,0,0,0.938
2019-01-01 05:00,2019-01-01 02:00,24.584,0.002,1.107,0,0,0.854
2019-01-01 06:00,2019-01-01 03:00,23.958,0.001,1.110,0,0,0.748
2019-01-01 07:00,2019-01-01 04:00,23.432,0,1.113,0,0,0.706
2019-01-01 08:00,2019-01-01 05:00,23.185,0,1.115,4.757,16.357,0.771
2019-01-01 09:00,2019-01-01 06:00,24.997,0,1.115,116.919,270.354,0.859
2019-01-01 10:00,2019-01-01 07:00,27.441,0.027,1.110,265.339,590.642,0.801
2019-01-01 11:00,2019-01-01 08:00,28.744,0.166,1.107,399.444,876.740,0.664
2019-01-01 12:00,2019-01-01 09:00,29.853,0.048,1.106,546.550,1109.611,0.555
2019-01-01 13:00,2019-01-01 10:00,31.226,0.060,1.102,677.714,1272.830,0.505
2019-01-01 14:00,2019-01-01 11:00,32.796,0.061,1.097,829.547,1355.550,0.391
2019-01-01 15:00,2019-01-01 12:00,34.040,0.072,1.092,867.931,1352.271,0.515
2019-01-01 16:00,2019-01-01 13:00,34.750,0.083,1.088,808.506,1262.992,0.629
2019-01-01 17:00,2019-01-01 14:00,35.021,0.092,1.085,683.649,1093.706,0.671
2019-01-01 18:00,2019-01-01 15:00,34.784,0.055,1.083,502.374,856.140,0.692
2019-01-01 19:00,2019-01-01 16:00,33.936,0.053,1.083,273.008,566.513,0.693
