# Renewables.ninja Wind power (Point API) - -9.524, -44.414 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Fortaleza, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Fortaleza", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "-9.52435295", "lon": "-44.41434693094406", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": "true"}}
time,local_time,electricity,wind_speed
2018-01-01 00:00,2017-12-31 21:00,0.125,4.983
2018-01-01 01:00,2017-12-31 22:00,0.094,4.568
2018-01-01 02:00,2017-12-31 23:00,0.074,4.257
2018-01-01 03:00,2018-01-01 00:00,0.067,4.141
2018-01-01 04:00,2018-01-01 01:00,0.071,4.203
2018-01-01 05:00,2018-01-01 02:00,0.083,4.397
2018-01-01 06:00,2018-01-01 03:00,0.092,4.528
2018-01-01 07:00,2018-01-01 04:00,0.076,4.299
2018-01-01 08:00,2018-01-01 05:00,0.035,3.514
2018-01-01 09:00,2018-01-01 06:00,0.002,1.997
2018-01-01 10:00,2018-01-01 07:00,0,1.285
2018-01-01 11:00,2018-01-01 08:00,0.045,3.715
2018-01-01 12:00,2018-01-01 09:00,0.099,4.633
2018-01-01 13:00,2018-01-01 10:00,0.107,4.745
2018-01-01 14:00,2018-01-01 11:00,0.092,4.535
2018-01-01 15:00,2018-01-01 12:00,0.075,4.272
2018-01-01 16:00,2018-01-01 13:00,0.064,4.098
2018-01-01 17:00,2018-01-01 14:00,0.058,3.969
2018-01-01 18:00,2018-01-01 15:00,0.048,3.797
2018-01-01 19:00,2018-01-01 16:00,0.041,3.638
2018-01-01 20:00,2018-01-01 17:00,0.041,3.638
2018-01-01 21:00,2018-01-01 18:00,0.069,4.169
2018-01-01 22:00,2018-01-01 19:00,0.126,4.992
2018-01-01 23:00,2018-01-01 20:00,0.210,5.898
2018-01-02 00:00,2018-01-01 21:00,0.289,6.587
2018-01-02 01:00,2018-01-01 22:00,0.334,6.942
2018-01-02 02:00,2018-01-01 23:00,0.344,7.027
2018-01-02 03:00,2018-01-02 00:00,0.292,6.611
2018-01-02 04:00,2018-01-02 01:00,0.201,5.804
2018-01-02 05:00,2018-01-02 02:00,0.096,4.601
2018-01-02 06:00,2018-01-02 03:00,0.026,3.273
2018-01-02 07:00,2018-01-02 04:00,0.006,2.431
2018-01-02 08:00,2018-01-02 05:00,0.003,2.208
2018-01-02 09:00,2018-01-02 06:00,0.001,1.898
2018-01-02 10:00,2018-01-02 07:00,0.001,1.909
2018-01-02 11:00,2018-01-02 08:00,0,1.546
2018-01-02 12:00,2018-01-02 09:00,0.001,1.876
2018-01-02 13:00,2018-01-02 10:00,0.007,2.549
2018-01-02 14:00,2018-01-02 11:00,0.015,2.908
2018-01-02 15:00,2018-01-02 12:00,0.016,2.941
2018-01-02 16:00,2018-01-02 13:00,0.012,2.791
2018-01-02 17:00,2018-01-02 14:00,0.009,2.647
2018-01-02 18:00,2018-01-02 15:00,0.009,2.623
2018-01-02 19:00,2018-01-02 16:00,0.011,2.759
2018-01-02 20:00,2018-01-02 17:00,0.019,3.045
2018-01-02 21:00,2018-01-02 18:00,0.043,3.682
2018-01-02 22:00,2018-01-02 19:00,0.073,4.252
2018-01-02 23:00,2018-01-02 20:00,0.094,4.564
2018-01-03 00:00,2018-01-02 21:00,0.084,4.402
2018-01-03 01:00,2018-01-02 22:00,0.050,3.833
2018-01-03 02:00,2018-01-02 23:00,0.030,3.387
2018-01-03 03:00,2018-01-03 00:00,0.035,3.494
2018-01-03 04:00,2018-01-03 01:00,0.058,3.972
2018-01-03 05:00,2018-01-03 02:00,0.078,4.321
2018-01-03 06:00,2018-01-03 03:00,0.074,4.259
2018-01-03 07:00,2018-01-03 04:00,0.065,4.104
2018-01-03 08:00,2018-01-03 05:00,0.064,4.086
2018-01-03 09:00,2018-01-03 06:00,0.045,3.734
2018-01-03 10:00,2018-01-03 07:00,0.032,3.436
2018-01-03 11:00,2018-01-03 08:00,0.025,3.236
2018-01-03 12:00,2018-01-03 09:00,0.015,2.912
2018-01-03 13:00,2018-01-03 10:00,0.006,2.472
2018-01-03 14:00,2018-01-03 11:00,0.006,2.443
2018-01-03 15:00,2018-01-03 12:00,0.009,2.631
2018-01-03 16:00,2018-01-03 13:00,0.011,2.742
2018-01-03 17:00,2018-01-03 14:00,0.014,2.865
2018-01-03 18:00,2018-01-03 15:00,0.024,3.215
2018-01-03 19:00,2018-01-03 16:00,0.047,3.765
2018-01-03 20:00,2018-01-03 17:00,0.093,4.540
2018-01-03 21:00,2018-01-03 18:00,0.189,5.688
2018-01-03 22:00,2018-01-03 19:00,0.243,6.200
2018-01-03 23:00,2018-01-03 20:00,0.220,5.986
2018-01-04 00:00,2018-01-03 21:00,0.181,5.613
2018-01-04 01:00,2018-01-03 22:00,0.149,5.263
2018-01-04 02:00,2018-01-03 23:00,0.121,4.933
2018-01-04 03:00,2018-01-04 00:00,0.090,4.515
2018-01-04 04:00,2018-01-04 01:00,0.063,4.081
2018-01-04 05:00,2018-01-04 02:00,0.049,3.816
2018-01-04 06:00,2018-01-04 03:00,0.051,3.854
2018-01-04 07:00,2018-01-04 04:00,0.060,4.019
2018-01-04 08:00,2018-01-04 05:00,0.064,4.083
2018-01-04 09:00,2018-01-04 06:00,0.031,3.418
2018-01-04 10:00,2018-01-04 07:00,0.037,3.555
2018-01-04 11:00,2018-01-04 08:00,0.019,3.070
2018-01-04 12:00,2018-01-04 09:00,0,1.676
2018-01-04 13:00,2018-01-04 10:00,0,1.345
2018-01-04 14:00,2018-01-04 11:00,0.003,2.173
2018-01-04 15:00,2018-01-04 12:00,0.016,2.943
2018-01-04 16:00,2018-01-04 13:00,0.032,3.420
2018-01-04 17:00,2018-01-04 14:00,0.043,3.682
2018-01-04 18:00,2018-01-04 15:00,0.051,3.848
2018-01-04 19:00,2018-01-04 16:00,0.058,3.985
2018-01-04 20:00,2018-01-04 17:00,0.064,4.100
2018-01-04 21:00,2018-01-04 18:00,0.092,4.526
2018-01-04 22:00,2018-01-04 19:00,0.141,5.170
2018-01-04 23:00,2018-01-04 20:00,0.201,5.797
2018-01-05 00:00,2018-01-04 21:00,0.231,6.085
2018-01-05 01:00,2018-01-04 22:00,0.211,5.908
2018-01-05 02:00,2018-01-04 23:00,0.170,5.501
2018-01-05 03:00,2018-01-05 00:00,0.131,5.048
2018-01-05 04:00,2018-01-05 01:00,0.093,4.537
2018-01-05 05:00,2018-01-05 02:00,0.045,3.729
2018-01-05 06:00,2018-01-05 03:00,0.008,2.578
2018-01-05 07:00,2018-01-05 04:00,0,1.494
2018-01-05 08:00,2018-01-05 05:00,0,1.145
