# Renewables.ninja Weather (Point API) - -11.544, -45.518 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Bahia, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Bahia", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-11.543937861855426", "lon": "-45.51839429990687", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2018-01-01 00:00,2017-12-31 21:00,25.609,0,1.072,0,0,0.839
2018-01-01 01:00,2017-12-31 22:00,25.095,0,1.075,0,0,0.832
2018-01-01 02:00,2017-12-31 23:00,24.505,0,1.076,0,0,0.825
2018-01-01 03:00,2018-01-01 00:00,23.890,0,1.078,0,0,0.809
2018-01-01 04:00,2018-01-01 01:00,23.245,0,1.079,0,0,0.788
2018-01-01 05:00,2018-01-01 02:00,22.686,0,1.081,0,0,0.804
2018-01-01 06:00,2018-01-01 03:00,22.246,0,1.083,0,0,0.835
2018-01-01 07:00,2018-01-01 04:00,21.866,0,1.085,0,0,0.869
2018-01-01 08:00,2018-01-01 05:00,21.567,0,1.087,3.971,14.783,0.906
2018-01-01 09:00,2018-01-01 06:00,22.922,0,1.089,112.524,264.085,0.934
2018-01-01 10:00,2018-01-01 07:00,25.605,0,1.082,334.429,584.004,0.944
2018-01-01 11:00,2018-01-01 08:00,28.008,0,1.076,549.982,871.434,0.945
2018-01-01 12:00,2018-01-01 09:00,29.387,0,1.073,681.131,1107.214,0.946
2018-01-01 13:00,2018-01-01 10:00,30.324,0,1.070,772.324,1275.158,0.943
2018-01-01 14:00,2018-01-01 11:00,30.923,0,1.068,772.261,1363.553,0.798
2018-01-01 15:00,2018-01-01 12:00,31.413,0,1.065,777.535,1366.456,0.678
2018-01-01 16:00,2018-01-01 13:00,31.688,0,1.063,710.736,1283.867,0.784
2018-01-01 17:00,2018-01-01 14:00,31.331,0,1.061,501.167,1121.314,0.793
2018-01-01 18:00,2018-01-01 15:00,30.903,0,1.061,381.420,889.702,0.860
2018-01-01 19:00,2018-01-01 16:00,30.225,0,1.061,223.369,605.155,0.875
2018-01-01 20:00,2018-01-01 17:00,29.207,0,1.063,88.704,286.685,0.864
2018-01-01 21:00,2018-01-01 18:00,26.947,0,1.065,5.134,22.332,0.810
2018-01-01 22:00,2018-01-01 19:00,25.715,0,1.068,0,0,0.713
2018-01-01 23:00,2018-01-01 20:00,24.999,0,1.071,0,0,0.701
2018-01-02 00:00,2018-01-01 21:00,24.431,0,1.074,0,0,0.501
2018-01-02 01:00,2018-01-01 22:00,23.906,0,1.076,0,0,0.672
2018-01-02 02:00,2018-01-01 23:00,23.411,0,1.077,0,0,0.920
2018-01-02 03:00,2018-01-02 00:00,22.975,0,1.079,0,0,0.947
2018-01-02 04:00,2018-01-02 01:00,22.598,0,1.080,0,0,0.948
2018-01-02 05:00,2018-01-02 02:00,22.249,0,1.081,0,0,0.949
2018-01-02 06:00,2018-01-02 03:00,21.879,0,1.082,0,0,0.949
2018-01-02 07:00,2018-01-02 04:00,21.533,0,1.084,0,0,0.942
2018-01-02 08:00,2018-01-02 05:00,21.235,0,1.086,4.178,14.664,0.859
2018-01-02 09:00,2018-01-02 06:00,23.113,0,1.086,132.016,263.833,0.717
2018-01-02 10:00,2018-01-02 07:00,26.110,0,1.079,368.985,583.815,0.625
2018-01-02 11:00,2018-01-02 08:00,28.313,0,1.074,569.902,871.662,0.698
2018-01-02 12:00,2018-01-02 09:00,29.531,0,1.071,687.203,1107.670,0.814
2018-01-02 13:00,2018-01-02 10:00,30.325,0.001,1.068,728.488,1275.573,0.822
2018-01-02 14:00,2018-01-02 11:00,30.946,0.001,1.065,753.296,1363.976,0.821
2018-01-02 15:00,2018-01-02 12:00,31.465,0.001,1.063,769.518,1366.879,0.765
2018-01-02 16:00,2018-01-02 13:00,31.819,0,1.060,744.852,1284.282,0.701
2018-01-02 17:00,2018-01-02 14:00,31.868,0,1.058,644.775,1121.392,0.607
2018-01-02 18:00,2018-01-02 15:00,31.599,0,1.058,501.930,889.909,0.558
2018-01-02 19:00,2018-01-02 16:00,30.877,0,1.058,290.001,604.927,0.552
2018-01-02 20:00,2018-01-02 17:00,29.937,0,1.060,97.662,286.414,0.541
2018-01-02 21:00,2018-01-02 18:00,28.485,0,1.062,4.370,22.177,0.637
2018-01-02 22:00,2018-01-02 19:00,27.358,0,1.065,0,0,0.806
2018-01-02 23:00,2018-01-02 20:00,26.503,0,1.069,0,0,0.804
2018-01-03 00:00,2018-01-02 21:00,25.732,0,1.072,0,0,0.735
2018-01-03 01:00,2018-01-02 22:00,25.051,0,1.075,0,0,0.923
2018-01-03 02:00,2018-01-02 23:00,24.390,0,1.077,0,0,0.945
2018-01-03 03:00,2018-01-03 00:00,23.815,0,1.079,0,0,0.929
2018-01-03 04:00,2018-01-03 01:00,23.343,0,1.080,0,0,0.920
2018-01-03 05:00,2018-01-03 02:00,22.998,0,1.082,0,0,0.960
2018-01-03 06:00,2018-01-03 03:00,22.886,0,1.084,0,0,0.976
2018-01-03 07:00,2018-01-03 04:00,22.658,0,1.085,0,0,0.977
2018-01-03 08:00,2018-01-03 05:00,22.454,0,1.086,0.972,14.530,0.978
2018-01-03 09:00,2018-01-03 06:00,22.648,0,1.087,28.753,263.480,0.982
2018-01-03 10:00,2018-01-03 07:00,23.380,0,1.086,94.101,583.754,0.983
2018-01-03 11:00,2018-01-03 08:00,24.304,0,1.084,164.023,871.662,0.979
2018-01-03 12:00,2018-01-03 09:00,25.330,0.241,1.081,252.461,1107.714,0.977
2018-01-03 13:00,2018-01-03 10:00,25.949,0.266,1.079,300.491,1275.658,0.979
2018-01-03 14:00,2018-01-03 11:00,26.245,0.356,1.078,303.264,1364.439,0.975
2018-01-03 15:00,2018-01-03 12:00,26.304,0.409,1.077,290.204,1367.379,0.954
2018-01-03 16:00,2018-01-03 13:00,26.294,0.424,1.076,290.709,1284.782,0.956
2018-01-03 17:00,2018-01-03 14:00,26.019,0.391,1.076,255.745,1121.814,0.966
2018-01-03 18:00,2018-01-03 15:00,25.631,0.510,1.077,204.178,889.913,0.909
2018-01-03 19:00,2018-01-03 16:00,25.080,0.713,1.078,136.801,604.905,0.905
2018-01-03 20:00,2018-01-03 17:00,24.156,0.942,1.079,56.033,286.060,0.898
2018-01-03 21:00,2018-01-03 18:00,22.880,1.149,1.081,2.902,22.006,0.920
2018-01-03 22:00,2018-01-03 19:00,22.392,1.230,1.083,0,0,0.950
2018-01-03 23:00,2018-01-03 20:00,22.165,1.217,1.086,0,0,0.957
2018-01-04 00:00,2018-01-03 21:00,21.896,1.146,1.088,0,0,0.959
2018-01-04 01:00,2018-01-03 22:00,21.617,0.890,1.090,0,0,0.960
2018-01-04 02:00,2018-01-03 23:00,21.212,0.494,1.091,0,0,0.960
2018-01-04 03:00,2018-01-04 00:00,20.770,0.221,1.093,0,0,0.921
2018-01-04 04:00,2018-01-04 01:00,20.390,0.076,1.094,0,0,0.905
2018-01-04 05:00,2018-01-04 02:00,20.081,0.017,1.094,0,0,0.891
2018-01-04 06:00,2018-01-04 03:00,19.860,0.005,1.095,0,0,0.882
2018-01-04 07:00,2018-01-04 04:00,19.726,0.002,1.096,0,0,0.888
2018-01-04 08:00,2018-01-04 05:00,19.652,0.001,1.097,1.830,14.385,0.854
2018-01-04 09:00,2018-01-04 06:00,20.239,0.001,1.098,62.330,263.208,0.855
2018-01-04 10:00,2018-01-04 07:00,21.753,0.001,1.094,203.037,583.754,0.850
2018-01-04 11:00,2018-01-04 08:00,24.533,0.001,1.086,421.317,871.912,0.886
2018-01-04 12:00,2018-01-04 09:00,26.901,0.013,1.080,570.319,1108.170,0.904
2018-01-04 13:00,2018-01-04 10:00,27.883,0.128,1.077,594.250,1276.158,0.914
2018-01-04 14:00,2018-01-04 11:00,28.287,0.268,1.075,608.565,1364.561,0.916
2018-01-04 15:00,2018-01-04 12:00,28.370,0.248,1.074,562.094,1367.842,0.916
2018-01-04 16:00,2018-01-04 13:00,28.179,0.256,1.073,446.259,1284.867,0.904
2018-01-04 17:00,2018-01-04 14:00,27.676,0.251,1.073,313.979,1121.892,0.902
2018-01-04 18:00,2018-01-04 15:00,27.043,0.250,1.073,210.065,890.159,0.878
2018-01-04 19:00,2018-01-04 16:00,26.479,0.180,1.074,159.135,604.905,0.851
2018-01-04 20:00,2018-01-04 17:00,25.598,0.110,1.076,70.718,285.780,0.851
2018-01-04 21:00,2018-01-04 18:00,24.047,0.096,1.078,3.555,21.828,0.811
2018-01-04 22:00,2018-01-04 19:00,23.255,0.100,1.081,0,0,0.694
2018-01-04 23:00,2018-01-04 20:00,22.677,0.155,1.083,0,0,0.581
2018-01-05 00:00,2018-01-04 21:00,22.214,0.247,1.086,0,0,0.584
2018-01-05 01:00,2018-01-04 22:00,21.759,0.366,1.088,0,0,0.657
2018-01-05 02:00,2018-01-04 23:00,21.322,0.301,1.091,0,0,0.734
2018-01-05 03:00,2018-01-05 00:00,20.888,0.148,1.092,0,0,0.735
2018-01-05 04:00,2018-01-05 01:00,20.482,0.033,1.094,0,0,0.674
2018-01-05 05:00,2018-01-05 02:00,20.078,0.011,1.095,0,0,0.613
2018-01-05 06:00,2018-01-05 03:00,19.713,0.018,1.096,0,0,0.647
2018-01-05 07:00,2018-01-05 04:00,19.564,0.050,1.097,0,0,0.765
2018-01-05 08:00,2018-01-05 05:00,19.636,0.142,1.099,2.964,14.232,0.879
2018-01-05 09:00,2018-01-05 06:00,20.391,0.305,1.099,84.860,262.824,0.955
2018-01-05 10:00,2018-01-05 07:00,21.858,0.474,1.096,298.099,583.504,0.958
2018-01-05 11:00,2018-01-05 08:00,24.183,0.489,1.090,520.503,871.912,0.961
2018-01-05 12:00,2018-01-05 09:00,26.182,1.324,1.085,670.507,1108.214,0.961
2018-01-05 13:00,2018-01-05 10:00,27.294,0.895,1.081,756.958,1276.658,0.959
2018-01-05 14:00,2018-01-05 11:00,27.981,0.843,1.078,781.407,1365.061,0.956
2018-01-05 15:00,2018-01-05 12:00,28.509,0.539,1.076,811.709,1368.342,0.946
2018-01-05 16:00,2018-01-05 13:00,28.495,0.230,1.075,704.463,1285.367,0.940
2018-01-05 17:00,2018-01-05 14:00,27.960,0.166,1.074,502.311,1122.314,0.930
2018-01-05 18:00,2018-01-05 15:00,27.009,0.153,1.076,300.427,890.159,0.901
2018-01-05 19:00,2018-01-05 16:00,26.006,0.144,1.078,188.350,604.655,0.854
2018-01-05 20:00,2018-01-05 17:00,24.688,0.152,1.081,75.273,285.405,0.898
2018-01-05 21:00,2018-01-05 18:00,23.038,0.119,1.085,3.280,21.633,0.904
