# Renewables.ninja Weather (Point API) - -13.390, -44.201 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Bahia, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Bahia", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-13.3901477", "lon": "-44.2013167", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2018-01-01 00:00,2017-12-31 21:00,24.064,0.063,1.098,0,0,0.745
2018-01-01 01:00,2017-12-31 22:00,23.574,0.071,1.100,0,0,0.706
2018-01-01 02:00,2017-12-31 23:00,23.184,0.080,1.101,0,0,0.683
2018-01-01 03:00,2018-01-01 00:00,22.882,0.081,1.101,0,0,0.694
2018-01-01 04:00,2018-01-01 01:00,22.615,0.083,1.101,0,0,0.712
2018-01-01 05:00,2018-01-01 02:00,22.352,0.084,1.102,0,0,0.737
2018-01-01 06:00,2018-01-01 03:00,22.134,0.084,1.103,0,0,0.723
2018-01-01 07:00,2018-01-01 04:00,22.074,0.076,1.104,0,0,0.734
2018-01-01 08:00,2018-01-01 05:00,22.103,0.067,1.105,6.447,32.083,0.775
2018-01-01 09:00,2018-01-01 06:00,22.882,0.055,1.104,92.971,308.970,0.913
2018-01-01 10:00,2018-01-01 07:00,24.241,0.048,1.102,245.830,624.650,0.963
2018-01-01 11:00,2018-01-01 08:00,25.957,0.044,1.099,377.210,906.328,0.960
2018-01-01 12:00,2018-01-01 09:00,27.674,0.058,1.095,481.079,1135.095,0.958
2018-01-01 13:00,2018-01-01 10:00,28.689,0.053,1.092,507.403,1294.950,0.953
2018-01-01 14:00,2018-01-01 11:00,29.503,0.047,1.088,536.968,1375.477,0.940
2018-01-01 15:00,2018-01-01 12:00,30.153,0.037,1.085,526.816,1371.005,0.925
2018-01-01 16:00,2018-01-01 13:00,30.758,0.028,1.081,502.353,1281.641,0.911
2018-01-01 17:00,2018-01-01 14:00,30.899,0.023,1.078,376.218,1113.589,0.899
2018-01-01 18:00,2018-01-01 15:00,30.590,0.021,1.077,250.886,878.534,0.903
2018-01-01 19:00,2018-01-01 16:00,29.919,0.019,1.077,143.110,592.133,0.906
2018-01-01 20:00,2018-01-01 17:00,28.484,0.012,1.079,55.758,274.128,0.887
2018-01-01 21:00,2018-01-01 18:00,26.350,0.008,1.081,2.841,18.409,0.881
2018-01-01 22:00,2018-01-01 19:00,25.499,0.006,1.085,0,0,0.845
2018-01-01 23:00,2018-01-01 20:00,24.976,0.004,1.088,0,0,0.818
2018-01-02 00:00,2018-01-01 21:00,24.491,0.003,1.092,0,0,0.789
2018-01-02 01:00,2018-01-01 22:00,23.952,0.002,1.094,0,0,0.787
2018-01-02 02:00,2018-01-01 23:00,23.440,0.003,1.096,0,0,0.834
2018-01-02 03:00,2018-01-02 00:00,23.022,0.008,1.097,0,0,0.917
2018-01-02 04:00,2018-01-02 01:00,22.633,0.010,1.098,0,0,0.932
2018-01-02 05:00,2018-01-02 02:00,22.255,0.010,1.098,0,0,0.882
2018-01-02 06:00,2018-01-02 03:00,21.910,0.010,1.100,0,0,0.817
2018-01-02 07:00,2018-01-02 04:00,21.735,0.012,1.101,0,0,0.791
2018-01-02 08:00,2018-01-02 05:00,21.681,0.009,1.102,8.931,31.879,0.782
2018-01-02 09:00,2018-01-02 06:00,23.291,0.007,1.102,136.314,308.603,0.746
2018-01-02 10:00,2018-01-02 07:00,26.243,0.006,1.094,327.294,624.415,0.697
2018-01-02 11:00,2018-01-02 08:00,28.708,0.007,1.088,481.288,906.328,0.623
2018-01-02 12:00,2018-01-02 09:00,30.291,0.034,1.084,591.003,1135.174,0.547
2018-01-02 13:00,2018-01-02 10:00,31.473,0.052,1.080,674.505,1295.371,0.494
2018-01-02 14:00,2018-01-02 11:00,32.367,0.061,1.076,704.398,1375.977,0.524
2018-01-02 15:00,2018-01-02 12:00,32.707,0.061,1.074,625.322,1371.505,0.632
2018-01-02 16:00,2018-01-02 13:00,32.664,0.055,1.072,523.292,1281.953,0.765
2018-01-02 17:00,2018-01-02 14:00,32.168,0.043,1.071,369.459,1113.979,0.865
2018-01-02 18:00,2018-01-02 15:00,31.420,0.031,1.072,228.494,878.534,0.925
2018-01-02 19:00,2018-01-02 16:00,30.587,0.027,1.073,133.698,591.938,0.935
2018-01-02 20:00,2018-01-02 17:00,29.271,0.023,1.075,51.084,273.753,0.954
2018-01-02 21:00,2018-01-02 18:00,27.318,0.020,1.078,2.490,18.244,0.932
2018-01-02 22:00,2018-01-02 19:00,26.556,0.018,1.081,0,0,0.893
2018-01-02 23:00,2018-01-02 20:00,26.018,0.015,1.084,0,0,0.878
2018-01-03 00:00,2018-01-02 21:00,25.528,0.013,1.086,0,0,0.852
2018-01-03 01:00,2018-01-02 22:00,25.166,0.013,1.088,0,0,0.838
2018-01-03 02:00,2018-01-02 23:00,24.911,0.018,1.090,0,0,0.876
2018-01-03 03:00,2018-01-03 00:00,24.492,0.023,1.091,0,0,0.887
2018-01-03 04:00,2018-01-03 01:00,24.055,0.029,1.093,0,0,0.904
2018-01-03 05:00,2018-01-03 02:00,23.622,0.045,1.094,0,0,0.898
2018-01-03 06:00,2018-01-03 03:00,23.238,0.060,1.096,0,0,0.879
2018-01-03 07:00,2018-01-03 04:00,22.896,0.085,1.098,0,0,0.787
2018-01-03 08:00,2018-01-03 05:00,22.685,0.102,1.099,5.692,31.655,0.656
2018-01-03 09:00,2018-01-03 06:00,23.634,0.111,1.099,100.426,308.298,0.510
2018-01-03 10:00,2018-01-03 07:00,25.801,0.137,1.093,281.507,624.259,0.418
2018-01-03 11:00,2018-01-03 08:00,27.987,0.151,1.088,478.837,906.328,0.416
2018-01-03 12:00,2018-01-03 09:00,29.776,0.161,1.084,594.768,1135.313,0.447
2018-01-03 13:00,2018-01-03 10:00,30.931,0.157,1.081,664.049,1295.840,0.429
2018-01-03 14:00,2018-01-03 11:00,31.717,0.167,1.078,671.948,1376.398,0.492
2018-01-03 15:00,2018-01-03 12:00,32.029,0.179,1.076,612.330,1371.505,0.575
2018-01-03 16:00,2018-01-03 13:00,31.690,0.182,1.075,478.585,1282.422,0.772
2018-01-03 17:00,2018-01-03 14:00,30.544,0.193,1.076,296.174,1114.089,0.805
2018-01-03 18:00,2018-01-03 15:00,29.465,0.230,1.078,211.466,878.534,0.832
2018-01-03 19:00,2018-01-03 16:00,28.368,0.247,1.080,119.841,591.883,0.874
2018-01-03 20:00,2018-01-03 17:00,27.100,0.264,1.083,43.351,273.350,0.871
2018-01-03 21:00,2018-01-03 18:00,25.731,0.289,1.086,1.900,18.060,0.835
2018-01-03 22:00,2018-01-03 19:00,25.056,0.302,1.089,0,0,0.810
2018-01-03 23:00,2018-01-03 20:00,24.506,0.299,1.092,0,0,0.750
2018-01-04 00:00,2018-01-03 21:00,23.931,0.258,1.095,0,0,0.745
2018-01-04 01:00,2018-01-03 22:00,23.379,0.180,1.097,0,0,0.750
2018-01-04 02:00,2018-01-03 23:00,22.934,0.112,1.099,0,0,0.771
2018-01-04 03:00,2018-01-04 00:00,22.542,0.083,1.100,0,0,0.724
2018-01-04 04:00,2018-01-04 01:00,22.216,0.074,1.101,0,0,0.732
2018-01-04 05:00,2018-01-04 02:00,21.994,0.081,1.102,0,0,0.770
2018-01-04 06:00,2018-01-04 03:00,21.829,0.082,1.103,0,0,0.813
2018-01-04 07:00,2018-01-04 04:00,21.694,0.060,1.104,0,0,0.838
2018-01-04 08:00,2018-01-04 05:00,21.636,0.036,1.105,5.406,31.414,0.861
2018-01-04 09:00,2018-01-04 06:00,22.091,0.019,1.106,79.024,307.853,0.880
2018-01-04 10:00,2018-01-04 07:00,22.889,0.008,1.105,183.317,624.165,0.874
2018-01-04 11:00,2018-01-04 08:00,23.960,0.008,1.103,261.248,906.539,0.882
2018-01-04 12:00,2018-01-04 09:00,24.977,0.708,1.101,291.490,1135.674,0.885
2018-01-04 13:00,2018-01-04 10:00,25.643,0.673,1.099,332.296,1295.950,0.880
2018-01-04 14:00,2018-01-04 11:00,26.301,0.522,1.097,386.327,1376.586,0.874
2018-01-04 15:00,2018-01-04 12:00,26.808,0.458,1.095,400.540,1372.005,0.869
2018-01-04 16:00,2018-01-04 13:00,26.873,0.358,1.094,358.619,1282.532,0.869
2018-01-04 17:00,2018-01-04 14:00,26.639,0.277,1.094,297.143,1114.089,0.873
2018-01-04 18:00,2018-01-04 15:00,26.159,0.241,1.094,210.951,878.534,0.877
2018-01-04 19:00,2018-01-04 16:00,25.451,0.260,1.095,124.107,591.633,0.885
2018-01-04 20:00,2018-01-04 17:00,24.381,0.416,1.098,45.573,272.897,0.904
2018-01-04 21:00,2018-01-04 18:00,23.021,0.412,1.101,1.884,17.866,0.927
2018-01-04 22:00,2018-01-04 19:00,22.365,0.386,1.103,0,0,0.935
