# Renewables.ninja Weather (Point API) - -14.753, -43.942 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-14.7528035", "lon": "-43.9417044", "date_from": "2017-01-01", "date_to": "2017-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2017-01-01 00:00,2016-12-31 22:00,23.966,0,1.100,0,0,0.888
2017-01-01 01:00,2016-12-31 23:00,23.363,0,1.103,0,0,0.914
2017-01-01 02:00,2017-01-01 00:00,22.795,0,1.106,0,0,0.886
2017-01-01 03:00,2017-01-01 01:00,22.214,0,1.108,0,0,0.758
2017-01-01 04:00,2017-01-01 02:00,21.651,0,1.111,0,0,0.576
2017-01-01 05:00,2017-01-01 03:00,21.077,0,1.114,0,0,0.479
2017-01-01 06:00,2017-01-01 04:00,20.522,0,1.117,0,0,0.495
2017-01-01 07:00,2017-01-01 05:00,20.067,0,1.119,0,0,0.652
2017-01-01 08:00,2017-01-01 06:00,19.907,0,1.122,16.491,40.826,0.777
2017-01-01 09:00,2017-01-01 07:00,21.962,0,1.122,194.961,326.133,0.801
2017-01-01 10:00,2017-01-01 08:00,24.691,0,1.116,440.997,639.436,0.755
2017-01-01 11:00,2017-01-01 09:00,27.955,0,1.107,676.092,918.882,0.709
2017-01-01 12:00,2017-01-01 10:00,30.842,0.028,1.099,871.865,1145.310,0.675
2017-01-01 13:00,2017-01-01 11:00,32.904,0.035,1.092,1010.329,1302.978,0.535
2017-01-01 14:00,2017-01-01 12:00,34.312,0.036,1.087,1069.257,1381.723,0.361
2017-01-01 15:00,2017-01-01 13:00,35.192,0.046,1.083,1059.595,1375.625,0.366
2017-01-01 16:00,2017-01-01 14:00,35.644,0.035,1.079,984.677,1285.545,0.362
2017-01-01 17:00,2017-01-01 15:00,35.675,0.023,1.077,838.273,1117.294,0.393
2017-01-01 18:00,2017-01-01 16:00,35.206,0.011,1.075,633.704,882.352,0.408
2017-01-01 19:00,2017-01-01 17:00,34.235,0.004,1.076,397.428,596.768,0.401
2017-01-01 20:00,2017-01-01 18:00,32.538,0.001,1.077,155.353,280.184,0.441
2017-01-01 21:00,2017-01-01 19:00,29.412,0.001,1.080,6.790,20.939,0.450
2017-01-01 22:00,2017-01-01 20:00,28.038,0.001,1.083,0,0,0.401
2017-01-01 23:00,2017-01-01 21:00,27.100,0.002,1.085,0,0,0.295
2017-01-02 00:00,2017-01-01 22:00,26.313,0.001,1.088,0,0,0.174
2017-01-02 01:00,2017-01-01 23:00,25.656,0.001,1.091,0,0,0.111
2017-01-02 02:00,2017-01-02 00:00,25.058,0.003,1.093,0,0,0.170
2017-01-02 03:00,2017-01-02 01:00,24.512,0.001,1.095,0,0,0.264
2017-01-02 04:00,2017-01-02 02:00,23.896,0.003,1.097,0,0,0.437
2017-01-02 05:00,2017-01-02 03:00,23.288,0.002,1.101,0,0,0.616
2017-01-02 06:00,2017-01-02 04:00,22.726,0.002,1.105,0,0,0.660
2017-01-02 07:00,2017-01-02 05:00,22.067,0.003,1.111,0,0,0.691
2017-01-02 08:00,2017-01-02 06:00,21.507,0.006,1.115,14.568,40.568,0.818
2017-01-02 09:00,2017-01-02 07:00,23.036,0,1.115,178.070,325.758,0.922
2017-01-02 10:00,2017-01-02 08:00,25.941,0,1.108,423.011,639.436,0.940
2017-01-02 11:00,2017-01-02 09:00,29.209,0,1.100,650.277,918.882,0.929
2017-01-02 12:00,2017-01-02 10:00,32.305,0,1.091,838.587,1145.310,0.919
2017-01-02 13:00,2017-01-02 11:00,34.349,0,1.084,974.774,1303.478,0.938
2017-01-02 14:00,2017-01-02 12:00,35.650,0,1.080,1051.510,1382.051,0.937
2017-01-02 15:00,2017-01-02 13:00,36.152,0,1.077,959.506,1376.047,0.836
2017-01-02 16:00,2017-01-02 14:00,36.387,0,1.074,876.044,1285.698,0.639
2017-01-02 17:00,2017-01-02 15:00,36.257,0,1.072,717.954,1117.371,0.584
2017-01-02 18:00,2017-01-02 16:00,35.744,0,1.071,534.802,882.264,0.521
2017-01-02 19:00,2017-01-02 17:00,34.942,0,1.071,364.885,596.642,0.388
2017-01-02 20:00,2017-01-02 18:00,33.263,0,1.072,146.875,279.790,0.399
2017-01-02 21:00,2017-01-02 19:00,30.162,0,1.074,6.131,20.738,0.515
2017-01-02 22:00,2017-01-02 20:00,28.997,0,1.077,0,0,0.637
2017-01-02 23:00,2017-01-02 21:00,28.216,0,1.079,0,0,0.729
2017-01-03 00:00,2017-01-02 22:00,27.583,0,1.082,0,0,0.876
2017-01-03 01:00,2017-01-02 23:00,27.036,0,1.085,0,0,0.890
2017-01-03 02:00,2017-01-03 00:00,26.418,0,1.088,0,0,0.813
2017-01-03 03:00,2017-01-03 01:00,25.730,0,1.091,0,0,0.725
2017-01-03 04:00,2017-01-03 02:00,25.149,0,1.094,0,0,0.799
2017-01-03 05:00,2017-01-03 03:00,24.624,0,1.098,0,0,0.861
2017-01-03 06:00,2017-01-03 04:00,24.043,0,1.102,0,0,0.893
2017-01-03 07:00,2017-01-03 05:00,23.521,0,1.107,0,0,0.885
2017-01-03 08:00,2017-01-03 06:00,23.126,0,1.110,7.857,40.283,0.842
2017-01-03 09:00,2017-01-03 07:00,23.892,0,1.111,99.756,325.339,0.783
2017-01-03 10:00,2017-01-03 08:00,25.907,0,1.106,244.268,639.186,0.725
2017-01-03 11:00,2017-01-03 09:00,28.527,0,1.099,400.973,918.882,0.703
2017-01-03 12:00,2017-01-03 10:00,31.237,0.028,1.091,586.033,1145.482,0.711
2017-01-03 13:00,2017-01-03 11:00,33.826,0.026,1.085,859.711,1303.478,0.840
2017-01-03 14:00,2017-01-03 12:00,35.587,0.018,1.079,982.889,1382.298,0.939
2017-01-03 15:00,2017-01-03 13:00,36.459,0.015,1.075,949.765,1376.372,0.942
2017-01-03 16:00,2017-01-03 14:00,36.613,0.013,1.072,812.088,1286.045,0.944
2017-01-03 17:00,2017-01-03 15:00,36.298,0.013,1.070,639.181,1117.371,0.939
2017-01-03 18:00,2017-01-03 16:00,35.495,0.011,1.070,430.575,882.264,0.909
2017-01-03 19:00,2017-01-03 17:00,34.304,0.009,1.070,227.877,596.430,0.907
2017-01-03 20:00,2017-01-03 18:00,32.283,0.005,1.072,74.931,279.328,0.908
2017-01-03 21:00,2017-01-03 19:00,29.701,0.005,1.075,3.773,20.522,0.882
2017-01-03 22:00,2017-01-03 20:00,28.690,0.006,1.078,0,0,0.839
2017-01-03 23:00,2017-01-03 21:00,27.953,0.005,1.081,0,0,0.750
2017-01-04 00:00,2017-01-03 22:00,27.144,0.005,1.085,0,0,0.469
2017-01-04 01:00,2017-01-03 23:00,26.324,0.006,1.088,0,0,0.287
2017-01-04 02:00,2017-01-04 00:00,25.484,0.005,1.092,0,0,0.269
2017-01-04 03:00,2017-01-04 01:00,24.831,0.006,1.096,0,0,0.334
2017-01-04 04:00,2017-01-04 02:00,24.477,0.006,1.099,0,0,0.446
2017-01-04 05:00,2017-01-04 03:00,24.362,0.004,1.101,0,0,0.616
2017-01-04 06:00,2017-01-04 04:00,23.852,0.003,1.104,0,0,0.748
2017-01-04 07:00,2017-01-04 05:00,23.180,0.002,1.108,0,0,0.779
2017-01-04 08:00,2017-01-04 06:00,22.690,0.001,1.111,7.757,39.977,0.807
2017-01-04 09:00,2017-01-04 07:00,23.535,0.002,1.112,105.577,324.926,0.822
2017-01-04 10:00,2017-01-04 08:00,25.741,0.006,1.108,321.273,638.936,0.841
2017-01-04 11:00,2017-01-04 09:00,28.705,0.011,1.101,546.959,918.843,0.863
2017-01-04 12:00,2017-01-04 10:00,31.139,0.001,1.094,694.569,1145.733,0.881
2017-01-04 13:00,2017-01-04 11:00,32.905,0.001,1.089,808.358,1303.978,0.908
2017-01-04 14:00,2017-01-04 12:00,34.054,0.001,1.085,837.472,1382.551,0.814
2017-01-04 15:00,2017-01-04 13:00,34.802,0.001,1.082,822.577,1376.625,0.630
2017-01-04 16:00,2017-01-04 14:00,35.270,0.003,1.079,783.348,1286.198,0.522
2017-01-04 17:00,2017-01-04 15:00,35.360,0.004,1.077,682.960,1117.618,0.493
2017-01-04 18:00,2017-01-04 16:00,34.893,0.005,1.076,510.142,882.227,0.573
2017-01-04 19:00,2017-01-04 17:00,33.923,0.006,1.076,301.167,596.180,0.710
2017-01-04 20:00,2017-01-04 18:00,32.127,0.008,1.077,101.908,278.828,0.719
2017-01-04 21:00,2017-01-04 19:00,29.031,0.008,1.080,5.215,20.288,0.664
2017-01-04 22:00,2017-01-04 20:00,27.718,0.006,1.084,0,0,0.581
2017-01-04 23:00,2017-01-04 21:00,26.794,0.004,1.088,0,0,0.469
2017-01-05 00:00,2017-01-04 22:00,25.927,0.003,1.093,0,0,0.445
2017-01-05 01:00,2017-01-04 23:00,25.067,0.001,1.097,0,0,0.430
2017-01-05 02:00,2017-01-05 00:00,24.238,0,1.101,0,0,0.387
2017-01-05 03:00,2017-01-05 01:00,23.530,0,1.104,0,0,0.319
2017-01-05 04:00,2017-01-05 02:00,22.885,0,1.108,0,0,0.276
2017-01-05 05:00,2017-01-05 03:00,22.194,0,1.111,0,0,0.241
2017-01-05 06:00,2017-01-05 04:00,21.425,0,1.115,0,0,0.233
2017-01-05 07:00,2017-01-05 05:00,20.685,0,1.118,0,0,0.244
2017-01-05 08:00,2017-01-05 06:00,20.258,0,1.121,16.342,39.652,0.237
2017-01-05 09:00,2017-01-05 07:00,22.188,0,1.121,197.969,324.445,0.167
2017-01-05 10:00,2017-01-05 08:00,25.113,0,1.114,449.146,638.686,0.078
2017-01-05 11:00,2017-01-05 09:00,28.600,0,1.105,686.417,918.843,0.026
2017-01-05 12:00,2017-01-05 10:00,31.742,0,1.096,883.024,1145.810,0.001
2017-01-05 13:00,2017-01-05 11:00,34.057,0,1.090,1021.480,1303.978,0
2017-01-05 14:00,2017-01-05 12:00,35.699,0,1.084,1090.938,1382.974,0
2017-01-05 15:00,2017-01-05 13:00,36.730,0,1.079,1086.012,1376.872,0.001
2017-01-05 16:00,2017-01-05 14:00,37.234,0,1.076,1006.173,1286.370,0.066
2017-01-05 17:00,2017-01-05 15:00,37.209,0,1.073,848.847,1117.618,0.252
2017-01-05 18:00,2017-01-05 16:00,36.704,0,1.071,640.852,882.141,0.404
2017-01-05 19:00,2017-01-05 17:00,35.537,0,1.072,374.487,595.892,0.476
2017-01-05 20:00,2017-01-05 18:00,33.512,0,1.073,147.089,278.309,0.609
2017-01-05 21:00,2017-01-05 19:00,29.444,0,1.077,6.476,20.036,0.692
2017-01-05 22:00,2017-01-05 20:00,28.082,0,1.080,0,0,0.740
2017-01-05 23:00,2017-01-05 21:00,27.249,0,1.085,0,0,0.617
2017-01-06 00:00,2017-01-05 22:00,26.486,0,1.089,0,0,0.332
2017-01-06 01:00,2017-01-05 23:00,25.848,0,1.094,0,0,0.216
2017-01-06 02:00,2017-01-06 00:00,25.101,0,1.098,0,0,0.278
2017-01-06 03:00,2017-01-06 01:00,24.421,0,1.102,0,0,0.273
2017-01-06 04:00,2017-01-06 02:00,23.508,0,1.107,0,0,0.215
2017-01-06 05:00,2017-01-06 03:00,22.554,0,1.111,0,0,0.104
2017-01-06 06:00,2017-01-06 04:00,21.720,0,1.114,0,0,0.080
2017-01-06 07:00,2017-01-06 05:00,20.998,0,1.118,0,0,0.089
2017-01-06 08:00,2017-01-06 06:00,20.645,0,1.121,16.028,39.302,0.108
2017-01-06 09:00,2017-01-06 07:00,22.554,0,1.121,195.615,323.926,0.140
2017-01-06 10:00,2017-01-06 08:00,25.334,0,1.114,444.393,638.436,0.177
2017-01-06 11:00,2017-01-06 09:00,28.801,0,1.104,680.743,918.843,0.205
2017-01-06 12:00,2017-01-06 10:00,32.070,0,1.095,876.704,1145.982,0.238
2017-01-06 13:00,2017-01-06 11:00,34.384,0,1.087,1015.657,1304.478,0.349
2017-01-06 14:00,2017-01-06 12:00,36.077,0,1.081,1081.904,1383.298,0.507
2017-01-06 15:00,2017-01-06 13:00,37.183,0,1.076,1067.742,1377.372,0.643
2017-01-06 16:00,2017-01-06 14:00,37.764,0,1.072,977.604,1286.698,0.776
2017-01-06 17:00,2017-01-06 15:00,37.874,0,1.069,826.559,1117.871,0.728
2017-01-06 18:00,2017-01-06 16:00,37.502,0,1.067,629.681,882.014,0.648
2017-01-06 19:00,2017-01-06 17:00,36.355,0,1.067,331.838,595.430,0.696
2017-01-06 20:00,2017-01-06 18:00,34.248,0,1.069,113.844,277.703,0.721
2017-01-06 21:00,2017-01-06 19:00,30.920,0,1.072,4.887,19.775,0.820
2017-01-06 22:00,2017-01-06 20:00,29.899,0,1.076,0,0,0.868
2017-01-06 23:00,2017-01-06 21:00,29.334,0,1.081,0,0,0.908
2017-01-07 00:00,2017-01-06 22:00,28.525,0,1.088,0,0,0.864
2017-01-07 01:00,2017-01-06 23:00,27.529,0,1.094,0,0,0.780
