# Renewables.ninja Weather (Point API) - -16.945, -44.336 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-16.945401951684016", "lon": "-44.33608276215471", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2018-12-31 22:00,20.128,0.128,1.093,0,0,0.935
2019-01-01 01:00,2018-12-31 23:00,19.798,0.044,1.094,0,0,0.841
2019-01-01 02:00,2019-01-01 00:00,19.411,0.029,1.095,0,0,0.623
2019-01-01 03:00,2019-01-01 01:00,19.110,0.043,1.095,0,0,0.603
2019-01-01 04:00,2019-01-01 02:00,18.913,0.053,1.096,0,0,0.462
2019-01-01 05:00,2019-01-01 03:00,18.851,0.034,1.098,0,0,0.386
2019-01-01 06:00,2019-01-01 04:00,18.894,0.034,1.100,0,0,0.444
2019-01-01 07:00,2019-01-01 05:00,18.749,0.056,1.102,0,0,0.371
2019-01-01 08:00,2019-01-01 06:00,18.610,0.112,1.105,17.261,47.394,0.396
2019-01-01 09:00,2019-01-01 07:00,19.707,0.060,1.104,179.426,336.132,0.278
2019-01-01 10:00,2019-01-01 08:00,21.943,0.044,1.097,443.137,646.658,0.124
2019-01-01 11:00,2019-01-01 09:00,24.806,0.077,1.088,679.187,924.104,0.354
2019-01-01 12:00,2019-01-01 10:00,26.869,0.388,1.081,869.612,1149.280,0.685
2019-01-01 13:00,2019-01-01 11:00,28.079,0.503,1.078,983.647,1307.565,0.795
2019-01-01 14:00,2019-01-01 12:00,28.774,0.521,1.075,1030.951,1387.430,0.867
2019-01-01 15:00,2019-01-01 13:00,29.119,0.496,1.073,1006.476,1383.712,0.895
2019-01-01 16:00,2019-01-01 14:00,29.219,0.477,1.071,921.248,1296.494,0.851
2019-01-01 17:00,2019-01-01 15:00,29.095,0.477,1.070,771.890,1131.783,0.793
2019-01-01 18:00,2019-01-01 16:00,28.779,0.442,1.070,576.621,901.280,0.740
2019-01-01 19:00,2019-01-01 17:00,28.257,0.431,1.070,364.955,620.089,0.578
2019-01-01 20:00,2019-01-01 18:00,27.502,0.470,1.071,150.418,307.578,0.413
2019-01-01 21:00,2019-01-01 19:00,25.860,0.388,1.074,9.865,33.025,0.429
2019-01-01 22:00,2019-01-01 20:00,24.329,0.340,1.076,0,0,0.436
2019-01-01 23:00,2019-01-01 21:00,23.000,0.250,1.079,0,0,0.278
2019-01-02 00:00,2019-01-01 22:00,22.117,0.178,1.082,0,0,0.138
2019-01-02 01:00,2019-01-01 23:00,21.486,0.104,1.085,0,0,0.031
2019-01-02 02:00,2019-01-02 00:00,20.881,0.074,1.087,0,0,0.017
2019-01-02 03:00,2019-01-02 01:00,20.265,0.025,1.090,0,0,0.010
2019-01-02 04:00,2019-01-02 02:00,19.689,0.010,1.093,0,0,0.005
2019-01-02 05:00,2019-01-02 03:00,19.208,0.003,1.097,0,0,0.012
2019-01-02 06:00,2019-01-02 04:00,18.799,0.001,1.101,0,0,0.068
2019-01-02 07:00,2019-01-02 05:00,18.347,0.004,1.104,0,0,0.186
2019-01-02 08:00,2019-01-02 06:00,18.103,0.014,1.107,20.542,47.082,0.364
2019-01-02 09:00,2019-01-02 07:00,19.483,0.007,1.107,208.030,335.750,0.742
2019-01-02 10:00,2019-01-02 08:00,22.239,0.005,1.098,450.252,646.408,0.910
2019-01-02 11:00,2019-01-02 09:00,25.219,0.043,1.089,677.001,923.895,0.929
