# Renewables.ninja Wind power (Point API) - -16.945, -44.336 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Sao_Paulo, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "-16.945401951684016", "lon": "-44.33608276215471", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": "true"}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2018-12-31 22:00,0.101,4.667
2019-01-01 01:00,2018-12-31 23:00,0.126,4.993
2019-01-01 02:00,2019-01-01 00:00,0.154,5.314
2019-01-01 03:00,2019-01-01 01:00,0.176,5.549
2019-01-01 04:00,2019-01-01 02:00,0.211,5.904
2019-01-01 05:00,2019-01-01 03:00,0.277,6.480
2019-01-01 06:00,2019-01-01 04:00,0.325,6.868
2019-01-01 07:00,2019-01-01 05:00,0.341,6.998
2019-01-01 08:00,2019-01-01 06:00,0.340,6.987
2019-01-01 09:00,2019-01-01 07:00,0.311,6.763
2019-01-01 10:00,2019-01-01 08:00,0.340,6.989
2019-01-01 11:00,2019-01-01 09:00,0.414,7.551
2019-01-01 12:00,2019-01-01 10:00,0.373,7.237
2019-01-01 13:00,2019-01-01 11:00,0.248,6.237
2019-01-01 14:00,2019-01-01 12:00,0.137,5.124
2019-01-01 15:00,2019-01-01 13:00,0.071,4.217
2019-01-01 16:00,2019-01-01 14:00,0.033,3.460
2019-01-01 17:00,2019-01-01 15:00,0.010,2.703
2019-01-01 18:00,2019-01-01 16:00,0.002,2.062
2019-01-01 19:00,2019-01-01 17:00,0,1.494
2019-01-01 20:00,2019-01-01 18:00,0,1.501
2019-01-01 21:00,2019-01-01 19:00,0.001,1.871
2019-01-01 22:00,2019-01-01 20:00,0.015,2.907
2019-01-01 23:00,2019-01-01 21:00,0.075,4.277
2019-01-02 00:00,2019-01-01 22:00,0.167,5.470
2019-01-02 01:00,2019-01-01 23:00,0.234,6.117
2019-01-02 02:00,2019-01-02 00:00,0.252,6.279
2019-01-02 03:00,2019-01-02 01:00,0.274,6.459
2019-01-02 04:00,2019-01-02 02:00,0.323,6.861
2019-01-02 05:00,2019-01-02 03:00,0.395,7.411
2019-01-02 06:00,2019-01-02 04:00,0.449,7.805
2019-01-02 07:00,2019-01-02 05:00,0.460,7.881
2019-01-02 08:00,2019-01-02 06:00,0.435,7.705
2019-01-02 09:00,2019-01-02 07:00,0.279,6.507
2019-01-02 10:00,2019-01-02 08:00,0.254,6.300
2019-01-02 11:00,2019-01-02 09:00,0.282,6.531
2019-01-02 12:00,2019-01-02 10:00,0.194,5.742
2019-01-02 13:00,2019-01-02 11:00,0.107,4.752
2019-01-02 14:00,2019-01-02 12:00,0.060,4.024
2019-01-02 15:00,2019-01-02 13:00,0.045,3.733
2019-01-02 16:00,2019-01-02 14:00,0.045,3.710
2019-01-02 17:00,2019-01-02 15:00,0.051,3.855
2019-01-02 18:00,2019-01-02 16:00,0.067,4.134
2019-01-02 19:00,2019-01-02 17:00,0.090,4.516
2019-01-02 20:00,2019-01-02 18:00,0.135,5.105
2019-01-02 21:00,2019-01-02 19:00,0.174,5.528
2019-01-02 22:00,2019-01-02 20:00,0.260,6.344
2019-01-02 23:00,2019-01-02 21:00,0.331,6.917
