# Renewables.ninja Weather (Point API) - -18.870, -41.946 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-18.8698882", "lon": "-41.9459383", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2018-12-31 22:00,21.313,0.004,1.137,0,0,0.746
2019-01-01 01:00,2018-12-31 23:00,20.797,0.007,1.140,0,0,0.687
2019-01-01 02:00,2019-01-01 00:00,20.349,0.035,1.142,0,0,0.501
2019-01-01 03:00,2019-01-01 01:00,19.975,0.067,1.144,0,0,0.656
2019-01-01 04:00,2019-01-01 02:00,19.758,0.179,1.145,0,0,0.861
2019-01-01 05:00,2019-01-01 03:00,19.749,0.303,1.145,0,0,0.760
2019-01-01 06:00,2019-01-01 04:00,19.803,0.373,1.146,0,0,0.691
2019-01-01 07:00,2019-01-01 05:00,19.923,0.517,1.146,0,0,0.805
2019-01-01 08:00,2019-01-01 06:00,20.453,0.523,1.146,33.426,92.713,0.915
2019-01-01 09:00,2019-01-01 07:00,22.059,0.337,1.144,197.855,402.127,0.930
2019-01-01 10:00,2019-01-01 08:00,23.762,0.177,1.139,404.927,705.357,0.891
2019-01-01 11:00,2019-01-01 09:00,25.668,0.343,1.133,640.464,972.758,0.854
2019-01-01 12:00,2019-01-01 10:00,27.556,0.013,1.127,864.465,1186.086,0.917
2019-01-01 13:00,2019-01-01 11:00,28.850,0.014,1.123,970.834,1330.729,0.945
2019-01-01 14:00,2019-01-01 12:00,29.632,0.017,1.119,975.269,1396.626,0.944
2019-01-01 15:00,2019-01-01 13:00,30.088,0.020,1.116,928.229,1379.524,0.947
2019-01-01 16:00,2019-01-01 14:00,30.349,0.024,1.114,859.869,1280.749,0.940
2019-01-01 17:00,2019-01-01 15:00,30.276,0.025,1.113,724.328,1106.616,0.904
2019-01-01 18:00,2019-01-01 16:00,29.895,0.020,1.113,540.974,869.348,0.839
2019-01-01 19:00,2019-01-01 17:00,29.145,0.017,1.113,306.422,585.015,0.651
2019-01-01 20:00,2019-01-01 18:00,28.010,0.014,1.115,135.611,272.787,0.342
2019-01-01 21:00,2019-01-01 19:00,25.481,0.008,1.118,6.168,19.955,0.154
2019-01-01 22:00,2019-01-01 20:00,24.428,0.002,1.121,0,0,0.057
2019-01-01 23:00,2019-01-01 21:00,23.739,0.001,1.126,0,0,0.040
2019-01-02 00:00,2019-01-01 22:00,23.180,0,1.131,0,0,0.031
2019-01-02 01:00,2019-01-01 23:00,22.672,0,1.136,0,0,0.023
2019-01-02 02:00,2019-01-02 00:00,22.118,0,1.138,0,0,0.076
2019-01-02 03:00,2019-01-02 01:00,21.706,0,1.139,0,0,0.337
2019-01-02 04:00,2019-01-02 02:00,21.417,0.001,1.140,0,0,0.537
2019-01-02 05:00,2019-01-02 03:00,21.241,0.002,1.141,0,0,0.568
2019-01-02 06:00,2019-01-02 04:00,21.003,0.003,1.143,0,0,0.537
2019-01-02 07:00,2019-01-02 05:00,20.667,0.003,1.144,0,0,0.439
2019-01-02 08:00,2019-01-02 06:00,20.928,0.003,1.146,37.427,92.234,0.376
2019-01-02 09:00,2019-01-02 07:00,22.600,0.002,1.145,223.957,401.748,0.520
2019-01-02 10:00,2019-01-02 08:00,24.344,0.003,1.140,459.321,705.107,0.866
2019-01-02 11:00,2019-01-02 09:00,25.993,0.003,1.135,623.506,972.751,0.926
2019-01-02 12:00,2019-01-02 10:00,27.399,0.006,1.130,742.973,1186.202,0.935
2019-01-02 13:00,2019-01-02 11:00,28.638,0.005,1.125,872.525,1330.729,0.937
2019-01-02 14:00,2019-01-02 12:00,29.767,0.004,1.120,1014.507,1396.626,0.882
2019-01-02 15:00,2019-01-02 13:00,30.576,0.003,1.116,1051.244,1379.967,0.572
2019-01-02 16:00,2019-01-02 14:00,30.929,0.001,1.113,963.314,1280.864,0.460
