# Renewables.ninja Weather (Point API) - -20.754, -42.882 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-20.7538586", "lon": "-42.8815888", "date_from": "2017-01-01", "date_to": "2017-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2017-01-01 00:00,2016-12-31 22:00,21.152,0,1.092,0,0,0.756
2017-01-01 01:00,2016-12-31 23:00,20.537,0,1.095,0,0,0.724
2017-01-01 02:00,2017-01-01 00:00,20,0,1.098,0,0,0.760
2017-01-01 03:00,2017-01-01 01:00,19.520,0,1.100,0,0,0.810
2017-01-01 04:00,2017-01-01 02:00,19.072,0,1.103,0,0,0.804
2017-01-01 05:00,2017-01-01 03:00,18.604,0,1.107,0,0,0.820
2017-01-01 06:00,2017-01-01 04:00,18.280,0,1.110,0,0,0.858
2017-01-01 07:00,2017-01-01 05:00,18.167,0.001,1.112,0,0,0.874
2017-01-01 08:00,2017-01-01 06:00,18.340,0.001,1.113,24.878,91.019,0.875
2017-01-01 09:00,2017-01-01 07:00,19.418,0,1.112,141.153,396.967,0.863
2017-01-01 10:00,2017-01-01 08:00,21.132,0,1.107,348.951,698.320,0.833
2017-01-01 11:00,2017-01-01 09:00,23.129,0,1.101,573.154,965.458,0.832
2017-01-01 12:00,2017-01-01 10:00,25.023,0,1.095,766.030,1180.027,0.822
2017-01-01 13:00,2017-01-01 11:00,26.799,0,1.089,925.598,1327.506,0.790
2017-01-01 14:00,2017-01-01 12:00,28.208,0,1.083,1017.997,1397.838,0.734
2017-01-01 15:00,2017-01-01 13:00,29.117,0,1.079,1024.804,1386.280,0.704
2017-01-01 16:00,2017-01-01 14:00,29.495,0.001,1.076,924.601,1293.366,0.698
2017-01-01 17:00,2017-01-01 15:00,29.503,0.001,1.074,787.568,1125.547,0.627
2017-01-01 18:00,2017-01-01 16:00,29.178,0.001,1.074,617.215,894.456,0.431
2017-01-01 19:00,2017-01-01 17:00,28.486,0.001,1.074,406.012,615.704,0.290
2017-01-01 20:00,2017-01-01 18:00,27.306,0.001,1.076,173.875,308.108,0.358
2017-01-01 21:00,2017-01-01 19:00,24.165,0.001,1.079,13.275,35.707,0.534
2017-01-01 22:00,2017-01-01 20:00,22.707,0.001,1.083,0,0,0.676
2017-01-01 23:00,2017-01-01 21:00,21.841,0.001,1.087,0,0,0.797
2017-01-02 00:00,2017-01-01 22:00,21.167,0.001,1.090,0,0,0.852
2017-01-02 01:00,2017-01-01 23:00,20.624,0.001,1.093,0,0,0.866
2017-01-02 02:00,2017-01-02 00:00,20.162,0,1.094,0,0,0.870
2017-01-02 03:00,2017-01-02 01:00,19.744,0,1.096,0,0,0.847
2017-01-02 04:00,2017-01-02 02:00,19.356,0,1.098,0,0,0.847
2017-01-02 05:00,2017-01-02 03:00,18.954,0,1.101,0,0,0.831
2017-01-02 06:00,2017-01-02 04:00,18.670,0,1.104,0,0,0.823
2017-01-02 07:00,2017-01-02 05:00,18.429,0,1.106,0,0,0.810
2017-01-02 08:00,2017-01-02 06:00,18.589,0,1.108,32.825,90.466,0.647
2017-01-02 09:00,2017-01-02 07:00,20.265,0,1.106,209.011,396.405,0.461
