# Renewables.ninja Weather (Point API) - -22.875, -43.465 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.8753053", "lon": "-43.4648805", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2023-01-01 00:00,2022-12-31 21:00,22.502,0.743,1.161,0,0,0.206
2023-01-01 01:00,2022-12-31 22:00,22.283,0.159,1.161,0,0,0.187
2023-01-01 02:00,2022-12-31 23:00,22.096,0.033,1.162,0,0,0.166
2023-01-01 03:00,2023-01-01 00:00,21.897,0.017,1.161,0,0,0.131
2023-01-01 04:00,2023-01-01 01:00,21.666,0.019,1.161,0,0,0.081
2023-01-01 05:00,2023-01-01 02:00,21.435,0.017,1.161,0,0,0.073
2023-01-01 06:00,2023-01-01 03:00,21.255,0.020,1.162,0,0,0.075
2023-01-01 07:00,2023-01-01 04:00,21.049,0.021,1.163,0,0,0.068
2023-01-01 08:00,2023-01-01 05:00,21.318,0.028,1.164,42.755,97.487,0.067
2023-01-01 09:00,2023-01-01 06:00,22.575,0.045,1.164,235.876,401.313,0.065
2023-01-01 10:00,2023-01-01 07:00,23.916,0.065,1.160,462.930,699.203,0.058
2023-01-01 11:00,2023-01-01 08:00,25.488,0.083,1.154,669.502,963.990,0.074
2023-01-01 12:00,2023-01-01 09:00,26.827,0.038,1.149,818.873,1177.672,0.089
2023-01-01 13:00,2023-01-01 10:00,27.749,0.052,1.146,925.624,1325.928,0.104
2023-01-01 14:00,2023-01-01 11:00,28.157,0.076,1.143,966.872,1398.184,0.122
2023-01-01 15:00,2023-01-01 12:00,28.147,0.099,1.142,935.683,1389.963,0.154
2023-01-01 16:00,2023-01-01 13:00,27.824,0.121,1.142,837.333,1301.366,0.187
2023-01-01 17:00,2023-01-01 14:00,27.346,0.186,1.143,701.691,1138.873,0.231
2023-01-01 18:00,2023-01-01 15:00,26.727,0.224,1.144,524.559,913.274,0.257
2023-01-01 19:00,2023-01-01 16:00,25.965,0.305,1.146,340.544,640.061,0.287
2023-01-01 20:00,2023-01-01 17:00,25.008,0.349,1.149,146.307,337.822,0.333
2023-01-01 21:00,2023-01-01 18:00,23.929,0.344,1.153,13.475,53.358,0.713
2023-01-01 22:00,2023-01-01 19:00,23.337,0.332,1.155,0,0,0.797
2023-01-01 23:00,2023-01-01 20:00,23.098,0.330,1.157,0,0,0.648
2023-01-02 00:00,2023-01-01 21:00,22.931,0.317,1.157,0,0,0.385
2023-01-02 01:00,2023-01-01 22:00,22.767,0.290,1.157,0,0,0.335
2023-01-02 02:00,2023-01-01 23:00,22.624,0.266,1.158,0,0,0.356
2023-01-02 03:00,2023-01-02 00:00,22.392,0.257,1.158,0,0,0.376
2023-01-02 04:00,2023-01-02 01:00,22.157,0.237,1.158,0,0,0.397
2023-01-02 05:00,2023-01-02 02:00,21.980,0.213,1.159,0,0,0.292
2023-01-02 06:00,2023-01-02 03:00,21.659,0.208,1.160,0,0,0.143
2023-01-02 07:00,2023-01-02 04:00,21.225,0.184,1.162,0,0,0.105
2023-01-02 08:00,2023-01-02 05:00,21.177,0.151,1.163,42.435,96.883,0.086
2023-01-02 09:00,2023-01-02 06:00,22.126,0.134,1.163,239.726,400.756,0.067
2023-01-02 10:00,2023-01-02 07:00,23.415,0.113,1.160,472.022,698.703,0.076
2023-01-02 11:00,2023-01-02 08:00,25.220,0.108,1.153,687.959,963.740,0.183
2023-01-02 12:00,2023-01-02 09:00,26.729,0.130,1.148,869.678,1177.672,0.290
2023-01-02 13:00,2023-01-02 10:00,27.883,0.137,1.142,992.861,1325.928,0.523
2023-01-02 14:00,2023-01-02 11:00,28.704,0.147,1.138,1050.525,1398.184,0.559
2023-01-02 15:00,2023-01-02 12:00,29.234,0.162,1.135,1040.073,1389.963,0.274
2023-01-02 16:00,2023-01-02 13:00,29.397,0.138,1.132,969.249,1301.366,0.084
2023-01-02 17:00,2023-01-02 14:00,29.189,0.122,1.131,831.329,1138.601,0.078
2023-01-02 18:00,2023-01-02 15:00,28.669,0.101,1.131,633.900,913.024,0.399
2023-01-02 19:00,2023-01-02 16:00,28.122,0.091,1.132,378.928,639.561,0.462
2023-01-02 20:00,2023-01-02 17:00,27.005,0.062,1.134,171.183,337.146,0.188
