# Renewables.ninja Weather (Point API) - -23.011, -43.322 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-23.0114386", "lon": "-43.3217887", "date_from": "2021-01-01", "date_to": "2021-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2020-12-31 21:00,25.040,0.059,1.161,0,0,0.599
2021-01-01 01:00,2020-12-31 22:00,24.656,0.072,1.163,0,0,0.767
2021-01-01 02:00,2020-12-31 23:00,24.350,0.070,1.163,0,0,0.787
2021-01-01 03:00,2021-01-01 00:00,24.381,0.080,1.161,0,0,0.742
2021-01-01 04:00,2021-01-01 01:00,24.445,0.082,1.160,0,0,0.777
2021-01-01 05:00,2021-01-01 02:00,24.441,0.086,1.159,0,0,0.814
2021-01-01 06:00,2021-01-01 03:00,24.456,0.102,1.159,0,0,0.754
2021-01-01 07:00,2021-01-01 04:00,24.470,0.081,1.159,0,0,0.672
2021-01-01 08:00,2021-01-01 05:00,24.525,0.063,1.160,26.035,100.550,0.675
2021-01-01 09:00,2021-01-01 06:00,25.159,0.065,1.160,140.865,404.821,0.675
2021-01-01 10:00,2021-01-01 07:00,26.029,0.070,1.157,286.946,702.108,0.696
2021-01-01 11:00,2021-01-01 08:00,26.769,0.040,1.155,419.745,966.141,0.710
2021-01-01 12:00,2021-01-01 09:00,27.331,0.024,1.153,580.027,1179.161,0.700
2021-01-01 13:00,2021-01-01 10:00,27.773,0.038,1.152,730.240,1326.429,0.796
2021-01-01 14:00,2021-01-01 11:00,27.902,0.065,1.150,772.656,1398.028,0.842
2021-01-01 15:00,2021-01-01 12:00,27.788,0.105,1.150,726.049,1388.633,0.896
2021-01-01 16:00,2021-01-01 13:00,27.449,0.184,1.151,620.820,1299.740,0.922
2021-01-01 17:00,2021-01-01 14:00,26.824,0.409,1.154,488.653,1136.699,0.920
2021-01-01 18:00,2021-01-01 15:00,25.847,1.029,1.158,291.227,910.846,0.917
2021-01-01 19:00,2021-01-01 16:00,25.012,1.599,1.162,138.285,637.593,0.916
2021-01-01 20:00,2021-01-01 17:00,24.505,1.598,1.164,41.694,335.519,0.933
2021-01-01 21:00,2021-01-01 18:00,24.330,1.347,1.164,3.468,52.124,0.948
2021-01-01 22:00,2021-01-01 19:00,24.292,1.135,1.165,0,0,0.952
2021-01-01 23:00,2021-01-01 20:00,24.250,0.907,1.166,0,0,0.944
2021-01-02 00:00,2021-01-01 21:00,24.165,0.527,1.166,0,0,0.920
2021-01-02 01:00,2021-01-01 22:00,24.174,0.255,1.166,0,0,0.924
2021-01-02 02:00,2021-01-01 23:00,24.093,0.145,1.166,0,0,0.898
2021-01-02 03:00,2021-01-02 00:00,23.983,0.092,1.165,0,0,0.856
2021-01-02 04:00,2021-01-02 01:00,23.813,0.073,1.165,0,0,0.833
2021-01-02 05:00,2021-01-02 02:00,23.657,0.121,1.165,0,0,0.815
2021-01-02 06:00,2021-01-02 03:00,23.579,0.196,1.165,0,0,0.779
2021-01-02 07:00,2021-01-02 04:00,23.466,0.258,1.166,0,0,0.726
2021-01-02 08:00,2021-01-02 05:00,23.534,0.301,1.166,24.150,99.904,0.549
2021-01-02 09:00,2021-01-02 06:00,24.009,0.290,1.166,178.841,404.195,0.390
2021-01-02 10:00,2021-01-02 07:00,24.463,0.301,1.166,364.244,701.612,0.464
2021-01-02 11:00,2021-01-02 08:00,25.027,0.289,1.165,441.318,965.890,0.487
2021-01-02 12:00,2021-01-02 09:00,25.446,0.292,1.163,599.804,1179.150,0.364
2021-01-02 13:00,2021-01-02 10:00,25.936,0.318,1.162,781.450,1326.429,0.303
2021-01-02 14:00,2021-01-02 11:00,26.239,0.474,1.161,889.822,1398.028,0.405
2021-01-02 15:00,2021-01-02 12:00,25.873,0.793,1.161,735.245,1388.630,0.590
2021-01-02 16:00,2021-01-02 13:00,25.279,1.719,1.163,602.050,1299.740,0.739
2021-01-02 17:00,2021-01-02 14:00,24.756,4.085,1.165,485.552,1136.542,0.649
2021-01-02 18:00,2021-01-02 15:00,24.430,3.991,1.165,400.824,910.596,0.601
2021-01-02 19:00,2021-01-02 16:00,24.008,1.698,1.166,243.786,637.093,0.870
2021-01-02 20:00,2021-01-02 17:00,23.538,1.430,1.167,65.347,334.770,0.904
2021-01-02 21:00,2021-01-02 18:00,23.265,1.421,1.169,6.201,51.624,0.914
2021-01-02 22:00,2021-01-02 19:00,23.149,1.954,1.170,0,0,0.916
2021-01-02 23:00,2021-01-02 20:00,23.126,4.083,1.171,0,0,0.946
2021-01-03 00:00,2021-01-02 21:00,23.131,3.262,1.171,0,0,0.955
2021-01-03 01:00,2021-01-02 22:00,23.108,3.385,1.171,0,0,0.957
2021-01-03 02:00,2021-01-02 23:00,23.061,4.096,1.170,0,0,0.947
2021-01-03 03:00,2021-01-03 00:00,22.988,4.518,1.169,0,0,0.921
2021-01-03 04:00,2021-01-03 01:00,22.930,4.334,1.169,0,0,0.926
2021-01-03 05:00,2021-01-03 02:00,22.865,3.175,1.168,0,0,0.915
2021-01-03 06:00,2021-01-03 03:00,22.834,2.086,1.168,0,0,0.910
2021-01-03 07:00,2021-01-03 04:00,22.843,1.671,1.168,0,0,0.911
2021-01-03 08:00,2021-01-03 05:00,22.979,1.480,1.167,16.815,99.194,0.907
2021-01-03 09:00,2021-01-03 06:00,23.497,1.206,1.168,101.497,403.530,0.898
2021-01-03 10:00,2021-01-03 07:00,23.678,0.802,1.169,222.382,701.112,0.895
2021-01-03 11:00,2021-01-03 08:00,24.078,0.471,1.168,376.024,965.636,0.901
2021-01-03 12:00,2021-01-03 09:00,24.512,0.308,1.167,552.993,1178.661,0.898
2021-01-03 13:00,2021-01-03 10:00,24.888,0.247,1.167,676.037,1326.429,0.788
2021-01-03 14:00,2021-01-03 11:00,25.108,0.275,1.166,815.015,1398.028,0.722
2021-01-03 15:00,2021-01-03 12:00,25.070,0.302,1.166,717.661,1388.630,0.732
2021-01-03 16:00,2021-01-03 13:00,24.934,0.254,1.166,648.260,1299.586,0.764
2021-01-03 17:00,2021-01-03 14:00,24.596,0.218,1.166,484.246,1136.534,0.680
2021-01-03 18:00,2021-01-03 15:00,24.267,0.174,1.167,370.490,910.177,0.594
2021-01-03 19:00,2021-01-03 16:00,23.975,0.147,1.168,251.897,636.591,0.585
2021-01-03 20:00,2021-01-03 17:00,23.613,0.134,1.169,107.829,334.017,0.585
2021-01-03 21:00,2021-01-03 18:00,23.258,0.127,1.170,10.505,51.093,0.624
2021-01-03 22:00,2021-01-03 19:00,23.140,0.325,1.170,0,0,0.821
2021-01-03 23:00,2021-01-03 20:00,23.163,2.090,1.171,0,0,0.859
2021-01-04 00:00,2021-01-03 21:00,23.154,4.709,1.171,0,0,0.897
2021-01-04 01:00,2021-01-03 22:00,23.064,5.311,1.171,0,0,0.908
2021-01-04 02:00,2021-01-03 23:00,23.000,3.320,1.170,0,0,0.913
2021-01-04 03:00,2021-01-04 00:00,22.929,1.511,1.169,0,0,0.908
2021-01-04 04:00,2021-01-04 01:00,22.933,0.799,1.168,0,0,0.902
2021-01-04 05:00,2021-01-04 02:00,23.030,0.368,1.168,0,0,0.918
2021-01-04 06:00,2021-01-04 03:00,23.161,0.233,1.168,0,0,0.915
