# Renewables.ninja Weather (Point API) - -22.945, -43.181 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.945403650000003", "lon": "-43.180818018208925", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2020-01-01 00:00,2019-12-31 21:00,23.910,0.018,1.154,0,0,0.813
2020-01-01 01:00,2019-12-31 22:00,23.562,0.020,1.156,0,0,0.755
2020-01-01 02:00,2019-12-31 23:00,23.255,0.009,1.157,0,0,0.725
2020-01-01 03:00,2020-01-01 00:00,22.910,0.005,1.159,0,0,0.658
2020-01-01 04:00,2020-01-01 01:00,22.577,0.004,1.160,0,0,0.463
2020-01-01 05:00,2020-01-01 02:00,22.274,0.004,1.161,0,0,0.671
2020-01-01 06:00,2020-01-01 03:00,22.053,0.005,1.162,0,0,0.925
2020-01-01 07:00,2020-01-01 04:00,21.930,0.006,1.163,0,0,0.932
2020-01-01 08:00,2020-01-01 05:00,22.116,0.004,1.164,38.084,102.840,0.943
2020-01-01 09:00,2020-01-01 06:00,23.001,0.001,1.163,193.078,407.691,0.947
2020-01-01 10:00,2020-01-01 07:00,24.242,0.001,1.158,393.857,704.675,0.946
2020-01-01 11:00,2020-01-01 08:00,25.865,0.001,1.150,598.757,968.416,0.946
2020-01-01 12:00,2020-01-01 09:00,27.423,0.007,1.142,796.601,1180.721,0.947
2020-01-01 13:00,2020-01-01 10:00,28.731,0.020,1.136,930.985,1327.504,0.940
2020-01-01 14:00,2020-01-01 11:00,29.682,0.055,1.132,1017.394,1398.316,0.779
2020-01-01 15:00,2020-01-01 12:00,30.170,0.058,1.129,1018.256,1388.179,0.737
2020-01-01 16:00,2020-01-01 13:00,30.336,0.068,1.128,945.538,1298.437,0.627
2020-01-01 17:00,2020-01-01 14:00,30.198,0.081,1.127,819.803,1134.650,0.624
2020-01-01 18:00,2020-01-01 15:00,29.514,0.094,1.127,629.605,908.472,0.861
2020-01-01 19:00,2020-01-01 16:00,28.607,0.092,1.129,396.404,634.791,0.931
2020-01-01 20:00,2020-01-01 17:00,27.522,0.100,1.132,156.698,332.588,0.932
2020-01-01 21:00,2020-01-01 18:00,26.110,0.049,1.136,13.389,50.395,0.938
2020-01-01 22:00,2020-01-01 19:00,25.369,0.040,1.140,0,0,0.926
2020-01-01 23:00,2020-01-01 20:00,24.829,0.024,1.144,0,0,0.902
2020-01-02 00:00,2020-01-01 21:00,24.377,0.019,1.147,0,0,0.898
2020-01-02 01:00,2020-01-01 22:00,24.092,0.013,1.148,0,0,0.911
2020-01-02 02:00,2020-01-01 23:00,23.881,0.009,1.149,0,0,0.917
2020-01-02 03:00,2020-01-02 00:00,23.728,0.007,1.150,0,0,0.916
2020-01-02 04:00,2020-01-02 01:00,23.577,0.006,1.150,0,0,0.891
2020-01-02 05:00,2020-01-02 02:00,23.425,0.004,1.150,0,0,0.871
2020-01-02 06:00,2020-01-02 03:00,23.363,0.003,1.150,0,0,0.873
2020-01-02 07:00,2020-01-02 04:00,23.338,0.003,1.150,0,0,0.897
2020-01-02 08:00,2020-01-02 05:00,23.446,0.003,1.152,18.256,102.221,0.896
2020-01-02 09:00,2020-01-02 06:00,24.130,0.003,1.152,95.092,407.076,0.913
2020-01-02 10:00,2020-01-02 07:00,24.899,0.025,1.150,204.486,704.380,0.923
