# Renewables.ninja Weather (Point API) - -22.986, -43.187 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.98642585", "lon": "-43.18716059569638", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2022-01-01 00:00,2021-12-31 21:00,23.703,0.039,1.160,0,0,0.957
2022-01-01 01:00,2021-12-31 22:00,23.594,0.047,1.160,0,0,0.941
2022-01-01 02:00,2021-12-31 23:00,23.510,0.071,1.160,0,0,0.933
2022-01-01 03:00,2022-01-01 00:00,23.443,0.089,1.160,0,0,0.954
2022-01-01 04:00,2022-01-01 01:00,23.442,0.071,1.160,0,0,0.967
2022-01-01 05:00,2022-01-01 02:00,23.504,0.045,1.159,0,0,0.974
2022-01-01 06:00,2022-01-01 03:00,23.575,0.037,1.158,0,0,0.975
2022-01-01 07:00,2022-01-01 04:00,23.623,0.046,1.158,0,0,0.967
2022-01-01 08:00,2022-01-01 05:00,23.686,0.071,1.159,11.087,102.770,0.948
2022-01-01 09:00,2022-01-01 06:00,24.028,0.113,1.160,65.101,407.630,0.925
2022-01-01 10:00,2022-01-01 07:00,24.373,0.153,1.160,146.682,704.757,0.908
2022-01-01 11:00,2022-01-01 08:00,24.713,0.183,1.160,248.382,968.464,0.899
2022-01-01 12:00,2022-01-01 09:00,25.184,0.166,1.158,357.768,1181.179,0.901
2022-01-01 13:00,2022-01-01 10:00,25.672,0.156,1.156,434.468,1327.551,0.915
2022-01-01 14:00,2022-01-01 11:00,26.135,0.134,1.153,483.922,1398.399,0.928
2022-01-01 15:00,2022-01-01 12:00,26.531,0.151,1.150,520.419,1388.699,0.947
2022-01-01 16:00,2022-01-01 13:00,26.770,0.195,1.148,520.835,1298.984,0.957
2022-01-01 17:00,2022-01-01 14:00,26.750,0.368,1.147,398.780,1135.269,0.960
2022-01-01 18:00,2022-01-01 15:00,26.472,0.832,1.148,226.204,908.747,0.960
2022-01-01 19:00,2022-01-01 16:00,26.045,1.064,1.149,112.518,635.113,0.951
2022-01-01 20:00,2022-01-01 17:00,25.420,0.936,1.151,45.436,332.797,0.926
2022-01-01 21:00,2022-01-01 18:00,24.828,0.763,1.154,4.869,50.478,0.930
2022-01-01 22:00,2022-01-01 19:00,24.560,0.567,1.156,0,0,0.924
2022-01-01 23:00,2022-01-01 20:00,24.412,0.389,1.157,0,0,0.907
2022-01-02 00:00,2022-01-01 21:00,24.312,0.357,1.158,0,0,0.896
2022-01-02 01:00,2022-01-01 22:00,24.192,0.367,1.158,0,0,0.895
2022-01-02 02:00,2022-01-01 23:00,24.045,0.332,1.159,0,0,0.887
