# Renewables.ninja Wind power (Point API) - -22.987, -43.202 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Sao_Paulo, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "-22.9873023", "lon": "-43.2018710463854", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2019-12-31 21:00,0.291,6.603
2020-01-01 01:00,2019-12-31 22:00,0.245,6.211
2020-01-01 02:00,2019-12-31 23:00,0.238,6.159
2020-01-01 03:00,2020-01-01 00:00,0.220,5.983
2020-01-01 04:00,2020-01-01 01:00,0.209,5.888
2020-01-01 05:00,2020-01-01 02:00,0.194,5.747
2020-01-01 06:00,2020-01-01 03:00,0.196,5.760
2020-01-01 07:00,2020-01-01 04:00,0.205,5.854
2020-01-01 08:00,2020-01-01 05:00,0.199,5.781
2020-01-01 09:00,2020-01-01 06:00,0.155,5.336
2020-01-01 10:00,2020-01-01 07:00,0.134,5.087
2020-01-01 11:00,2020-01-01 08:00,0.149,5.267
2020-01-01 12:00,2020-01-01 09:00,0.130,5.039
2020-01-01 13:00,2020-01-01 10:00,0.095,4.581
2020-01-01 14:00,2020-01-01 11:00,0.058,3.989
2020-01-01 15:00,2020-01-01 12:00,0.035,3.495
2020-01-01 16:00,2020-01-01 13:00,0.026,3.286
2020-01-01 17:00,2020-01-01 14:00,0.038,3.574
2020-01-01 18:00,2020-01-01 15:00,0.091,4.524
2020-01-01 19:00,2020-01-01 16:00,0.165,5.439
2020-01-01 20:00,2020-01-01 17:00,0.210,5.900
2020-01-01 21:00,2020-01-01 18:00,0.243,6.202
2020-01-01 22:00,2020-01-01 19:00,0.262,6.363
2020-01-01 23:00,2020-01-01 20:00,0.247,6.229
2020-01-02 00:00,2020-01-01 21:00,0.233,6.106
2020-01-02 01:00,2020-01-01 22:00,0.225,6.036
2020-01-02 02:00,2020-01-01 23:00,0.192,5.716
2020-01-02 03:00,2020-01-02 00:00,0.128,5.021
2020-01-02 04:00,2020-01-02 01:00,0.078,4.326
2020-01-02 05:00,2020-01-02 02:00,0.071,4.212
2020-01-02 06:00,2020-01-02 03:00,0.065,4.102
2020-01-02 07:00,2020-01-02 04:00,0.056,3.942
2020-01-02 08:00,2020-01-02 05:00,0.054,3.913
2020-01-02 09:00,2020-01-02 06:00,0.054,3.911
2020-01-02 10:00,2020-01-02 07:00,0.051,3.850
2020-01-02 11:00,2020-01-02 08:00,0.036,3.535
2020-01-02 12:00,2020-01-02 09:00,0.046,3.745
2020-01-02 13:00,2020-01-02 10:00,0.077,4.302
2020-01-02 14:00,2020-01-02 11:00,0.112,4.804
2020-01-02 15:00,2020-01-02 12:00,0.108,4.761
2020-01-02 16:00,2020-01-02 13:00,0.112,4.802
2020-01-02 17:00,2020-01-02 14:00,0.135,5.107
2020-01-02 18:00,2020-01-02 15:00,0.142,5.185
2020-01-02 19:00,2020-01-02 16:00,0.095,4.582
2020-01-02 20:00,2020-01-02 17:00,0.033,3.447
2020-01-02 21:00,2020-01-02 18:00,0.002,2.040
2020-01-02 22:00,2020-01-02 19:00,0,0.860
2020-01-02 23:00,2020-01-02 20:00,0.002,2.028
2020-01-03 00:00,2020-01-02 21:00,0.004,2.341
2020-01-03 01:00,2020-01-02 22:00,0.001,1.909
2020-01-03 02:00,2020-01-02 23:00,0.005,2.345
2020-01-03 03:00,2020-01-03 00:00,0.012,2.808
2020-01-03 04:00,2020-01-03 01:00,0.016,2.958
2020-01-03 05:00,2020-01-03 02:00,0.006,2.456
2020-01-03 06:00,2020-01-03 03:00,0.001,1.983
2020-01-03 07:00,2020-01-03 04:00,0.001,1.879
2020-01-03 08:00,2020-01-03 05:00,0,1.410
2020-01-03 09:00,2020-01-03 06:00,0,0.781
2020-01-03 10:00,2020-01-03 07:00,0,1.060
2020-01-03 11:00,2020-01-03 08:00,0.001,1.917
2020-01-03 12:00,2020-01-03 09:00,0.011,2.717
2020-01-03 13:00,2020-01-03 10:00,0.038,3.565
2020-01-03 14:00,2020-01-03 11:00,0.065,4.105
2020-01-03 15:00,2020-01-03 12:00,0.086,4.444
2020-01-03 16:00,2020-01-03 13:00,0.106,4.736
2020-01-03 17:00,2020-01-03 14:00,0.122,4.942
2020-01-03 18:00,2020-01-03 15:00,0.112,4.819
2020-01-03 19:00,2020-01-03 16:00,0.069,4.173
2020-01-03 20:00,2020-01-03 17:00,0.023,3.183
2020-01-03 21:00,2020-01-03 18:00,0.006,2.480
2020-01-03 22:00,2020-01-03 19:00,0.003,2.242
2020-01-03 23:00,2020-01-03 20:00,0.002,2.110
2020-01-04 00:00,2020-01-03 21:00,0.010,2.678
2020-01-04 01:00,2020-01-03 22:00,0.060,4.017
2020-01-04 02:00,2020-01-03 23:00,0.079,4.348
2020-01-04 03:00,2020-01-04 00:00,0.078,4.328
2020-01-04 04:00,2020-01-04 01:00,0.076,4.295
2020-01-04 05:00,2020-01-04 02:00,0.046,3.756
2020-01-04 06:00,2020-01-04 03:00,0.018,3.039
2020-01-04 07:00,2020-01-04 04:00,0.006,2.481
2020-01-04 08:00,2020-01-04 05:00,0.009,2.636
2020-01-04 09:00,2020-01-04 06:00,0.020,3.081
2020-01-04 10:00,2020-01-04 07:00,0.012,2.799
2020-01-04 11:00,2020-01-04 08:00,0.004,2.300
2020-01-04 12:00,2020-01-04 09:00,0.003,2.237
2020-01-04 13:00,2020-01-04 10:00,0.006,2.471
2020-01-04 14:00,2020-01-04 11:00,0.006,2.487
2020-01-04 15:00,2020-01-04 12:00,0.004,2.297
2020-01-04 16:00,2020-01-04 13:00,0.008,2.579
2020-01-04 17:00,2020-01-04 14:00,0.043,3.682
2020-01-04 18:00,2020-01-04 15:00,0.101,4.665
2020-01-04 19:00,2020-01-04 16:00,0.149,5.264
2020-01-04 20:00,2020-01-04 17:00,0.183,5.629
2020-01-04 21:00,2020-01-04 18:00,0.140,5.162
2020-01-04 22:00,2020-01-04 19:00,0.137,5.126
2020-01-04 23:00,2020-01-04 20:00,0.145,5.216
2020-01-05 00:00,2020-01-04 21:00,0.191,5.708
2020-01-05 01:00,2020-01-04 22:00,0.213,5.931
2020-01-05 02:00,2020-01-04 23:00,0.093,4.552
2020-01-05 03:00,2020-01-05 00:00,0.018,3.022
2020-01-05 04:00,2020-01-05 01:00,0.009,2.621
2020-01-05 05:00,2020-01-05 02:00,0.020,3.082
2020-01-05 06:00,2020-01-05 03:00,0.048,3.790
2020-01-05 07:00,2020-01-05 04:00,0.067,4.131
2020-01-05 08:00,2020-01-05 05:00,0.043,3.682
2020-01-05 09:00,2020-01-05 06:00,0.015,2.909
2020-01-05 10:00,2020-01-05 07:00,0.011,2.738
2020-01-05 11:00,2020-01-05 08:00,0.011,2.718
2020-01-05 12:00,2020-01-05 09:00,0.005,2.408
2020-01-05 13:00,2020-01-05 10:00,0.001,1.941
2020-01-05 14:00,2020-01-05 11:00,0,1.612
2020-01-05 15:00,2020-01-05 12:00,0,1.584
2020-01-05 16:00,2020-01-05 13:00,0.005,2.392
2020-01-05 17:00,2020-01-05 14:00,0.038,3.575
2020-01-05 18:00,2020-01-05 15:00,0.095,4.583
2020-01-05 19:00,2020-01-05 16:00,0.127,5.012
2020-01-05 20:00,2020-01-05 17:00,0.123,4.952
2020-01-05 21:00,2020-01-05 18:00,0.093,4.541
2020-01-05 22:00,2020-01-05 19:00,0.072,4.230
2020-01-05 23:00,2020-01-05 20:00,0.130,5.039
2020-01-06 00:00,2020-01-05 21:00,0.214,5.939
2020-01-06 01:00,2020-01-05 22:00,0.172,5.521
2020-01-06 02:00,2020-01-05 23:00,0.167,5.462
2020-01-06 03:00,2020-01-06 00:00,0.110,4.780
2020-01-06 04:00,2020-01-06 01:00,0.058,3.965
2020-01-06 05:00,2020-01-06 02:00,0.041,3.649
2020-01-06 06:00,2020-01-06 03:00,0.028,3.318
2020-01-06 07:00,2020-01-06 04:00,0.027,3.301
2020-01-06 08:00,2020-01-06 05:00,0.021,3.136
2020-01-06 09:00,2020-01-06 06:00,0.008,2.586
2020-01-06 10:00,2020-01-06 07:00,0.004,2.334
2020-01-06 11:00,2020-01-06 08:00,0.004,2.262
2020-01-06 12:00,2020-01-06 09:00,0.001,1.972
2020-01-06 13:00,2020-01-06 10:00,0,1.393
2020-01-06 14:00,2020-01-06 11:00,0,0.615
2020-01-06 15:00,2020-01-06 12:00,0,0.098
2020-01-06 16:00,2020-01-06 13:00,0.003,2.211
2020-01-06 17:00,2020-01-06 14:00,0.057,3.965
2020-01-06 18:00,2020-01-06 15:00,0.175,5.544
2020-01-06 19:00,2020-01-06 16:00,0.237,6.147
2020-01-06 20:00,2020-01-06 17:00,0.206,5.862
2020-01-06 21:00,2020-01-06 18:00,0.147,5.248
2020-01-06 22:00,2020-01-06 19:00,0.082,4.386
2020-01-06 23:00,2020-01-06 20:00,0.028,3.319
2020-01-07 00:00,2020-01-06 21:00,0.008,2.559
2020-01-07 01:00,2020-01-06 22:00,0.003,2.146
2020-01-07 02:00,2020-01-06 23:00,0.003,2.165
2020-01-07 03:00,2020-01-07 00:00,0.007,2.542
2020-01-07 04:00,2020-01-07 01:00,0.017,2.992
2020-01-07 05:00,2020-01-07 02:00,0.022,3.147
2020-01-07 06:00,2020-01-07 03:00,0.016,2.950
2020-01-07 07:00,2020-01-07 04:00,0.011,2.750
2020-01-07 08:00,2020-01-07 05:00,0.013,2.850
2020-01-07 09:00,2020-01-07 06:00,0.012,2.807
2020-01-07 10:00,2020-01-07 07:00,0.010,2.678
2020-01-07 11:00,2020-01-07 08:00,0.007,2.554
2020-01-07 12:00,2020-01-07 09:00,0.002,2.095
2020-01-07 13:00,2020-01-07 10:00,0,1.546
2020-01-07 14:00,2020-01-07 11:00,0,1.428
2020-01-07 15:00,2020-01-07 12:00,0.001,1.857
2020-01-07 16:00,2020-01-07 13:00,0.012,2.810
2020-01-07 17:00,2020-01-07 14:00,0.061,4.031
2020-01-07 18:00,2020-01-07 15:00,0.155,5.320
2020-01-07 19:00,2020-01-07 16:00,0.222,6.004
2020-01-07 20:00,2020-01-07 17:00,0.217,5.958
2020-01-07 21:00,2020-01-07 18:00,0.155,5.338
2020-01-07 22:00,2020-01-07 19:00,0.090,4.513
2020-01-07 23:00,2020-01-07 20:00,0.046,3.745
2020-01-08 00:00,2020-01-07 21:00,0.020,3.101
2020-01-08 01:00,2020-01-07 22:00,0.004,2.302
2020-01-08 02:00,2020-01-07 23:00,0.001,1.787
2020-01-08 03:00,2020-01-08 00:00,0.001,1.934
2020-01-08 04:00,2020-01-08 01:00,0.004,2.323
2020-01-08 05:00,2020-01-08 02:00,0.010,2.681
2020-01-08 06:00,2020-01-08 03:00,0.017,2.979
2020-01-08 07:00,2020-01-08 04:00,0.024,3.221
2020-01-08 08:00,2020-01-08 05:00,0.035,3.505
2020-01-08 09:00,2020-01-08 06:00,0.040,3.619
2020-01-08 10:00,2020-01-08 07:00,0.009,2.670
2020-01-08 11:00,2020-01-08 08:00,0.002,2.103
2020-01-08 12:00,2020-01-08 09:00,0.009,2.634
2020-01-08 13:00,2020-01-08 10:00,0.018,3.020
2020-01-08 14:00,2020-01-08 11:00,0.037,3.545
2020-01-08 15:00,2020-01-08 12:00,0.068,4.156
2020-01-08 16:00,2020-01-08 13:00,0.106,4.732
2020-01-08 17:00,2020-01-08 14:00,0.138,5.134
2020-01-08 18:00,2020-01-08 15:00,0.122,4.947
2020-01-08 19:00,2020-01-08 16:00,0.069,4.178
2020-01-08 20:00,2020-01-08 17:00,0.026,3.285
2020-01-08 21:00,2020-01-08 18:00,0.006,2.476
2020-01-08 22:00,2020-01-08 19:00,0.001,1.846
2020-01-08 23:00,2020-01-08 20:00,0,1.286
2020-01-09 00:00,2020-01-08 21:00,0,1.372
2020-01-09 01:00,2020-01-08 22:00,0.004,2.280
2020-01-09 02:00,2020-01-08 23:00,0.014,2.876
2020-01-09 03:00,2020-01-09 00:00,0.005,2.385
2020-01-09 04:00,2020-01-09 01:00,0,1.299
2020-01-09 05:00,2020-01-09 02:00,0,0.603
2020-01-09 06:00,2020-01-09 03:00,0,0.909
2020-01-09 07:00,2020-01-09 04:00,0.001,1.896
2020-01-09 08:00,2020-01-09 05:00,0.002,2.133
2020-01-09 09:00,2020-01-09 06:00,0.001,1.896
2020-01-09 10:00,2020-01-09 07:00,0.001,1.834
2020-01-09 11:00,2020-01-09 08:00,0,1.687
2020-01-09 12:00,2020-01-09 09:00,0,1.119
2020-01-09 13:00,2020-01-09 10:00,0,0.651
2020-01-09 14:00,2020-01-09 11:00,0,0.895
2020-01-09 15:00,2020-01-09 12:00,0,1.186
2020-01-09 16:00,2020-01-09 13:00,0,1.543
2020-01-09 17:00,2020-01-09 14:00,0.002,2.066
2020-01-09 18:00,2020-01-09 15:00,0.008,2.555
2020-01-09 19:00,2020-01-09 16:00,0.012,2.796
2020-01-09 20:00,2020-01-09 17:00,0.012,2.805
2020-01-09 21:00,2020-01-09 18:00,0.011,2.762
2020-01-09 22:00,2020-01-09 19:00,0.005,2.381
2020-01-09 23:00,2020-01-09 20:00,0,1.574
2020-01-10 00:00,2020-01-09 21:00,0,0.500
2020-01-10 01:00,2020-01-09 22:00,0,1.180
2020-01-10 02:00,2020-01-09 23:00,0.001,1.981
2020-01-10 03:00,2020-01-10 00:00,0.003,2.183
2020-01-10 04:00,2020-01-10 01:00,0.002,2.022
2020-01-10 05:00,2020-01-10 02:00,0,1.619
2020-01-10 06:00,2020-01-10 03:00,0,1.305
2020-01-10 07:00,2020-01-10 04:00,0,0.971
2020-01-10 08:00,2020-01-10 05:00,0,0.169
2020-01-10 09:00,2020-01-10 06:00,0,0.241
2020-01-10 10:00,2020-01-10 07:00,0,0.739
2020-01-10 11:00,2020-01-10 08:00,0,0.154
2020-01-10 12:00,2020-01-10 09:00,0,0.083
2020-01-10 13:00,2020-01-10 10:00,0.001,1.823
2020-01-10 14:00,2020-01-10 11:00,0.032,3.425
2020-01-10 15:00,2020-01-10 12:00,0.101,4.659
2020-01-10 16:00,2020-01-10 13:00,0.142,5.184
2020-01-10 17:00,2020-01-10 14:00,0.139,5.155
2020-01-10 18:00,2020-01-10 15:00,0.120,4.920
2020-01-10 19:00,2020-01-10 16:00,0.093,4.536
2020-01-10 20:00,2020-01-10 17:00,0.068,4.155
2020-01-10 21:00,2020-01-10 18:00,0.054,3.893
2020-01-10 22:00,2020-01-10 19:00,0.042,3.659
2020-01-10 23:00,2020-01-10 20:00,0.033,3.447
2020-01-11 00:00,2020-01-10 21:00,0.033,3.458
2020-01-11 01:00,2020-01-10 22:00,0.059,4.008
2020-01-11 02:00,2020-01-10 23:00,0.054,3.894
2020-01-11 03:00,2020-01-11 00:00,0.009,2.645
2020-01-11 04:00,2020-01-11 01:00,0.015,2.918
2020-01-11 05:00,2020-01-11 02:00,0.042,3.662
2020-01-11 06:00,2020-01-11 03:00,0.068,4.150
2020-01-11 07:00,2020-01-11 04:00,0.117,4.869
2020-01-11 08:00,2020-01-11 05:00,0.149,5.264
2020-01-11 09:00,2020-01-11 06:00,0.145,5.221
2020-01-11 10:00,2020-01-11 07:00,0.127,5.005
2020-01-11 11:00,2020-01-11 08:00,0.108,4.768
2020-01-11 12:00,2020-01-11 09:00,0.091,4.525
2020-01-11 13:00,2020-01-11 10:00,0.086,4.445
2020-01-11 14:00,2020-01-11 11:00,0.065,4.111
2020-01-11 15:00,2020-01-11 12:00,0.053,3.879
2020-01-11 16:00,2020-01-11 13:00,0.050,3.831
2020-01-11 17:00,2020-01-11 14:00,0.041,3.652
2020-01-11 18:00,2020-01-11 15:00,0.045,3.738
2020-01-11 19:00,2020-01-11 16:00,0.054,3.891
2020-01-11 20:00,2020-01-11 17:00,0.052,3.869
2020-01-11 21:00,2020-01-11 18:00,0.044,3.707
2020-01-11 22:00,2020-01-11 19:00,0.042,3.664
2020-01-11 23:00,2020-01-11 20:00,0.025,3.230
2020-01-12 00:00,2020-01-11 21:00,0.015,2.932
2020-01-12 01:00,2020-01-11 22:00,0.016,2.957
2020-01-12 02:00,2020-01-11 23:00,0.025,3.257
2020-01-12 03:00,2020-01-12 00:00,0.025,3.243
2020-01-12 04:00,2020-01-12 01:00,0.018,3.014
2020-01-12 05:00,2020-01-12 02:00,0.012,2.783
2020-01-12 06:00,2020-01-12 03:00,0.007,2.553
2020-01-12 07:00,2020-01-12 04:00,0.008,2.556
2020-01-12 08:00,2020-01-12 05:00,0.011,2.737
2020-01-12 09:00,2020-01-12 06:00,0.007,2.515
2020-01-12 10:00,2020-01-12 07:00,0.006,2.467
2020-01-12 11:00,2020-01-12 08:00,0.017,3.006
2020-01-12 12:00,2020-01-12 09:00,0.041,3.632
2020-01-12 13:00,2020-01-12 10:00,0.068,4.159
2020-01-12 14:00,2020-01-12 11:00,0.079,4.344
2020-01-12 15:00,2020-01-12 12:00,0.058,3.979
2020-01-12 16:00,2020-01-12 13:00,0.036,3.523
2020-01-12 17:00,2020-01-12 14:00,0.032,3.431
2020-01-12 18:00,2020-01-12 15:00,0.039,3.589
2020-01-12 19:00,2020-01-12 16:00,0.054,3.907
2020-01-12 20:00,2020-01-12 17:00,0.077,4.301
2020-01-12 21:00,2020-01-12 18:00,0.112,4.819
2020-01-12 22:00,2020-01-12 19:00,0.149,5.270
2020-01-12 23:00,2020-01-12 20:00,0.167,5.455
2020-01-13 00:00,2020-01-12 21:00,0.165,5.443
2020-01-13 01:00,2020-01-12 22:00,0.181,5.616
2020-01-13 02:00,2020-01-12 23:00,0.207,5.865
2020-01-13 03:00,2020-01-13 00:00,0.270,6.424
2020-01-13 04:00,2020-01-13 01:00,0.325,6.877
2020-01-13 05:00,2020-01-13 02:00,0.343,7.015
2020-01-13 06:00,2020-01-13 03:00,0.353,7.094
2020-01-13 07:00,2020-01-13 04:00,0.382,7.314
2020-01-13 08:00,2020-01-13 05:00,0.363,7.165
2020-01-13 09:00,2020-01-13 06:00,0.289,6.583
2020-01-13 10:00,2020-01-13 07:00,0.244,6.203
2020-01-13 11:00,2020-01-13 08:00,0.227,6.047
2020-01-13 12:00,2020-01-13 09:00,0.203,5.826
2020-01-13 13:00,2020-01-13 10:00,0.187,5.675
2020-01-13 14:00,2020-01-13 11:00,0.223,6.008
2020-01-13 15:00,2020-01-13 12:00,0.294,6.633
2020-01-13 16:00,2020-01-13 13:00,0.401,7.450
2020-01-13 17:00,2020-01-13 14:00,0.464,7.913
2020-01-13 18:00,2020-01-13 15:00,0.484,8.061
2020-01-13 19:00,2020-01-13 16:00,0.467,7.936
2020-01-13 20:00,2020-01-13 17:00,0.391,7.368
2020-01-13 21:00,2020-01-13 18:00,0.333,6.937
2020-01-13 22:00,2020-01-13 19:00,0.285,6.561
2020-01-13 23:00,2020-01-13 20:00,0.220,5.979
2020-01-14 00:00,2020-01-13 21:00,0.133,5.082
2020-01-14 01:00,2020-01-13 22:00,0.072,4.221
2020-01-14 02:00,2020-01-13 23:00,0.037,3.541
2020-01-14 03:00,2020-01-14 00:00,0.020,3.105
2020-01-14 04:00,2020-01-14 01:00,0.015,2.914
2020-01-14 05:00,2020-01-14 02:00,0.009,2.672
2020-01-14 06:00,2020-01-14 03:00,0.005,2.419
2020-01-14 07:00,2020-01-14 04:00,0.009,2.625
2020-01-14 08:00,2020-01-14 05:00,0.013,2.854
2020-01-14 09:00,2020-01-14 06:00,0.014,2.864
2020-01-14 10:00,2020-01-14 07:00,0.012,2.791
2020-01-14 11:00,2020-01-14 08:00,0.015,2.909
2020-01-14 12:00,2020-01-14 09:00,0.026,3.284
2020-01-14 13:00,2020-01-14 10:00,0.045,3.723
2020-01-14 14:00,2020-01-14 11:00,0.069,4.170
2020-01-14 15:00,2020-01-14 12:00,0.098,4.621
2020-01-14 16:00,2020-01-14 13:00,0.140,5.161
2020-01-14 17:00,2020-01-14 14:00,0.182,5.619
