# Renewables.ninja Weather (Point API) - -22.987, -43.202 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.9873023", "lon": "-43.2018710463854", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2022-01-01 00:00,2021-12-31 21:00,23.701,0.038,1.160,0,0,0.957
2022-01-01 01:00,2021-12-31 22:00,23.589,0.047,1.161,0,0,0.942
2022-01-01 02:00,2021-12-31 23:00,23.501,0.071,1.160,0,0,0.932
2022-01-01 03:00,2022-01-01 00:00,23.430,0.089,1.160,0,0,0.954
2022-01-01 04:00,2022-01-01 01:00,23.425,0.070,1.160,0,0,0.967
2022-01-01 05:00,2022-01-01 02:00,23.486,0.044,1.159,0,0,0.974
2022-01-01 06:00,2022-01-01 03:00,23.556,0.036,1.159,0,0,0.975
2022-01-01 07:00,2022-01-01 04:00,23.604,0.045,1.158,0,0,0.967
2022-01-01 08:00,2022-01-01 05:00,23.666,0.071,1.159,10.983,102.532,0.949
2022-01-01 09:00,2022-01-01 06:00,24.009,0.112,1.160,64.606,407.336,0.926
2022-01-01 10:00,2022-01-01 07:00,24.355,0.153,1.160,145.704,704.485,0.910
2022-01-01 11:00,2022-01-01 08:00,24.703,0.182,1.160,246.954,968.231,0.901
2022-01-01 12:00,2022-01-01 09:00,25.183,0.163,1.158,356.263,1180.992,0.902
2022-01-01 13:00,2022-01-01 10:00,25.681,0.154,1.156,434.049,1327.445,0.915
2022-01-01 14:00,2022-01-01 11:00,26.156,0.133,1.153,484.656,1398.375,0.928
2022-01-01 15:00,2022-01-01 12:00,26.562,0.150,1.150,521.771,1388.746,0.947
2022-01-01 16:00,2022-01-01 13:00,26.803,0.195,1.148,520.789,1299.102,0.957
2022-01-01 17:00,2022-01-01 14:00,26.780,0.370,1.147,396.113,1135.458,0.960
2022-01-01 18:00,2022-01-01 15:00,26.499,0.839,1.147,225.021,908.997,0.959
2022-01-01 19:00,2022-01-01 16:00,26.071,1.068,1.149,113.147,635.401,0.950
2022-01-01 20:00,2022-01-01 17:00,25.441,0.934,1.151,45.930,333.107,0.925
2022-01-01 21:00,2022-01-01 18:00,24.839,0.762,1.154,4.915,50.661,0.930
2022-01-01 22:00,2022-01-01 19:00,24.567,0.567,1.156,0,0,0.924
2022-01-01 23:00,2022-01-01 20:00,24.415,0.388,1.157,0,0,0.907
2022-01-02 00:00,2022-01-01 21:00,24.312,0.355,1.158,0,0,0.896
2022-01-02 01:00,2022-01-01 22:00,24.190,0.364,1.159,0,0,0.895
2022-01-02 02:00,2022-01-01 23:00,24.043,0.328,1.159,0,0,0.887
2022-01-02 03:00,2022-01-02 00:00,23.904,0.211,1.159,0,0,0.881
2022-01-02 04:00,2022-01-02 01:00,23.779,0.147,1.159,0,0,0.852
2022-01-02 05:00,2022-01-02 02:00,23.694,0.120,1.159,0,0,0.786
2022-01-02 06:00,2022-01-02 03:00,23.647,0.090,1.159,0,0,0.759
2022-01-02 07:00,2022-01-02 04:00,23.623,0.058,1.160,0,0,0.799
2022-01-02 08:00,2022-01-02 05:00,23.774,0.034,1.161,22.947,101.882,0.832
2022-01-02 09:00,2022-01-02 06:00,24.294,0.029,1.162,119.232,406.712,0.829
2022-01-02 10:00,2022-01-02 07:00,24.729,0.036,1.161,266.263,703.991,0.827
2022-01-02 11:00,2022-01-02 08:00,25.720,0.031,1.157,504.289,967.981,0.697
2022-01-02 12:00,2022-01-02 09:00,26.854,0.013,1.151,607.105,1180.563,0.774
2022-01-02 13:00,2022-01-02 10:00,27.690,0.019,1.147,680.128,1327.434,0.861
2022-01-02 14:00,2022-01-02 11:00,28.280,0.032,1.144,698.724,1398.375,0.816
2022-01-02 15:00,2022-01-02 12:00,28.639,0.055,1.142,657.071,1388.746,0.758
2022-01-02 16:00,2022-01-02 13:00,28.713,0.082,1.141,541.300,1299.102,0.815
2022-01-02 17:00,2022-01-02 14:00,28.350,0.094,1.142,381.835,1135.020,0.817
2022-01-02 18:00,2022-01-02 15:00,27.739,0.094,1.143,245.692,908.741,0.823
2022-01-02 19:00,2022-01-02 16:00,27.152,0.108,1.145,146.249,634.901,0.816
2022-01-02 20:00,2022-01-02 17:00,26.382,0.111,1.147,62.394,332.357,0.816
2022-01-02 21:00,2022-01-02 18:00,25.547,0.116,1.150,6.255,50.187,0.836
2022-01-02 22:00,2022-01-02 19:00,25.139,0.134,1.153,0,0,0.857
2022-01-02 23:00,2022-01-02 20:00,24.874,0.222,1.155,0,0,0.801
2022-01-03 00:00,2022-01-02 21:00,24.644,0.344,1.157,0,0,0.781
2022-01-03 01:00,2022-01-02 22:00,24.451,0.594,1.158,0,0,0.829
2022-01-03 02:00,2022-01-02 23:00,24.285,0.905,1.159,0,0,0.926
2022-01-03 03:00,2022-01-03 00:00,24.126,1.050,1.159,0,0,0.957
2022-01-03 04:00,2022-01-03 01:00,23.959,0.969,1.160,0,0,0.946
2022-01-03 05:00,2022-01-03 02:00,23.808,0.661,1.161,0,0,0.931
