# Renewables.ninja Weather (Point API) - -22.953, -43.372 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.9531726", "lon": "-43.3715825", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2023-01-01 00:00,2022-12-31 21:00,22.777,0.481,1.167,0,0,0.169
2023-01-01 01:00,2022-12-31 22:00,22.576,0.103,1.168,0,0,0.153
2023-01-01 02:00,2022-12-31 23:00,22.397,0.021,1.168,0,0,0.139
2023-01-01 03:00,2023-01-01 00:00,22.242,0.010,1.168,0,0,0.107
2023-01-01 04:00,2023-01-01 01:00,22.052,0.011,1.167,0,0,0.059
2023-01-01 05:00,2023-01-01 02:00,21.854,0.010,1.167,0,0,0.049
2023-01-01 06:00,2023-01-01 03:00,21.709,0.012,1.168,0,0,0.053
2023-01-01 07:00,2023-01-01 04:00,21.556,0.015,1.169,0,0,0.052
2023-01-01 08:00,2023-01-01 05:00,21.812,0.022,1.170,43.985,99.616,0.054
2023-01-01 09:00,2023-01-01 06:00,22.895,0.038,1.170,237.949,403.819,0.059
2023-01-01 10:00,2023-01-01 07:00,23.997,0.057,1.166,462.309,701.371,0.061
2023-01-01 11:00,2023-01-01 08:00,25.310,0.073,1.162,666.445,965.792,0.079
2023-01-01 12:00,2023-01-01 09:00,26.469,0.037,1.157,816.027,1178.947,0.092
2023-01-01 13:00,2023-01-01 10:00,27.230,0.049,1.153,922.804,1326.678,0.105
2023-01-01 14:00,2023-01-01 11:00,27.514,0.068,1.151,966.055,1398.408,0.120
2023-01-01 15:00,2023-01-01 12:00,27.470,0.082,1.150,939.347,1389.742,0.143
2023-01-01 16:00,2023-01-01 13:00,27.190,0.098,1.151,848.957,1300.623,0.163
2023-01-01 17:00,2023-01-01 14:00,26.806,0.148,1.151,716.491,1137.760,0.204
2023-01-01 18:00,2023-01-01 15:00,26.287,0.179,1.152,536.864,911.979,0.225
2023-01-01 19:00,2023-01-01 16:00,25.687,0.237,1.154,351.865,638.713,0.218
2023-01-01 20:00,2023-01-01 17:00,24.942,0.276,1.156,157.240,336.504,0.248
2023-01-01 21:00,2023-01-01 18:00,24.003,0.275,1.160,14.716,52.670,0.638
2023-01-01 22:00,2023-01-01 19:00,23.459,0.262,1.162,0,0,0.742
2023-01-01 23:00,2023-01-01 20:00,23.264,0.264,1.164,0,0,0.560
2023-01-02 00:00,2023-01-01 21:00,23.170,0.245,1.164,0,0,0.309
2023-01-02 01:00,2023-01-01 22:00,23.046,0.229,1.164,0,0,0.287
2023-01-02 02:00,2023-01-01 23:00,22.948,0.209,1.164,0,0,0.318
2023-01-02 03:00,2023-01-02 00:00,22.725,0.206,1.164,0,0,0.307
2023-01-02 04:00,2023-01-02 01:00,22.525,0.194,1.164,0,0,0.316
2023-01-02 05:00,2023-01-02 02:00,22.387,0.183,1.164,0,0,0.235
2023-01-02 06:00,2023-01-02 03:00,22.122,0.185,1.165,0,0,0.116
2023-01-02 07:00,2023-01-02 04:00,21.756,0.168,1.167,0,0,0.082
2023-01-02 08:00,2023-01-02 05:00,21.767,0.144,1.168,43.565,99.005,0.072
2023-01-02 09:00,2023-01-02 06:00,22.604,0.124,1.169,240.482,403.243,0.072
2023-01-02 10:00,2023-01-02 07:00,23.648,0.104,1.166,467.687,700.871,0.082
2023-01-02 11:00,2023-01-02 08:00,25.135,0.094,1.160,680.299,965.542,0.121
2023-01-02 12:00,2023-01-02 09:00,26.461,0.115,1.155,862.553,1178.947,0.220
2023-01-02 13:00,2023-01-02 10:00,27.498,0.122,1.150,979.873,1326.678,0.441
2023-01-02 14:00,2023-01-02 11:00,28.211,0.131,1.146,1037.999,1398.408,0.525
2023-01-02 15:00,2023-01-02 12:00,28.663,0.138,1.142,1030.760,1389.742,0.288
2023-01-02 16:00,2023-01-02 13:00,28.769,0.117,1.140,960.509,1300.623,0.087
2023-01-02 17:00,2023-01-02 14:00,28.575,0.101,1.139,826.068,1137.563,0.076
2023-01-02 18:00,2023-01-02 15:00,28.132,0.084,1.138,633.172,911.729,0.313
2023-01-02 19:00,2023-01-02 16:00,27.562,0.071,1.140,392.116,638.213,0.430
2023-01-02 20:00,2023-01-02 17:00,26.756,0.054,1.142,178.263,335.835,0.144
2023-01-02 21:00,2023-01-02 18:00,25.416,0.054,1.145,19.581,52.178,0.262
2023-01-02 22:00,2023-01-02 19:00,24.623,0.057,1.149,0,0,0.350
2023-01-02 23:00,2023-01-02 20:00,24.092,0.048,1.153,0,0,0.234
2023-01-03 00:00,2023-01-02 21:00,23.611,0.054,1.156,0,0,0.409
2023-01-03 01:00,2023-01-02 22:00,23.090,0.071,1.159,0,0,0.699
2023-01-03 02:00,2023-01-02 23:00,22.576,0.102,1.161,0,0,0.923
2023-01-03 03:00,2023-01-03 00:00,22.168,0.114,1.162,0,0,0.933
2023-01-03 04:00,2023-01-03 01:00,21.882,0.091,1.163,0,0,0.936
2023-01-03 05:00,2023-01-03 02:00,21.736,0.049,1.164,0,0,0.943
2023-01-03 06:00,2023-01-03 03:00,21.611,0.031,1.165,0,0,0.949
2023-01-03 07:00,2023-01-03 04:00,21.587,0.013,1.166,0,0,0.954
2023-01-03 08:00,2023-01-03 05:00,21.799,0.005,1.166,28.455,98.333,0.957
2023-01-03 09:00,2023-01-03 06:00,22.509,0.003,1.165,139.426,402.569,0.951
2023-01-03 10:00,2023-01-03 07:00,23.399,0.003,1.162,256.626,700.517,0.948
2023-01-03 11:00,2023-01-03 08:00,24.496,0.014,1.157,377.346,965.155,0.958
2023-01-03 12:00,2023-01-03 09:00,25.676,0.018,1.152,489.345,1178.769,0.930
2023-01-03 13:00,2023-01-03 10:00,27.043,0.026,1.144,610.888,1326.499,0.693
2023-01-03 14:00,2023-01-03 11:00,28.568,0.029,1.137,776.014,1398.408,0.422
2023-01-03 15:00,2023-01-03 12:00,29.827,0.034,1.132,861.986,1389.742,0.269
2023-01-03 16:00,2023-01-03 13:00,30.588,0.047,1.128,853.930,1300.623,0.677
2023-01-03 17:00,2023-01-03 14:00,30.661,0.048,1.127,690.358,1137.563,0.943
2023-01-03 18:00,2023-01-03 15:00,30.196,0.067,1.127,457.173,911.465,0.938
2023-01-03 19:00,2023-01-03 16:00,29.725,0.072,1.129,240.862,637.713,0.922
2023-01-03 20:00,2023-01-03 17:00,28.658,0.098,1.131,87.582,335.129,0.903
2023-01-03 21:00,2023-01-03 18:00,27.205,0.194,1.135,8.536,51.660,0.915
2023-01-03 22:00,2023-01-03 19:00,26.453,0.482,1.139,0,0,0.920
2023-01-03 23:00,2023-01-03 20:00,25.870,1.033,1.143,0,0,0.947
2023-01-04 00:00,2023-01-03 21:00,25.212,1.773,1.146,0,0,0.974
2023-01-04 01:00,2023-01-03 22:00,24.739,2.373,1.148,0,0,0.974
2023-01-04 02:00,2023-01-03 23:00,24.386,1.959,1.149,0,0,0.963
2023-01-04 03:00,2023-01-04 00:00,24.158,1.027,1.150,0,0,0.965
2023-01-04 04:00,2023-01-04 01:00,23.998,0.414,1.150,0,0,0.954
2023-01-04 05:00,2023-01-04 02:00,23.690,0.105,1.151,0,0,0.931
2023-01-04 06:00,2023-01-04 03:00,23.698,0.024,1.152,0,0,0.914
2023-01-04 07:00,2023-01-04 04:00,23.587,0.018,1.153,0,0,0.894
2023-01-04 08:00,2023-01-04 05:00,23.461,0.012,1.154,31.287,97.627,0.886
2023-01-04 09:00,2023-01-04 06:00,24.148,0.006,1.154,183.425,401.876,0.870
2023-01-04 10:00,2023-01-04 07:00,24.938,0.005,1.152,325.972,700.017,0.893
2023-01-04 11:00,2023-01-04 08:00,25.848,0.008,1.148,413.916,964.905,0.931
2023-01-04 12:00,2023-01-04 09:00,26.694,0.011,1.144,486.920,1178.476,0.922
2023-01-04 13:00,2023-01-04 10:00,27.741,0.014,1.139,614.951,1326.499,0.906
2023-01-04 14:00,2023-01-04 11:00,28.917,0.039,1.133,765.310,1398.408,0.892
2023-01-04 15:00,2023-01-04 12:00,29.886,0.071,1.129,751.091,1389.468,0.894
2023-01-04 16:00,2023-01-04 13:00,30.318,0.102,1.128,585.318,1300.444,0.905
2023-01-04 17:00,2023-01-04 14:00,30.103,0.198,1.129,356.580,1137.260,0.914
2023-01-04 18:00,2023-01-04 15:00,29.104,0.467,1.133,205.587,910.979,0.967
2023-01-04 19:00,2023-01-04 16:00,27.625,1.067,1.138,105.474,637.213,0.979
2023-01-04 20:00,2023-01-04 17:00,26.098,1.733,1.144,42.547,334.335,0.976
2023-01-04 21:00,2023-01-04 18:00,24.809,2.231,1.150,5.328,51.103,0.974
2023-01-04 22:00,2023-01-04 19:00,24.054,2.278,1.155,0,0,0.974
2023-01-04 23:00,2023-01-04 20:00,23.684,1.543,1.157,0,0,0.974
2023-01-05 00:00,2023-01-04 21:00,23.479,0.655,1.159,0,0,0.959
2023-01-05 01:00,2023-01-04 22:00,23.309,0.289,1.159,0,0,0.959
2023-01-05 02:00,2023-01-04 23:00,23.163,0.117,1.159,0,0,0.967
2023-01-05 03:00,2023-01-05 00:00,23.127,0.054,1.159,0,0,0.965
