# Renewables.ninja Weather (Point API) - -22.912, -43.231 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.912161949999998", "lon": "-43.23118606002972", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2020-01-01 00:00,2019-12-31 21:00,23.813,0.018,1.151,0,0,0.801
2020-01-01 01:00,2019-12-31 22:00,23.469,0.019,1.153,0,0,0.763
2020-01-01 02:00,2019-12-31 23:00,23.161,0.008,1.155,0,0,0.743
2020-01-01 03:00,2020-01-01 00:00,22.814,0.005,1.156,0,0,0.680
2020-01-01 04:00,2020-01-01 01:00,22.481,0.004,1.157,0,0,0.498
2020-01-01 05:00,2020-01-01 02:00,22.177,0.004,1.158,0,0,0.685
2020-01-01 06:00,2020-01-01 03:00,21.961,0.005,1.159,0,0,0.924
2020-01-01 07:00,2020-01-01 04:00,21.851,0.006,1.160,0,0,0.935
2020-01-01 08:00,2020-01-01 05:00,22.055,0.004,1.161,36.649,101.750,0.945
2020-01-01 09:00,2020-01-01 06:00,22.990,0.001,1.159,187.727,406.404,0.948
2020-01-01 10:00,2020-01-01 07:00,24.292,0.001,1.154,386.806,703.557,0.947
2020-01-01 11:00,2020-01-01 08:00,25.944,0.001,1.147,588.720,967.494,0.947
2020-01-01 12:00,2020-01-01 09:00,27.487,0.008,1.140,782.135,1180.050,0.948
2020-01-01 13:00,2020-01-01 10:00,28.753,0.023,1.134,916.538,1327.078,0.939
2020-01-01 14:00,2020-01-01 11:00,29.668,0.064,1.130,1003.628,1398.172,0.783
2020-01-01 15:00,2020-01-01 12:00,30.139,0.067,1.127,1000.242,1388.340,0.748
2020-01-01 16:00,2020-01-01 13:00,30.342,0.078,1.125,933.149,1298.847,0.653
2020-01-01 17:00,2020-01-01 14:00,30.279,0.093,1.124,812.547,1135.268,0.648
2020-01-01 18:00,2020-01-01 15:00,29.683,0.110,1.124,623.611,909.190,0.863
2020-01-01 19:00,2020-01-01 16:00,28.824,0.107,1.126,392.879,635.591,0.931
2020-01-01 20:00,2020-01-01 17:00,27.692,0.118,1.129,153.136,333.360,0.933
2020-01-01 21:00,2020-01-01 18:00,26.167,0.057,1.133,13.274,50.822,0.938
2020-01-01 22:00,2020-01-01 19:00,25.401,0.048,1.137,0,0,0.925
2020-01-01 23:00,2020-01-01 20:00,24.865,0.032,1.140,0,0,0.902
2020-01-02 00:00,2020-01-01 21:00,24.394,0.026,1.143,0,0,0.898
2020-01-02 01:00,2020-01-01 22:00,24.082,0.019,1.145,0,0,0.911
2020-01-02 02:00,2020-01-01 23:00,23.843,0.013,1.146,0,0,0.917
2020-01-02 03:00,2020-01-02 00:00,23.668,0.009,1.147,0,0,0.914
2020-01-02 04:00,2020-01-02 01:00,23.499,0.008,1.147,0,0,0.893
2020-01-02 05:00,2020-01-02 02:00,23.339,0.004,1.147,0,0,0.868
2020-01-02 06:00,2020-01-02 03:00,23.261,0.003,1.147,0,0,0.870
2020-01-02 07:00,2020-01-02 04:00,23.226,0.003,1.148,0,0,0.897
2020-01-02 08:00,2020-01-02 05:00,23.337,0.004,1.149,18.296,101.135,0.897
2020-01-02 09:00,2020-01-02 06:00,24.059,0.003,1.149,96.323,405.796,0.912
2020-01-02 10:00,2020-01-02 07:00,24.897,0.029,1.147,209.212,703.236,0.922
2020-01-02 11:00,2020-01-02 08:00,26.064,0.080,1.143,348.217,967.244,0.917
2020-01-02 12:00,2020-01-02 09:00,27.014,0.185,1.139,428.100,1180.050,0.887
2020-01-02 13:00,2020-01-02 10:00,27.262,0.322,1.138,453.865,1327.078,0.891
2020-01-02 14:00,2020-01-02 11:00,27.004,0.600,1.139,425.822,1398.172,0.931
2020-01-02 15:00,2020-01-02 12:00,26.624,0.766,1.141,399.315,1388.340,0.897
2020-01-02 16:00,2020-01-02 13:00,26.237,1.086,1.142,379.122,1298.847,0.882
2020-01-02 17:00,2020-01-02 14:00,25.730,1.257,1.145,321.148,1135.254,0.885
2020-01-02 18:00,2020-01-02 15:00,25.024,1.154,1.147,209.014,908.933,0.909
2020-01-02 19:00,2020-01-02 16:00,24.326,1.009,1.151,115.935,635.098,0.902
2020-01-02 20:00,2020-01-02 17:00,23.730,0.606,1.154,47.543,332.631,0.901
2020-01-02 21:00,2020-01-02 18:00,23.328,0.240,1.156,4.929,50.366,0.881
2020-01-02 22:00,2020-01-02 19:00,23.169,0.095,1.157,0,0,0.860
2020-01-02 23:00,2020-01-02 20:00,22.901,0.059,1.156,0,0,0.638
2020-01-03 00:00,2020-01-02 21:00,22.711,0.067,1.157,0,0,0.399
2020-01-03 01:00,2020-01-02 22:00,22.661,0.042,1.157,0,0,0.402
2020-01-03 02:00,2020-01-02 23:00,22.604,0.033,1.157,0,0,0.530
2020-01-03 03:00,2020-01-03 00:00,22.476,0.118,1.156,0,0,0.827
2020-01-03 04:00,2020-01-03 01:00,22.475,0.041,1.156,0,0,0.952
2020-01-03 05:00,2020-01-03 02:00,22.546,0.010,1.156,0,0,0.950
2020-01-03 06:00,2020-01-03 03:00,22.587,0.004,1.156,0,0,0.949
2020-01-03 07:00,2020-01-03 04:00,22.649,0.003,1.157,0,0,0.962
2020-01-03 08:00,2020-01-03 05:00,22.884,0.003,1.157,14.710,100.485,0.956
2020-01-03 09:00,2020-01-03 06:00,23.612,0.018,1.156,84.268,405.154,0.948
2020-01-03 10:00,2020-01-03 07:00,24.626,0.062,1.154,181.153,702.736,0.949
2020-01-03 11:00,2020-01-03 08:00,25.006,0.069,1.152,301.360,966.994,0.950
2020-01-03 12:00,2020-01-03 09:00,25.258,0.063,1.152,424.383,1179.980,0.949
2020-01-03 13:00,2020-01-03 10:00,25.609,0.129,1.151,555.866,1327.078,0.914
2020-01-03 14:00,2020-01-03 11:00,26.052,0.247,1.149,726.543,1398.245,0.664
2020-01-03 15:00,2020-01-03 12:00,26.486,0.309,1.147,861.605,1388.340,0.614
2020-01-03 16:00,2020-01-03 13:00,26.642,0.285,1.146,871.275,1298.847,0.672
2020-01-03 17:00,2020-01-03 14:00,26.383,0.242,1.146,702.916,1135.183,0.759
2020-01-03 18:00,2020-01-03 15:00,25.837,0.196,1.148,482.078,908.512,0.721
2020-01-03 19:00,2020-01-03 16:00,25.247,0.157,1.149,297.819,634.598,0.672
2020-01-03 20:00,2020-01-03 17:00,24.629,0.100,1.152,124.619,331.985,0.617
2020-01-03 21:00,2020-01-03 18:00,23.866,0.046,1.154,12.862,49.862,0.500
2020-01-03 22:00,2020-01-03 19:00,23.320,0.035,1.156,0,0,0.317
2020-01-03 23:00,2020-01-03 20:00,22.993,0.077,1.157,0,0,0.310
2020-01-04 00:00,2020-01-03 21:00,22.749,0.091,1.158,0,0,0.739
2020-01-04 01:00,2020-01-03 22:00,22.678,0.166,1.158,0,0,0.849
2020-01-04 02:00,2020-01-03 23:00,22.638,0.277,1.158,0,0,0.841
2020-01-04 03:00,2020-01-04 00:00,22.577,0.308,1.157,0,0,0.821
2020-01-04 04:00,2020-01-04 01:00,22.540,0.443,1.157,0,0,0.814
2020-01-04 05:00,2020-01-04 02:00,22.451,0.283,1.157,0,0,0.823
2020-01-04 06:00,2020-01-04 03:00,22.389,0.047,1.157,0,0,0.841
2020-01-04 07:00,2020-01-04 04:00,22.394,0.014,1.157,0,0,0.846
2020-01-04 08:00,2020-01-04 05:00,22.512,0.017,1.158,23.404,99.751,0.867
2020-01-04 09:00,2020-01-04 06:00,23.129,0.026,1.159,125.439,404.443,0.902
2020-01-04 10:00,2020-01-04 07:00,23.730,0.022,1.158,268.942,702.236,0.913
2020-01-04 11:00,2020-01-04 08:00,24.332,0.049,1.156,389.680,966.709,0.905
2020-01-04 12:00,2020-01-04 09:00,25.071,0.179,1.153,507.016,1179.623,0.884
2020-01-04 13:00,2020-01-04 10:00,25.736,0.202,1.151,650.511,1326.735,0.713
2020-01-04 14:00,2020-01-04 11:00,26.256,0.272,1.148,771.457,1398.245,0.432
2020-01-04 15:00,2020-01-04 12:00,26.519,0.377,1.146,748.838,1388.340,0.585
2020-01-04 16:00,2020-01-04 13:00,26.449,0.371,1.145,615.309,1298.777,0.662
2020-01-04 17:00,2020-01-04 14:00,26.238,0.459,1.144,523.186,1134.768,0.559
2020-01-04 18:00,2020-01-04 15:00,25.844,0.621,1.144,370.612,908.227,0.677
2020-01-04 19:00,2020-01-04 16:00,25.239,0.838,1.146,209.371,634.091,0.833
2020-01-04 20:00,2020-01-04 17:00,24.517,0.877,1.148,62.806,331.149,0.910
2020-01-04 21:00,2020-01-04 18:00,23.910,1.419,1.150,4.515,49.328,0.939
2020-01-04 22:00,2020-01-04 19:00,23.564,1.942,1.153,0,0,0.956
2020-01-04 23:00,2020-01-04 20:00,23.391,1.223,1.154,0,0,0.965
2020-01-05 00:00,2020-01-04 21:00,23.244,1.141,1.156,0,0,0.966
2020-01-05 01:00,2020-01-04 22:00,23.065,1.021,1.156,0,0,0.850
2020-01-05 02:00,2020-01-04 23:00,22.938,0.792,1.156,0,0,0.663
2020-01-05 03:00,2020-01-05 00:00,22.862,1.298,1.155,0,0,0.544
