# Renewables.ninja Weather (Point API) - -23.063, -43.856 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-23.0626014", "lon": "-43.8555722", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2022-01-01 00:00,2021-12-31 21:00,23.490,0.060,1.154,0,0,0.940
2022-01-01 01:00,2021-12-31 22:00,23.247,0.153,1.155,0,0,0.940
2022-01-01 02:00,2021-12-31 23:00,23.018,0.241,1.156,0,0,0.893
2022-01-01 03:00,2022-01-01 00:00,22.812,0.193,1.156,0,0,0.913
2022-01-01 04:00,2022-01-01 01:00,22.670,0.066,1.157,0,0,0.912
2022-01-01 05:00,2022-01-01 02:00,22.642,0.023,1.157,0,0,0.960
2022-01-01 06:00,2022-01-01 03:00,22.686,0.021,1.157,0,0,0.976
2022-01-01 07:00,2022-01-01 04:00,22.716,0.038,1.157,0,0,0.977
2022-01-01 08:00,2022-01-01 05:00,22.743,0.099,1.158,7.870,92.354,0.970
2022-01-01 09:00,2022-01-01 06:00,23.032,0.185,1.159,51.192,394.532,0.958
2022-01-01 10:00,2022-01-01 07:00,23.405,0.210,1.159,119.115,692.541,0.954
2022-01-01 11:00,2022-01-01 08:00,24.003,0.179,1.158,205.427,957.988,0.947
2022-01-01 12:00,2022-01-01 09:00,24.811,0.082,1.155,310.850,1172.858,0.937
2022-01-01 13:00,2022-01-01 10:00,25.734,0.073,1.151,441.609,1322.718,0.932
2022-01-01 14:00,2022-01-01 11:00,26.588,0.079,1.146,546.767,1397.247,0.931
2022-01-01 15:00,2022-01-01 12:00,27.254,0.123,1.142,596.490,1390.838,0.945
2022-01-01 16:00,2022-01-01 13:00,27.494,0.198,1.139,532.757,1304.481,0.935
2022-01-01 17:00,2022-01-01 14:00,27.340,0.435,1.138,332.049,1143.977,0.932
2022-01-01 18:00,2022-01-01 15:00,27.006,0.985,1.139,211.202,920.243,0.927
2022-01-01 19:00,2022-01-01 16:00,26.587,1.043,1.140,148.445,648.414,0.906
2022-01-01 20:00,2022-01-01 17:00,25.831,0.748,1.143,63.922,347.160,0.906
2022-01-01 21:00,2022-01-01 18:00,25.008,0.614,1.147,6.354,59.152,0.927
2022-01-01 22:00,2022-01-01 19:00,24.594,0.472,1.150,0,0,0.912
2022-01-01 23:00,2022-01-01 20:00,24.321,0.298,1.152,0,0,0.904
2022-01-02 00:00,2022-01-01 21:00,24.111,0.252,1.153,0,0,0.900
2022-01-02 01:00,2022-01-01 22:00,23.921,0.232,1.154,0,0,0.892
2022-01-02 02:00,2022-01-01 23:00,23.763,0.156,1.153,0,0,0.878
2022-01-02 03:00,2022-01-02 00:00,23.643,0.058,1.153,0,0,0.874
2022-01-02 04:00,2022-01-02 01:00,23.514,0.026,1.153,0,0,0.808
2022-01-02 05:00,2022-01-02 02:00,23.400,0.018,1.153,0,0,0.768
2022-01-02 06:00,2022-01-02 03:00,23.290,0.017,1.154,0,0,0.772
2022-01-02 07:00,2022-01-02 04:00,23.189,0.017,1.156,0,0,0.788
2022-01-02 08:00,2022-01-02 05:00,23.233,0.019,1.157,22.609,91.735,0.773
2022-01-02 09:00,2022-01-02 06:00,23.798,0.025,1.159,143.579,393.907,0.743
2022-01-02 10:00,2022-01-02 07:00,24.377,0.023,1.157,326.603,692.041,0.700
2022-01-02 11:00,2022-01-02 08:00,25.784,0.019,1.152,580.746,957.738,0.580
2022-01-02 12:00,2022-01-02 09:00,27.149,0.007,1.146,757.767,1172.848,0.613
2022-01-02 13:00,2022-01-02 10:00,28.038,0.015,1.142,850.713,1322.666,0.672
2022-01-02 14:00,2022-01-02 11:00,28.627,0.040,1.139,852.930,1397.195,0.752
2022-01-02 15:00,2022-01-02 12:00,28.964,0.081,1.137,752.745,1390.838,0.806
2022-01-02 16:00,2022-01-02 13:00,29.022,0.109,1.136,584.764,1304.407,0.806
2022-01-02 17:00,2022-01-02 14:00,28.867,0.120,1.136,460.300,1143.977,0.808
2022-01-02 18:00,2022-01-02 15:00,28.738,0.171,1.137,350.485,919.993,0.804
2022-01-02 19:00,2022-01-02 16:00,28.476,0.169,1.137,214.574,647.940,0.804
2022-01-02 20:00,2022-01-02 17:00,27.390,0.140,1.139,93.688,346.441,0.791
2022-01-02 21:00,2022-01-02 18:00,26.177,0.142,1.141,10.728,58.630,0.826
2022-01-02 22:00,2022-01-02 19:00,25.533,0.164,1.144,0,0,0.708
2022-01-02 23:00,2022-01-02 20:00,25.131,0.206,1.147,0,0,0.723
2022-01-03 00:00,2022-01-02 21:00,24.872,0.279,1.149,0,0,0.818
2022-01-03 01:00,2022-01-02 22:00,24.710,0.516,1.150,0,0,0.919
2022-01-03 02:00,2022-01-02 23:00,24.562,0.873,1.151,0,0,0.934
2022-01-03 03:00,2022-01-03 00:00,24.296,0.909,1.153,0,0,0.935
2022-01-03 04:00,2022-01-03 01:00,24.000,0.748,1.154,0,0,0.928
2022-01-03 05:00,2022-01-03 02:00,23.791,0.402,1.154,0,0,0.918
2022-01-03 06:00,2022-01-03 03:00,23.672,0.136,1.155,0,0,0.913
2022-01-03 07:00,2022-01-03 04:00,23.588,0.057,1.156,0,0,0.930
2022-01-03 08:00,2022-01-03 05:00,23.603,0.030,1.156,14.976,91.075,0.908
2022-01-03 09:00,2022-01-03 06:00,24.101,0.028,1.156,87.124,393.170,0.913
2022-01-03 10:00,2022-01-03 07:00,24.507,0.082,1.155,171.196,691.541,0.921
2022-01-03 11:00,2022-01-03 08:00,24.999,0.193,1.153,255.907,957.462,0.929
2022-01-03 12:00,2022-01-03 09:00,25.814,0.084,1.149,333.792,1172.722,0.927
2022-01-03 13:00,2022-01-03 10:00,26.558,0.134,1.145,364.189,1322.666,0.862
2022-01-03 14:00,2022-01-03 11:00,27.142,0.224,1.142,381.889,1397.184,0.884
2022-01-03 15:00,2022-01-03 12:00,27.397,0.327,1.140,334.358,1390.838,0.915
2022-01-03 16:00,2022-01-03 13:00,27.513,0.415,1.139,320.003,1304.407,0.914
2022-01-03 17:00,2022-01-03 14:00,27.355,0.452,1.139,268.776,1143.550,0.913
2022-01-03 18:00,2022-01-03 15:00,27.087,0.454,1.139,197.251,919.701,0.911
2022-01-03 19:00,2022-01-03 16:00,26.696,0.417,1.139,123.922,647.408,0.932
2022-01-03 20:00,2022-01-03 17:00,26.107,0.406,1.141,54.078,345.691,0.940
2022-01-03 21:00,2022-01-03 18:00,25.458,0.374,1.143,6.390,58.060,0.934
2022-01-03 22:00,2022-01-03 19:00,25.166,0.360,1.145,0,0,0.911
2022-01-03 23:00,2022-01-03 20:00,25.014,0.366,1.146,0,0,0.887
2022-01-04 00:00,2022-01-03 21:00,24.904,0.423,1.146,0,0,0.901
2022-01-04 01:00,2022-01-03 22:00,25.002,0.487,1.147,0,0,0.923
2022-01-04 02:00,2022-01-03 23:00,25.041,0.456,1.147,0,0,0.935
2022-01-04 03:00,2022-01-04 00:00,24.751,0.412,1.147,0,0,0.892
2022-01-04 04:00,2022-01-04 01:00,24.394,0.352,1.147,0,0,0.908
2022-01-04 05:00,2022-01-04 02:00,24.242,0.268,1.147,0,0,0.890
2022-01-04 06:00,2022-01-04 03:00,24.138,0.254,1.149,0,0,0.873
2022-01-04 07:00,2022-01-04 04:00,23.961,0.241,1.150,0,0,0.881
2022-01-04 08:00,2022-01-04 05:00,23.840,0.200,1.152,11.966,90.358,0.901
2022-01-04 09:00,2022-01-04 06:00,23.932,0.174,1.154,60.176,392.420,0.919
2022-01-04 10:00,2022-01-04 07:00,24.163,0.216,1.154,132.279,691.041,0.925
2022-01-04 11:00,2022-01-04 08:00,24.716,0.471,1.152,247.267,957.025,0.924
2022-01-04 12:00,2022-01-04 09:00,25.699,0.684,1.148,363.236,1172.348,0.907
2022-01-04 13:00,2022-01-04 10:00,26.833,1.049,1.142,496.502,1322.655,0.784
2022-01-04 14:00,2022-01-04 11:00,27.775,1.333,1.137,577.847,1396.747,0.727
2022-01-04 15:00,2022-01-04 12:00,28.230,1.494,1.134,570.352,1390.838,0.797
2022-01-04 16:00,2022-01-04 13:00,28.325,1.349,1.133,442.756,1304.355,0.854
2022-01-04 17:00,2022-01-04 14:00,27.980,0.987,1.133,297.937,1143.477,0.932
2022-01-04 18:00,2022-01-04 15:00,27.271,0.723,1.135,178.454,919.243,0.933
2022-01-04 19:00,2022-01-04 16:00,26.513,0.616,1.138,102.689,646.871,0.916
2022-01-04 20:00,2022-01-04 17:00,25.892,0.601,1.141,44.931,344.910,0.913
2022-01-04 21:00,2022-01-04 18:00,25.450,0.541,1.144,3.927,57.452,0.941
2022-01-04 22:00,2022-01-04 19:00,25.247,0.430,1.145,0,0,0.972
2022-01-04 23:00,2022-01-04 20:00,25.111,0.226,1.145,0,0,0.945
2022-01-05 00:00,2022-01-04 21:00,24.987,0.123,1.145,0,0,0.938
2022-01-05 01:00,2022-01-04 22:00,24.887,0.107,1.145,0,0,0.899
2022-01-05 02:00,2022-01-04 23:00,24.772,0.119,1.145,0,0,0.836
2022-01-05 03:00,2022-01-05 00:00,24.618,0.109,1.144,0,0,0.813
2022-01-05 04:00,2022-01-05 01:00,24.440,0.081,1.144,0,0,0.915
2022-01-05 05:00,2022-01-05 02:00,24.318,0.038,1.145,0,0,0.948
2022-01-05 06:00,2022-01-05 03:00,24.300,0.114,1.145,0,0,0.938
2022-01-05 07:00,2022-01-05 04:00,24.263,0.381,1.145,0,0,0.940
2022-01-05 08:00,2022-01-05 05:00,24.305,0.551,1.147,7.276,89.606,0.963
2022-01-05 09:00,2022-01-05 06:00,24.475,0.604,1.148,52.245,391.657,0.964
2022-01-05 10:00,2022-01-05 07:00,24.707,0.506,1.149,147.390,690.536,0.953
2022-01-05 11:00,2022-01-05 08:00,25.187,0.381,1.148,248.512,956.712,0.922
2022-01-05 12:00,2022-01-05 09:00,26.000,0.345,1.144,349.537,1172.222,0.906
2022-01-05 13:00,2022-01-05 10:00,26.826,0.232,1.140,422.290,1322.292,0.916
2022-01-05 14:00,2022-01-05 11:00,27.381,0.142,1.136,444.559,1396.747,0.935
2022-01-05 15:00,2022-01-05 12:00,27.625,0.191,1.134,398.957,1390.827,0.935
2022-01-05 16:00,2022-01-05 13:00,27.684,0.239,1.133,354.285,1304.345,0.915
2022-01-05 17:00,2022-01-05 14:00,27.539,0.433,1.132,291.771,1143.050,0.914
2022-01-05 18:00,2022-01-05 15:00,27.199,0.521,1.133,212.394,918.743,0.921
2022-01-05 19:00,2022-01-05 16:00,26.908,0.464,1.134,119.316,646.158,0.933
2022-01-05 20:00,2022-01-05 17:00,26.335,0.498,1.137,48.526,344.035,0.929
2022-01-05 21:00,2022-01-05 18:00,25.729,0.716,1.139,5.420,56.814,0.937
2022-01-05 22:00,2022-01-05 19:00,25.398,1.393,1.141,0,0,0.933
2022-01-05 23:00,2022-01-05 20:00,25.245,2.487,1.143,0,0,0.939
2022-01-06 00:00,2022-01-05 21:00,25.261,5.847,1.144,0,0,0.934
2022-01-06 01:00,2022-01-05 22:00,25.284,5.025,1.144,0,0,0.919
2022-01-06 02:00,2022-01-05 23:00,25.235,2.109,1.142,0,0,0.763
2022-01-06 03:00,2022-01-06 00:00,24.987,0.543,1.141,0,0,0.681
2022-01-06 04:00,2022-01-06 01:00,24.679,0.210,1.140,0,0,0.849
2022-01-06 05:00,2022-01-06 02:00,24.584,0.165,1.140,0,0,0.951
2022-01-06 06:00,2022-01-06 03:00,24.423,0.141,1.142,0,0,0.955
2022-01-06 07:00,2022-01-06 04:00,24.191,0.100,1.144,0,0,0.956
2022-01-06 08:00,2022-01-06 05:00,24.172,0.086,1.146,21.765,88.768,0.955
2022-01-06 09:00,2022-01-06 06:00,24.848,0.054,1.147,152.076,390.779,0.949
2022-01-06 10:00,2022-01-06 07:00,25.328,0.026,1.147,334.034,689.791,0.943
2022-01-06 11:00,2022-01-06 08:00,26.381,0.012,1.142,498.568,956.212,0.942
2022-01-06 12:00,2022-01-06 09:00,27.708,0.007,1.137,674.295,1171.848,0.944
2022-01-06 13:00,2022-01-06 10:00,28.816,0.009,1.133,793.513,1322.240,0.947
2022-01-06 14:00,2022-01-06 11:00,29.484,0.021,1.130,837.044,1396.747,0.955
2022-01-06 15:00,2022-01-06 12:00,29.532,0.055,1.128,714.071,1390.701,0.961
2022-01-06 16:00,2022-01-06 13:00,29.024,0.156,1.129,484.916,1303.981,0.968
2022-01-06 17:00,2022-01-06 14:00,28.253,0.413,1.133,247.355,1142.977,0.975
2022-01-06 18:00,2022-01-06 15:00,26.820,0.896,1.139,160.098,918.243,0.973
2022-01-06 19:00,2022-01-06 16:00,25.395,1.789,1.146,103.235,645.595,0.953
2022-01-06 20:00,2022-01-06 17:00,24.701,3.321,1.149,53.151,343.053,0.940
2022-01-06 21:00,2022-01-06 18:00,24.434,5.231,1.150,4.948,56.128,0.905
2022-01-06 22:00,2022-01-06 19:00,24.308,6.040,1.151,0,0,0.956
2022-01-06 23:00,2022-01-06 20:00,24.273,6.245,1.152,0,0,0.943
2022-01-07 00:00,2022-01-06 21:00,24.257,4.778,1.152,0,0,0.941
2022-01-07 01:00,2022-01-06 22:00,24.172,2.386,1.152,0,0,0.953
2022-01-07 02:00,2022-01-06 23:00,23.953,1.464,1.152,0,0,0.960
2022-01-07 03:00,2022-01-07 00:00,23.711,1.224,1.153,0,0,0.956
2022-01-07 04:00,2022-01-07 01:00,23.454,1.035,1.154,0,0,0.954
2022-01-07 05:00,2022-01-07 02:00,23.239,0.952,1.155,0,0,0.939
2022-01-07 06:00,2022-01-07 03:00,23.055,0.930,1.156,0,0,0.950
2022-01-07 07:00,2022-01-07 04:00,22.966,0.917,1.157,0,0,0.957
2022-01-07 08:00,2022-01-07 05:00,23.055,0.947,1.158,15.746,87.895,0.953
2022-01-07 09:00,2022-01-07 06:00,23.368,0.980,1.158,70.677,389.782,0.932
2022-01-07 10:00,2022-01-07 07:00,23.695,0.939,1.158,158.736,689.041,0.908
2022-01-07 11:00,2022-01-07 08:00,24.063,0.845,1.157,257.220,955.749,0.917
2022-01-07 12:00,2022-01-07 09:00,24.514,0.669,1.156,364.894,1171.722,0.918
2022-01-07 13:00,2022-01-07 10:00,24.849,0.613,1.155,433.072,1322.166,0.907
2022-01-07 14:00,2022-01-07 11:00,25.035,0.558,1.154,492.753,1396.747,0.908
2022-01-07 15:00,2022-01-07 12:00,25.062,0.586,1.154,481.258,1390.338,0.949
2022-01-07 16:00,2022-01-07 13:00,24.832,0.614,1.155,374.708,1303.855,0.933
2022-01-07 17:00,2022-01-07 14:00,24.615,0.700,1.155,312.034,1142.477,0.894
2022-01-07 18:00,2022-01-07 15:00,24.373,0.883,1.156,249.280,917.743,0.863
2022-01-07 19:00,2022-01-07 16:00,24.080,1.169,1.157,153.958,644.845,0.872
2022-01-07 20:00,2022-01-07 17:00,23.761,1.337,1.158,61.122,342.053,0.923
2022-01-07 21:00,2022-01-07 18:00,23.490,1.103,1.159,6.370,55.397,0.950
2022-01-07 22:00,2022-01-07 19:00,23.319,0.850,1.160,0,0,0.945
2022-01-07 23:00,2022-01-07 20:00,23.193,0.601,1.161,0,0,0.941
2022-01-08 00:00,2022-01-07 21:00,23.084,0.433,1.161,0,0,0.916
2022-01-08 01:00,2022-01-07 22:00,22.984,0.386,1.162,0,0,0.886
2022-01-08 02:00,2022-01-07 23:00,22.855,0.390,1.161,0,0,0.792
2022-01-08 03:00,2022-01-08 00:00,22.740,0.331,1.161,0,0,0.720
2022-01-08 04:00,2022-01-08 01:00,22.658,0.407,1.161,0,0,0.741
2022-01-08 05:00,2022-01-08 02:00,22.610,0.393,1.161,0,0,0.764
2022-01-08 06:00,2022-01-08 03:00,22.545,0.450,1.161,0,0,0.887
2022-01-08 07:00,2022-01-08 04:00,22.500,0.497,1.162,0,0,0.916
2022-01-08 08:00,2022-01-08 05:00,22.534,0.401,1.163,16.010,86.964,0.924
2022-01-08 09:00,2022-01-08 06:00,22.795,0.394,1.164,95.660,388.873,0.921
2022-01-08 10:00,2022-01-08 07:00,22.990,0.480,1.164,169.094,688.328,0.931
2022-01-08 11:00,2022-01-08 08:00,23.185,0.616,1.164,227.073,955.249,0.912
2022-01-08 12:00,2022-01-08 09:00,23.452,0.653,1.164,314.585,1171.348,0.900
2022-01-08 13:00,2022-01-08 10:00,23.702,0.725,1.163,368.064,1321.792,0.888
2022-01-08 14:00,2022-01-08 11:00,23.846,0.758,1.162,400.101,1396.684,0.882
2022-01-08 15:00,2022-01-08 12:00,23.869,0.741,1.162,400.196,1390.338,0.875
2022-01-08 16:00,2022-01-08 13:00,23.822,0.790,1.162,402.061,1303.481,0.830
2022-01-08 17:00,2022-01-08 14:00,23.742,1.041,1.162,391.033,1142.414,0.752
2022-01-08 18:00,2022-01-08 15:00,23.491,1.815,1.163,303.240,917.237,0.650
2022-01-08 19:00,2022-01-08 16:00,23.170,3.235,1.164,200.426,643.908,0.651
2022-01-08 20:00,2022-01-08 17:00,22.776,3.769,1.166,85.636,341.038,0.697
2022-01-08 21:00,2022-01-08 18:00,22.403,2.003,1.167,9.142,54.624,0.739
2022-01-08 22:00,2022-01-08 19:00,22.265,1.064,1.168,0,0,0.746
2022-01-08 23:00,2022-01-08 20:00,22.234,1.250,1.168,0,0,0.784
2022-01-09 00:00,2022-01-08 21:00,22.251,1.059,1.168,0,0,0.749
2022-01-09 01:00,2022-01-08 22:00,22.188,1.028,1.168,0,0,0.729
2022-01-09 02:00,2022-01-08 23:00,22.092,0.690,1.168,0,0,0.744
2022-01-09 03:00,2022-01-09 00:00,21.957,0.531,1.167,0,0,0.777
2022-01-09 04:00,2022-01-09 01:00,21.791,0.694,1.167,0,0,0.678
2022-01-09 05:00,2022-01-09 02:00,21.628,0.959,1.167,0,0,0.655
2022-01-09 06:00,2022-01-09 03:00,21.559,1.032,1.168,0,0,0.716
2022-01-09 07:00,2022-01-09 04:00,21.539,1.023,1.168,0,0,0.778
2022-01-09 08:00,2022-01-09 05:00,21.613,1.113,1.169,16.044,86.002,0.881
2022-01-09 09:00,2022-01-09 06:00,21.961,1.056,1.170,76.718,387.779,0.903
2022-01-09 10:00,2022-01-09 07:00,22.153,0.927,1.171,167.005,687.536,0.894
2022-01-09 11:00,2022-01-09 08:00,22.348,0.950,1.171,286.399,954.706,0.840
2022-01-09 12:00,2022-01-09 09:00,22.770,0.868,1.171,452.498,1171.211,0.756
2022-01-09 13:00,2022-01-09 10:00,23.088,0.840,1.170,526.386,1321.666,0.668
2022-01-09 14:00,2022-01-09 11:00,23.283,0.857,1.169,551.710,1396.247,0.773
2022-01-09 15:00,2022-01-09 12:00,23.260,0.816,1.168,484.404,1390.327,0.824
2022-01-09 16:00,2022-01-09 13:00,23.083,0.788,1.168,427.766,1303.355,0.868
2022-01-09 17:00,2022-01-09 14:00,22.849,0.987,1.168,328.482,1141.925,0.890
2022-01-09 18:00,2022-01-09 15:00,22.541,1.612,1.169,231.157,916.711,0.887
2022-01-09 19:00,2022-01-09 16:00,22.193,2.264,1.170,143.327,643.158,0.880
2022-01-09 20:00,2022-01-09 17:00,21.845,1.939,1.171,60.408,339.913,0.878
2022-01-09 21:00,2022-01-09 18:00,21.536,1.369,1.171,6.356,53.815,0.891
2022-01-09 22:00,2022-01-09 19:00,21.418,1.229,1.171,0,0,0.868
2022-01-09 23:00,2022-01-09 20:00,21.393,1.200,1.171,0,0,0.847
2022-01-10 00:00,2022-01-09 21:00,21.423,1.324,1.171,0,0,0.815
2022-01-10 01:00,2022-01-09 22:00,21.473,1.131,1.170,0,0,0.795
2022-01-10 02:00,2022-01-09 23:00,21.500,0.589,1.168,0,0,0.770
2022-01-10 03:00,2022-01-10 00:00,21.577,0.206,1.167,0,0,0.830
2022-01-10 04:00,2022-01-10 01:00,21.743,0.082,1.166,0,0,0.892
2022-01-10 05:00,2022-01-10 02:00,21.714,0.111,1.166,0,0,0.911
2022-01-10 06:00,2022-01-10 03:00,21.623,0.567,1.166,0,0,0.912
2022-01-10 07:00,2022-01-10 04:00,21.522,0.993,1.167,0,0,0.929
