# Renewables.ninja Weather (Point API) - -22.902, -43.280 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.90173", "lon": "-43.2797093", "date_from": "2021-01-01", "date_to": "2021-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2020-12-31 21:00,25.158,0.069,1.152,0,0,0.558
2021-01-01 01:00,2020-12-31 22:00,24.653,0.081,1.153,0,0,0.748
2021-01-01 02:00,2020-12-31 23:00,24.241,0.080,1.153,0,0,0.777
2021-01-01 03:00,2021-01-01 00:00,24.171,0.082,1.152,0,0,0.741
2021-01-01 04:00,2021-01-01 01:00,24.164,0.080,1.151,0,0,0.782
2021-01-01 05:00,2021-01-01 02:00,24.100,0.084,1.151,0,0,0.818
2021-01-01 06:00,2021-01-01 03:00,24.044,0.093,1.151,0,0,0.757
2021-01-01 07:00,2021-01-01 04:00,23.983,0.072,1.151,0,0,0.650
2021-01-01 08:00,2021-01-01 05:00,24.027,0.056,1.152,26.437,100.412,0.664
2021-01-01 09:00,2021-01-01 06:00,24.788,0.058,1.152,142.368,404.857,0.671
2021-01-01 10:00,2021-01-01 07:00,25.756,0.070,1.150,289.319,702.338,0.686
2021-01-01 11:00,2021-01-01 08:00,26.663,0.048,1.147,423.776,966.468,0.700
2021-01-01 12:00,2021-01-01 09:00,27.408,0.020,1.145,576.308,1179.447,0.675
2021-01-01 13:00,2021-01-01 10:00,28.051,0.032,1.143,731.196,1326.688,0.774
2021-01-01 14:00,2021-01-01 11:00,28.339,0.054,1.141,770.741,1398.129,0.833
2021-01-01 15:00,2021-01-01 12:00,28.361,0.087,1.140,731.231,1388.495,0.890
2021-01-01 16:00,2021-01-01 13:00,28.091,0.150,1.140,627.825,1299.263,0.918
2021-01-01 17:00,2021-01-01 14:00,27.409,0.334,1.143,484.756,1135.907,0.924
2021-01-01 18:00,2021-01-01 15:00,26.258,0.856,1.148,291.345,909.755,0.923
2021-01-01 19:00,2021-01-01 16:00,25.149,1.392,1.152,141.112,636.143,0.921
2021-01-01 20:00,2021-01-01 17:00,24.409,1.492,1.155,43.629,333.776,0.934
2021-01-01 21:00,2021-01-01 18:00,24.096,1.359,1.156,3.493,51.007,0.945
2021-01-01 22:00,2021-01-01 19:00,23.996,1.222,1.157,0,0,0.948
2021-01-01 23:00,2021-01-01 20:00,23.883,1.018,1.158,0,0,0.940
2021-01-02 00:00,2021-01-01 21:00,23.735,0.619,1.159,0,0,0.918
2021-01-02 01:00,2021-01-01 22:00,23.707,0.321,1.159,0,0,0.925
2021-01-02 02:00,2021-01-01 23:00,23.561,0.202,1.158,0,0,0.909
2021-01-02 03:00,2021-01-02 00:00,23.398,0.134,1.158,0,0,0.878
2021-01-02 04:00,2021-01-02 01:00,23.214,0.088,1.158,0,0,0.856
2021-01-02 05:00,2021-01-02 02:00,23.074,0.114,1.158,0,0,0.838
2021-01-02 06:00,2021-01-02 03:00,23.010,0.174,1.159,0,0,0.803
2021-01-02 07:00,2021-01-02 04:00,22.861,0.223,1.159,0,0,0.770
2021-01-02 08:00,2021-01-02 05:00,22.920,0.254,1.159,22.606,99.768,0.637
2021-01-02 09:00,2021-01-02 06:00,23.516,0.247,1.159,161.228,404.250,0.501
2021-01-02 10:00,2021-01-02 07:00,24.110,0.257,1.159,328.182,701.838,0.554
2021-01-02 11:00,2021-01-02 08:00,24.811,0.248,1.158,401.045,966.218,0.560
2021-01-02 12:00,2021-01-02 09:00,25.310,0.257,1.156,555.095,1179.447,0.417
2021-01-02 13:00,2021-01-02 10:00,25.952,0.277,1.153,742.195,1326.688,0.345
2021-01-02 14:00,2021-01-02 11:00,26.415,0.416,1.152,850.607,1398.129,0.397
2021-01-02 15:00,2021-01-02 12:00,26.144,0.708,1.152,713.759,1388.495,0.553
2021-01-02 16:00,2021-01-02 13:00,25.536,1.568,1.154,580.669,1299.263,0.702
2021-01-02 17:00,2021-01-02 14:00,24.921,3.728,1.155,464.388,1135.784,0.664
2021-01-02 18:00,2021-01-02 15:00,24.416,3.805,1.156,364.495,909.468,0.649
2021-01-02 19:00,2021-01-02 16:00,23.833,1.972,1.157,216.709,635.643,0.873
2021-01-02 20:00,2021-01-02 17:00,23.287,1.722,1.159,60.370,333.032,0.908
2021-01-02 21:00,2021-01-02 18:00,22.972,1.568,1.161,5.522,50.514,0.921
2021-01-02 22:00,2021-01-02 19:00,22.800,1.848,1.162,0,0,0.924
2021-01-02 23:00,2021-01-02 20:00,22.724,3.491,1.163,0,0,0.949
2021-01-03 00:00,2021-01-02 21:00,22.696,2.776,1.163,0,0,0.955
2021-01-03 01:00,2021-01-02 22:00,22.661,2.837,1.163,0,0,0.955
2021-01-03 02:00,2021-01-02 23:00,22.587,3.408,1.162,0,0,0.946
2021-01-03 03:00,2021-01-03 00:00,22.473,3.732,1.161,0,0,0.926
2021-01-03 04:00,2021-01-03 01:00,22.391,3.575,1.161,0,0,0.927
2021-01-03 05:00,2021-01-03 02:00,22.297,2.621,1.161,0,0,0.919
2021-01-03 06:00,2021-01-03 03:00,22.243,1.719,1.161,0,0,0.915
2021-01-03 07:00,2021-01-03 04:00,22.222,1.363,1.161,0,0,0.915
2021-01-03 08:00,2021-01-03 05:00,22.350,1.195,1.161,16.003,99.063,0.919
2021-01-03 09:00,2021-01-03 06:00,22.952,0.972,1.161,97.069,403.576,0.911
2021-01-03 10:00,2021-01-03 07:00,23.313,0.647,1.161,209.819,701.338,0.904
2021-01-03 11:00,2021-01-03 08:00,23.921,0.381,1.160,355.064,965.968,0.905
2021-01-03 12:00,2021-01-03 09:00,24.407,0.264,1.159,520.301,1179.045,0.900
2021-01-03 13:00,2021-01-03 10:00,25.007,0.213,1.158,656.224,1326.688,0.817
2021-01-03 14:00,2021-01-03 11:00,25.338,0.237,1.157,787.864,1398.129,0.765
2021-01-03 15:00,2021-01-03 12:00,25.373,0.260,1.156,710.057,1388.495,0.758
2021-01-03 16:00,2021-01-03 13:00,25.262,0.223,1.156,635.478,1299.164,0.783
2021-01-03 17:00,2021-01-03 14:00,24.836,0.198,1.157,468.199,1135.710,0.713
2021-01-03 18:00,2021-01-03 15:00,24.362,0.165,1.158,356.251,909.055,0.636
2021-01-03 19:00,2021-01-03 16:00,23.897,0.149,1.160,239.326,635.143,0.627
2021-01-03 20:00,2021-01-03 17:00,23.343,0.141,1.161,101.689,332.282,0.632
2021-01-03 21:00,2021-01-03 18:00,22.823,0.135,1.162,9.735,49.991,0.672
2021-01-03 22:00,2021-01-03 19:00,22.635,0.271,1.163,0,0,0.840
2021-01-03 23:00,2021-01-03 20:00,22.603,1.673,1.164,0,0,0.850
2021-01-04 00:00,2021-01-03 21:00,22.554,3.801,1.164,0,0,0.893
2021-01-04 01:00,2021-01-03 22:00,22.477,4.428,1.164,0,0,0.908
2021-01-04 02:00,2021-01-03 23:00,22.418,2.928,1.163,0,0,0.911
2021-01-04 03:00,2021-01-04 00:00,22.332,1.447,1.162,0,0,0.908
2021-01-04 04:00,2021-01-04 01:00,22.303,0.800,1.161,0,0,0.905
2021-01-04 05:00,2021-01-04 02:00,22.377,0.383,1.161,0,0,0.919
2021-01-04 06:00,2021-01-04 03:00,22.497,0.246,1.161,0,0,0.922
2021-01-04 07:00,2021-01-04 04:00,22.555,0.132,1.161,0,0,0.853
2021-01-04 08:00,2021-01-04 05:00,22.698,0.055,1.161,19.200,98.327,0.740
2021-01-04 09:00,2021-01-04 06:00,23.365,0.132,1.161,125.224,402.826,0.662
2021-01-04 10:00,2021-01-04 07:00,23.928,0.136,1.160,272.697,700.838,0.528
2021-01-04 11:00,2021-01-04 08:00,24.660,0.145,1.158,439.132,965.631,0.430
2021-01-04 12:00,2021-01-04 09:00,25.547,0.108,1.155,628.382,1178.947,0.354
2021-01-04 13:00,2021-01-04 10:00,26.368,0.089,1.152,773.104,1326.362,0.344
2021-01-04 14:00,2021-01-04 11:00,26.873,0.057,1.149,807.851,1398.129,0.345
2021-01-04 15:00,2021-01-04 12:00,27.124,0.042,1.148,768.052,1388.495,0.407
2021-01-04 16:00,2021-01-04 13:00,27.088,0.039,1.147,700.135,1299.164,0.395
2021-01-04 17:00,2021-01-04 14:00,26.613,0.054,1.148,590.378,1135.308,0.405
2021-01-04 18:00,2021-01-04 15:00,25.890,0.104,1.150,456.329,908.755,0.373
2021-01-04 19:00,2021-01-04 16:00,25.169,0.221,1.153,308.833,634.492,0.356
2021-01-04 20:00,2021-01-04 17:00,24.450,0.693,1.156,137.489,331.456,0.406
2021-01-04 21:00,2021-01-04 18:00,23.780,1.756,1.158,14.359,49.414,0.317
2021-01-04 22:00,2021-01-04 19:00,23.518,2.723,1.159,0,0,0.340
2021-01-04 23:00,2021-01-04 20:00,23.434,2.230,1.159,0,0,0.833
2021-01-05 00:00,2021-01-04 21:00,23.333,1.433,1.160,0,0,0.865
2021-01-05 01:00,2021-01-04 22:00,23.236,1.030,1.159,0,0,0.891
2021-01-05 02:00,2021-01-04 23:00,23.147,0.576,1.159,0,0,0.927
2021-01-05 03:00,2021-01-05 00:00,23.045,0.220,1.158,0,0,0.939
2021-01-05 04:00,2021-01-05 01:00,23.027,0.063,1.158,0,0,0.937
2021-01-05 05:00,2021-01-05 02:00,22.952,0.020,1.158,0,0,0.935
2021-01-05 06:00,2021-01-05 03:00,22.819,0.007,1.158,0,0,0.881
2021-01-05 07:00,2021-01-05 04:00,22.701,0.003,1.159,0,0,0.588
2021-01-05 08:00,2021-01-05 05:00,22.855,0.002,1.159,41.653,97.505,0.548
2021-01-05 09:00,2021-01-05 06:00,23.895,0.001,1.159,207.435,402.000,0.826
2021-01-05 10:00,2021-01-05 07:00,25.167,0.001,1.156,370.443,700.288,0.908
2021-01-05 11:00,2021-01-05 08:00,26.139,0.001,1.152,561.971,965.218,0.922
2021-01-05 12:00,2021-01-05 09:00,27.373,0,1.148,759.989,1178.848,0.924
2021-01-05 13:00,2021-01-05 10:00,28.542,0,1.143,904.990,1326.362,0.923
2021-01-05 14:00,2021-01-05 11:00,29.604,0,1.139,964.761,1397.752,0.908
2021-01-05 15:00,2021-01-05 12:00,30.042,0.001,1.135,909.691,1388.495,0.891
2021-01-05 16:00,2021-01-05 13:00,29.677,0.002,1.135,759.799,1298.837,0.900
2021-01-05 17:00,2021-01-05 14:00,28.851,0.004,1.137,577.788,1135.284,0.907
2021-01-05 18:00,2021-01-05 15:00,27.887,0.010,1.141,401.304,908.255,0.890
2021-01-05 19:00,2021-01-05 16:00,27.033,0.037,1.144,266.124,633.893,0.830
2021-01-05 20:00,2021-01-05 17:00,26.253,0.135,1.146,135.265,330.581,0.655
2021-01-05 21:00,2021-01-05 18:00,25.261,0.387,1.148,13.812,48.811,0.557
2021-01-05 22:00,2021-01-05 19:00,24.810,0.911,1.150,0,0,0.617
2021-01-05 23:00,2021-01-05 20:00,24.683,1.494,1.151,0,0,0.835
2021-01-06 00:00,2021-01-05 21:00,24.678,7.306,1.151,0,0,0.958
2021-01-06 01:00,2021-01-05 22:00,24.763,6.910,1.150,0,0,0.970
2021-01-06 02:00,2021-01-05 23:00,24.796,4.643,1.149,0,0,0.971
2021-01-06 03:00,2021-01-06 00:00,24.678,2.586,1.148,0,0,0.918
