# Renewables.ninja Weather (Point API) - -3.566, -44.557 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-3.56607", "lon": "-44.55707", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2022-01-01", "date_to": "2022-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2022-01-01 00:00,2021-12-31 21:00,25.067,0.831,1.163,0,0,0.832
2022-01-01 01:00,2021-12-31 22:00,24.828,0.791,1.164,0,0,0.826
2022-01-01 02:00,2021-12-31 23:00,24.627,0.766,1.164,0,0,0.795
2022-01-01 03:00,2022-01-01 00:00,24.425,0.663,1.165,0,0,0.744
2022-01-01 04:00,2022-01-01 01:00,24.243,0.559,1.165,0,0,0.694
2022-01-01 05:00,2022-01-01 02:00,24.045,0.465,1.165,0,0,0.587
2022-01-01 06:00,2022-01-01 03:00,23.808,0.367,1.166,0,0,0.508
2022-01-01 07:00,2022-01-01 04:00,23.569,0.284,1.166,0,0,0.463
2022-01-01 08:00,2022-01-01 05:00,23.379,0.281,1.167,0.489,3.017,0.421
2022-01-01 09:00,2022-01-01 06:00,23.952,0.314,1.169,78.969,212.434,0.380
2022-01-01 10:00,2022-01-01 07:00,25.359,0.494,1.167,260.424,536.808,0.358
2022-01-01 11:00,2022-01-01 08:00,27.054,0.580,1.163,451.889,827.044,0.347
2022-01-01 12:00,2022-01-01 09:00,29.050,0.329,1.158,612.665,1063.119,0.347
2022-01-01 13:00,2022-01-01 10:00,30.476,0.305,1.154,724.896,1229.119,0.359
