# Renewables.ninja Weather (Point API) - -3.566, -44.557 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Fortaleza, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Fortaleza", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-3.56607", "lon": "-44.55707", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2018-12-31 21:00,26.015,0.009,1.163,0,0,0.855
2019-01-01 01:00,2018-12-31 22:00,25.529,0.009,1.165,0,0,0.862
2019-01-01 02:00,2018-12-31 23:00,25.147,0.012,1.166,0,0,0.863
2019-01-01 03:00,2019-01-01 00:00,24.823,0.013,1.166,0,0,0.857
2019-01-01 04:00,2019-01-01 01:00,24.541,0.011,1.167,0,0,0.854
2019-01-01 05:00,2019-01-01 02:00,24.303,0.009,1.167,0,0,0.811
2019-01-01 06:00,2019-01-01 03:00,24.106,0.006,1.168,0,0,0.759
2019-01-01 07:00,2019-01-01 04:00,23.908,0.002,1.169,0,0,0.783
2019-01-01 08:00,2019-01-01 05:00,23.806,0.001,1.170,0.385,3.021,0.868
2019-01-01 09:00,2019-01-01 06:00,24.267,0.001,1.170,44.074,212.380,0.918
2019-01-01 10:00,2019-01-01 07:00,25.458,0.001,1.168,147.478,536.808,0.922
2019-01-01 11:00,2019-01-01 08:00,27.015,0.002,1.164,271.556,826.794,0.931
2019-01-01 12:00,2019-01-01 09:00,28.435,0.002,1.160,377.457,1063.052,0.934
2019-01-01 13:00,2019-01-01 10:00,29.783,0.003,1.156,507.587,1228.926,0.919
2019-01-01 14:00,2019-01-01 11:00,30.809,0.004,1.152,554.084,1313.465,0.905
2019-01-01 15:00,2019-01-01 12:00,31.361,0.004,1.149,510.738,1310.985,0.929
2019-01-01 16:00,2019-01-01 13:00,31.460,0.004,1.146,409.968,1221.197,0.937
2019-01-01 17:00,2019-01-01 14:00,31.245,0.004,1.145,296.589,1051.005,0.938
2019-01-01 18:00,2019-01-01 15:00,30.850,0.004,1.144,209.618,811.089,0.915
2019-01-01 19:00,2019-01-01 16:00,30.171,0.007,1.145,124.056,518.382,0.921
2019-01-01 20:00,2019-01-01 17:00,28.960,0.007,1.147,34.345,192.619,0.954
2019-01-01 21:00,2019-01-01 18:00,27.613,0.006,1.150,0.084,0.988,0.927
2019-01-01 22:00,2019-01-01 19:00,27.158,0.006,1.154,0,0,0.903
2019-01-01 23:00,2019-01-01 20:00,26.783,0.004,1.158,0,0,0.889
2019-01-02 00:00,2019-01-01 21:00,26.379,0.002,1.160,0,0,0.880
2019-01-02 01:00,2019-01-01 22:00,25.999,0.001,1.162,0,0,0.864
2019-01-02 02:00,2019-01-01 23:00,25.679,0.001,1.163,0,0,0.860
2019-01-02 03:00,2019-01-02 00:00,25.359,0.002,1.164,0,0,0.875
2019-01-02 04:00,2019-01-02 01:00,25.023,0.002,1.164,0,0,0.882
2019-01-02 05:00,2019-01-02 02:00,24.732,0.002,1.165,0,0,0.868
2019-01-02 06:00,2019-01-02 03:00,24.472,0.002,1.165,0,0,0.865
2019-01-02 07:00,2019-01-02 04:00,24.274,0.001,1.166,0,0,0.872
2019-01-02 08:00,2019-01-02 05:00,24.173,0.001,1.167,0.455,3.005,0.897
2019-01-02 09:00,2019-01-02 06:00,24.767,0.002,1.168,59.571,212.372,0.943
2019-01-02 10:00,2019-01-02 07:00,26.316,0.002,1.166,209.050,536.817,0.945
2019-01-02 11:00,2019-01-02 08:00,28.218,0.003,1.161,415.070,827.131,0.943
2019-01-02 12:00,2019-01-02 09:00,30.210,0,1.156,652.477,1063.552,0.943
2019-01-02 13:00,2019-01-02 10:00,32.085,0,1.150,832.938,1229.446,0.949
2019-01-02 14:00,2019-01-02 11:00,33.616,0,1.144,932.604,1314.092,0.949
2019-01-02 15:00,2019-01-02 12:00,34.588,0,1.139,924.812,1311.611,0.951
2019-01-02 16:00,2019-01-02 13:00,35.062,0,1.136,831.656,1222.131,0.956
2019-01-02 17:00,2019-01-02 14:00,34.837,0,1.134,607.994,1051.505,0.960
