# Renewables.ninja Weather (Point API) - -5.580, -44.384 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-5.5799743", "lon": "-44.3841617", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2021-01-01", "date_to": "2021-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2020-12-31 21:00,27.038,0.189,1.134,0,0,0.408
2021-01-01 01:00,2020-12-31 22:00,26.423,0.184,1.136,0,0,0.535
2021-01-01 02:00,2020-12-31 23:00,25.853,0.149,1.138,0,0,0.753
2021-01-01 03:00,2021-01-01 00:00,25.330,0.111,1.140,0,0,0.785
2021-01-01 04:00,2021-01-01 01:00,24.924,0.116,1.141,0,0,0.849
2021-01-01 05:00,2021-01-01 02:00,24.598,0.118,1.143,0,0,0.874
2021-01-01 06:00,2021-01-01 03:00,24.356,0.117,1.145,0,0,0.898
2021-01-01 07:00,2021-01-01 04:00,24.199,0.123,1.146,0,0,0.904
2021-01-01 08:00,2021-01-01 05:00,24.062,0.124,1.148,0.710,6.804,0.889
2021-01-01 09:00,2021-01-01 06:00,24.166,0.133,1.149,47.677,235.035,0.848
2021-01-01 10:00,2021-01-01 07:00,24.930,0.163,1.148,168.664,558.240,0.797
2021-01-01 11:00,2021-01-01 08:00,26.662,0.172,1.143,346.033,847.018,0.647
2021-01-01 12:00,2021-01-01 09:00,29.066,0.006,1.137,566.028,1081.935,0.534
2021-01-01 13:00,2021-01-01 10:00,31.001,0.006,1.131,666.086,1246.480,0.513
2021-01-01 14:00,2021-01-01 11:00,32.260,0.008,1.126,679.078,1330.032,0.566
2021-01-01 15:00,2021-01-01 12:00,33.088,0.007,1.122,615.362,1326.169,0.670
2021-01-01 16:00,2021-01-01 13:00,33.321,0.007,1.119,455.407,1236.141,0.791
2021-01-01 17:00,2021-01-01 14:00,32.981,0.007,1.117,295.752,1065.186,0.842
2021-01-01 18:00,2021-01-01 15:00,32.380,0.007,1.118,178.934,825.302,0.848
2021-01-01 19:00,2021-01-01 16:00,31.621,0.008,1.119,95.137,532.660,0.848
2021-01-01 20:00,2021-01-01 17:00,30.559,0.008,1.122,27.360,207.569,0.848
2021-01-01 21:00,2021-01-01 18:00,29.360,0.007,1.125,0.142,2.391,0.847
2021-01-01 22:00,2021-01-01 19:00,28.624,0.007,1.128,0,0,0.831
2021-01-01 23:00,2021-01-01 20:00,28.149,0.006,1.131,0,0,0.816
2021-01-02 00:00,2021-01-01 21:00,27.673,0.006,1.133,0,0,0.804
2021-01-02 01:00,2021-01-01 22:00,27.186,0.006,1.135,0,0,0.783
2021-01-02 02:00,2021-01-01 23:00,26.734,0.006,1.136,0,0,0.778
2021-01-02 03:00,2021-01-02 00:00,26.334,0.007,1.137,0,0,0.781
2021-01-02 04:00,2021-01-02 01:00,25.975,0.007,1.138,0,0,0.754
2021-01-02 05:00,2021-01-02 02:00,25.656,0.007,1.139,0,0,0.764
2021-01-02 06:00,2021-01-02 03:00,25.364,0.007,1.140,0,0,0.635
2021-01-02 07:00,2021-01-02 04:00,25.072,0.007,1.142,0,0,0.489
2021-01-02 08:00,2021-01-02 05:00,24.754,0.006,1.143,1.145,6.764,0.586
2021-01-02 09:00,2021-01-02 06:00,25.050,0.005,1.144,72.137,234.963,0.526
2021-01-02 10:00,2021-01-02 07:00,26.716,0.006,1.141,246.756,558.282,0.387
2021-01-02 11:00,2021-01-02 08:00,28.843,0.006,1.135,444.929,847.475,0.338
2021-01-02 12:00,2021-01-02 09:00,30.605,0.035,1.130,575.802,1082.435,0.403
2021-01-02 13:00,2021-01-02 10:00,31.809,0.042,1.126,602.983,1247.065,0.595
2021-01-02 14:00,2021-01-02 11:00,32.312,0.050,1.122,512.584,1330.532,0.887
2021-01-02 15:00,2021-01-02 12:00,32.307,0.043,1.120,373.874,1327.089,0.940
2021-01-02 16:00,2021-01-02 13:00,32.150,0.037,1.119,283.837,1236.641,0.924
2021-01-02 17:00,2021-01-02 14:00,31.979,0.036,1.119,245.738,1065.686,0.878
2021-01-02 18:00,2021-01-02 15:00,31.666,0.034,1.119,186.799,825.555,0.852
2021-01-02 19:00,2021-01-02 16:00,31.150,0.032,1.120,110.911,532.870,0.850
2021-01-02 20:00,2021-01-02 17:00,30.313,0.028,1.122,34.208,207.506,0.868
2021-01-02 21:00,2021-01-02 18:00,29.288,0.028,1.124,0.194,2.365,0.891
2021-01-02 22:00,2021-01-02 19:00,28.559,0.027,1.126,0,0,0.900
2021-01-02 23:00,2021-01-02 20:00,27.927,0.026,1.128,0,0,0.878
2021-01-03 00:00,2021-01-02 21:00,27.385,0.024,1.130,0,0,0.888
2021-01-03 01:00,2021-01-02 22:00,26.814,0.025,1.131,0,0,0.892
2021-01-03 02:00,2021-01-02 23:00,26.227,0.024,1.132,0,0,0.893
2021-01-03 03:00,2021-01-03 00:00,25.752,0.023,1.133,0,0,0.892
2021-01-03 04:00,2021-01-03 01:00,25.440,0.024,1.135,0,0,0.891
2021-01-03 05:00,2021-01-03 02:00,25.169,0.024,1.137,0,0,0.882
2021-01-03 06:00,2021-01-03 03:00,24.897,0.024,1.139,0,0,0.870
2021-01-03 07:00,2021-01-03 04:00,24.568,0.024,1.141,0,0,0.866
2021-01-03 08:00,2021-01-03 05:00,24.283,0.025,1.143,1.429,6.720,0.870
2021-01-03 09:00,2021-01-03 06:00,24.690,0.029,1.145,72.698,234.849,0.891
2021-01-03 10:00,2021-01-03 07:00,26.059,0.034,1.143,205.388,558.489,0.850
2021-01-03 11:00,2021-01-03 08:00,27.772,0.040,1.138,380.547,847.729,0.719
2021-01-03 12:00,2021-01-03 09:00,29.424,0.109,1.134,546.028,1082.935,0.720
2021-01-03 13:00,2021-01-03 10:00,30.843,0.069,1.129,640.304,1247.565,0.778
2021-01-03 14:00,2021-01-03 11:00,31.980,0.051,1.124,668.879,1331.117,0.781
2021-01-03 15:00,2021-01-03 12:00,32.581,0.044,1.121,581.048,1327.589,0.774
2021-01-03 16:00,2021-01-03 13:00,32.646,0.058,1.118,449.670,1237.141,0.817
2021-01-03 17:00,2021-01-03 14:00,32.217,0.065,1.118,280.901,1066.186,0.872
2021-01-03 18:00,2021-01-03 15:00,31.645,0.071,1.118,176.025,825.805,0.865
2021-01-03 19:00,2021-01-03 16:00,30.982,0.115,1.120,101.458,532.910,0.845
2021-01-03 20:00,2021-01-03 17:00,29.963,0.136,1.122,31.998,207.381,0.818
