# Renewables.ninja Weather (Point API) - -5.580, -44.384 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Fortaleza, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Fortaleza", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-5.5799743", "lon": "-44.3841617", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2018-01-01 00:00,2017-12-31 21:00,29.221,0,1.123,0,0,0.102
2018-01-01 01:00,2017-12-31 22:00,28.360,0,1.124,0,0,0.175
2018-01-01 02:00,2017-12-31 23:00,27.244,0.001,1.126,0,0,0.234
2018-01-01 03:00,2018-01-01 00:00,26.657,0.001,1.130,0,0,0.264
2018-01-01 04:00,2018-01-01 01:00,26.616,0.002,1.133,0,0,0.177
2018-01-01 05:00,2018-01-01 02:00,26.192,0.001,1.137,0,0,0.046
2018-01-01 06:00,2018-01-01 03:00,25.613,0.001,1.140,0,0,0.025
2018-01-01 07:00,2018-01-01 04:00,25.035,0.001,1.143,0,0,0.011
2018-01-01 08:00,2018-01-01 05:00,24.552,0.001,1.145,1.702,6.814,0.023
2018-01-01 09:00,2018-01-01 06:00,24.967,0.001,1.146,117.849,235.036,0.057
2018-01-01 10:00,2018-01-01 07:00,26.844,0.001,1.143,358.496,558.240,0.007
2018-01-01 11:00,2018-01-01 08:00,29.083,0.001,1.138,597.004,847.018,0.002
2018-01-01 12:00,2018-01-01 09:00,31.289,0,1.131,790.716,1081.935,0.005
2018-01-01 13:00,2018-01-01 10:00,33.176,0,1.125,933.659,1246.480,0.020
2018-01-01 14:00,2018-01-01 11:00,34.660,0,1.120,1005.709,1330.032,0.029
2018-01-01 15:00,2018-01-01 12:00,35.722,0,1.115,999.062,1326.169,0.038
2018-01-01 16:00,2018-01-01 13:00,36.241,0,1.111,905.889,1236.141,0.038
2018-01-01 17:00,2018-01-01 14:00,36.241,0,1.109,755.346,1065.186,0.049
2018-01-01 18:00,2018-01-01 15:00,35.776,0,1.108,551.495,825.302,0.060
2018-01-01 19:00,2018-01-01 16:00,34.858,0,1.109,319.737,532.867,0.130
2018-01-01 20:00,2018-01-01 17:00,33.422,0,1.112,91.535,207.631,0.184
2018-01-01 21:00,2018-01-01 18:00,31.334,0,1.116,0.481,2.397,0.069
2018-01-01 22:00,2018-01-01 19:00,29.954,0,1.119,0,0,0.052
2018-01-01 23:00,2018-01-01 20:00,29.049,0,1.122,0,0,0.039
2018-01-02 00:00,2018-01-01 21:00,28.387,0,1.125,0,0,0.026
2018-01-02 01:00,2018-01-01 22:00,27.874,0,1.127,0,0,0.017
2018-01-02 02:00,2018-01-01 23:00,27.263,0,1.129,0,0,0.022
2018-01-02 03:00,2018-01-02 00:00,26.548,0,1.131,0,0,0.152
2018-01-02 04:00,2018-01-02 01:00,26.100,0,1.133,0,0,0.163
2018-01-02 05:00,2018-01-02 02:00,25.987,0,1.137,0,0,0.147
2018-01-02 06:00,2018-01-02 03:00,25.691,0,1.139,0,0,0.079
2018-01-02 07:00,2018-01-02 04:00,25.196,0,1.142,0,0,0.031
2018-01-02 08:00,2018-01-02 05:00,24.661,0,1.144,1.743,6.774,0.101
2018-01-02 09:00,2018-01-02 06:00,24.989,0,1.146,121.186,234.974,0.119
2018-01-02 10:00,2018-01-02 07:00,26.810,0,1.143,359.539,558.489,0.036
2018-01-02 11:00,2018-01-02 08:00,29.258,0,1.136,595.418,847.475,0.115
2018-01-02 12:00,2018-01-02 09:00,31.623,0.039,1.129,794.425,1082.435,0.409
2018-01-02 13:00,2018-01-02 10:00,33.527,0.064,1.123,934.535,1247.065,0.628
2018-01-02 14:00,2018-01-02 11:00,34.917,0.083,1.117,1002.610,1330.532,0.648
2018-01-02 15:00,2018-01-02 12:00,35.831,0.076,1.113,988.726,1327.089,0.598
2018-01-02 16:00,2018-01-02 13:00,36.310,0.070,1.109,896.796,1236.641,0.473
2018-01-02 17:00,2018-01-02 14:00,36.314,0.054,1.107,742.538,1065.686,0.272
2018-01-02 18:00,2018-01-02 15:00,35.772,0.052,1.107,516.257,825.555,0.134
2018-01-02 19:00,2018-01-02 16:00,34.861,0.054,1.108,297.703,532.870,0.291
2018-01-02 20:00,2018-01-02 17:00,33.337,0.051,1.111,75.990,207.507,0.377
2018-01-02 21:00,2018-01-02 18:00,31.227,0.049,1.114,0.379,2.372,0.407
2018-01-02 22:00,2018-01-02 19:00,29.977,0.046,1.118,0,0,0.481
2018-01-02 23:00,2018-01-02 20:00,29.196,0.044,1.122,0,0,0.683
2018-01-03 00:00,2018-01-02 21:00,28.631,0.046,1.125,0,0,0.868
2018-01-03 01:00,2018-01-02 22:00,28.161,0.040,1.128,0,0,0.919
2018-01-03 02:00,2018-01-02 23:00,27.844,0.027,1.131,0,0,0.880
2018-01-03 03:00,2018-01-03 00:00,27.485,0.020,1.133,0,0,0.708
2018-01-03 04:00,2018-01-03 01:00,27.014,0.011,1.135,0,0,0.602
2018-01-03 05:00,2018-01-03 02:00,26.478,0.010,1.138,0,0,0.542
2018-01-03 06:00,2018-01-03 03:00,25.874,0.009,1.140,0,0,0.441
2018-01-03 07:00,2018-01-03 04:00,25.308,0.008,1.143,0,0,0.278
2018-01-03 08:00,2018-01-03 05:00,24.809,0.010,1.145,1.715,6.732,0.187
2018-01-03 09:00,2018-01-03 06:00,24.976,0.015,1.147,115.375,234.910,0.108
2018-01-03 10:00,2018-01-03 07:00,26.450,0.020,1.145,356.689,558.490,0.015
2018-01-03 11:00,2018-01-03 08:00,28.596,0.019,1.139,592.975,847.729,0.011
2018-01-03 12:00,2018-01-03 09:00,30.929,0.006,1.132,791.098,1082.935,0.012
2018-01-03 13:00,2018-01-03 10:00,33.041,0.010,1.125,935.161,1247.565,0.105
2018-01-03 14:00,2018-01-03 11:00,34.667,0.014,1.119,1001.256,1331.117,0.334
2018-01-03 15:00,2018-01-03 12:00,35.776,0.014,1.114,987.861,1327.589,0.376
2018-01-03 16:00,2018-01-03 13:00,36.361,0.009,1.110,887.970,1237.141,0.583
2018-01-03 17:00,2018-01-03 14:00,36.376,0.008,1.108,700.891,1066.186,0.805
2018-01-03 18:00,2018-01-03 15:00,35.792,0.008,1.108,453.820,825.805,0.877
2018-01-03 19:00,2018-01-03 16:00,34.777,0.010,1.109,205.631,532.913,0.891
2018-01-03 20:00,2018-01-03 17:00,33.430,0.010,1.111,61.430,207.444,0.784
2018-01-03 21:00,2018-01-03 18:00,31.543,0.010,1.114,0.359,2.345,0.829
2018-01-03 22:00,2018-01-03 19:00,30.394,0.010,1.117,0,0,0.963
2018-01-03 23:00,2018-01-03 20:00,29.681,0.010,1.121,0,0,0.965
2018-01-04 00:00,2018-01-03 21:00,29.218,0.010,1.125,0,0,0.966
2018-01-04 01:00,2018-01-03 22:00,28.767,0.008,1.128,0,0,0.964
2018-01-04 02:00,2018-01-03 23:00,28.191,0.008,1.130,0,0,0.961
2018-01-04 03:00,2018-01-04 00:00,27.874,0.008,1.132,0,0,0.915
2018-01-04 04:00,2018-01-04 01:00,27.455,0.007,1.134,0,0,0.824
2018-01-04 05:00,2018-01-04 02:00,26.935,0.007,1.136,0,0,0.906
2018-01-04 06:00,2018-01-04 03:00,26.476,0.007,1.139,0,0,0.929
2018-01-04 07:00,2018-01-04 04:00,26.051,0.007,1.141,0,0,0.930
2018-01-04 08:00,2018-01-04 05:00,25.660,0.007,1.144,1.451,6.686,0.929
2018-01-04 09:00,2018-01-04 06:00,25.732,0.008,1.145,76.799,234.838,0.929
2018-01-04 10:00,2018-01-04 07:00,26.658,0.008,1.145,224.728,558.739,0.919
2018-01-04 11:00,2018-01-04 08:00,27.947,0.005,1.143,373.555,847.979,0.909
2018-01-04 12:00,2018-01-04 09:00,29.465,0.019,1.139,575.490,1083.435,0.919
2018-01-04 13:00,2018-01-04 10:00,30.723,0.020,1.135,666.020,1248.479,0.964
2018-01-04 14:00,2018-01-04 11:00,31.532,0.028,1.132,680.023,1332.031,0.967
2018-01-04 15:00,2018-01-04 12:00,31.942,0.043,1.129,640.233,1328.168,0.955
2018-01-04 16:00,2018-01-04 13:00,31.733,0.051,1.128,478.557,1237.720,0.930
2018-01-04 17:00,2018-01-04 14:00,31.119,0.052,1.128,319.376,1066.686,0.905
2018-01-04 18:00,2018-01-04 15:00,30.439,0.057,1.129,214.046,826.301,0.860
2018-01-04 19:00,2018-01-04 16:00,29.768,0.062,1.130,137.682,533.120,0.757
2018-01-04 20:00,2018-01-04 17:00,28.936,0.061,1.132,53.368,207.309,0.544
2018-01-04 21:00,2018-01-04 18:00,27.731,0.064,1.136,0.333,2.316,0.611
2018-01-04 22:00,2018-01-04 19:00,26.831,0.057,1.139,0,0,0.719
2018-01-04 23:00,2018-01-04 20:00,26.156,0.051,1.142,0,0,0.832
2018-01-05 00:00,2018-01-04 21:00,25.628,0.040,1.144,0,0,0.864
2018-01-05 01:00,2018-01-04 22:00,25.287,0.040,1.146,0,0,0.863
2018-01-05 02:00,2018-01-04 23:00,25.021,0.046,1.146,0,0,0.852
2018-01-05 03:00,2018-01-05 00:00,24.765,0.050,1.147,0,0,0.727
2018-01-05 04:00,2018-01-05 01:00,24.404,0.068,1.147,0,0,0.795
2018-01-05 05:00,2018-01-05 02:00,24.046,0.170,1.148,0,0,0.898
2018-01-05 06:00,2018-01-05 03:00,23.673,0.408,1.150,0,0,0.935
2018-01-05 07:00,2018-01-05 04:00,23.475,0.686,1.151,0,0,0.948
2018-01-05 08:00,2018-01-05 05:00,23.288,0.906,1.152,0.412,6.636,0.951
2018-01-05 09:00,2018-01-05 06:00,23.191,1.028,1.154,33.635,234.713,0.868
2018-01-05 10:00,2018-01-05 07:00,23.506,0.883,1.155,179.308,558.740,0.567
