# Renewables.ninja Wind power (Point API) - -5.580, -44.384 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Sao_Paulo, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "electricity": "kW", "wind_speed": "m/s"}, "params": {"lat": "-5.5799743", "lon": "-44.3841617", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": "true", "local_time": "true", "header": "true", "date_from": "2023-01-01", "date_to": "2023-12-31"}}
time,local_time,electricity,wind_speed
2023-01-01 00:00,2022-12-31 21:00,0.094,4.563
2023-01-01 01:00,2022-12-31 22:00,0.057,3.950
2023-01-01 02:00,2022-12-31 23:00,0.025,3.230
2023-01-01 03:00,2023-01-01 00:00,0.010,2.715
2023-01-01 04:00,2023-01-01 01:00,0.025,3.248
2023-01-01 05:00,2023-01-01 02:00,0.008,2.609
2023-01-01 06:00,2023-01-01 03:00,0,1.594
2023-01-01 07:00,2023-01-01 04:00,0,1.343
2023-01-01 08:00,2023-01-01 05:00,0.007,2.506
2023-01-01 09:00,2023-01-01 06:00,0.063,4.082
2023-01-01 10:00,2023-01-01 07:00,0.013,2.855
2023-01-01 11:00,2023-01-01 08:00,0.037,3.557
2023-01-01 12:00,2023-01-01 09:00,0.080,4.352
2023-01-01 13:00,2023-01-01 10:00,0.108,4.766
2023-01-01 14:00,2023-01-01 11:00,0.113,4.831
2023-01-01 15:00,2023-01-01 12:00,0.084,4.404
2023-01-01 16:00,2023-01-01 13:00,0.039,3.587
2023-01-01 17:00,2023-01-01 14:00,0.008,2.607
2023-01-01 18:00,2023-01-01 15:00,0,1.484
2023-01-01 19:00,2023-01-01 16:00,0,0.665
2023-01-01 20:00,2023-01-01 17:00,0,0.757
2023-01-01 21:00,2023-01-01 18:00,0,1.180
2023-01-01 22:00,2023-01-01 19:00,0.001,1.752
2023-01-01 23:00,2023-01-01 20:00,0.002,2.030
2023-01-02 00:00,2023-01-01 21:00,0.002,2.050
2023-01-02 01:00,2023-01-01 22:00,0.002,2.071
2023-01-02 02:00,2023-01-01 23:00,0.006,2.469
2023-01-02 03:00,2023-01-02 00:00,0.014,2.859
2023-01-02 04:00,2023-01-02 01:00,0.018,3.023
2023-01-02 05:00,2023-01-02 02:00,0.019,3.045
2023-01-02 06:00,2023-01-02 03:00,0.018,3.010
2023-01-02 07:00,2023-01-02 04:00,0.014,2.873
2023-01-02 08:00,2023-01-02 05:00,0.007,2.539
2023-01-02 09:00,2023-01-02 06:00,0.006,2.435
2023-01-02 10:00,2023-01-02 07:00,0.002,2.078
2023-01-02 11:00,2023-01-02 08:00,0.029,3.356
2023-01-02 12:00,2023-01-02 09:00,0.047,3.760
2023-01-02 13:00,2023-01-02 10:00,0.040,3.621
2023-01-02 14:00,2023-01-02 11:00,0.030,3.391
2023-01-02 15:00,2023-01-02 12:00,0.023,3.191
2023-01-02 16:00,2023-01-02 13:00,0.020,3.088
2023-01-02 17:00,2023-01-02 14:00,0.017,2.975
2023-01-02 18:00,2023-01-02 15:00,0.008,2.582
2023-01-02 19:00,2023-01-02 16:00,0.003,2.219
2023-01-02 20:00,2023-01-02 17:00,0.005,2.386
2023-01-02 21:00,2023-01-02 18:00,0.022,3.153
2023-01-02 22:00,2023-01-02 19:00,0.035,3.487
2023-01-02 23:00,2023-01-02 20:00,0.026,3.263
2023-01-03 00:00,2023-01-02 21:00,0.009,2.671
2023-01-03 01:00,2023-01-02 22:00,0.001,1.922
2023-01-03 02:00,2023-01-02 23:00,0,1.393
2023-01-03 03:00,2023-01-03 00:00,0.002,2.039
2023-01-03 04:00,2023-01-03 01:00,0.017,2.966
2023-01-03 05:00,2023-01-03 02:00,0.068,4.146
2023-01-03 06:00,2023-01-03 03:00,0.121,4.930
2023-01-03 07:00,2023-01-03 04:00,0.113,4.833
2023-01-03 08:00,2023-01-03 05:00,0.129,5.028
2023-01-03 09:00,2023-01-03 06:00,0.070,4.197
2023-01-03 10:00,2023-01-03 07:00,0.014,2.883
2023-01-03 11:00,2023-01-03 08:00,0.019,3.046
2023-01-03 12:00,2023-01-03 09:00,0.039,3.591
2023-01-03 13:00,2023-01-03 10:00,0.054,3.894
2023-01-03 14:00,2023-01-03 11:00,0.050,3.821
2023-01-03 15:00,2023-01-03 12:00,0.039,3.595
2023-01-03 16:00,2023-01-03 13:00,0.035,3.505
2023-01-03 17:00,2023-01-03 14:00,0.023,3.176
2023-01-03 18:00,2023-01-03 15:00,0.005,2.416
2023-01-03 19:00,2023-01-03 16:00,0.001,1.724
2023-01-03 20:00,2023-01-03 17:00,0.003,2.217
2023-01-03 21:00,2023-01-03 18:00,0.034,3.476
2023-01-03 22:00,2023-01-03 19:00,0.073,4.243
2023-01-03 23:00,2023-01-03 20:00,0.087,4.465
2023-01-04 00:00,2023-01-03 21:00,0.085,4.429
2023-01-04 01:00,2023-01-03 22:00,0.075,4.270
2023-01-04 02:00,2023-01-03 23:00,0.065,4.112
2023-01-04 03:00,2023-01-04 00:00,0.037,3.541
2023-01-04 04:00,2023-01-04 01:00,0.021,3.118
2023-01-04 05:00,2023-01-04 02:00,0.031,3.401
2023-01-04 06:00,2023-01-04 03:00,0.035,3.515
2023-01-04 07:00,2023-01-04 04:00,0.037,3.548
2023-01-04 08:00,2023-01-04 05:00,0.021,3.137
2023-01-04 09:00,2023-01-04 06:00,0.008,2.561
2023-01-04 10:00,2023-01-04 07:00,0.001,1.789
2023-01-04 11:00,2023-01-04 08:00,0.004,2.329
2023-01-04 12:00,2023-01-04 09:00,0.013,2.850
2023-01-04 13:00,2023-01-04 10:00,0.013,2.853
2023-01-04 14:00,2023-01-04 11:00,0.011,2.748
2023-01-04 15:00,2023-01-04 12:00,0.005,2.399
2023-01-04 16:00,2023-01-04 13:00,0.001,1.984
2023-01-04 17:00,2023-01-04 14:00,0,1.647
2023-01-04 18:00,2023-01-04 15:00,0,1.158
2023-01-04 19:00,2023-01-04 16:00,0,0.784
2023-01-04 20:00,2023-01-04 17:00,0,1.207
2023-01-04 21:00,2023-01-04 18:00,0,1.604
2023-01-04 22:00,2023-01-04 19:00,0.001,1.788
2023-01-04 23:00,2023-01-04 20:00,0.002,2.105
2023-01-05 00:00,2023-01-04 21:00,0.005,2.381
2023-01-05 01:00,2023-01-04 22:00,0.006,2.453
2023-01-05 02:00,2023-01-04 23:00,0.003,2.175
2023-01-05 03:00,2023-01-05 00:00,0,1.619
2023-01-05 04:00,2023-01-05 01:00,0,1.250
2023-01-05 05:00,2023-01-05 02:00,0.001,1.930
2023-01-05 06:00,2023-01-05 03:00,0.021,3.119
2023-01-05 07:00,2023-01-05 04:00,0.062,4.054
2023-01-05 08:00,2023-01-05 05:00,0.091,4.522
2023-01-05 09:00,2023-01-05 06:00,0.069,4.185
2023-01-05 10:00,2023-01-05 07:00,0.019,3.073
2023-01-05 11:00,2023-01-05 08:00,0.030,3.374
2023-01-05 12:00,2023-01-05 09:00,0.077,4.301
2023-01-05 13:00,2023-01-05 10:00,0.113,4.824
2023-01-05 14:00,2023-01-05 11:00,0.117,4.870
2023-01-05 15:00,2023-01-05 12:00,0.086,4.448
2023-01-05 16:00,2023-01-05 13:00,0.045,3.736
2023-01-05 17:00,2023-01-05 14:00,0.014,2.893
2023-01-05 18:00,2023-01-05 15:00,0.001,1.837
2023-01-05 19:00,2023-01-05 16:00,0,1.147
2023-01-05 20:00,2023-01-05 17:00,0,1.533
2023-01-05 21:00,2023-01-05 18:00,0.005,2.373
2023-01-05 22:00,2023-01-05 19:00,0.019,3.066
2023-01-05 23:00,2023-01-05 20:00,0.025,3.242
2023-01-06 00:00,2023-01-05 21:00,0.018,3.025
2023-01-06 01:00,2023-01-05 22:00,0.015,2.911
2023-01-06 02:00,2023-01-05 23:00,0.006,2.461
2023-01-06 03:00,2023-01-06 00:00,0,1.343
2023-01-06 04:00,2023-01-06 01:00,0,0.419
2023-01-06 05:00,2023-01-06 02:00,0.001,1.861
2023-01-06 06:00,2023-01-06 03:00,0.023,3.191
2023-01-06 07:00,2023-01-06 04:00,0.067,4.137
2023-01-06 08:00,2023-01-06 05:00,0.093,4.550
2023-01-06 09:00,2023-01-06 06:00,0.050,3.831
2023-01-06 10:00,2023-01-06 07:00,0.006,2.442
2023-01-06 11:00,2023-01-06 08:00,0.029,3.356
2023-01-06 12:00,2023-01-06 09:00,0.033,3.458
2023-01-06 13:00,2023-01-06 10:00,0.033,3.446
2023-01-06 14:00,2023-01-06 11:00,0.031,3.412
2023-01-06 15:00,2023-01-06 12:00,0.030,3.374
2023-01-06 16:00,2023-01-06 13:00,0.024,3.210
2023-01-06 17:00,2023-01-06 14:00,0.016,2.955
2023-01-06 18:00,2023-01-06 15:00,0.006,2.496
2023-01-06 19:00,2023-01-06 16:00,0.001,1.898
2023-01-06 20:00,2023-01-06 17:00,0.005,2.352
2023-01-06 21:00,2023-01-06 18:00,0.023,3.180
2023-01-06 22:00,2023-01-06 19:00,0.048,3.796
2023-01-06 23:00,2023-01-06 20:00,0.058,3.992
2023-01-07 00:00,2023-01-06 21:00,0.045,3.738
2023-01-07 01:00,2023-01-06 22:00,0.035,3.485
2023-01-07 02:00,2023-01-06 23:00,0.025,3.258
2023-01-07 03:00,2023-01-07 00:00,0.012,2.783
2023-01-07 04:00,2023-01-07 01:00,0.003,2.187
2023-01-07 05:00,2023-01-07 02:00,0,1.607
2023-01-07 06:00,2023-01-07 03:00,0,1.229
2023-01-07 07:00,2023-01-07 04:00,0,1.166
2023-01-07 08:00,2023-01-07 05:00,0,0.982
2023-01-07 09:00,2023-01-07 06:00,0,0.672
2023-01-07 10:00,2023-01-07 07:00,0,1.150
2023-01-07 11:00,2023-01-07 08:00,0.001,1.718
2023-01-07 12:00,2023-01-07 09:00,0.002,2.054
2023-01-07 13:00,2023-01-07 10:00,0.008,2.595
2023-01-07 14:00,2023-01-07 11:00,0.017,2.986
2023-01-07 15:00,2023-01-07 12:00,0.021,3.124
2023-01-07 16:00,2023-01-07 13:00,0.022,3.147
2023-01-07 17:00,2023-01-07 14:00,0.019,3.052
2023-01-07 18:00,2023-01-07 15:00,0.008,2.557
2023-01-07 19:00,2023-01-07 16:00,0.001,1.864
2023-01-07 20:00,2023-01-07 17:00,0.002,2.137
2023-01-07 21:00,2023-01-07 18:00,0.017,2.990
2023-01-07 22:00,2023-01-07 19:00,0.047,3.778
2023-01-07 23:00,2023-01-07 20:00,0.078,4.326
2023-01-08 00:00,2023-01-07 21:00,0.093,4.545
2023-01-08 01:00,2023-01-07 22:00,0.081,4.370
2023-01-08 02:00,2023-01-07 23:00,0.057,3.959
2023-01-08 03:00,2023-01-08 00:00,0.041,3.639
2023-01-08 04:00,2023-01-08 01:00,0.020,3.091
2023-01-08 05:00,2023-01-08 02:00,0.002,2.105
2023-01-08 06:00,2023-01-08 03:00,0.002,2.105
2023-01-08 07:00,2023-01-08 04:00,0.041,3.631
2023-01-08 08:00,2023-01-08 05:00,0.082,4.383
2023-01-08 09:00,2023-01-08 06:00,0.059,4.004
2023-01-08 10:00,2023-01-08 07:00,0.009,2.634
2023-01-08 11:00,2023-01-08 08:00,0.036,3.540
2023-01-08 12:00,2023-01-08 09:00,0.034,3.463
2023-01-08 13:00,2023-01-08 10:00,0.030,3.371
2023-01-08 14:00,2023-01-08 11:00,0.032,3.436
2023-01-08 15:00,2023-01-08 12:00,0.031,3.411
2023-01-08 16:00,2023-01-08 13:00,0.025,3.246
2023-01-08 17:00,2023-01-08 14:00,0.020,3.087
2023-01-08 18:00,2023-01-08 15:00,0.014,2.860
2023-01-08 19:00,2023-01-08 16:00,0.003,2.235
2023-01-08 20:00,2023-01-08 17:00,0.006,2.482
2023-01-08 21:00,2023-01-08 18:00,0.047,3.761
2023-01-08 22:00,2023-01-08 19:00,0.093,4.546
2023-01-08 23:00,2023-01-08 20:00,0.093,4.558
2023-01-09 00:00,2023-01-08 21:00,0.065,4.106
2023-01-09 01:00,2023-01-08 22:00,0.033,3.458
2023-01-09 02:00,2023-01-08 23:00,0.006,2.460
2023-01-09 03:00,2023-01-09 00:00,0,1.412
2023-01-09 04:00,2023-01-09 01:00,0.003,2.150
2023-01-09 05:00,2023-01-09 02:00,0.058,3.977
2023-01-09 06:00,2023-01-09 03:00,0.107,4.752
2023-01-09 07:00,2023-01-09 04:00,0.087,4.467
2023-01-09 08:00,2023-01-09 05:00,0.048,3.792
2023-01-09 09:00,2023-01-09 06:00,0.013,2.832
2023-01-09 10:00,2023-01-09 07:00,0.003,2.216
2023-01-09 11:00,2023-01-09 08:00,0.014,2.895
2023-01-09 12:00,2023-01-09 09:00,0.084,4.404
2023-01-09 13:00,2023-01-09 10:00,0.105,4.719
2023-01-09 14:00,2023-01-09 11:00,0.089,4.492
2023-01-09 15:00,2023-01-09 12:00,0.054,3.897
2023-01-09 16:00,2023-01-09 13:00,0.017,2.986
2023-01-09 17:00,2023-01-09 14:00,0.001,1.952
2023-01-09 18:00,2023-01-09 15:00,0,0.866
2023-01-09 19:00,2023-01-09 16:00,0,0.354
2023-01-09 20:00,2023-01-09 17:00,0,0.594
2023-01-09 21:00,2023-01-09 18:00,0,1.273
2023-01-09 22:00,2023-01-09 19:00,0.001,1.890
2023-01-09 23:00,2023-01-09 20:00,0.005,2.426
2023-01-10 00:00,2023-01-09 21:00,0.016,2.961
2023-01-10 01:00,2023-01-09 22:00,0.037,3.549
2023-01-10 02:00,2023-01-09 23:00,0.062,4.059
2023-01-10 03:00,2023-01-10 00:00,0.084,4.406
2023-01-10 04:00,2023-01-10 01:00,0.084,4.411
2023-01-10 05:00,2023-01-10 02:00,0.051,3.843
2023-01-10 06:00,2023-01-10 03:00,0.023,3.193
2023-01-10 07:00,2023-01-10 04:00,0.024,3.203
2023-01-10 08:00,2023-01-10 05:00,0.050,3.833
2023-01-10 09:00,2023-01-10 06:00,0.065,4.104
2023-01-10 10:00,2023-01-10 07:00,0.020,3.092
2023-01-10 11:00,2023-01-10 08:00,0.069,4.177
2023-01-10 12:00,2023-01-10 09:00,0.085,4.435
2023-01-10 13:00,2023-01-10 10:00,0.066,4.124
2023-01-10 14:00,2023-01-10 11:00,0.057,3.950
2023-01-10 15:00,2023-01-10 12:00,0.041,3.638
2023-01-10 16:00,2023-01-10 13:00,0.020,3.101
2023-01-10 17:00,2023-01-10 14:00,0.005,2.424
2023-01-10 18:00,2023-01-10 15:00,0,1.643
2023-01-10 19:00,2023-01-10 16:00,0,1.015
2023-01-10 20:00,2023-01-10 17:00,0,1.164
2023-01-10 21:00,2023-01-10 18:00,0.001,1.711
2023-01-10 22:00,2023-01-10 19:00,0.002,2.026
2023-01-10 23:00,2023-01-10 20:00,0.003,2.153
2023-01-11 00:00,2023-01-10 21:00,0.002,2.113
2023-01-11 01:00,2023-01-10 22:00,0.001,1.836
2023-01-11 02:00,2023-01-10 23:00,0,1.263
2023-01-11 03:00,2023-01-11 00:00,0,0.990
2023-01-11 04:00,2023-01-11 01:00,0,1.662
2023-01-11 05:00,2023-01-11 02:00,0.014,2.864
2023-01-11 06:00,2023-01-11 03:00,0.073,4.244
2023-01-11 07:00,2023-01-11 04:00,0.116,4.866
2023-01-11 08:00,2023-01-11 05:00,0.106,4.741
2023-01-11 09:00,2023-01-11 06:00,0.060,4.021
2023-01-11 10:00,2023-01-11 07:00,0.018,3.040
2023-01-11 11:00,2023-01-11 08:00,0.052,3.868
2023-01-11 12:00,2023-01-11 09:00,0.081,4.365
2023-01-11 13:00,2023-01-11 10:00,0.104,4.710
2023-01-11 14:00,2023-01-11 11:00,0.087,4.462
2023-01-11 15:00,2023-01-11 12:00,0.048,3.781
2023-01-11 16:00,2023-01-11 13:00,0.022,3.168
2023-01-11 17:00,2023-01-11 14:00,0.012,2.774
2023-01-11 18:00,2023-01-11 15:00,0.004,2.312
2023-01-11 19:00,2023-01-11 16:00,0,1.486
2023-01-11 20:00,2023-01-11 17:00,0,1.561
2023-01-11 21:00,2023-01-11 18:00,0.001,1.827
2023-01-11 22:00,2023-01-11 19:00,0.002,2.064
2023-01-11 23:00,2023-01-11 20:00,0.003,2.175
2023-01-12 00:00,2023-01-11 21:00,0.003,2.187
