# Renewables.ninja Weather (Point API) - -22.838, -43.309 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-22.837643302555122", "lon": "-43.30915157048124", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2021-01-01", "date_to": "2021-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2020-12-31 21:00,25.223,0.077,1.145,0,0,0.571
2021-01-01 01:00,2020-12-31 22:00,24.654,0.087,1.147,0,0,0.741
2021-01-01 02:00,2020-12-31 23:00,24.169,0.086,1.147,0,0,0.769
2021-01-01 03:00,2021-01-01 00:00,24.013,0.084,1.147,0,0,0.745
2021-01-01 04:00,2021-01-01 01:00,23.962,0.080,1.146,0,0,0.784
2021-01-01 05:00,2021-01-01 02:00,23.875,0.084,1.145,0,0,0.814
2021-01-01 06:00,2021-01-01 03:00,23.795,0.089,1.145,0,0,0.758
2021-01-01 07:00,2021-01-01 04:00,23.708,0.067,1.146,0,0,0.645
2021-01-01 08:00,2021-01-01 05:00,23.756,0.052,1.147,25.962,99.441,0.663
2021-01-01 09:00,2021-01-01 06:00,24.613,0.054,1.147,142.012,403.776,0.668
2021-01-01 10:00,2021-01-01 07:00,25.695,0.072,1.145,289.793,701.452,0.683
2021-01-01 11:00,2021-01-01 08:00,26.740,0.054,1.142,424.070,965.793,0.709
2021-01-01 12:00,2021-01-01 09:00,27.591,0.018,1.139,576.354,1178.965,0.681
2021-01-01 13:00,2021-01-01 10:00,28.329,0.029,1.137,733.308,1326.412,0.774
2021-01-01 14:00,2021-01-01 11:00,28.680,0.049,1.135,764.988,1398.058,0.837
2021-01-01 15:00,2021-01-01 12:00,28.774,0.079,1.133,728.524,1388.589,0.890
2021-01-01 16:00,2021-01-01 13:00,28.544,0.136,1.133,630.074,1299.458,0.916
2021-01-01 17:00,2021-01-01 14:00,27.814,0.299,1.136,482.879,1136.180,0.926
2021-01-01 18:00,2021-01-01 15:00,26.535,0.762,1.141,288.844,910.026,0.925
2021-01-01 19:00,2021-01-01 16:00,25.232,1.250,1.146,138.209,636.336,0.926
