# Renewables.ninja Weather (Point API) - -22.838, -43.309 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-22.837643302555122", "lon": "-43.30915157048124", "date_from": "2017-01-01", "date_to": "2017-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2017-01-01 00:00,2016-12-31 22:00,26.291,0.070,1.137,0,0,0.870
2017-01-01 01:00,2016-12-31 23:00,25.968,0.079,1.139,0,0,0.845
2017-01-01 02:00,2017-01-01 00:00,25.615,0.119,1.140,0,0,0.798
2017-01-01 03:00,2017-01-01 01:00,25.298,0.201,1.142,0,0,0.768
2017-01-01 04:00,2017-01-01 02:00,24.994,0.213,1.143,0,0,0.752
2017-01-01 05:00,2017-01-01 03:00,24.699,0.178,1.144,0,0,0.739
2017-01-01 06:00,2017-01-01 04:00,24.443,0.104,1.145,0,0,0.746
2017-01-01 07:00,2017-01-01 05:00,24.211,0.027,1.146,0,0,0.737
2017-01-01 08:00,2017-01-01 06:00,24.242,0.017,1.148,19.193,99.463,0.660
2017-01-01 09:00,2017-01-01 07:00,24.920,0.013,1.148,137.418,403.864,0.573
2017-01-01 10:00,2017-01-01 08:00,25.864,0.015,1.145,304.278,701.595,0.557
2017-01-01 11:00,2017-01-01 09:00,27.390,0.011,1.141,519.789,966.043,0.496
2017-01-01 12:00,2017-01-01 10:00,28.965,0.006,1.135,722.770,1179.366,0.526
2017-01-01 13:00,2017-01-01 11:00,30.535,0.006,1.129,874.683,1326.626,0.564
2017-01-01 14:00,2017-01-01 12:00,31.787,0.009,1.123,935.040,1398.157,0.707
2017-01-01 15:00,2017-01-01 13:00,32.382,0.021,1.120,889.270,1389.089,0.746
2017-01-01 16:00,2017-01-01 14:00,32.166,0.037,1.119,745.532,1299.811,0.775
2017-01-01 17:00,2017-01-01 15:00,31.422,0.058,1.120,577.948,1136.532,0.732
2017-01-01 18:00,2017-01-01 16:00,30.308,0.110,1.124,396.561,910.218,0.630
2017-01-01 19:00,2017-01-01 17:00,29.306,0.136,1.128,247.743,636.466,0.533
2017-01-01 20:00,2017-01-01 18:00,28.226,0.164,1.131,112.514,333.906,0.474
2017-01-01 21:00,2017-01-01 19:00,27.160,0.145,1.134,11.384,51.020,0.533
2017-01-01 22:00,2017-01-01 20:00,26.605,0.157,1.136,0,0,0.638
2017-01-01 23:00,2017-01-01 21:00,26.387,0.168,1.137,0,0,0.712
2017-01-02 00:00,2017-01-01 22:00,26.200,0.169,1.138,0,0,0.828
2017-01-02 01:00,2017-01-01 23:00,25.871,0.142,1.138,0,0,0.875
2017-01-02 02:00,2017-01-02 00:00,25.574,0.096,1.138,0,0,0.829
2017-01-02 03:00,2017-01-02 01:00,25.301,0.064,1.138,0,0,0.813
2017-01-02 04:00,2017-01-02 02:00,25.069,0.042,1.139,0,0,0.834
