# Renewables.ninja Weather (Point API) - -7.482, -44.417 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-7.482138661877258", "lon": "-44.41686459661807", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2021-01-01", "date_to": "2021-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2020-12-31 21:00,29.845,0.009,1.102,0,0,0.234
2021-01-01 01:00,2020-12-31 22:00,28.941,0.011,1.106,0,0,0.245
2021-01-01 02:00,2020-12-31 23:00,28.139,0.012,1.109,0,0,0.262
2021-01-01 03:00,2021-01-01 00:00,27.391,0.012,1.112,0,0,0.298
2021-01-01 04:00,2021-01-01 01:00,26.721,0.011,1.114,0,0,0.321
2021-01-01 05:00,2021-01-01 02:00,26.098,0.010,1.117,0,0,0.429
2021-01-01 06:00,2021-01-01 03:00,25.709,0,1.120,0,0,0.696
2021-01-01 07:00,2021-01-01 04:00,25.320,0,1.122,0,0,0.813
2021-01-01 08:00,2021-01-01 05:00,24.982,0,1.125,1.972,10.768,0.702
2021-01-01 09:00,2021-01-01 06:00,25.668,0,1.124,88.958,251.783,0.646
2021-01-01 10:00,2021-01-01 07:00,28.660,0,1.117,290.893,573.744,0.550
2021-01-01 11:00,2021-01-01 08:00,31.631,0,1.111,575.061,861.620,0.487
2021-01-01 12:00,2021-01-01 09:00,33.576,0,1.106,755.940,1095.788,0.608
2021-01-01 13:00,2021-01-01 10:00,34.902,0.001,1.102,847.535,1260.007,0.829
2021-01-01 14:00,2021-01-01 11:00,35.939,0.001,1.099,894.896,1343.242,0.875
2021-01-01 15:00,2021-01-01 12:00,36.480,0.001,1.096,855.685,1339.527,0.858
2021-01-01 16:00,2021-01-01 13:00,36.866,0.001,1.093,784.057,1249.760,0.865
2021-01-01 17:00,2021-01-01 14:00,36.755,0.001,1.091,625.159,1079.944,0.896
2021-01-01 18:00,2021-01-01 15:00,36.014,0.001,1.090,397.405,841.095,0.892
2021-01-01 19:00,2021-01-01 16:00,34.959,0,1.091,200.857,549.719,0.885
2021-01-01 20:00,2021-01-01 17:00,33.738,0,1.092,68.049,225.829,0.852
2021-01-01 21:00,2021-01-01 18:00,31.891,0,1.096,0.978,5.168,0.790
2021-01-01 22:00,2021-01-01 19:00,30.890,0,1.099,0,0,0.835
2021-01-01 23:00,2021-01-01 20:00,30.116,0,1.103,0,0,0.872
2021-01-02 00:00,2021-01-01 21:00,29.409,0,1.107,0,0,0.879
2021-01-02 01:00,2021-01-01 22:00,28.755,0,1.109,0,0,0.872
2021-01-02 02:00,2021-01-01 23:00,28.147,0,1.111,0,0,0.865
2021-01-02 03:00,2021-01-02 00:00,27.649,0,1.113,0,0,0.860
2021-01-02 04:00,2021-01-02 01:00,27.178,0,1.114,0,0,0.866
2021-01-02 05:00,2021-01-02 02:00,26.740,0,1.116,0,0,0.884
2021-01-02 06:00,2021-01-02 03:00,26.320,0,1.118,0,0,0.921
2021-01-02 07:00,2021-01-02 04:00,25.936,0,1.120,0,0,0.918
2021-01-02 08:00,2021-01-02 05:00,25.564,0,1.122,1.702,10.703,0.914
2021-01-02 09:00,2021-01-02 06:00,26.052,0,1.122,69.075,251.601,0.899
2021-01-02 10:00,2021-01-02 07:00,28.102,0,1.117,210.171,573.753,0.915
2021-01-02 11:00,2021-01-02 08:00,30.355,0,1.111,369.583,861.879,0.872
2021-01-02 12:00,2021-01-02 09:00,32.204,0.201,1.107,555.534,1095.838,0.759
2021-01-02 13:00,2021-01-02 10:00,33.473,0.346,1.104,700.041,1260.507,0.661
2021-01-02 14:00,2021-01-02 11:00,34.437,0.349,1.101,804.886,1343.742,0.545
2021-01-02 15:00,2021-01-02 12:00,35.121,0.308,1.098,826.065,1340.477,0.524
2021-01-02 16:00,2021-01-02 13:00,35.360,0.272,1.095,750.332,1250.260,0.794
2021-01-02 17:00,2021-01-02 14:00,35.195,0.246,1.093,630.554,1080.428,0.909
2021-01-02 18:00,2021-01-02 15:00,34.579,0.226,1.093,456.393,841.345,0.819
2021-01-02 19:00,2021-01-02 16:00,33.456,0.148,1.095,252.318,549.719,0.652
2021-01-02 20:00,2021-01-02 17:00,31.986,0.096,1.097,86.853,225.704,0.537
2021-01-02 21:00,2021-01-02 18:00,29.891,0.102,1.101,1.135,5.117,0.525
2021-01-02 22:00,2021-01-02 19:00,28.795,0.115,1.106,0,0,0.618
2021-01-02 23:00,2021-01-02 20:00,27.899,0.138,1.109,0,0,0.672
2021-01-03 00:00,2021-01-02 21:00,27.100,0.162,1.112,0,0,0.682
2021-01-03 01:00,2021-01-02 22:00,26.443,0.238,1.114,0,0,0.630
2021-01-03 02:00,2021-01-02 23:00,25.896,0.332,1.114,0,0,0.591
2021-01-03 03:00,2021-01-03 00:00,25.446,0.480,1.115,0,0,0.638
2021-01-03 04:00,2021-01-03 01:00,25.143,0.651,1.116,0,0,0.640
2021-01-03 05:00,2021-01-03 02:00,24.916,0.661,1.118,0,0,0.555
2021-01-03 06:00,2021-01-03 03:00,24.716,0.678,1.119,0,0,0.549
2021-01-03 07:00,2021-01-03 04:00,24.506,0.477,1.121,0,0,0.675
2021-01-03 08:00,2021-01-03 05:00,24.120,0.324,1.124,0.933,10.629,0.800
2021-01-03 09:00,2021-01-03 06:00,24.083,0.315,1.126,40.965,251.472,0.870
2021-01-03 10:00,2021-01-03 07:00,24.659,0.628,1.126,124.895,573.977,0.863
2021-01-03 11:00,2021-01-03 08:00,25.419,1.284,1.125,213.719,862.129,0.824
2021-01-03 12:00,2021-01-03 09:00,26.399,0.469,1.122,300.076,1096.306,0.667
2021-01-03 13:00,2021-01-03 10:00,28.035,0.688,1.117,468.242,1261.007,0.577
2021-01-03 14:00,2021-01-03 11:00,29.711,0.867,1.112,611.525,1344.275,0.503
2021-01-03 15:00,2021-01-03 12:00,30.525,1.156,1.107,580.537,1341.009,0.594
2021-01-03 16:00,2021-01-03 13:00,30.597,1.445,1.105,496.533,1251.211,0.642
2021-01-03 17:00,2021-01-03 14:00,30.162,1.519,1.104,366.940,1080.477,0.823
2021-01-03 18:00,2021-01-03 15:00,29.167,1.054,1.105,202.397,841.595,0.825
2021-01-03 19:00,2021-01-03 16:00,28.230,0.474,1.107,108.307,549.728,0.826
2021-01-03 20:00,2021-01-03 17:00,27.184,0.246,1.110,35.733,225.516,0.820
2021-01-03 21:00,2021-01-03 18:00,26.162,0.144,1.113,0.445,5.064,0.818
2021-01-03 22:00,2021-01-03 19:00,25.856,0.094,1.114,0,0,0.786
2021-01-03 23:00,2021-01-03 20:00,25.755,0.069,1.116,0,0,0.780
2021-01-04 00:00,2021-01-03 21:00,25.600,0.055,1.116,0,0,0.767
2021-01-04 01:00,2021-01-03 22:00,25.225,0.042,1.117,0,0,0.759
2021-01-04 02:00,2021-01-03 23:00,24.716,0.031,1.117,0,0,0.765
2021-01-04 03:00,2021-01-04 00:00,24.305,0.032,1.118,0,0,0.715
2021-01-04 04:00,2021-01-04 01:00,24.083,0.043,1.119,0,0,0.592
2021-01-04 05:00,2021-01-04 02:00,23.867,0.049,1.120,0,0,0.660
2021-01-04 06:00,2021-01-04 03:00,23.657,0.054,1.121,0,0,0.662
2021-01-04 07:00,2021-01-04 04:00,23.538,0.062,1.123,0,0,0.695
2021-01-04 08:00,2021-01-04 05:00,23.600,0.070,1.125,1.660,10.552,0.669
2021-01-04 09:00,2021-01-04 06:00,24.526,0.079,1.125,77.809,251.285,0.500
2021-01-04 10:00,2021-01-04 07:00,26.765,0.103,1.120,250.947,573.978,0.365
2021-01-04 11:00,2021-01-04 08:00,28.665,0.142,1.116,481.058,862.379,0.541
2021-01-04 12:00,2021-01-04 09:00,29.611,0.054,1.113,511.114,1096.806,0.870
2021-01-04 13:00,2021-01-04 10:00,30.405,0.057,1.111,559.649,1261.508,0.927
2021-01-04 14:00,2021-01-04 11:00,31.173,0.063,1.108,600.074,1344.791,0.831
2021-01-04 15:00,2021-01-04 12:00,31.967,0.058,1.105,658.210,1341.509,0.724
2021-01-04 16:00,2021-01-04 13:00,32.306,0.045,1.103,590.059,1251.743,0.623
2021-01-04 17:00,2021-01-04 14:00,32.303,0.038,1.102,501.034,1080.944,0.553
2021-01-04 18:00,2021-01-04 15:00,31.963,0.035,1.101,367.516,841.845,0.556
2021-01-04 19:00,2021-01-04 16:00,31.174,0.030,1.102,199.014,549.969,0.664
2021-01-04 20:00,2021-01-04 17:00,29.936,0.027,1.104,62.026,225.329,0.656
2021-01-04 21:00,2021-01-04 18:00,28.008,0.025,1.108,0.778,5.005,0.644
2021-01-04 22:00,2021-01-04 19:00,27.202,0.022,1.111,0,0,0.769
2021-01-04 23:00,2021-01-04 20:00,26.555,0.022,1.114,0,0,0.787
2021-01-05 00:00,2021-01-04 21:00,25.976,0.017,1.116,0,0,0.825
2021-01-05 01:00,2021-01-04 22:00,25.473,0.015,1.118,0,0,0.869
2021-01-05 02:00,2021-01-04 23:00,25.013,0.013,1.119,0,0,0.880
