# Renewables.ninja Weather (Point API) - -7.482, -44.417 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Fortaleza, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Fortaleza", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-7.482138661877258", "lon": "-44.41686459661807", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2018-01-01 00:00,2017-12-31 21:00,27.974,0.002,1.106,0,0,0.154
2018-01-01 01:00,2017-12-31 22:00,27.414,0.001,1.108,0,0,0.337
2018-01-01 02:00,2017-12-31 23:00,27.019,0,1.109,0,0,0.670
2018-01-01 03:00,2018-01-01 00:00,26.824,0.001,1.110,0,0,0.865
2018-01-01 04:00,2018-01-01 01:00,26.838,0.001,1.111,0,0,0.923
2018-01-01 05:00,2018-01-01 02:00,26.925,0.001,1.112,0,0,0.946
2018-01-01 06:00,2018-01-01 03:00,26.813,0.001,1.113,0,0,0.959
2018-01-01 07:00,2018-01-01 04:00,26.385,0,1.115,0,0,0.945
2018-01-01 08:00,2018-01-01 05:00,25.771,0,1.117,2.098,10.787,0.771
2018-01-01 09:00,2018-01-01 06:00,26.725,0.017,1.119,103.585,251.843,0.535
2018-01-01 10:00,2018-01-01 07:00,28.997,0.081,1.115,305.096,573.753,0.482
2018-01-01 11:00,2018-01-01 08:00,31.035,0.157,1.111,553.396,861.629,0.429
2018-01-01 12:00,2018-01-01 09:00,32.836,0.151,1.108,802.958,1095.789,0.150
2018-01-01 13:00,2018-01-01 10:00,34.078,0.155,1.104,909.826,1260.007,0.135
2018-01-01 14:00,2018-01-01 11:00,34.866,0.134,1.101,928.738,1343.242,0.158
2018-01-01 15:00,2018-01-01 12:00,35.587,0.071,1.098,951.357,1339.977,0.128
2018-01-01 16:00,2018-01-01 13:00,36.040,0.042,1.096,906.027,1249.760,0.100
2018-01-01 17:00,2018-01-01 14:00,36.029,0.026,1.093,772.956,1079.944,0.071
2018-01-01 18:00,2018-01-01 15:00,35.542,0.022,1.092,588.699,841.095,0.061
2018-01-01 19:00,2018-01-01 16:00,34.466,0.021,1.093,354.909,549.719,0.067
2018-01-01 20:00,2018-01-01 17:00,32.789,0.010,1.095,111.628,225.891,0.092
2018-01-01 21:00,2018-01-01 18:00,30.274,0.009,1.099,1.243,5.180,0.104
2018-01-01 22:00,2018-01-01 19:00,29.130,0.005,1.103,0,0,0.042
2018-01-01 23:00,2018-01-01 20:00,28.281,0.002,1.106,0,0,0.043
2018-01-02 00:00,2018-01-01 21:00,27.507,0.001,1.109,0,0,0.045
2018-01-02 01:00,2018-01-01 22:00,26.767,0.001,1.110,0,0,0.046
2018-01-02 02:00,2018-01-01 23:00,26.118,0.001,1.111,0,0,0.039
2018-01-02 03:00,2018-01-02 00:00,25.548,0.003,1.112,0,0,0.061
2018-01-02 04:00,2018-01-02 01:00,25.078,0.007,1.113,0,0,0.088
2018-01-02 05:00,2018-01-02 02:00,24.679,0.006,1.114,0,0,0.321
2018-01-02 06:00,2018-01-02 03:00,24.324,0.002,1.115,0,0,0.664
2018-01-02 07:00,2018-01-02 04:00,23.959,0,1.118,0,0,0.901
2018-01-02 08:00,2018-01-02 05:00,23.554,0,1.120,3.305,10.722,0.929
2018-01-02 09:00,2018-01-02 06:00,25.440,0.006,1.123,118.358,251.664,0.933
2018-01-02 10:00,2018-01-02 07:00,27.815,0.018,1.118,215.951,573.977,0.966
2018-01-02 11:00,2018-01-02 08:00,30.333,0.061,1.112,416.256,861.879,0.891
2018-01-02 12:00,2018-01-02 09:00,32.932,0.082,1.106,799.739,1096.288,0.724
2018-01-02 13:00,2018-01-02 10:00,34.118,0.105,1.102,813.412,1260.507,0.631
2018-01-02 14:00,2018-01-02 11:00,35.065,0.115,1.099,902.223,1343.742,0.553
2018-01-02 15:00,2018-01-02 12:00,35.617,0.101,1.095,851.813,1340.477,0.452
2018-01-02 16:00,2018-01-02 13:00,36.134,0.077,1.092,820.081,1250.260,0.383
2018-01-02 17:00,2018-01-02 14:00,36.023,0.060,1.090,665.736,1080.428,0.376
2018-01-02 18:00,2018-01-02 15:00,35.214,0.046,1.090,442.652,841.345,0.438
2018-01-02 19:00,2018-01-02 16:00,34.107,0.036,1.092,267.625,549.727,0.431
2018-01-02 20:00,2018-01-02 17:00,32.634,0.028,1.095,90.869,225.766,0.435
2018-01-02 21:00,2018-01-02 18:00,30.553,0.016,1.098,0.983,5.131,0.579
2018-01-02 22:00,2018-01-02 19:00,29.656,0.013,1.102,0,0,0.597
2018-01-02 23:00,2018-01-02 20:00,28.700,0.008,1.105,0,0,0.610
2018-01-03 00:00,2018-01-02 21:00,27.806,0.004,1.108,0,0,0.705
2018-01-03 01:00,2018-01-02 22:00,27.096,0.003,1.110,0,0,0.773
2018-01-03 02:00,2018-01-02 23:00,26.464,0.003,1.111,0,0,0.839
2018-01-03 03:00,2018-01-03 00:00,25.960,0.002,1.111,0,0,0.893
2018-01-03 04:00,2018-01-03 01:00,25.649,0.002,1.112,0,0,0.921
2018-01-03 05:00,2018-01-03 02:00,25.504,0.003,1.113,0,0,0.912
2018-01-03 06:00,2018-01-03 03:00,25.179,0.003,1.115,0,0,0.896
2018-01-03 07:00,2018-01-03 04:00,24.562,0.003,1.117,0,0,0.905
2018-01-03 08:00,2018-01-03 05:00,24.004,0.014,1.121,2.804,10.649,0.923
2018-01-03 09:00,2018-01-03 06:00,25.384,0.047,1.123,103.739,251.535,0.933
2018-01-03 10:00,2018-01-03 07:00,27.531,0.117,1.119,302.484,573.978,0.939
2018-01-03 11:00,2018-01-03 08:00,29.516,0.188,1.115,510.784,862.129,0.929
2018-01-03 12:00,2018-01-03 09:00,31.645,0.045,1.110,734.542,1096.306,0.931
2018-01-03 13:00,2018-01-03 10:00,33.221,0.061,1.106,836.319,1261.007,0.918
2018-01-03 14:00,2018-01-03 11:00,34.348,0.071,1.102,876.775,1344.275,0.715
2018-01-03 15:00,2018-01-03 12:00,35.238,0.057,1.098,873.297,1341.009,0.583
2018-01-03 16:00,2018-01-03 13:00,35.775,0.038,1.095,805.802,1251.211,0.609
2018-01-03 17:00,2018-01-03 14:00,36.093,0.033,1.092,727.144,1080.477,0.654
2018-01-03 18:00,2018-01-03 15:00,35.798,0.025,1.091,557.874,841.595,0.697
2018-01-03 19:00,2018-01-03 16:00,34.691,0.020,1.092,305.106,549.953,0.690
2018-01-03 20:00,2018-01-03 17:00,33.040,0.014,1.095,79.480,225.579,0.738
2018-01-03 21:00,2018-01-03 18:00,30.798,0.012,1.098,0.891,5.078,0.887
2018-01-03 22:00,2018-01-03 19:00,29.781,0.014,1.103,0,0,0.956
2018-01-03 23:00,2018-01-03 20:00,28.805,0.014,1.106,0,0,0.952
2018-01-04 00:00,2018-01-03 21:00,28.021,0.013,1.110,0,0,0.949
2018-01-04 01:00,2018-01-03 22:00,27.318,0.011,1.112,0,0,0.946
2018-01-04 02:00,2018-01-03 23:00,26.707,0.010,1.113,0,0,0.946
2018-01-04 03:00,2018-01-04 00:00,26.423,0.009,1.114,0,0,0.939
2018-01-04 04:00,2018-01-04 01:00,26.235,0.005,1.116,0,0,0.891
2018-01-04 05:00,2018-01-04 02:00,25.925,0.005,1.117,0,0,0.880
2018-01-04 06:00,2018-01-04 03:00,25.264,0.005,1.119,0,0,0.867
2018-01-04 07:00,2018-01-04 04:00,24.636,0.006,1.121,0,0,0.831
2018-01-04 08:00,2018-01-04 05:00,24.271,0.007,1.124,2.915,10.571,0.681
2018-01-04 09:00,2018-01-04 06:00,25.672,0.014,1.124,121.221,251.408,0.740
2018-01-04 10:00,2018-01-04 07:00,28.223,0.030,1.119,329.444,574.003,0.908
2018-01-04 11:00,2018-01-04 08:00,29.711,0.049,1.116,447.270,862.379,0.946
2018-01-04 12:00,2018-01-04 09:00,30.596,0.003,1.114,509.202,1096.806,0.947
2018-01-04 13:00,2018-01-04 10:00,31.441,0.003,1.112,579.361,1261.508,0.915
2018-01-04 14:00,2018-01-04 11:00,32.701,0.003,1.109,748.461,1344.791,0.698
2018-01-04 15:00,2018-01-04 12:00,33.618,0.003,1.106,782.022,1341.509,0.663
2018-01-04 16:00,2018-01-04 13:00,33.735,0.002,1.103,673.971,1251.743,0.809
2018-01-04 17:00,2018-01-04 14:00,33.013,0.002,1.103,464.637,1080.944,0.851
2018-01-04 18:00,2018-01-04 15:00,31.730,0.002,1.105,292.233,841.845,0.771
2018-01-04 19:00,2018-01-04 16:00,30.280,0.002,1.108,153.139,549.969,0.799
2018-01-04 20:00,2018-01-04 17:00,28.840,0.002,1.112,41.568,225.392,0.892
2018-01-04 21:00,2018-01-04 18:00,27.703,0.003,1.116,0.480,5.021,0.904
2018-01-04 22:00,2018-01-04 19:00,26.984,0.003,1.119,0,0,0.925
2018-01-04 23:00,2018-01-04 20:00,26.458,0.002,1.121,0,0,0.919
2018-01-05 00:00,2018-01-04 21:00,26.093,0.002,1.123,0,0,0.909
2018-01-05 01:00,2018-01-04 22:00,25.670,0.002,1.124,0,0,0.912
2018-01-05 02:00,2018-01-04 23:00,25.332,0.002,1.124,0,0,0.901
2018-01-05 03:00,2018-01-05 00:00,25.039,0.002,1.124,0,0,0.898
2018-01-05 04:00,2018-01-05 01:00,24.744,0.002,1.124,0,0,0.911
