# Renewables.ninja Weather (Point API) - -9.524, -44.414 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-9.52435295", "lon": "-44.41434693094406", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2023-01-01", "date_to": "2023-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2023-01-01 00:00,2022-12-31 21:00,24.141,0.001,1.107,0,0,0.776
2023-01-01 01:00,2022-12-31 22:00,23.499,0.001,1.110,0,0,0.638
2023-01-01 02:00,2022-12-31 23:00,22.902,0,1.112,0,0,0.619
2023-01-01 03:00,2023-01-01 00:00,22.480,0,1.113,0,0,0.643
2023-01-01 04:00,2023-01-01 01:00,22.059,0,1.115,0,0,0.624
2023-01-01 05:00,2023-01-01 02:00,21.593,0,1.117,0,0,0.735
2023-01-01 06:00,2023-01-01 03:00,21.165,0,1.121,0,0,0.822
2023-01-01 07:00,2023-01-01 04:00,20.724,0,1.124,0,0,0.636
2023-01-01 08:00,2023-01-01 05:00,20.403,0,1.127,5.838,16.364,0.317
2023-01-01 09:00,2023-01-01 06:00,21.836,0,1.127,158.678,270.479,0.173
2023-01-01 10:00,2023-01-01 07:00,24.674,0,1.119,408.065,590.877,0.130
2023-01-01 11:00,2023-01-01 08:00,26.962,0,1.113,649.692,877.228,0.077
2023-01-01 12:00,2023-01-01 09:00,28.904,0,1.107,849.931,1110.111,0.053
2023-01-01 13:00,2023-01-01 10:00,30.490,0,1.102,991.854,1273.300,0.048
2023-01-01 14:00,2023-01-01 11:00,31.637,0,1.098,1063.263,1356.050,0.023
2023-01-01 15:00,2023-01-01 12:00,32.309,0,1.094,1055.116,1352.771,0.013
2023-01-01 16:00,2023-01-01 13:00,32.625,0,1.092,976.609,1263.491,0.032
2023-01-01 17:00,2023-01-01 14:00,32.573,0,1.090,824.352,1094.181,0.053
2023-01-01 18:00,2023-01-01 15:00,32.076,0,1.089,606.202,856.613,0.147
2023-01-01 19:00,2023-01-01 16:00,31.035,0,1.090,321.910,566.747,0.466
2023-01-01 20:00,2023-01-01 17:00,29.220,0,1.093,108.840,244.529,0.483
2023-01-01 21:00,2023-01-01 18:00,26.597,0,1.096,2.415,9.194,0.469
2023-01-01 22:00,2023-01-01 19:00,25.713,0,1.100,0,0,0.505
2023-01-01 23:00,2023-01-01 20:00,25.032,0,1.103,0,0,0.621
2023-01-02 00:00,2023-01-01 21:00,24.321,0,1.107,0,0,0.583
2023-01-02 01:00,2023-01-01 22:00,23.452,0,1.110,0,0,0.541
2023-01-02 02:00,2023-01-01 23:00,22.634,0,1.113,0,0,0.596
2023-01-02 03:00,2023-01-02 00:00,21.849,0,1.116,0,0,0.713
2023-01-02 04:00,2023-01-02 01:00,21.238,0,1.119,0,0,0.708
2023-01-02 05:00,2023-01-02 02:00,20.815,0,1.121,0,0,0.638
2023-01-02 06:00,2023-01-02 03:00,20.627,0,1.123,0,0,0.459
2023-01-02 07:00,2023-01-02 04:00,20.462,0,1.124,0,0,0.279
2023-01-02 08:00,2023-01-02 05:00,20.417,0,1.126,5.455,16.263,0.251
2023-01-02 09:00,2023-01-02 06:00,22.307,0,1.125,150.632,270.229,0.266
2023-01-02 10:00,2023-01-02 07:00,25.325,0,1.117,398.385,590.876,0.289
2023-01-02 11:00,2023-01-02 08:00,27.613,0,1.110,635.802,877.240,0.347
2023-01-02 12:00,2023-01-02 09:00,29.222,0.010,1.106,824.773,1110.135,0.582
2023-01-02 13:00,2023-01-02 10:00,30.478,0.005,1.102,958.454,1273.800,0.686
2023-01-02 14:00,2023-01-02 11:00,31.450,0.006,1.099,1025.234,1356.550,0.831
2023-01-02 15:00,2023-01-02 12:00,32.038,0.010,1.096,1008.151,1353.271,0.945
2023-01-02 16:00,2023-01-02 13:00,32.296,0.011,1.093,925.878,1263.961,0.930
2023-01-02 17:00,2023-01-02 14:00,32.147,0.011,1.091,757.670,1094.235,0.815
2023-01-02 18:00,2023-01-02 15:00,31.453,0.011,1.090,482.596,856.640,0.642
2023-01-02 19:00,2023-01-02 16:00,30.577,0.010,1.091,275.327,566.747,0.491
2023-01-02 20:00,2023-01-02 17:00,29.200,0.012,1.093,95.260,244.335,0.360
2023-01-02 21:00,2023-01-02 18:00,27.112,0.008,1.096,1.862,9.111,0.319
2023-01-02 22:00,2023-01-02 19:00,26.358,0.005,1.099,0,0,0.266
2023-01-02 23:00,2023-01-02 20:00,25.715,0.003,1.102,0,0,0.239
2023-01-03 00:00,2023-01-02 21:00,25.146,0.003,1.105,0,0,0.230
2023-01-03 01:00,2023-01-02 22:00,24.544,0.001,1.108,0,0,0.103
2023-01-03 02:00,2023-01-02 23:00,23.866,0,1.110,0,0,0.100
2023-01-03 03:00,2023-01-03 00:00,23.272,0,1.112,0,0,0.315
2023-01-03 04:00,2023-01-03 01:00,22.751,0,1.114,0,0,0.714
2023-01-03 05:00,2023-01-03 02:00,22.326,0,1.115,0,0,0.939
2023-01-03 06:00,2023-01-03 03:00,21.914,0,1.117,0,0,0.943
2023-01-03 07:00,2023-01-03 04:00,21.560,0,1.120,0,0,0.951
2023-01-03 08:00,2023-01-03 05:00,21.542,0.001,1.122,4.706,16.154,0.941
2023-01-03 09:00,2023-01-03 06:00,23.107,0.002,1.121,135.197,270.090,0.947
2023-01-03 10:00,2023-01-03 07:00,25.857,0.017,1.114,355.897,590.876,0.940
2023-01-03 11:00,2023-01-03 08:00,27.666,0.076,1.110,552.163,877.478,0.930
2023-01-03 12:00,2023-01-03 09:00,29.178,0.065,1.107,761.998,1110.611,0.922
2023-01-03 13:00,2023-01-03 10:00,30.393,0.067,1.103,872.069,1274.300,0.940
