# Renewables.ninja Weather (Point API) - -9.524, -44.414 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Fortaleza, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Fortaleza", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-9.52435295", "lon": "-44.41434693094406", "date_from": "2017-01-01", "date_to": "2017-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2017-01-01 00:00,2016-12-31 21:00,29.901,0,1.092,0,0,0.873
2017-01-01 01:00,2016-12-31 22:00,29.108,0,1.095,0,0,0.880
2017-01-01 02:00,2016-12-31 23:00,28.372,0,1.097,0,0,0.890
2017-01-01 03:00,2017-01-01 00:00,27.868,0,1.099,0,0,0.906
2017-01-01 04:00,2017-01-01 01:00,27.460,0,1.101,0,0,0.909
2017-01-01 05:00,2017-01-01 02:00,27.038,0,1.103,0,0,0.903
2017-01-01 06:00,2017-01-01 03:00,26.639,0,1.105,0,0,0.920
2017-01-01 07:00,2017-01-01 04:00,26.385,0,1.107,0,0,0.924
2017-01-01 08:00,2017-01-01 05:00,26.103,0,1.109,1.699,16.310,0.920
2017-01-01 09:00,2017-01-01 06:00,26.799,0.001,1.110,54.485,270.347,0.885
2017-01-01 10:00,2017-01-01 07:00,28.300,0,1.107,184.169,590.642,0.872
2017-01-01 11:00,2017-01-01 08:00,29.815,0,1.104,335.686,876.979,0.859
2017-01-01 12:00,2017-01-01 09:00,31.351,0,1.101,495.769,1109.665,0.832
2017-01-01 13:00,2017-01-01 10:00,32.959,0,1.097,667.919,1273.300,0.803
2017-01-01 14:00,2017-01-01 11:00,34.263,0,1.093,755.615,1356.050,0.744
2017-01-01 15:00,2017-01-01 12:00,35.387,0,1.089,810.712,1352.748,0.659
2017-01-01 16:00,2017-01-01 13:00,36.284,0,1.085,825.581,1263.461,0.528
2017-01-01 17:00,2017-01-01 14:00,36.674,0,1.082,754.089,1094.181,0.404
2017-01-01 18:00,2017-01-01 15:00,36.401,0,1.080,581.320,856.390,0.425
2017-01-01 19:00,2017-01-01 16:00,35.498,0,1.080,357.687,566.525,0.517
2017-01-01 20:00,2017-01-01 17:00,33.943,0,1.081,116.850,244.401,0.770
2017-01-01 21:00,2017-01-01 18:00,30.894,0,1.084,2.315,9.150,0.827
2017-01-01 22:00,2017-01-01 19:00,29.798,0,1.087,0,0,0.821
2017-01-01 23:00,2017-01-01 20:00,29.061,0,1.090,0,0,0.827
2017-01-02 00:00,2017-01-01 21:00,28.324,0,1.092,0,0,0.756
2017-01-02 01:00,2017-01-01 22:00,27.711,0,1.093,0,0,0.745
2017-01-02 02:00,2017-01-01 23:00,27.224,0,1.095,0,0,0.778
2017-01-02 03:00,2017-01-02 00:00,26.967,0,1.095,0,0,0.777
2017-01-02 04:00,2017-01-02 01:00,26.841,0,1.097,0,0,0.707
2017-01-02 05:00,2017-01-02 02:00,26.629,0,1.099,0,0,0.681
2017-01-02 06:00,2017-01-02 03:00,26.362,0,1.101,0,0,0.762
2017-01-02 07:00,2017-01-02 04:00,26.271,0,1.105,0,0,0.908
2017-01-02 08:00,2017-01-02 05:00,25.909,0,1.108,2.193,16.208,0.932
2017-01-02 09:00,2017-01-02 06:00,26.523,0,1.110,62.596,270.104,0.911
2017-01-02 10:00,2017-01-02 07:00,27.992,0,1.107,178.699,590.642,0.919
2017-01-02 11:00,2017-01-02 08:00,29.590,0,1.103,354.565,877.228,0.926
2017-01-02 12:00,2017-01-02 09:00,31.204,0.167,1.099,537.158,1110.113,0.902
2017-01-02 13:00,2017-01-02 10:00,32.922,0.286,1.094,722.073,1273.800,0.924
2017-01-02 14:00,2017-01-02 11:00,34.459,0.500,1.089,817.885,1356.550,0.904
2017-01-02 15:00,2017-01-02 12:00,35.532,0.497,1.084,837.723,1353.248,0.910
2017-01-02 16:00,2017-01-02 13:00,35.784,0.494,1.081,724.483,1263.938,0.951
2017-01-02 17:00,2017-01-02 14:00,35.048,0.388,1.080,470.187,1094.206,0.957
2017-01-02 18:00,2017-01-02 15:00,34.270,0.273,1.080,313.378,856.613,0.959
2017-01-02 19:00,2017-01-02 16:00,33.443,0.146,1.081,176.685,566.513,0.956
2017-01-02 20:00,2017-01-02 17:00,32.253,0.062,1.082,58.771,244.151,0.906
2017-01-02 21:00,2017-01-02 18:00,30.259,0.020,1.085,1.401,9.067,0.886
2017-01-02 22:00,2017-01-02 19:00,29.154,0.027,1.089,0,0,0.868
2017-01-02 23:00,2017-01-02 20:00,28.036,0.048,1.094,0,0,0.841
2017-01-03 00:00,2017-01-02 21:00,26.883,0.058,1.100,0,0,0.842
2017-01-03 01:00,2017-01-02 22:00,25.899,0.045,1.105,0,0,0.852
2017-01-03 02:00,2017-01-02 23:00,25.178,0.029,1.108,0,0,0.852
2017-01-03 03:00,2017-01-03 00:00,24.772,0.018,1.110,0,0,0.856
2017-01-03 04:00,2017-01-03 01:00,24.473,0.021,1.111,0,0,0.898
2017-01-03 05:00,2017-01-03 02:00,24.246,0.028,1.112,0,0,0.935
2017-01-03 06:00,2017-01-03 03:00,24.013,0.022,1.113,0,0,0.924
2017-01-03 07:00,2017-01-03 04:00,23.752,0.019,1.114,0,0,0.865
2017-01-03 08:00,2017-01-03 05:00,23.430,0.024,1.116,3.239,16.091,0.668
2017-01-03 09:00,2017-01-03 06:00,24.318,0.107,1.115,102.645,269.854,0.496
2017-01-03 10:00,2017-01-03 07:00,26.639,0.236,1.111,301.478,590.642,0.292
