# Renewables.ninja Wind power (Point API) - -9.524, -44.414 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Sao_Paulo, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "electricity": "kW", "wind_speed": "m/s"}, "params": {"lat": "-9.52435295", "lon": "-44.41434693094406", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": "true", "local_time": "true", "header": "true", "date_from": "2023-01-01", "date_to": "2023-12-31"}}
time,local_time,electricity,wind_speed
2023-01-01 00:00,2022-12-31 21:00,0.325,6.880
2023-01-01 01:00,2022-12-31 22:00,0.323,6.861
2023-01-01 02:00,2022-12-31 23:00,0.318,6.821
2023-01-01 03:00,2023-01-01 00:00,0.329,6.908
2023-01-01 04:00,2023-01-01 01:00,0.358,7.131
2023-01-01 05:00,2023-01-01 02:00,0.378,7.276
2023-01-01 06:00,2023-01-01 03:00,0.375,7.256
2023-01-01 07:00,2023-01-01 04:00,0.386,7.342
2023-01-01 08:00,2023-01-01 05:00,0.398,7.423
2023-01-01 09:00,2023-01-01 06:00,0.319,6.825
2023-01-01 10:00,2023-01-01 07:00,0.693,9.684
2023-01-01 11:00,2023-01-01 08:00,0.720,9.927
2023-01-01 12:00,2023-01-01 09:00,0.644,9.273
2023-01-01 13:00,2023-01-01 10:00,0.525,8.356
2023-01-01 14:00,2023-01-01 11:00,0.399,7.433
2023-01-01 15:00,2023-01-01 12:00,0.297,6.652
2023-01-01 16:00,2023-01-01 13:00,0.231,6.089
2023-01-01 17:00,2023-01-01 14:00,0.187,5.674
2023-01-01 18:00,2023-01-01 15:00,0.160,5.389
2023-01-01 19:00,2023-01-01 16:00,0.139,5.147
2023-01-01 20:00,2023-01-01 17:00,0.137,5.124
2023-01-01 21:00,2023-01-01 18:00,0.216,5.950
2023-01-01 22:00,2023-01-01 19:00,0.311,6.764
2023-01-01 23:00,2023-01-01 20:00,0.358,7.132
2023-01-02 00:00,2023-01-01 21:00,0.362,7.156
2023-01-02 01:00,2023-01-01 22:00,0.355,7.104
2023-01-02 02:00,2023-01-01 23:00,0.348,7.058
2023-01-02 03:00,2023-01-02 00:00,0.329,6.912
2023-01-02 04:00,2023-01-02 01:00,0.287,6.571
2023-01-02 05:00,2023-01-02 02:00,0.258,6.327
2023-01-02 06:00,2023-01-02 03:00,0.267,6.405
2023-01-02 07:00,2023-01-02 04:00,0.291,6.600
2023-01-02 08:00,2023-01-02 05:00,0.296,6.645
2023-01-02 09:00,2023-01-02 06:00,0.264,6.374
2023-01-02 10:00,2023-01-02 07:00,0.619,9.070
2023-01-02 11:00,2023-01-02 08:00,0.677,9.545
2023-01-02 12:00,2023-01-02 09:00,0.583,8.782
2023-01-02 13:00,2023-01-02 10:00,0.455,7.846
2023-01-02 14:00,2023-01-02 11:00,0.348,7.057
2023-01-02 15:00,2023-01-02 12:00,0.271,6.437
2023-01-02 16:00,2023-01-02 13:00,0.219,5.971
2023-01-02 17:00,2023-01-02 14:00,0.188,5.687
2023-01-02 18:00,2023-01-02 15:00,0.167,5.451
2023-01-02 19:00,2023-01-02 16:00,0.149,5.270
2023-01-02 20:00,2023-01-02 17:00,0.134,5.088
2023-01-02 21:00,2023-01-02 18:00,0.149,5.262
2023-01-02 22:00,2023-01-02 19:00,0.175,5.545
2023-01-02 23:00,2023-01-02 20:00,0.186,5.659
2023-01-03 00:00,2023-01-02 21:00,0.188,5.687
2023-01-03 01:00,2023-01-02 22:00,0.220,5.984
2023-01-03 02:00,2023-01-02 23:00,0.217,5.951
2023-01-03 03:00,2023-01-03 00:00,0.179,5.587
2023-01-03 04:00,2023-01-03 01:00,0.163,5.427
2023-01-03 05:00,2023-01-03 02:00,0.180,5.606
2023-01-03 06:00,2023-01-03 03:00,0.165,5.443
2023-01-03 07:00,2023-01-03 04:00,0.115,4.851
2023-01-03 08:00,2023-01-03 05:00,0.115,4.852
2023-01-03 09:00,2023-01-03 06:00,0.101,4.653
2023-01-03 10:00,2023-01-03 07:00,0.220,5.980
2023-01-03 11:00,2023-01-03 08:00,0.220,5.994
2023-01-03 12:00,2023-01-03 09:00,0.171,5.505
2023-01-03 13:00,2023-01-03 10:00,0.126,4.990
2023-01-03 14:00,2023-01-03 11:00,0.095,4.581
2023-01-03 15:00,2023-01-03 12:00,0.084,4.421
2023-01-03 16:00,2023-01-03 13:00,0.080,4.362
2023-01-03 17:00,2023-01-03 14:00,0.084,4.409
2023-01-03 18:00,2023-01-03 15:00,0.084,4.425
2023-01-03 19:00,2023-01-03 16:00,0.088,4.472
2023-01-03 20:00,2023-01-03 17:00,0.091,4.519
2023-01-03 21:00,2023-01-03 18:00,0.136,5.116
2023-01-03 22:00,2023-01-03 19:00,0.219,5.977
2023-01-03 23:00,2023-01-03 20:00,0.265,6.394
2023-01-04 00:00,2023-01-03 21:00,0.259,6.333
2023-01-04 01:00,2023-01-03 22:00,0.255,6.307
2023-01-04 02:00,2023-01-03 23:00,0.234,6.121
2023-01-04 03:00,2023-01-04 00:00,0.170,5.499
2023-01-04 04:00,2023-01-04 01:00,0.141,5.175
2023-01-04 05:00,2023-01-04 02:00,0.115,4.852
2023-01-04 06:00,2023-01-04 03:00,0.059,4.008
2023-01-04 07:00,2023-01-04 04:00,0.010,2.707
2023-01-04 08:00,2023-01-04 05:00,0.002,2.088
2023-01-04 09:00,2023-01-04 06:00,0.004,2.315
2023-01-04 10:00,2023-01-04 07:00,0.062,4.059
2023-01-04 11:00,2023-01-04 08:00,0.161,5.403
2023-01-04 12:00,2023-01-04 09:00,0.158,5.371
2023-01-04 13:00,2023-01-04 10:00,0.112,4.802
2023-01-04 14:00,2023-01-04 11:00,0.070,4.198
2023-01-04 15:00,2023-01-04 12:00,0.048,3.788
2023-01-04 16:00,2023-01-04 13:00,0.035,3.515
2023-01-04 17:00,2023-01-04 14:00,0.025,3.249
2023-01-04 18:00,2023-01-04 15:00,0.023,3.184
2023-01-04 19:00,2023-01-04 16:00,0.026,3.287
2023-01-04 20:00,2023-01-04 17:00,0.040,3.616
2023-01-04 21:00,2023-01-04 18:00,0.072,4.234
2023-01-04 22:00,2023-01-04 19:00,0.112,4.811
2023-01-04 23:00,2023-01-04 20:00,0.146,5.227
2023-01-05 00:00,2023-01-04 21:00,0.170,5.497
2023-01-05 01:00,2023-01-04 22:00,0.188,5.680
2023-01-05 02:00,2023-01-04 23:00,0.188,5.678
2023-01-05 03:00,2023-01-05 00:00,0.164,5.433
2023-01-05 04:00,2023-01-05 01:00,0.128,5.017
2023-01-05 05:00,2023-01-05 02:00,0.092,4.526
2023-01-05 06:00,2023-01-05 03:00,0.058,3.974
2023-01-05 07:00,2023-01-05 04:00,0.038,3.575
2023-01-05 08:00,2023-01-05 05:00,0.030,3.367
2023-01-05 09:00,2023-01-05 06:00,0.016,2.947
2023-01-05 10:00,2023-01-05 07:00,0.032,3.431
2023-01-05 11:00,2023-01-05 08:00,0.115,4.852
2023-01-05 12:00,2023-01-05 09:00,0.180,5.605
2023-01-05 13:00,2023-01-05 10:00,0.227,6.059
2023-01-05 14:00,2023-01-05 11:00,0.248,6.237
2023-01-05 15:00,2023-01-05 12:00,0.237,6.148
2023-01-05 16:00,2023-01-05 13:00,0.208,5.877
2023-01-05 17:00,2023-01-05 14:00,0.166,5.445
2023-01-05 18:00,2023-01-05 15:00,0.116,4.862
2023-01-05 19:00,2023-01-05 16:00,0.071,4.213
2023-01-05 20:00,2023-01-05 17:00,0.046,3.749
2023-01-05 21:00,2023-01-05 18:00,0.031,3.416
2023-01-05 22:00,2023-01-05 19:00,0.023,3.175
2023-01-05 23:00,2023-01-05 20:00,0.017,2.991
2023-01-06 00:00,2023-01-05 21:00,0.010,2.685
2023-01-06 01:00,2023-01-05 22:00,0.007,2.554
2023-01-06 02:00,2023-01-05 23:00,0.009,2.647
2023-01-06 03:00,2023-01-06 00:00,0.007,2.531
2023-01-06 04:00,2023-01-06 01:00,0.003,2.241
2023-01-06 05:00,2023-01-06 02:00,0.001,1.932
2023-01-06 06:00,2023-01-06 03:00,0,1.650
2023-01-06 07:00,2023-01-06 04:00,0,1.632
2023-01-06 08:00,2023-01-06 05:00,0.001,1.965
2023-01-06 09:00,2023-01-06 06:00,0.001,1.862
2023-01-06 10:00,2023-01-06 07:00,0.001,1.810
2023-01-06 11:00,2023-01-06 08:00,0.009,2.663
2023-01-06 12:00,2023-01-06 09:00,0.039,3.588
2023-01-06 13:00,2023-01-06 10:00,0.075,4.270
2023-01-06 14:00,2023-01-06 11:00,0.098,4.618
2023-01-06 15:00,2023-01-06 12:00,0.100,4.649
2023-01-06 16:00,2023-01-06 13:00,0.087,4.471
2023-01-06 17:00,2023-01-06 14:00,0.063,4.070
2023-01-06 18:00,2023-01-06 15:00,0.034,3.478
2023-01-06 19:00,2023-01-06 16:00,0.017,2.974
2023-01-06 20:00,2023-01-06 17:00,0.011,2.769
2023-01-06 21:00,2023-01-06 18:00,0.011,2.747
2023-01-06 22:00,2023-01-06 19:00,0.011,2.717
2023-01-06 23:00,2023-01-06 20:00,0.011,2.721
2023-01-07 00:00,2023-01-06 21:00,0.010,2.690
2023-01-07 01:00,2023-01-06 22:00,0.007,2.539
2023-01-07 02:00,2023-01-06 23:00,0.004,2.264
2023-01-07 03:00,2023-01-07 00:00,0.002,2.052
2023-01-07 04:00,2023-01-07 01:00,0.001,1.958
2023-01-07 05:00,2023-01-07 02:00,0.001,1.985
2023-01-07 06:00,2023-01-07 03:00,0.001,1.908
2023-01-07 07:00,2023-01-07 04:00,0,1.549
2023-01-07 08:00,2023-01-07 05:00,0,1.091
2023-01-07 09:00,2023-01-07 06:00,0,1.002
2023-01-07 10:00,2023-01-07 07:00,0,1.181
2023-01-07 11:00,2023-01-07 08:00,0.004,2.295
2023-01-07 12:00,2023-01-07 09:00,0.019,3.067
2023-01-07 13:00,2023-01-07 10:00,0.036,3.527
2023-01-07 14:00,2023-01-07 11:00,0.047,3.770
2023-01-07 15:00,2023-01-07 12:00,0.049,3.817
2023-01-07 16:00,2023-01-07 13:00,0.043,3.684
