# Renewables.ninja Weather (Point API) - -11.544, -45.518 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-11.543937861855426", "lon": "-45.51839429990687", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2023-01-01", "date_to": "2023-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2023-01-01 00:00,2022-12-31 21:00,21.514,0.015,1.085,0,0,0.622
2023-01-01 01:00,2022-12-31 22:00,21.088,0.015,1.087,0,0,0.541
2023-01-01 02:00,2022-12-31 23:00,20.681,0.009,1.088,0,0,0.548
2023-01-01 03:00,2023-01-01 00:00,20.264,0.006,1.089,0,0,0.662
2023-01-01 04:00,2023-01-01 01:00,19.935,0.004,1.090,0,0,0.717
2023-01-01 05:00,2023-01-01 02:00,19.595,0.003,1.091,0,0,0.726
2023-01-01 06:00,2023-01-01 03:00,19.237,0.004,1.092,0,0,0.708
2023-01-01 07:00,2023-01-01 04:00,18.802,0.008,1.095,0,0,0.612
2023-01-01 08:00,2023-01-01 05:00,18.384,0.011,1.099,5.128,14.819,0.564
2023-01-01 09:00,2023-01-01 06:00,19.749,0.005,1.101,135.036,264.239,0.603
2023-01-01 10:00,2023-01-01 07:00,21.678,0,1.097,366.160,584.065,0.629
2023-01-01 11:00,2023-01-01 08:00,23.557,0,1.093,611.669,871.684,0.647
2023-01-01 12:00,2023-01-01 09:00,25.262,0,1.088,832.234,1107.670,0.526
2023-01-01 13:00,2023-01-01 10:00,26.636,0,1.084,985.470,1275.194,0.265
2023-01-01 14:00,2023-01-01 11:00,27.605,0,1.080,1055.374,1363.561,0.248
2023-01-01 15:00,2023-01-01 12:00,28.135,0,1.077,1049.505,1366.879,0.231
2023-01-01 16:00,2023-01-01 13:00,28.282,0,1.075,973.290,1284.282,0.191
2023-01-01 17:00,2023-01-01 14:00,28.083,0,1.074,837.754,1121.392,0.576
2023-01-01 18:00,2023-01-01 15:00,27.559,0,1.074,639.207,889.952,0.764
2023-01-01 19:00,2023-01-01 16:00,26.755,0,1.075,404.994,605.216,0.576
2023-01-01 20:00,2023-01-01 17:00,25.430,0,1.077,159.866,286.810,0.462
2023-01-01 21:00,2023-01-01 18:00,23.062,0,1.080,7.501,22.370,0.325
