# Renewables.ninja Weather (Point API) - -11.544, -45.518 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Bahia, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Bahia", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-11.543937861855426", "lon": "-45.51839429990687", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2018-12-31 21:00,23.235,0.524,1.081,0,0,0.887
2019-01-01 01:00,2018-12-31 22:00,22.426,0.326,1.082,0,0,0.942
2019-01-01 02:00,2018-12-31 23:00,21.761,0.158,1.084,0,0,0.936
2019-01-01 03:00,2019-01-01 00:00,21.177,0.064,1.085,0,0,0.931
2019-01-01 04:00,2019-01-01 01:00,20.741,0.007,1.087,0,0,0.929
2019-01-01 05:00,2019-01-01 02:00,20.358,0.001,1.088,0,0,0.917
2019-01-01 06:00,2019-01-01 03:00,19.937,0,1.090,0,0,0.887
2019-01-01 07:00,2019-01-01 04:00,19.515,0,1.092,0,0,0.833
2019-01-01 08:00,2019-01-01 05:00,19.158,0,1.094,4.472,14.812,0.555
2019-01-01 09:00,2019-01-01 06:00,20.785,0,1.096,137.735,264.114,0.365
2019-01-01 10:00,2019-01-01 07:00,22.802,0.001,1.093,378.528,584.004,0.332
2019-01-01 11:00,2019-01-01 08:00,25.696,0.121,1.085,625.141,871.430,0.388
2019-01-01 12:00,2019-01-01 09:00,27.344,0.028,1.080,812.893,1107.214,0.573
2019-01-01 13:00,2019-01-01 10:00,28.289,0.030,1.078,906.397,1275.073,0.581
2019-01-01 14:00,2019-01-01 11:00,28.945,0.035,1.075,968.882,1363.439,0.474
2019-01-01 15:00,2019-01-01 12:00,29.491,0.033,1.073,988.879,1366.379,0.450
2019-01-01 16:00,2019-01-01 13:00,29.809,0.027,1.070,937.591,1283.782,0.481
2019-01-01 17:00,2019-01-01 14:00,29.723,0.027,1.069,785.562,1121.277,0.325
2019-01-01 18:00,2019-01-01 15:00,29.443,0.019,1.068,616.854,889.663,0.113
2019-01-01 19:00,2019-01-01 16:00,28.827,0.009,1.068,396.833,605.155,0.094
2019-01-01 20:00,2019-01-01 17:00,27.509,0.010,1.069,156.923,286.685,0.080
2019-01-01 21:00,2019-01-01 18:00,25.036,0.005,1.071,7.553,22.364,0.072
2019-01-01 22:00,2019-01-01 19:00,24.803,0.002,1.073,0,0,0.051
2019-01-01 23:00,2019-01-01 20:00,24.598,0.002,1.075,0,0,0.038
2019-01-02 00:00,2019-01-01 21:00,24.478,0.001,1.078,0,0,0.066
2019-01-02 01:00,2019-01-01 22:00,23.786,0,1.080,0,0,0.144
2019-01-02 02:00,2019-01-01 23:00,23.148,0,1.082,0,0,0.278
2019-01-02 03:00,2019-01-02 00:00,22.629,0,1.083,0,0,0.496
2019-01-02 04:00,2019-01-02 01:00,22.219,0,1.085,0,0,0.860
2019-01-02 05:00,2019-01-02 02:00,21.790,0,1.086,0,0,0.967
2019-01-02 06:00,2019-01-02 03:00,21.141,0,1.088,0,0,0.968
2019-01-02 07:00,2019-01-02 04:00,20.462,0,1.090,0,0,0.958
2019-01-02 08:00,2019-01-02 05:00,19.782,0,1.092,4.550,14.695,0.946
2019-01-02 09:00,2019-01-02 06:00,21.556,0,1.095,147.978,263.864,0.943
2019-01-02 10:00,2019-01-02 07:00,23.679,0,1.092,399.280,583.815,0.941
2019-01-02 11:00,2019-01-02 08:00,25.603,0,1.087,643.102,871.662,0.939
2019-01-02 12:00,2019-01-02 09:00,27.357,0.001,1.082,847.746,1107.214,0.941
