# Renewables.ninja Wind power (Point API) - -11.544, -45.518 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Bahia, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Bahia", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "-11.543937861855426", "lon": "-45.51839429990687", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": "true"}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2018-12-31 21:00,0.005,2.358
2019-01-01 01:00,2018-12-31 22:00,0.020,3.087
2019-01-01 02:00,2018-12-31 23:00,0.042,3.654
2019-01-01 03:00,2019-01-01 00:00,0.062,4.052
2019-01-01 04:00,2019-01-01 01:00,0.082,4.371
2019-01-01 05:00,2019-01-01 02:00,0.095,4.586
2019-01-01 06:00,2019-01-01 03:00,0.109,4.770
2019-01-01 07:00,2019-01-01 04:00,0.126,4.991
2019-01-01 08:00,2019-01-01 05:00,0.140,5.162
2019-01-01 09:00,2019-01-01 06:00,0.100,4.647
2019-01-01 10:00,2019-01-01 07:00,0.063,4.077
2019-01-01 11:00,2019-01-01 08:00,0.163,5.421
2019-01-01 12:00,2019-01-01 09:00,0.233,6.100
2019-01-01 13:00,2019-01-01 10:00,0.282,6.534
2019-01-01 14:00,2019-01-01 11:00,0.284,6.551
2019-01-01 15:00,2019-01-01 12:00,0.264,6.373
2019-01-01 16:00,2019-01-01 13:00,0.235,6.133
2019-01-01 17:00,2019-01-01 14:00,0.209,5.886
2019-01-01 18:00,2019-01-01 15:00,0.186,5.662
2019-01-01 19:00,2019-01-01 16:00,0.157,5.352
2019-01-01 20:00,2019-01-01 17:00,0.104,4.707
2019-01-01 21:00,2019-01-01 18:00,0.048,3.788
2019-01-01 22:00,2019-01-01 19:00,0.013,2.818
2019-01-01 23:00,2019-01-01 20:00,0.003,2.164
2019-01-02 00:00,2019-01-01 21:00,0.001,1.879
2019-01-02 01:00,2019-01-01 22:00,0.001,1.858
2019-01-02 02:00,2019-01-01 23:00,0.002,2.137
