# Renewables.ninja Weather (Point API) - -13.390, -44.201 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-13.3901477", "lon": "-44.2013167", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2022-01-01", "date_to": "2022-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2022-01-01 00:00,2021-12-31 21:00,21.643,0.096,1.101,0,0,0.952
2022-01-01 01:00,2021-12-31 22:00,21.324,0.154,1.102,0,0,0.957
2022-01-01 02:00,2021-12-31 23:00,21.080,0.228,1.103,0,0,0.957
2022-01-01 03:00,2022-01-01 00:00,20.933,0.249,1.104,0,0,0.917
2022-01-01 04:00,2022-01-01 01:00,20.759,0.208,1.104,0,0,0.888
2022-01-01 05:00,2022-01-01 02:00,20.589,0.199,1.105,0,0,0.861
2022-01-01 06:00,2022-01-01 03:00,20.403,0.185,1.105,0,0,0.842
2022-01-01 07:00,2022-01-01 04:00,20.220,0.220,1.106,0,0,0.809
2022-01-01 08:00,2022-01-01 05:00,20.178,0.288,1.107,5.912,32.089,0.801
2022-01-01 09:00,2022-01-01 06:00,21.238,0.353,1.108,88.160,308.970,0.804
2022-01-01 10:00,2022-01-01 07:00,22.176,0.408,1.106,211.975,624.650,0.868
2022-01-01 11:00,2022-01-01 08:00,23.099,0.392,1.104,310.777,906.328,0.941
2022-01-01 12:00,2022-01-01 09:00,23.778,0.280,1.102,370.736,1135.174,0.961
2022-01-01 13:00,2022-01-01 10:00,24.386,0.362,1.100,445.080,1295.340,0.969
2022-01-01 14:00,2022-01-01 11:00,25.046,0.416,1.098,571.044,1375.586,0.972
2022-01-01 15:00,2022-01-01 12:00,25.619,0.507,1.096,630.542,1371.005,0.971
2022-01-01 16:00,2022-01-01 13:00,25.877,0.617,1.093,586.601,1281.922,0.972
2022-01-01 17:00,2022-01-01 14:00,25.880,0.691,1.092,489.748,1113.870,0.974
2022-01-01 18:00,2022-01-01 15:00,25.477,0.751,1.091,317.938,878.534,0.978
2022-01-01 19:00,2022-01-01 16:00,24.769,0.871,1.093,163.686,592.133,0.980
2022-01-01 20:00,2022-01-01 17:00,23.763,1.006,1.095,48.883,274.128,0.979
2022-01-01 21:00,2022-01-01 18:00,22.700,0.988,1.099,1.611,18.413,0.977
2022-01-01 22:00,2022-01-01 19:00,22.299,0.904,1.101,0,0,0.963
2022-01-01 23:00,2022-01-01 20:00,22.042,0.744,1.103,0,0,0.944
2022-01-02 00:00,2022-01-01 21:00,21.839,0.622,1.105,0,0,0.929
2022-01-02 01:00,2022-01-01 22:00,21.652,0.634,1.106,0,0,0.903
2022-01-02 02:00,2022-01-01 23:00,21.466,0.806,1.106,0,0,0.896
2022-01-02 03:00,2022-01-02 00:00,21.274,1.177,1.106,0,0,0.877
2022-01-02 04:00,2022-01-02 01:00,21.044,1.510,1.106,0,0,0.873
2022-01-02 05:00,2022-01-02 02:00,20.791,1.811,1.107,0,0,0.848
2022-01-02 06:00,2022-01-02 03:00,20.534,2.083,1.108,0,0,0.918
2022-01-02 07:00,2022-01-02 04:00,20.406,2.342,1.109,0,0,0.964
2022-01-02 08:00,2022-01-02 05:00,20.388,2.352,1.111,3.674,31.883,0.980
2022-01-02 09:00,2022-01-02 06:00,20.834,2.203,1.111,50.230,308.673,0.974
2022-01-02 10:00,2022-01-02 07:00,21.455,1.940,1.110,116.643,624.455,0.967
2022-01-02 11:00,2022-01-02 08:00,22.380,1.415,1.108,221.471,906.469,0.960
2022-01-02 12:00,2022-01-02 09:00,23.591,1.169,1.104,367.626,1135.282,0.955
2022-01-02 13:00,2022-01-02 10:00,24.542,0.493,1.101,433.705,1295.450,0.961
