# Renewables.ninja Weather (Point API) - -13.390, -44.201 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Bahia, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Bahia", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-13.3901477", "lon": "-44.2013167", "date_from": "2017-01-01", "date_to": "2017-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2017-01-01 00:00,2016-12-31 21:00,24.920,0,1.089,0,0,0.779
2017-01-01 01:00,2016-12-31 22:00,24.009,0,1.094,0,0,0.689
2017-01-01 02:00,2016-12-31 23:00,23.134,0,1.097,0,0,0.658
2017-01-01 03:00,2017-01-01 00:00,22.454,0,1.099,0,0,0.677
2017-01-01 04:00,2017-01-01 01:00,21.963,0,1.101,0,0,0.776
2017-01-01 05:00,2017-01-01 02:00,21.671,0,1.103,0,0,0.822
2017-01-01 06:00,2017-01-01 03:00,21.135,0,1.105,0,0,0.831
2017-01-01 07:00,2017-01-01 04:00,20.520,0,1.108,0,0,0.876
2017-01-01 08:00,2017-01-01 05:00,20.244,0,1.110,12.000,32.037,0.915
2017-01-01 09:00,2017-01-01 06:00,22.561,0,1.109,172.512,308.923,0.895
2017-01-01 10:00,2017-01-01 07:00,25.738,0,1.102,387.540,624.650,0.835
2017-01-01 11:00,2017-01-01 08:00,28.760,0,1.094,578.891,906.328,0.720
2017-01-01 12:00,2017-01-01 09:00,31.387,0,1.087,738.218,1135.174,0.575
2017-01-01 13:00,2017-01-01 10:00,33.610,0,1.081,918.582,1295.340,0.512
2017-01-01 14:00,2017-01-01 11:00,35.323,0,1.075,1045.161,1375.898,0.407
2017-01-01 15:00,2017-01-01 12:00,36.194,0,1.071,1003.724,1371.005,0.370
2017-01-01 16:00,2017-01-01 13:00,36.441,0,1.068,881.772,1281.922,0.394
2017-01-01 17:00,2017-01-01 14:00,36.252,0,1.066,715.878,1113.979,0.454
2017-01-01 18:00,2017-01-01 15:00,35.617,0,1.065,507.703,878.534,0.536
2017-01-01 19:00,2017-01-01 16:00,34.561,0,1.065,280.094,592.133,0.601
2017-01-01 20:00,2017-01-01 17:00,33.123,0,1.067,95.297,274.003,0.657
2017-01-01 21:00,2017-01-01 18:00,30.795,0,1.069,3.649,18.370,0.683
2017-01-01 22:00,2017-01-01 19:00,29.769,0,1.071,0,0,0.736
2017-01-01 23:00,2017-01-01 20:00,29.083,0,1.074,0,0,0.714
2017-01-02 00:00,2017-01-01 21:00,28.271,0,1.078,0,0,0.652
2017-01-02 01:00,2017-01-01 22:00,27.422,0,1.081,0,0,0.686
2017-01-02 02:00,2017-01-01 23:00,26.713,0,1.084,0,0,0.725
2017-01-02 03:00,2017-01-02 00:00,26.012,0,1.087,0,0,0.724
2017-01-02 04:00,2017-01-02 01:00,25.409,0,1.089,0,0,0.724
2017-01-02 05:00,2017-01-02 02:00,24.882,0,1.092,0,0,0.641
2017-01-02 06:00,2017-01-02 03:00,24.165,0,1.093,0,0,0.498
2017-01-02 07:00,2017-01-02 04:00,23.454,0,1.096,0,0,0.578
2017-01-02 08:00,2017-01-02 05:00,23.107,0,1.098,9.093,31.829,0.632
