# Renewables.ninja Weather (Point API) - -14.753, -43.942 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-14.7528035", "lon": "-43.9417044", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2023-01-01", "date_to": "2023-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2023-01-01 00:00,2022-12-31 21:00,23.017,0,1.105,0,0,0.418
2023-01-01 01:00,2022-12-31 22:00,22.363,0,1.108,0,0,0.284
2023-01-01 02:00,2022-12-31 23:00,21.680,0,1.110,0,0,0.307
2023-01-01 03:00,2023-01-01 00:00,21.136,0,1.113,0,0,0.477
2023-01-01 04:00,2023-01-01 01:00,20.760,0.001,1.117,0,0,0.685
2023-01-01 05:00,2023-01-01 02:00,20.321,0.001,1.120,0,0,0.773
2023-01-01 06:00,2023-01-01 03:00,19.934,0.001,1.122,0,0,0.757
2023-01-01 07:00,2023-01-01 04:00,19.716,0.001,1.124,0,0,0.683
2023-01-01 08:00,2023-01-01 05:00,19.629,0.002,1.125,14.069,40.959,0.643
2023-01-01 09:00,2023-01-01 06:00,20.784,0.001,1.125,155.513,326.383,0.742
2023-01-01 10:00,2023-01-01 07:00,22.320,0.001,1.121,348.838,639.686,0.794
2023-01-01 11:00,2023-01-01 08:00,23.882,0.001,1.117,522.654,919.132,0.839
2023-01-01 12:00,2023-01-01 09:00,25.379,0.003,1.113,718.034,1145.310,0.812
2023-01-01 13:00,2023-01-01 10:00,26.706,0.006,1.108,902.826,1303.478,0.579
2023-01-01 14:00,2023-01-01 11:00,27.679,0.006,1.105,1019.458,1381.798,0.498
2023-01-01 15:00,2023-01-01 12:00,28.190,0.005,1.102,988.592,1375.872,0.577
2023-01-01 16:00,2023-01-01 13:00,28.422,0.004,1.099,903.381,1285.698,0.496
2023-01-01 17:00,2023-01-01 14:00,28.480,0.003,1.097,791.164,1117.371,0.372
2023-01-01 18:00,2023-01-01 15:00,28.207,0.002,1.096,611.210,882.477,0.260
2023-01-01 19:00,2023-01-01 16:00,27.569,0.002,1.096,380.250,597.018,0.331
2023-01-01 20:00,2023-01-01 17:00,26.302,0.001,1.098,143.000,280.478,0.277
2023-01-01 21:00,2023-01-01 18:00,23.933,0,1.100,6.743,21.038,0.193
2023-01-01 22:00,2023-01-01 19:00,22.877,0,1.103,0,0,0.149
2023-01-01 23:00,2023-01-01 20:00,22.163,0,1.106,0,0,0.093
2023-01-02 00:00,2023-01-01 21:00,21.551,0,1.109,0,0,0.115
2023-01-02 01:00,2023-01-01 22:00,20.921,0,1.112,0,0,0.098
2023-01-02 02:00,2023-01-01 23:00,20.361,0,1.115,0,0,0.113
2023-01-02 03:00,2023-01-02 00:00,19.886,0,1.117,0,0,0.148
2023-01-02 04:00,2023-01-02 01:00,19.504,0,1.120,0,0,0.167
2023-01-02 05:00,2023-01-02 02:00,19.145,0,1.123,0,0,0.182
2023-01-02 06:00,2023-01-02 03:00,18.903,0,1.125,0,0,0.236
2023-01-02 07:00,2023-01-02 04:00,18.710,0,1.127,0,0,0.323
2023-01-02 08:00,2023-01-02 05:00,18.648,0,1.128,15.239,40.708,0.405
2023-01-02 09:00,2023-01-02 06:00,20.222,0,1.126,173.556,326.008,0.287
2023-01-02 10:00,2023-01-02 07:00,22.692,0,1.119,441.431,639.686,0.257
2023-01-02 11:00,2023-01-02 08:00,25.092,0,1.112,681.030,919.132,0.598
2023-01-02 12:00,2023-01-02 09:00,26.865,0.001,1.106,871.543,1145.557,0.922
2023-01-02 13:00,2023-01-02 10:00,28.048,0.002,1.102,991.256,1303.478,0.940
2023-01-02 14:00,2023-01-02 11:00,28.814,0.004,1.098,1021.601,1382.051,0.904
2023-01-02 15:00,2023-01-02 12:00,29.237,0.006,1.095,975.602,1376.125,0.805
2023-01-02 16:00,2023-01-02 13:00,29.519,0.007,1.093,937.200,1285.698,0.883
2023-01-02 17:00,2023-01-02 14:00,29.523,0.006,1.091,811.845,1117.371,0.941
2023-01-02 18:00,2023-01-02 15:00,29.140,0.005,1.090,583.133,882.477,0.943
2023-01-02 19:00,2023-01-02 16:00,28.481,0.009,1.090,348.096,596.892,0.943
2023-01-02 20:00,2023-01-02 17:00,27.577,0.009,1.092,120.474,280.059,0.946
2023-01-02 21:00,2023-01-02 18:00,25.874,0.008,1.094,5.213,20.846,0.954
2023-01-02 22:00,2023-01-02 19:00,25.130,0.008,1.096,0,0,0.954
2023-01-02 23:00,2023-01-02 20:00,24.193,0.006,1.098,0,0,0.953
2023-01-03 00:00,2023-01-02 21:00,23.402,0.004,1.101,0,0,0.957
2023-01-03 01:00,2023-01-02 22:00,22.799,0.003,1.105,0,0,0.961
2023-01-03 02:00,2023-01-02 23:00,22.276,0.001,1.108,0,0,0.961
2023-01-03 03:00,2023-01-03 00:00,21.815,0.001,1.110,0,0,0.961
2023-01-03 04:00,2023-01-03 01:00,21.277,0.001,1.113,0,0,0.957
2023-01-03 05:00,2023-01-03 02:00,20.855,0.001,1.115,0,0,0.958
2023-01-03 06:00,2023-01-03 03:00,20.651,0.001,1.117,0,0,0.962
2023-01-03 07:00,2023-01-03 04:00,20.534,0.002,1.119,0,0,0.964
2023-01-03 08:00,2023-01-03 05:00,20.493,0.003,1.122,9.350,40.434,0.966
2023-01-03 09:00,2023-01-03 06:00,21.245,0.005,1.122,112.277,325.633,0.952
2023-01-03 10:00,2023-01-03 07:00,22.768,0.013,1.118,321.270,639.436,0.916
2023-01-03 11:00,2023-01-03 08:00,24.789,0.017,1.112,576.326,919.093,0.862
2023-01-03 12:00,2023-01-03 09:00,26.236,0.658,1.107,677.341,1145.733,0.928
2023-01-03 13:00,2023-01-03 10:00,26.877,0.841,1.103,657.094,1303.900,0.937
