# Renewables.ninja Weather (Point API) - -14.753, -43.942 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-14.7528035", "lon": "-43.9417044", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2020-01-01 00:00,2019-12-31 21:00,23.344,0.230,1.108,0,0,0.939
2020-01-01 01:00,2019-12-31 22:00,22.857,0.173,1.110,0,0,0.949
2020-01-01 02:00,2019-12-31 23:00,22.555,0.216,1.111,0,0,0.955
2020-01-01 03:00,2020-01-01 00:00,22.397,0.171,1.111,0,0,0.960
2020-01-01 04:00,2020-01-01 01:00,22.319,0.096,1.111,0,0,0.962
2020-01-01 05:00,2020-01-01 02:00,22.256,0.046,1.111,0,0,0.959
2020-01-01 06:00,2020-01-01 03:00,22.190,0.059,1.111,0,0,0.957
2020-01-01 07:00,2020-01-01 04:00,22.121,0.130,1.111,0,0,0.959
2020-01-01 08:00,2020-01-01 05:00,22.142,0.296,1.112,10.265,40.998,0.961
2020-01-01 09:00,2020-01-01 06:00,22.925,0.512,1.112,124.599,326.296,0.960
2020-01-01 10:00,2020-01-01 07:00,24.354,0.699,1.109,294.245,639.436,0.961
2020-01-01 11:00,2020-01-01 08:00,26.202,1.050,1.104,445.419,918.719,0.959
2020-01-01 12:00,2020-01-01 09:00,28.196,0.503,1.099,584.148,1144.810,0.957
2020-01-01 13:00,2020-01-01 10:00,29.983,0.471,1.093,678.774,1302.478,0.952
2020-01-01 14:00,2020-01-01 11:00,31.179,0.394,1.088,689.398,1381.051,0.949
2020-01-01 15:00,2020-01-01 12:00,31.975,0.313,1.084,668.568,1375.125,0.953
2020-01-01 16:00,2020-01-01 13:00,32.499,0.274,1.081,627.736,1285.045,0.950
2020-01-01 17:00,2020-01-01 14:00,32.645,0.216,1.079,533.083,1116.871,0.948
2020-01-01 18:00,2020-01-01 15:00,32.117,0.191,1.078,344.020,882.141,0.955
2020-01-01 19:00,2020-01-01 16:00,31.198,0.160,1.079,194.216,596.807,0.950
2020-01-01 20:00,2020-01-01 17:00,29.539,0.154,1.081,77.709,280.415,0.954
2020-01-01 21:00,2020-01-01 18:00,27.203,0.139,1.084,3.869,21.075,0.954
2020-01-01 22:00,2020-01-01 19:00,26.284,0.112,1.088,0,0,0.950
2020-01-01 23:00,2020-01-01 20:00,25.674,0.093,1.093,0,0,0.944
2020-01-02 00:00,2020-01-01 21:00,24.806,0.163,1.098,0,0,0.941
2020-01-02 01:00,2020-01-01 22:00,23.936,0.386,1.103,0,0,0.943
2020-01-02 02:00,2020-01-01 23:00,23.361,0.521,1.105,0,0,0.949
2020-01-02 03:00,2020-01-02 00:00,23.095,0.635,1.106,0,0,0.956
2020-01-02 04:00,2020-01-02 01:00,22.911,0.938,1.106,0,0,0.960
2020-01-02 05:00,2020-01-02 02:00,22.699,2.356,1.107,0,0,0.964
2020-01-02 06:00,2020-01-02 03:00,22.515,5.347,1.108,0,0,0.978
2020-01-02 07:00,2020-01-02 04:00,22.459,6.207,1.109,0,0,0.983
2020-01-02 08:00,2020-01-02 05:00,22.394,4.875,1.110,2.754,40.758,0.983
2020-01-02 09:00,2020-01-02 06:00,22.589,2.744,1.112,38.740,325.964,0.977
2020-01-02 10:00,2020-01-02 07:00,22.920,1.552,1.112,96.727,639.436,0.964
2020-01-02 11:00,2020-01-02 08:00,23.267,1.347,1.112,158.742,918.719,0.943
2020-01-02 12:00,2020-01-02 09:00,23.808,1.015,1.111,221.483,1144.982,0.920
2020-01-02 13:00,2020-01-02 10:00,24.455,0.693,1.109,264.919,1302.978,0.918
2020-01-02 14:00,2020-01-02 11:00,25.054,0.492,1.106,286.301,1381.551,0.927
2020-01-02 15:00,2020-01-02 12:00,25.632,0.295,1.104,313.126,1375.372,0.938
2020-01-02 16:00,2020-01-02 13:00,25.984,0.132,1.102,303.155,1285.198,0.946
2020-01-02 17:00,2020-01-02 14:00,26.018,0.065,1.101,242.463,1116.871,0.952
2020-01-02 18:00,2020-01-02 15:00,25.786,0.064,1.100,174.517,882.141,0.952
2020-01-02 19:00,2020-01-02 16:00,25.238,0.095,1.101,101.868,596.680,0.949
2020-01-02 20:00,2020-01-02 17:00,24.364,0.124,1.103,37.235,280.040,0.945
2020-01-02 21:00,2020-01-02 18:00,23.344,0.125,1.106,1.750,20.886,0.950
2020-01-02 22:00,2020-01-02 19:00,22.959,0.139,1.108,0,0,0.952
2020-01-02 23:00,2020-01-02 20:00,22.688,0.111,1.110,0,0,0.947
2020-01-03 00:00,2020-01-02 21:00,22.465,0.089,1.111,0,0,0.937
2020-01-03 01:00,2020-01-02 22:00,22.280,0.066,1.112,0,0,0.928
2020-01-03 02:00,2020-01-02 23:00,22.158,0.042,1.112,0,0,0.914
2020-01-03 03:00,2020-01-03 00:00,22.076,0.115,1.112,0,0,0.904
2020-01-03 04:00,2020-01-03 01:00,22.024,0.156,1.112,0,0,0.900
2020-01-03 05:00,2020-01-03 02:00,21.978,0.122,1.112,0,0,0.951
2020-01-03 06:00,2020-01-03 03:00,21.924,0.120,1.112,0,0,0.973
2020-01-03 07:00,2020-01-03 04:00,21.898,0.201,1.113,0,0,0.975
