# Renewables.ninja Weather (Point API) - -16.945, -44.336 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-16.945401951684016", "lon": "-44.33608276215471", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2021-01-01", "date_to": "2021-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2020-12-31 21:00,26.668,0.048,1.069,0,0,0.864
2021-01-01 01:00,2020-12-31 22:00,25.699,0.047,1.073,0,0,0.826
2021-01-01 02:00,2020-12-31 23:00,24.754,0.014,1.076,0,0,0.785
2021-01-01 03:00,2021-01-01 00:00,23.881,0.004,1.081,0,0,0.631
2021-01-01 04:00,2021-01-01 01:00,22.837,0.002,1.085,0,0,0.390
2021-01-01 05:00,2021-01-01 02:00,21.839,0.001,1.089,0,0,0.243
2021-01-01 06:00,2021-01-01 03:00,20.980,0,1.093,0,0,0.161
2021-01-01 07:00,2021-01-01 04:00,20.285,0,1.097,0,0,0.291
2021-01-01 08:00,2021-01-01 05:00,19.917,0,1.100,19.779,47.238,0.278
2021-01-01 09:00,2021-01-01 06:00,21.832,0,1.097,205.406,335.882,0.166
2021-01-01 10:00,2021-01-01 07:00,25.544,0,1.087,455.614,646.423,0.142
2021-01-01 11:00,2021-01-01 08:00,29.956,0,1.075,693.140,923.881,0.116
2021-01-01 12:00,2021-01-01 09:00,33.046,0.016,1.066,888.926,1149.280,0.107
2021-01-01 13:00,2021-01-01 10:00,34.873,0.018,1.061,1028.076,1307.565,0.133
2021-01-01 14:00,2021-01-01 11:00,36.093,0.019,1.057,1075.996,1387.430,0.204
2021-01-01 15:00,2021-01-01 12:00,36.946,0.019,1.053,1060.483,1383.712,0.384
2021-01-01 16:00,2021-01-01 13:00,37.311,0.019,1.050,957.117,1296.494,0.506
2021-01-01 17:00,2021-01-01 14:00,37.480,0.018,1.048,856.401,1131.780,0.320
2021-01-01 18:00,2021-01-01 15:00,36.900,0.014,1.047,619.370,901.266,0.299
2021-01-01 19:00,2021-01-01 16:00,35.711,0.010,1.047,354.218,619.865,0.580
2021-01-01 20:00,2021-01-01 17:00,33.746,0.007,1.049,104.216,307.328,0.868
2021-01-01 21:00,2021-01-01 18:00,30.742,0.009,1.054,5.990,32.886,0.918
2021-01-01 22:00,2021-01-01 19:00,29.470,0.014,1.059,0,0,0.939
2021-01-01 23:00,2021-01-01 20:00,28.449,0.018,1.065,0,0,0.946
2021-01-02 00:00,2021-01-01 21:00,27.430,0.026,1.070,0,0,0.941
2021-01-02 01:00,2021-01-01 22:00,26.512,0.034,1.073,0,0,0.938
2021-01-02 02:00,2021-01-01 23:00,25.692,0.041,1.077,0,0,0.929
2021-01-02 03:00,2021-01-02 00:00,24.932,0.047,1.079,0,0,0.900
2021-01-02 04:00,2021-01-02 01:00,24.315,0.040,1.080,0,0,0.876
2021-01-02 05:00,2021-01-02 02:00,23.768,0.044,1.082,0,0,0.832
2021-01-02 06:00,2021-01-02 03:00,23.235,0.050,1.083,0,0,0.776
2021-01-02 07:00,2021-01-02 04:00,22.769,0.059,1.085,0,0,0.803
2021-01-02 08:00,2021-01-02 05:00,22.450,0.052,1.087,7.169,46.911,0.812
