# Renewables.ninja Weather (Point API) - -16.945, -44.336 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-16.945401951684016", "lon": "-44.33608276215471", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2018-01-01 00:00,2017-12-31 22:00,21.209,0.033,1.092,0,0,0.857
2018-01-01 01:00,2017-12-31 23:00,20.642,0.043,1.092,0,0,0.851
2018-01-01 02:00,2018-01-01 00:00,20.325,0.044,1.092,0,0,0.873
2018-01-01 03:00,2018-01-01 01:00,20.192,0.051,1.092,0,0,0.898
2018-01-01 04:00,2018-01-01 02:00,19.995,0.077,1.092,0,0,0.963
2018-01-01 05:00,2018-01-01 03:00,19.693,0.099,1.093,0,0,0.967
2018-01-01 06:00,2018-01-01 04:00,19.443,0.120,1.094,0,0,0.968
2018-01-01 07:00,2018-01-01 05:00,19.175,0.110,1.095,0,0,0.963
2018-01-01 08:00,2018-01-01 06:00,19.128,0.073,1.096,13.613,47.330,0.941
2018-01-01 09:00,2018-01-01 07:00,21.058,0.069,1.096,153.198,336.007,0.943
2018-01-01 10:00,2018-01-01 08:00,23.100,0.101,1.092,321.670,646.632,0.948
2018-01-01 11:00,2018-01-01 09:00,26.566,0.102,1.082,511.121,924.105,0.932
2018-01-01 12:00,2018-01-01 10:00,29.255,0.037,1.074,751.981,1149.280,0.908
2018-01-01 13:00,2018-01-01 11:00,31.060,0.036,1.069,937.746,1307.648,0.901
2018-01-01 14:00,2018-01-01 12:00,32.035,0.038,1.065,989.551,1387.430,0.907
2018-01-01 15:00,2018-01-01 13:00,32.496,0.040,1.062,956.455,1383.712,0.915
2018-01-01 16:00,2018-01-01 14:00,32.431,0.045,1.061,838.809,1296.494,0.920
2018-01-01 17:00,2018-01-01 15:00,31.983,0.050,1.060,680.588,1132.201,0.938
2018-01-01 18:00,2018-01-01 16:00,31.110,0.064,1.061,466.708,901.280,0.909
2018-01-01 19:00,2018-01-01 17:00,30.011,0.075,1.062,267.447,620.089,0.887
2018-01-01 20:00,2018-01-01 18:00,28.552,0.076,1.064,114.642,307.453,0.897
2018-01-01 21:00,2018-01-01 19:00,26.032,0.071,1.067,8.484,32.962,0.923
2018-01-01 22:00,2018-01-01 20:00,24.874,0.072,1.070,0,0,0.927
2018-01-01 23:00,2018-01-01 21:00,24.114,0.065,1.074,0,0,0.836
2018-01-02 00:00,2018-01-01 22:00,23.287,0.068,1.078,0,0,0.678
2018-01-02 01:00,2018-01-01 23:00,22.526,0.082,1.081,0,0,0.657
2018-01-02 02:00,2018-01-02 00:00,21.916,0.100,1.083,0,0,0.761
2018-01-02 03:00,2018-01-02 01:00,21.437,0.114,1.085,0,0,0.762
2018-01-02 04:00,2018-01-02 02:00,21.048,0.121,1.087,0,0,0.595
2018-01-02 05:00,2018-01-02 03:00,20.714,0.114,1.088,0,0,0.434
2018-01-02 06:00,2018-01-02 04:00,20.402,0.112,1.090,0,0,0.506
2018-01-02 07:00,2018-01-02 05:00,20.135,0.125,1.092,0,0,0.641
2018-01-02 08:00,2018-01-02 06:00,20.169,0.120,1.093,13.503,47.004,0.691
2018-01-02 09:00,2018-01-02 07:00,21.206,0.065,1.094,126.075,335.632,0.802
2018-01-02 10:00,2018-01-02 08:00,22.923,0.026,1.089,276.245,646.408,0.771
2018-01-02 11:00,2018-01-02 09:00,25.505,0.019,1.082,475.435,923.895,0.724
2018-01-02 12:00,2018-01-02 10:00,27.601,0.140,1.076,621.433,1149.780,0.839
2018-01-02 13:00,2018-01-02 11:00,28.483,0.148,1.073,656.070,1307.648,0.843
2018-01-02 14:00,2018-01-02 12:00,28.944,0.113,1.070,653.964,1387.484,0.822
2018-01-02 15:00,2018-01-02 13:00,29.276,0.117,1.068,628.624,1383.766,0.825
2018-01-02 16:00,2018-01-02 14:00,29.385,0.108,1.067,580.207,1296.525,0.915
2018-01-02 17:00,2018-01-02 15:00,29.170,0.070,1.066,486.341,1132.252,0.932
2018-01-02 18:00,2018-01-02 16:00,28.590,0.045,1.066,349.177,901.266,0.942
2018-01-02 19:00,2018-01-02 17:00,27.687,0.047,1.068,203.313,619.839,0.960
2018-01-02 20:00,2018-01-02 18:00,26.294,0.048,1.071,76.759,306.966,0.962
2018-01-02 21:00,2018-01-02 19:00,24.315,0.042,1.075,5.071,32.684,0.956
2018-01-02 22:00,2018-01-02 20:00,23.396,0.032,1.079,0,0,0.917
2018-01-02 23:00,2018-01-02 21:00,22.879,0.033,1.082,0,0,0.915
2018-01-03 00:00,2018-01-02 22:00,22.472,0.036,1.084,0,0,0.897
2018-01-03 01:00,2018-01-02 23:00,22.132,0.038,1.085,0,0,0.867
2018-01-03 02:00,2018-01-03 00:00,21.846,0.036,1.086,0,0,0.816
2018-01-03 03:00,2018-01-03 01:00,21.616,0.033,1.086,0,0,0.789
2018-01-03 04:00,2018-01-03 02:00,21.380,0.030,1.086,0,0,0.797
2018-01-03 05:00,2018-01-03 03:00,21.134,0.034,1.087,0,0,0.919
2018-01-03 06:00,2018-01-03 04:00,20.887,0.083,1.087,0,0,0.945
2018-01-03 07:00,2018-01-03 05:00,20.695,0.198,1.088,0,0,0.953
2018-01-03 08:00,2018-01-03 06:00,20.707,0.343,1.089,10.852,46.659,0.954
2018-01-03 09:00,2018-01-03 07:00,21.726,0.421,1.090,113.359,335.132,0.954
2018-01-03 10:00,2018-01-03 08:00,23.258,0.488,1.086,273.629,646.158,0.943
2018-01-03 11:00,2018-01-03 09:00,24.987,0.504,1.081,394.850,923.881,0.835
2018-01-03 12:00,2018-01-03 10:00,26.437,2.332,1.077,481.246,1149.780,0.568
2018-01-03 13:00,2018-01-03 11:00,27.658,2.060,1.074,649.649,1307.648,0.500
2018-01-03 14:00,2018-01-03 12:00,28.262,1.928,1.071,680.170,1387.930,0.671
2018-01-03 15:00,2018-01-03 13:00,28.397,1.482,1.070,632.850,1384.212,0.820
2018-01-03 16:00,2018-01-03 14:00,28.374,0.695,1.069,581.898,1296.994,0.804
2018-01-03 17:00,2018-01-03 15:00,28.274,0.352,1.068,503.842,1132.252,0.808
2018-01-03 18:00,2018-01-03 16:00,27.921,0.188,1.068,377.237,901.056,0.833
2018-01-03 19:00,2018-01-03 17:00,27.281,0.104,1.069,229.551,619.576,0.866
2018-01-03 20:00,2018-01-03 18:00,26.215,0.061,1.070,91.130,306.466,0.871
2018-01-03 21:00,2018-01-03 19:00,24.390,0.013,1.073,5.812,32.375,0.883
2018-01-03 22:00,2018-01-03 20:00,23.654,0.005,1.075,0,0,0.876
2018-01-03 23:00,2018-01-03 21:00,23.170,0.005,1.078,0,0,0.868
2018-01-04 00:00,2018-01-03 22:00,22.734,0.018,1.081,0,0,0.874
2018-01-04 01:00,2018-01-03 23:00,22.359,0.088,1.083,0,0,0.888
2018-01-04 02:00,2018-01-04 00:00,21.970,0.292,1.085,0,0,0.882
2018-01-04 03:00,2018-01-04 01:00,21.623,0.496,1.086,0,0,0.879
2018-01-04 04:00,2018-01-04 02:00,21.343,0.508,1.087,0,0,0.883
2018-01-04 05:00,2018-01-04 03:00,21.143,0.533,1.088,0,0,0.881
2018-01-04 06:00,2018-01-04 04:00,21.001,0.699,1.089,0,0,0.871
2018-01-04 07:00,2018-01-04 05:00,20.940,0.836,1.090,0,0,0.877
2018-01-04 08:00,2018-01-04 06:00,20.900,0.917,1.091,6.372,46.285,0.879
2018-01-04 09:00,2018-01-04 07:00,21.450,0.960,1.092,69.295,334.632,0.881
2018-01-04 10:00,2018-01-04 08:00,22.331,1.002,1.090,176.386,645.673,0.881
2018-01-04 11:00,2018-01-04 09:00,23.487,1.041,1.087,293.443,923.855,0.868
2018-01-04 12:00,2018-01-04 10:00,24.873,0.098,1.084,414.500,1149.780,0.861
2018-01-04 13:00,2018-01-04 11:00,26.054,0.106,1.081,505.372,1308.148,0.863
2018-01-04 14:00,2018-01-04 12:00,26.692,0.126,1.079,530.598,1387.984,0.854
2018-01-04 15:00,2018-01-04 13:00,26.883,0.146,1.078,491.178,1384.266,0.846
2018-01-04 16:00,2018-01-04 14:00,26.775,0.145,1.077,424.274,1296.994,0.857
2018-01-04 17:00,2018-01-04 15:00,26.482,0.155,1.077,343.243,1132.252,0.860
2018-01-04 18:00,2018-01-04 16:00,25.981,0.158,1.077,252.004,901.016,0.865
2018-01-04 19:00,2018-01-04 17:00,25.179,0.153,1.078,153.096,619.115,0.870
2018-01-04 20:00,2018-01-04 18:00,23.971,0.113,1.081,62.215,305.946,0.870
2018-01-04 21:00,2018-01-04 19:00,22.437,0.082,1.085,4.432,32.049,0.874
2018-01-04 22:00,2018-01-04 20:00,21.644,0.071,1.090,0,0,0.879
2018-01-04 23:00,2018-01-04 21:00,21.130,0.054,1.093,0,0,0.882
2018-01-05 00:00,2018-01-04 22:00,20.796,0.020,1.095,0,0,0.866
2018-01-05 01:00,2018-01-04 23:00,20.568,0.002,1.097,0,0,0.851
2018-01-05 02:00,2018-01-05 00:00,20.350,0,1.097,0,0,0.824
2018-01-05 03:00,2018-01-05 01:00,20.116,0.001,1.097,0,0,0.840
2018-01-05 04:00,2018-01-05 02:00,19.891,0.013,1.097,0,0,0.835
2018-01-05 05:00,2018-01-05 03:00,19.692,0.016,1.098,0,0,0.848
2018-01-05 06:00,2018-01-05 04:00,19.519,0.020,1.098,0,0,0.853
2018-01-05 07:00,2018-01-05 05:00,19.342,0.031,1.099,0,0,0.852
2018-01-05 08:00,2018-01-05 06:00,19.283,0.034,1.100,9.401,45.893,0.872
2018-01-05 09:00,2018-01-05 07:00,20.241,0.014,1.100,86.846,334.021,0.910
2018-01-05 10:00,2018-01-05 08:00,21.612,0.031,1.097,196.680,645.423,0.900
2018-01-05 11:00,2018-01-05 09:00,23.460,0.159,1.092,311.734,923.631,0.935
2018-01-05 12:00,2018-01-05 10:00,25.035,0.102,1.088,417.938,1149.780,0.905
2018-01-05 13:00,2018-01-05 11:00,26.315,0.100,1.084,510.900,1308.148,0.855
2018-01-05 14:00,2018-01-05 12:00,27.129,0.131,1.080,558.762,1388.430,0.852
2018-01-05 15:00,2018-01-05 13:00,27.527,0.175,1.078,551.657,1384.712,0.855
2018-01-05 16:00,2018-01-05 14:00,27.553,0.224,1.077,494.849,1297.025,0.851
2018-01-05 17:00,2018-01-05 15:00,27.287,0.263,1.076,410.904,1132.252,0.873
2018-01-05 18:00,2018-01-05 16:00,26.799,0.251,1.076,295.360,900.806,0.913
2018-01-05 19:00,2018-01-05 17:00,26.151,0.226,1.078,161.215,618.826,0.932
2018-01-05 20:00,2018-01-05 18:00,25.345,0.195,1.080,69.023,305.334,0.912
2018-01-05 21:00,2018-01-05 19:00,23.913,0.136,1.082,5.181,31.695,0.910
2018-01-05 22:00,2018-01-05 20:00,22.835,0.075,1.085,0,0,0.935
2018-01-05 23:00,2018-01-05 21:00,22.076,0.036,1.088,0,0,0.924
2018-01-06 00:00,2018-01-05 22:00,21.527,0.014,1.090,0,0,0.922
2018-01-06 01:00,2018-01-05 23:00,21.127,0.001,1.091,0,0,0.948
2018-01-06 02:00,2018-01-06 00:00,20.679,0,1.092,0,0,0.955
2018-01-06 03:00,2018-01-06 01:00,20.335,0,1.093,0,0,0.959
2018-01-06 04:00,2018-01-06 02:00,20.102,0,1.094,0,0,0.957
2018-01-06 05:00,2018-01-06 03:00,19.883,0,1.094,0,0,0.954
2018-01-06 06:00,2018-01-06 04:00,19.676,0,1.096,0,0,0.949
2018-01-06 07:00,2018-01-06 05:00,19.437,0.001,1.097,0,0,0.946
2018-01-06 08:00,2018-01-06 06:00,19.379,0.001,1.099,11.898,45.457,0.949
2018-01-06 09:00,2018-01-06 07:00,20.506,0.001,1.099,129.200,333.396,0.955
2018-01-06 10:00,2018-01-06 08:00,22.636,0.002,1.094,332.679,645.158,0.939
2018-01-06 11:00,2018-01-06 09:00,25.287,0.044,1.086,540.591,923.396,0.928
2018-01-06 12:00,2018-01-06 10:00,27.086,0.002,1.081,698.516,1149.780,0.930
2018-01-06 13:00,2018-01-06 11:00,28.233,0.001,1.078,806.578,1308.148,0.949
2018-01-06 14:00,2018-01-06 12:00,29.088,0.002,1.075,878.773,1388.484,0.945
2018-01-06 15:00,2018-01-06 13:00,29.607,0.003,1.072,874.818,1384.715,0.897
2018-01-06 16:00,2018-01-06 14:00,29.837,0.004,1.070,813.796,1297.494,0.826
2018-01-06 17:00,2018-01-06 15:00,29.644,0.005,1.069,692.627,1132.252,0.859
2018-01-06 18:00,2018-01-06 16:00,29.174,0.005,1.069,520.798,900.558,0.947
2018-01-06 19:00,2018-01-06 17:00,28.371,0.004,1.069,317.452,618.365,0.962
2018-01-06 20:00,2018-01-06 18:00,27.207,0.005,1.071,122.458,304.592,0.962
2018-01-06 21:00,2018-01-06 19:00,25.128,0.005,1.073,8.053,31.325,0.962
2018-01-06 22:00,2018-01-06 20:00,23.912,0.005,1.076,0,0,0.960
2018-01-06 23:00,2018-01-06 21:00,23.185,0.005,1.079,0,0,0.957
2018-01-07 00:00,2018-01-06 22:00,22.557,0.006,1.082,0,0,0.957
2018-01-07 01:00,2018-01-06 23:00,22.131,0.006,1.085,0,0,0.952
2018-01-07 02:00,2018-01-07 00:00,21.736,0.007,1.086,0,0,0.945
2018-01-07 03:00,2018-01-07 01:00,21.414,0.009,1.088,0,0,0.909
2018-01-07 04:00,2018-01-07 02:00,21.230,0.011,1.089,0,0,0.896
2018-01-07 05:00,2018-01-07 03:00,21.294,0.011,1.090,0,0,0.816
2018-01-07 06:00,2018-01-07 04:00,21.113,0.010,1.091,0,0,0.871
2018-01-07 07:00,2018-01-07 05:00,20.442,0.010,1.092,0,0,0.916
2018-01-07 08:00,2018-01-07 06:00,20.036,0.009,1.093,12.121,45.005,0.907
2018-01-07 09:00,2018-01-07 07:00,21.748,0.008,1.093,153.392,332.771,0.894
2018-01-07 10:00,2018-01-07 08:00,24.345,0.005,1.087,417.761,644.673,0.822
2018-01-07 11:00,2018-01-07 09:00,26.476,0.003,1.082,657.212,923.381,0.772
2018-01-07 12:00,2018-01-07 10:00,27.834,0.003,1.079,829.350,1149.780,0.875
2018-01-07 13:00,2018-01-07 11:00,29.006,0.002,1.076,954.039,1308.648,0.906
2018-01-07 14:00,2018-01-07 12:00,30.032,0.002,1.072,1017.957,1388.930,0.926
2018-01-07 15:00,2018-01-07 13:00,30.722,0.002,1.069,1030.928,1384.794,0.936
2018-01-07 16:00,2018-01-07 14:00,31.123,0.001,1.066,971.131,1297.494,0.935
2018-01-07 17:00,2018-01-07 15:00,31.044,0.001,1.064,816.159,1132.252,0.937
2018-01-07 18:00,2018-01-07 16:00,30.634,0.001,1.064,619.691,900.542,0.941
2018-01-07 19:00,2018-01-07 17:00,29.828,0,1.064,379.244,617.867,0.956
2018-01-07 20:00,2018-01-07 18:00,28.644,0,1.065,123.863,303.959,0.965
2018-01-07 21:00,2018-01-07 19:00,26.568,0,1.068,7.594,30.924,0.965
2018-01-07 22:00,2018-01-07 20:00,25.664,0,1.071,0,0,0.968
2018-01-07 23:00,2018-01-07 21:00,24.730,0,1.075,0,0,0.970
2018-01-08 00:00,2018-01-07 22:00,23.738,0,1.079,0,0,0.945
2018-01-08 01:00,2018-01-07 23:00,23.009,0,1.083,0,0,0.921
2018-01-08 02:00,2018-01-08 00:00,22.518,0,1.085,0,0,0.890
2018-01-08 03:00,2018-01-08 01:00,22.028,0,1.087,0,0,0.799
2018-01-08 04:00,2018-01-08 02:00,21.437,0,1.089,0,0,0.744
2018-01-08 05:00,2018-01-08 03:00,20.929,0,1.092,0,0,0.682
2018-01-08 06:00,2018-01-08 04:00,20.384,0,1.094,0,0,0.705
2018-01-08 07:00,2018-01-08 05:00,19.965,0.001,1.097,0,0,0.623
2018-01-08 08:00,2018-01-08 06:00,19.555,0.001,1.100,16.379,44.522,0.435
2018-01-08 09:00,2018-01-08 07:00,20.893,0.001,1.100,198.657,332.029,0.299
2018-01-08 10:00,2018-01-08 08:00,23.367,0,1.094,450.780,644.199,0.248
2018-01-08 11:00,2018-01-08 09:00,25.913,0.001,1.087,687.977,923.133,0.286
2018-01-08 12:00,2018-01-08 10:00,28.022,0.001,1.081,886.286,1149.780,0.277
2018-01-08 13:00,2018-01-08 11:00,29.558,0.001,1.076,1020.167,1308.648,0.308
2018-01-08 14:00,2018-01-08 12:00,30.623,0.001,1.072,1081.877,1388.984,0.275
2018-01-08 15:00,2018-01-08 13:00,31.316,0.001,1.069,1067.479,1385.212,0.540
2018-01-08 16:00,2018-01-08 14:00,31.593,0.002,1.067,973.378,1297.497,0.604
2018-01-08 17:00,2018-01-08 15:00,31.476,0.002,1.065,815.636,1132.252,0.651
2018-01-08 18:00,2018-01-08 16:00,30.926,0.002,1.065,607.667,900.292,0.696
2018-01-08 19:00,2018-01-08 17:00,29.968,0.001,1.065,373.051,617.367,0.804
2018-01-08 20:00,2018-01-08 18:00,28.127,0.001,1.068,142.282,303.209,0.802
2018-01-08 21:00,2018-01-08 19:00,24.923,0,1.072,10.002,30.502,0.685
2018-01-08 22:00,2018-01-08 20:00,23.631,0,1.077,0,0,0.618
2018-01-08 23:00,2018-01-08 21:00,22.893,0,1.082,0,0,0.611
2018-01-09 00:00,2018-01-08 22:00,22.226,0,1.086,0,0,0.606
2018-01-09 01:00,2018-01-08 23:00,21.576,0,1.091,0,0,0.446
2018-01-09 02:00,2018-01-09 00:00,20.976,0,1.094,0,0,0.238
2018-01-09 03:00,2018-01-09 01:00,20.425,0,1.097,0,0,0.142
2018-01-09 04:00,2018-01-09 02:00,19.858,0,1.099,0,0,0.304
2018-01-09 05:00,2018-01-09 03:00,19.297,0,1.101,0,0,0.662
2018-01-09 06:00,2018-01-09 04:00,18.752,0.001,1.104,0,0,0.919
2018-01-09 07:00,2018-01-09 05:00,18.197,0.002,1.106,0,0,0.942
2018-01-09 08:00,2018-01-09 06:00,17.907,0.002,1.109,18.970,44.010,0.944
2018-01-09 09:00,2018-01-09 07:00,19.727,0,1.107,202.189,331.292,0.942
2018-01-09 10:00,2018-01-09 08:00,22.777,0,1.099,461.937,643.701,0.801
2018-01-09 11:00,2018-01-09 09:00,25.733,0,1.091,700.763,922.896,0.540
2018-01-09 12:00,2018-01-09 10:00,28.179,0,1.084,898.703,1149.780,0.269
2018-01-09 13:00,2018-01-09 11:00,30.027,0,1.078,1039.708,1308.648,0.201
2018-01-09 14:00,2018-01-09 12:00,31.388,0,1.074,1111.127,1388.984,0.232
2018-01-09 15:00,2018-01-09 13:00,32.321,0,1.069,1107.405,1385.266,0.269
2018-01-09 16:00,2018-01-09 14:00,32.821,0,1.066,1029.573,1297.994,0.292
2018-01-09 17:00,2018-01-09 15:00,32.886,0.001,1.064,882.545,1132.252,0.304
2018-01-09 18:00,2018-01-09 16:00,32.442,0.001,1.063,678.495,900.042,0.262
2018-01-09 19:00,2018-01-09 17:00,31.414,0.003,1.063,435.894,616.892,0.197
2018-01-09 20:00,2018-01-09 18:00,29.314,0.011,1.066,180.009,302.355,0.327
2018-01-09 21:00,2018-01-09 19:00,25.929,0.020,1.071,10.125,30.063,0.481
2018-01-09 22:00,2018-01-09 20:00,24.955,0.068,1.077,0,0,0.505
2018-01-09 23:00,2018-01-09 21:00,24.023,0.292,1.083,0,0,0.400
2018-01-10 00:00,2018-01-09 22:00,22.876,0.499,1.089,0,0,0.385
2018-01-10 01:00,2018-01-09 23:00,21.909,0.268,1.093,0,0,0.435
2018-01-10 02:00,2018-01-10 00:00,21.235,0.158,1.096,0,0,0.496
2018-01-10 03:00,2018-01-10 01:00,20.758,0.105,1.097,0,0,0.632
2018-01-10 04:00,2018-01-10 02:00,20.378,0.042,1.099,0,0,0.757
2018-01-10 05:00,2018-01-10 03:00,20.088,0.032,1.100,0,0,0.766
2018-01-10 06:00,2018-01-10 04:00,19.803,0.023,1.101,0,0,0.737
2018-01-10 07:00,2018-01-10 05:00,19.526,0.020,1.103,0,0,0.685
2018-01-10 08:00,2018-01-10 06:00,19.357,0.020,1.104,15.832,43.480,0.645
2018-01-10 09:00,2018-01-10 07:00,20.365,0.011,1.103,181.485,330.522,0.336
2018-01-10 10:00,2018-01-10 08:00,22.724,0.005,1.099,441.539,643.201,0.107
2018-01-10 11:00,2018-01-10 09:00,25.701,0.011,1.092,689.083,922.672,0.166
2018-01-10 12:00,2018-01-10 10:00,28.089,0.024,1.085,883.139,1149.780,0.091
2018-01-10 13:00,2018-01-10 11:00,29.939,0.084,1.079,1021.069,1308.702,0.044
2018-01-10 14:00,2018-01-10 12:00,31.362,0.167,1.074,1088.517,1389.433,0.077
2018-01-10 15:00,2018-01-10 13:00,32.250,0.219,1.070,1076.932,1385.712,0.051
2018-01-10 16:00,2018-01-10 14:00,32.624,0.237,1.067,998.820,1297.994,0.079
2018-01-10 17:00,2018-01-10 15:00,32.411,0.232,1.065,844.259,1132.252,0.167
2018-01-10 18:00,2018-01-10 16:00,31.536,0.178,1.065,609.589,899.792,0.260
2018-01-10 19:00,2018-01-10 17:00,30.277,0.137,1.067,390.478,616.392,0.343
2018-01-10 20:00,2018-01-10 18:00,28.379,0.098,1.070,148.930,301.597,0.410
2018-01-10 21:00,2018-01-10 19:00,25.605,0.100,1.075,9.685,29.615,0.302
2018-01-10 22:00,2018-01-10 20:00,24.257,0.084,1.080,0,0,0.201
2018-01-10 23:00,2018-01-10 21:00,23.494,0.062,1.084,0,0,0.159
2018-01-11 00:00,2018-01-10 22:00,22.911,0.025,1.088,0,0,0.163
2018-01-11 01:00,2018-01-10 23:00,22.540,0.008,1.091,0,0,0.161
2018-01-11 02:00,2018-01-11 00:00,21.791,0.001,1.094,0,0,0.206
2018-01-11 03:00,2018-01-11 01:00,20.938,0,1.097,0,0,0.705
2018-01-11 04:00,2018-01-11 02:00,20.026,0,1.101,0,0,0.822
2018-01-11 05:00,2018-01-11 03:00,19.121,0.001,1.105,0,0,0.872
2018-01-11 06:00,2018-01-11 04:00,18.259,0.003,1.108,0,0,0.912
2018-01-11 07:00,2018-01-11 05:00,17.468,0.006,1.111,0,0,0.939
2018-01-11 08:00,2018-01-11 06:00,16.944,0.009,1.114,16.820,42.932,0.909
2018-01-11 09:00,2018-01-11 07:00,18.547,0.003,1.113,188.135,329.667,0.825
2018-01-11 10:00,2018-01-11 08:00,21.478,0.001,1.105,465.963,642.701,0.696
2018-01-11 11:00,2018-01-11 09:00,24.647,0,1.097,710.693,922.422,0.560
2018-01-11 12:00,2018-01-11 10:00,27.312,0,1.089,908.267,1149.780,0.500
2018-01-11 13:00,2018-01-11 11:00,29.469,0,1.082,1045.921,1309.148,0.379
2018-01-11 14:00,2018-01-11 12:00,31.127,0,1.075,1114.075,1389.484,0.301
2018-01-11 15:00,2018-01-11 13:00,32.248,0,1.070,1107.513,1385.766,0.288
2018-01-11 16:00,2018-01-11 14:00,32.815,0,1.067,1027.308,1297.994,0.306
2018-01-11 17:00,2018-01-11 15:00,32.856,0,1.064,880.025,1132.252,0.378
2018-01-11 18:00,2018-01-11 16:00,32.262,0,1.063,643.118,899.542,0.488
2018-01-11 19:00,2018-01-11 17:00,31.002,0,1.064,357.927,615.853,0.583
