# Renewables.ninja Wind power (Point API) - -16.945, -44.336 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Sao_Paulo, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "electricity": "kW", "wind_speed": "m/s"}, "params": {"lat": "-16.945401951684016", "lon": "-44.33608276215471", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": "true", "local_time": "true", "header": "true", "date_from": "2023-01-01", "date_to": "2023-12-31"}}
time,local_time,electricity,wind_speed
2023-01-01 00:00,2022-12-31 21:00,0.166,5.446
2023-01-01 01:00,2022-12-31 22:00,0.168,5.475
2023-01-01 02:00,2022-12-31 23:00,0.189,5.691
2023-01-01 03:00,2023-01-01 00:00,0.223,6.016
2023-01-01 04:00,2023-01-01 01:00,0.225,6.034
2023-01-01 05:00,2023-01-01 02:00,0.249,6.249
2023-01-01 06:00,2023-01-01 03:00,0.321,6.842
2023-01-01 07:00,2023-01-01 04:00,0.379,7.284
2023-01-01 08:00,2023-01-01 05:00,0.346,7.038
2023-01-01 09:00,2023-01-01 06:00,0.322,6.847
2023-01-01 10:00,2023-01-01 07:00,0.459,7.873
2023-01-01 11:00,2023-01-01 08:00,0.352,7.084
2023-01-01 12:00,2023-01-01 09:00,0.195,5.755
2023-01-01 13:00,2023-01-01 10:00,0.105,4.727
2023-01-01 14:00,2023-01-01 11:00,0.063,4.080
2023-01-01 15:00,2023-01-01 12:00,0.041,3.646
2023-01-01 16:00,2023-01-01 13:00,0.034,3.468
2023-01-01 17:00,2023-01-01 14:00,0.039,3.605
2023-01-01 18:00,2023-01-01 15:00,0.061,4.043
2023-01-01 19:00,2023-01-01 16:00,0.093,4.542
2023-01-01 20:00,2023-01-01 17:00,0.120,4.921
2023-01-01 21:00,2023-01-01 18:00,0.184,5.646
2023-01-01 22:00,2023-01-01 19:00,0.254,6.298
2023-01-01 23:00,2023-01-01 20:00,0.289,6.585
2023-01-02 00:00,2023-01-01 21:00,0.312,6.774
2023-01-02 01:00,2023-01-01 22:00,0.332,6.930
2023-01-02 02:00,2023-01-01 23:00,0.348,7.056
2023-01-02 03:00,2023-01-02 00:00,0.371,7.232
2023-01-02 04:00,2023-01-02 01:00,0.401,7.447
2023-01-02 05:00,2023-01-02 02:00,0.382,7.315
2023-01-02 06:00,2023-01-02 03:00,0.284,6.553
2023-01-02 07:00,2023-01-02 04:00,0.244,6.203
2023-01-02 08:00,2023-01-02 05:00,0.277,6.484
2023-01-02 09:00,2023-01-02 06:00,0.305,6.718
2023-01-02 10:00,2023-01-02 07:00,0.391,7.380
2023-01-02 11:00,2023-01-02 08:00,0.386,7.336
2023-01-02 12:00,2023-01-02 09:00,0.285,6.558
2023-01-02 13:00,2023-01-02 10:00,0.186,5.658
2023-01-02 14:00,2023-01-02 11:00,0.121,4.926
2023-01-02 15:00,2023-01-02 12:00,0.103,4.701
2023-01-02 16:00,2023-01-02 13:00,0.079,4.348
2023-01-02 17:00,2023-01-02 14:00,0.063,4.072
2023-01-02 18:00,2023-01-02 15:00,0.058,3.966
2023-01-02 19:00,2023-01-02 16:00,0.063,4.073
2023-01-02 20:00,2023-01-02 17:00,0.086,4.453
2023-01-02 21:00,2023-01-02 18:00,0.119,4.910
2023-01-02 22:00,2023-01-02 19:00,0.151,5.281
2023-01-02 23:00,2023-01-02 20:00,0.204,5.838
