# Renewables.ninja Wind power (Point API) - -16.945, -44.336 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Sao_Paulo, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "-16.945401951684016", "lon": "-44.33608276215471", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": "true"}}
time,local_time,electricity,wind_speed
2018-01-01 00:00,2017-12-31 22:00,0.261,6.355
2018-01-01 01:00,2017-12-31 23:00,0.149,5.263
2018-01-01 02:00,2018-01-01 00:00,0.063,4.068
2018-01-01 03:00,2018-01-01 01:00,0.026,3.260
2018-01-01 04:00,2018-01-01 02:00,0.019,3.071
2018-01-01 05:00,2018-01-01 03:00,0.022,3.154
2018-01-01 06:00,2018-01-01 04:00,0.026,3.267
2018-01-01 07:00,2018-01-01 05:00,0.048,3.797
2018-01-01 08:00,2018-01-01 06:00,0.099,4.626
2018-01-01 09:00,2018-01-01 07:00,0.087,4.460
2018-01-01 10:00,2018-01-01 08:00,0.028,3.333
2018-01-01 11:00,2018-01-01 09:00,0,1.468
2018-01-01 12:00,2018-01-01 10:00,0,0.994
2018-01-01 13:00,2018-01-01 11:00,0.003,2.183
2018-01-01 14:00,2018-01-01 12:00,0.030,3.369
2018-01-01 15:00,2018-01-01 13:00,0.081,4.362
2018-01-01 16:00,2018-01-01 14:00,0.122,4.949
2018-01-01 17:00,2018-01-01 15:00,0.142,5.190
2018-01-01 18:00,2018-01-01 16:00,0.134,5.088
2018-01-01 19:00,2018-01-01 17:00,0.106,4.730
2018-01-01 20:00,2018-01-01 18:00,0.078,4.318
2018-01-01 21:00,2018-01-01 19:00,0.079,4.347
2018-01-01 22:00,2018-01-01 20:00,0.095,4.584
2018-01-01 23:00,2018-01-01 21:00,0.101,4.666
2018-01-02 00:00,2018-01-01 22:00,0.093,4.538
2018-01-02 01:00,2018-01-01 23:00,0.071,4.218
2018-01-02 02:00,2018-01-02 00:00,0.051,3.842
2018-01-02 03:00,2018-01-02 01:00,0.050,3.830
2018-01-02 04:00,2018-01-02 02:00,0.072,4.223
2018-01-02 05:00,2018-01-02 03:00,0.093,4.536
2018-01-02 06:00,2018-01-02 04:00,0.095,4.577
2018-01-02 07:00,2018-01-02 05:00,0.077,4.308
2018-01-02 08:00,2018-01-02 06:00,0.049,3.813
2018-01-02 09:00,2018-01-02 07:00,0.013,2.844
2018-01-02 10:00,2018-01-02 08:00,0.025,3.239
2018-01-02 11:00,2018-01-02 09:00,0.066,4.123
2018-01-02 12:00,2018-01-02 10:00,0.086,4.441
2018-01-02 13:00,2018-01-02 11:00,0.083,4.390
2018-01-02 14:00,2018-01-02 12:00,0.077,4.310
2018-01-02 15:00,2018-01-02 13:00,0.083,4.387
2018-01-02 16:00,2018-01-02 14:00,0.088,4.472
2018-01-02 17:00,2018-01-02 15:00,0.100,4.638
2018-01-02 18:00,2018-01-02 16:00,0.115,4.857
2018-01-02 19:00,2018-01-02 17:00,0.123,4.951
2018-01-02 20:00,2018-01-02 18:00,0.108,4.755
2018-01-02 21:00,2018-01-02 19:00,0.091,4.519
2018-01-02 22:00,2018-01-02 20:00,0.073,4.239
2018-01-02 23:00,2018-01-02 21:00,0.049,3.818
2018-01-03 00:00,2018-01-02 22:00,0.032,3.437
2018-01-03 01:00,2018-01-02 23:00,0.025,3.243
2018-01-03 02:00,2018-01-03 00:00,0.022,3.162
2018-01-03 03:00,2018-01-03 01:00,0.020,3.085
2018-01-03 04:00,2018-01-03 02:00,0.018,3.010
