# Renewables.ninja Weather (Point API) - -18.870, -41.946 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-18.8698882", "lon": "-41.9459383", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2021-01-01", "date_to": "2021-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2020-12-31 21:00,26.189,0.005,1.124,0,0,0.360
2021-01-01 01:00,2020-12-31 22:00,24.867,0.005,1.130,0,0,0.402
2021-01-01 02:00,2020-12-31 23:00,23.708,0.004,1.134,0,0,0.472
2021-01-01 03:00,2021-01-01 00:00,22.828,0.004,1.137,0,0,0.344
2021-01-01 04:00,2021-01-01 01:00,22.190,0.004,1.139,0,0,0.353
2021-01-01 05:00,2021-01-01 02:00,21.730,0.009,1.140,0,0,0.312
2021-01-01 06:00,2021-01-01 03:00,21.425,0,1.142,0,0,0.291
2021-01-01 07:00,2021-01-01 04:00,21.294,0,1.143,0,0,0.368
2021-01-01 08:00,2021-01-01 05:00,21.514,0,1.144,37.467,92.474,0.422
2021-01-01 09:00,2021-01-01 06:00,23.232,0,1.142,229.644,401.877,0.310
2021-01-01 10:00,2021-01-01 07:00,25.930,0,1.135,492.292,705.329,0.220
2021-01-01 11:00,2021-01-01 08:00,28.990,0,1.127,716.574,972.751,0.158
2021-01-01 12:00,2021-01-01 09:00,31.930,0.002,1.118,893.432,1185.758,0.106
2021-01-01 13:00,2021-01-01 10:00,34.412,0.005,1.109,1025.040,1330.599,0.161
2021-01-01 14:00,2021-01-01 11:00,36.161,0.008,1.102,1061.068,1396.626,0.173
2021-01-01 15:00,2021-01-01 12:00,37.304,0.009,1.097,1033.275,1379.524,0.177
2021-01-01 16:00,2021-01-01 13:00,37.841,0.008,1.093,942.391,1280.749,0.187
2021-01-01 17:00,2021-01-01 14:00,37.850,0.007,1.090,786.138,1106.616,0.222
2021-01-01 18:00,2021-01-01 15:00,37.258,0.005,1.090,553.642,869.348,0.452
2021-01-01 19:00,2021-01-01 16:00,36.049,0.005,1.090,285.319,584.823,0.723
2021-01-01 20:00,2021-01-01 17:00,34.339,0.002,1.092,86.735,272.527,0.824
2021-01-01 21:00,2021-01-01 18:00,31.711,0.004,1.096,3.816,19.838,0.853
2021-01-01 22:00,2021-01-01 19:00,30.614,0.007,1.101,0,0,0.879
2021-01-01 23:00,2021-01-01 20:00,29.611,0.011,1.108,0,0,0.908
2021-01-02 00:00,2021-01-01 21:00,28.239,0.014,1.116,0,0,0.882
2021-01-02 01:00,2021-01-01 22:00,26.653,0.017,1.123,0,0,0.854
2021-01-02 02:00,2021-01-01 23:00,25.310,0.023,1.128,0,0,0.835
2021-01-02 03:00,2021-01-02 00:00,24.429,0.022,1.131,0,0,0.829
2021-01-02 04:00,2021-01-02 01:00,23.905,0.022,1.133,0,0,0.794
2021-01-02 05:00,2021-01-02 02:00,23.532,0.021,1.134,0,0,0.767
2021-01-02 06:00,2021-01-02 03:00,23.244,0.017,1.135,0,0,0.570
2021-01-02 07:00,2021-01-02 04:00,22.991,0.015,1.136,0,0,0.571
2021-01-02 08:00,2021-01-02 05:00,22.960,0.010,1.136,28.690,91.977,0.722
2021-01-02 09:00,2021-01-02 06:00,24.161,0.008,1.135,168.105,401.406,0.733
2021-01-02 10:00,2021-01-02 07:00,26.343,0.007,1.130,372.843,704.915,0.595
2021-01-02 11:00,2021-01-02 08:00,28.830,0.012,1.124,578.186,972.508,0.432
2021-01-02 12:00,2021-01-02 09:00,30.963,0.305,1.117,722.089,1186.086,0.452
2021-01-02 13:00,2021-01-02 10:00,32.049,0.485,1.112,705.823,1330.729,0.521
2021-01-02 14:00,2021-01-02 11:00,32.432,0.680,1.109,621.479,1396.626,0.614
2021-01-02 15:00,2021-01-02 12:00,32.647,0.741,1.107,567.655,1379.967,0.737
2021-01-02 16:00,2021-01-02 13:00,32.007,0.795,1.106,360.923,1280.749,0.836
2021-01-02 17:00,2021-01-02 14:00,31.229,0.926,1.106,261.910,1106.574,0.853
2021-01-02 18:00,2021-01-02 15:00,30.230,1.125,1.107,172.756,869.098,0.903
2021-01-02 19:00,2021-01-02 16:00,29.012,1.254,1.109,100.920,584.351,0.890
2021-01-02 20:00,2021-01-02 17:00,27.694,1.289,1.112,39.202,271.912,0.859
2021-01-02 21:00,2021-01-02 18:00,26.207,1.018,1.116,1.718,19.581,0.854
2021-01-02 22:00,2021-01-02 19:00,25.280,0.797,1.120,0,0,0.846
2021-01-02 23:00,2021-01-02 20:00,24.529,0.935,1.124,0,0,0.836
2021-01-03 00:00,2021-01-02 21:00,23.852,1.151,1.128,0,0,0.842
2021-01-03 01:00,2021-01-02 22:00,23.206,1.273,1.131,0,0,0.852
2021-01-03 02:00,2021-01-02 23:00,22.604,1.223,1.134,0,0,0.853
2021-01-03 03:00,2021-01-03 00:00,22.148,1.353,1.135,0,0,0.839
2021-01-03 04:00,2021-01-03 01:00,21.904,1.449,1.136,0,0,0.827
2021-01-03 05:00,2021-01-03 02:00,21.814,1.026,1.136,0,0,0.815
2021-01-03 06:00,2021-01-03 03:00,21.792,0.597,1.136,0,0,0.814
2021-01-03 07:00,2021-01-03 04:00,21.770,0.480,1.136,0,0,0.844
2021-01-03 08:00,2021-01-03 05:00,21.865,0.508,1.137,15.797,91.434,0.845
2021-01-03 09:00,2021-01-03 06:00,22.385,0.529,1.137,101.983,400.877,0.776
2021-01-03 10:00,2021-01-03 07:00,23.343,0.589,1.135,250.803,704.607,0.712
2021-01-03 11:00,2021-01-03 08:00,24.897,0.664,1.131,383.358,972.501,0.701
2021-01-03 12:00,2021-01-03 09:00,26.498,1.541,1.126,469.741,1186.086,0.779
2021-01-03 13:00,2021-01-03 10:00,27.344,1.731,1.122,447.713,1330.729,0.882
2021-01-03 14:00,2021-01-03 11:00,27.707,1.665,1.120,405.692,1397.084,0.893
2021-01-03 15:00,2021-01-03 12:00,27.960,1.585,1.118,378.373,1380.024,0.878
2021-01-03 16:00,2021-01-03 13:00,28.066,1.698,1.116,355.445,1280.906,0.833
2021-01-03 17:00,2021-01-03 14:00,27.914,1.595,1.115,317.977,1106.574,0.805
2021-01-03 18:00,2021-01-03 15:00,27.423,1.511,1.116,248.426,868.848,0.770
2021-01-03 19:00,2021-01-03 16:00,26.672,1.330,1.117,168.865,584.073,0.746
2021-01-03 20:00,2021-01-03 17:00,25.522,1.327,1.120,64.515,271.287,0.746
2021-01-03 21:00,2021-01-03 18:00,24.099,1.460,1.124,2.740,19.306,0.749
2021-01-03 22:00,2021-01-03 19:00,23.556,1.554,1.127,0,0,0.815
2021-01-03 23:00,2021-01-03 20:00,23.196,1.753,1.130,0,0,0.853
2021-01-04 00:00,2021-01-03 21:00,22.864,1.990,1.132,0,0,0.842
2021-01-04 01:00,2021-01-03 22:00,22.504,1.858,1.134,0,0,0.824
2021-01-04 02:00,2021-01-03 23:00,22.174,1.610,1.134,0,0,0.690
2021-01-04 03:00,2021-01-04 00:00,21.898,1.083,1.135,0,0,0.661
2021-01-04 04:00,2021-01-04 01:00,21.716,0.703,1.136,0,0,0.836
2021-01-04 05:00,2021-01-04 02:00,21.542,0.332,1.137,0,0,0.743
2021-01-04 06:00,2021-01-04 03:00,21.385,0.273,1.138,0,0,0.813
2021-01-04 07:00,2021-01-04 04:00,21.270,0.437,1.139,0,0,0.909
