# Renewables.ninja Weather (Point API) - -20.754, -42.882 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-20.7538586", "lon": "-42.8815888", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2021-01-01", "date_to": "2021-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2020-12-31 21:00,24.736,0.146,1.083,0,0,0.815
2021-01-01 01:00,2020-12-31 22:00,24.185,0.143,1.084,0,0,0.788
2021-01-01 02:00,2020-12-31 23:00,23.512,0.121,1.086,0,0,0.787
2021-01-01 03:00,2021-01-01 00:00,22.805,0.105,1.087,0,0,0.643
2021-01-01 04:00,2021-01-01 01:00,22.008,0.067,1.090,0,0,0.526
2021-01-01 05:00,2021-01-01 02:00,21.117,0.034,1.094,0,0,0.657
2021-01-01 06:00,2021-01-01 03:00,20.422,0.013,1.098,0,0,0.784
2021-01-01 07:00,2021-01-01 04:00,19.809,0.011,1.103,0,0,0.834
2021-01-01 08:00,2021-01-01 05:00,19.531,0.009,1.107,27.060,90.994,0.808
2021-01-01 09:00,2021-01-01 06:00,20.396,0.017,1.107,185.097,396.881,0.593
2021-01-01 10:00,2021-01-01 07:00,22.541,0.064,1.102,446.805,698.197,0.373
2021-01-01 11:00,2021-01-01 08:00,25.062,0.090,1.095,672.152,965.257,0.343
2021-01-01 12:00,2021-01-01 09:00,27.413,0.100,1.087,842.558,1179.778,0.416
2021-01-01 13:00,2021-01-01 10:00,29.050,0.106,1.080,853.492,1327.260,0.487
2021-01-01 14:00,2021-01-01 11:00,30.006,0.110,1.075,837.453,1397.643,0.501
2021-01-01 15:00,2021-01-01 12:00,30.393,0.105,1.073,743.779,1385.975,0.596
2021-01-01 16:00,2021-01-01 13:00,30.427,0.117,1.071,621.928,1293.112,0.715
2021-01-01 17:00,2021-01-01 14:00,30.145,0.132,1.070,468.579,1125.451,0.839
2021-01-01 18:00,2021-01-01 15:00,29.783,0.168,1.070,302.587,894.329,0.892
2021-01-01 19:00,2021-01-01 16:00,29.034,0.189,1.071,151.923,615.580,0.907
2021-01-01 20:00,2021-01-01 17:00,27.716,0.197,1.072,54.062,308.108,0.902
2021-01-01 21:00,2021-01-01 18:00,25.753,0.224,1.076,4.270,35.696,0.912
2021-01-01 22:00,2021-01-01 19:00,24.693,0.305,1.080,0,0,0.928
2021-01-01 23:00,2021-01-01 20:00,23.966,0.367,1.084,0,0,0.940
2021-01-02 00:00,2021-01-01 21:00,23.331,0.508,1.089,0,0,0.953
2021-01-02 01:00,2021-01-01 22:00,22.709,0.677,1.093,0,0,0.930
2021-01-02 02:00,2021-01-01 23:00,22.150,0.898,1.096,0,0,0.889
2021-01-02 03:00,2021-01-02 00:00,21.817,0.970,1.097,0,0,0.846
2021-01-02 04:00,2021-01-02 01:00,21.541,1.000,1.097,0,0,0.862
2021-01-02 05:00,2021-01-02 02:00,21.250,1.197,1.098,0,0,0.913
2021-01-02 06:00,2021-01-02 03:00,20.928,1.684,1.099,0,0,0.903
2021-01-02 07:00,2021-01-02 04:00,20.569,2.337,1.100,0,0,0.901
2021-01-02 08:00,2021-01-02 05:00,20.448,2.301,1.101,14.615,90.450,0.852
2021-01-02 09:00,2021-01-02 06:00,20.900,2.016,1.103,126.433,396.342,0.744
2021-01-02 10:00,2021-01-02 07:00,21.491,1.816,1.102,275.260,697.820,0.731
2021-01-02 11:00,2021-01-02 08:00,22.461,1.053,1.101,427.820,965.007,0.712
2021-01-02 12:00,2021-01-02 09:00,23.912,0.621,1.097,607.869,1179.778,0.718
2021-01-02 13:00,2021-01-02 10:00,25.140,0.546,1.092,674.172,1327.356,0.757
2021-01-02 14:00,2021-01-02 11:00,25.559,0.635,1.090,565.194,1397.643,0.780
2021-01-02 15:00,2021-01-02 12:00,25.584,0.841,1.088,457.943,1385.975,0.822
2021-01-02 16:00,2021-01-02 13:00,25.398,1.204,1.087,380.841,1293.112,0.857
2021-01-02 17:00,2021-01-02 14:00,24.872,1.588,1.088,300.375,1125.451,0.850
2021-01-02 18:00,2021-01-02 15:00,24.156,1.752,1.089,214.085,894.079,0.845
2021-01-02 19:00,2021-01-02 16:00,23.342,1.887,1.090,126.427,615.155,0.845
2021-01-02 20:00,2021-01-02 17:00,22.467,1.843,1.092,46.497,307.483,0.848
2021-01-02 21:00,2021-01-02 18:00,21.596,1.603,1.093,3.441,35.325,0.864
2021-01-02 22:00,2021-01-02 19:00,21.178,1.437,1.095,0,0,0.877
2021-01-02 23:00,2021-01-02 20:00,20.856,1.415,1.097,0,0,0.899
2021-01-03 00:00,2021-01-02 21:00,20.592,1.463,1.098,0,0,0.906
2021-01-03 01:00,2021-01-02 22:00,20.412,1.417,1.099,0,0,0.921
2021-01-03 02:00,2021-01-02 23:00,20.215,1.460,1.100,0,0,0.921
2021-01-03 03:00,2021-01-03 00:00,20.075,1.374,1.100,0,0,0.930
2021-01-03 04:00,2021-01-03 01:00,19.905,1.236,1.100,0,0,0.937
2021-01-03 05:00,2021-01-03 02:00,19.734,1.265,1.101,0,0,0.957
2021-01-03 06:00,2021-01-03 03:00,19.620,1.176,1.101,0,0,0.971
2021-01-03 07:00,2021-01-03 04:00,19.576,0.972,1.102,0,0,0.969
2021-01-03 08:00,2021-01-03 05:00,19.553,0.813,1.102,7.173,89.844,0.967
2021-01-03 09:00,2021-01-03 06:00,19.937,0.739,1.103,51.477,395.717,0.971
2021-01-03 10:00,2021-01-03 07:00,20.472,0.730,1.102,117.499,697.397,0.973
2021-01-03 11:00,2021-01-03 08:00,21.117,0.711,1.101,195.578,964.833,0.973
2021-01-03 12:00,2021-01-03 09:00,21.849,2.651,1.099,258.781,1179.682,0.970
2021-01-03 13:00,2021-01-03 10:00,22.548,2.506,1.097,299.429,1327.356,0.962
2021-01-03 14:00,2021-01-03 11:00,23.026,2.327,1.094,284.919,1397.739,0.950
2021-01-03 15:00,2021-01-03 12:00,23.343,1.931,1.092,250.645,1385.975,0.902
2021-01-03 16:00,2021-01-03 13:00,23.744,1.622,1.090,267.414,1293.112,0.851
2021-01-03 17:00,2021-01-03 14:00,23.946,1.378,1.088,244.856,1125.296,0.824
2021-01-03 18:00,2021-01-03 15:00,23.798,1.229,1.087,195.396,893.829,0.879
2021-01-03 19:00,2021-01-03 16:00,23.086,1.003,1.089,84.563,614.655,0.956
2021-01-03 20:00,2021-01-03 17:00,22.331,0.940,1.091,28.108,306.770,0.969
2021-01-03 21:00,2021-01-03 18:00,21.679,0.936,1.093,1.953,34.916,0.963
