# Renewables.ninja Weather (Point API) - -20.754, -42.882 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "-20.7538586", "lon": "-42.8815888", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2018-01-01 00:00,2017-12-31 22:00,21.209,0.122,1.097,0,0,0.853
2018-01-01 01:00,2017-12-31 23:00,20.836,0.087,1.098,0,0,0.787
2018-01-01 02:00,2018-01-01 00:00,20.496,0.075,1.098,0,0,0.756
2018-01-01 03:00,2018-01-01 01:00,20.199,0.064,1.099,0,0,0.835
2018-01-01 04:00,2018-01-01 02:00,19.917,0.050,1.099,0,0,0.900
2018-01-01 05:00,2018-01-01 03:00,19.572,0.028,1.100,0,0,0.915
2018-01-01 06:00,2018-01-01 04:00,19.344,0.011,1.102,0,0,0.896
2018-01-01 07:00,2018-01-01 05:00,19.172,0.005,1.103,0,0,0.860
2018-01-01 08:00,2018-01-01 06:00,19.397,0.003,1.104,31.331,91.140,0.931
2018-01-01 09:00,2018-01-01 07:00,20.726,0.002,1.103,188.207,397.030,0.940
2018-01-01 10:00,2018-01-01 08:00,22.619,0.001,1.098,393.351,698.320,0.938
2018-01-01 11:00,2018-01-01 09:00,24.646,0.011,1.092,553.115,965.410,0.938
2018-01-01 12:00,2018-01-01 10:00,26.366,0.079,1.086,746.950,1179.929,0.935
2018-01-01 13:00,2018-01-01 11:00,27.394,0.146,1.082,792.716,1327.506,0.919
2018-01-01 14:00,2018-01-01 12:00,27.801,0.193,1.078,688.012,1397.643,0.886
2018-01-01 15:00,2018-01-01 13:00,27.791,0.216,1.076,553.042,1385.975,0.883
2018-01-01 16:00,2018-01-01 14:00,27.263,0.240,1.076,391.981,1293.366,0.867
2018-01-01 17:00,2018-01-01 15:00,26.494,0.250,1.078,280.812,1125.451,0.834
2018-01-01 18:00,2018-01-01 16:00,25.802,0.247,1.080,209.868,894.456,0.820
2018-01-01 19:00,2018-01-01 17:00,25.229,0.258,1.081,151.449,615.704,0.826
2018-01-01 20:00,2018-01-01 18:00,24.472,0.224,1.082,72.122,308.233,0.827
2018-01-01 21:00,2018-01-01 19:00,23.058,0.243,1.084,5.966,35.785,0.933
2018-01-01 22:00,2018-01-01 20:00,22.299,0.251,1.085,0,0,0.915
2018-01-01 23:00,2018-01-01 21:00,21.807,0.206,1.087,0,0,0.898
2018-01-02 00:00,2018-01-01 22:00,21.342,0.172,1.089,0,0,0.868
2018-01-02 01:00,2018-01-01 23:00,20.903,0.156,1.091,0,0,0.804
2018-01-02 02:00,2018-01-02 00:00,20.541,0.175,1.093,0,0,0.778
2018-01-02 03:00,2018-01-02 01:00,20.328,0.222,1.094,0,0,0.641
2018-01-02 04:00,2018-01-02 02:00,20.216,0.235,1.095,0,0,0.612
2018-01-02 05:00,2018-01-02 03:00,20.120,0.246,1.095,0,0,0.783
2018-01-02 06:00,2018-01-02 04:00,19.988,0.306,1.096,0,0,0.931
2018-01-02 07:00,2018-01-02 05:00,19.978,0.307,1.097,0,0,0.953
2018-01-02 08:00,2018-01-02 06:00,20.266,0.194,1.097,20.387,90.597,0.957
2018-01-02 09:00,2018-01-02 07:00,21.150,0.085,1.097,91.737,396.530,0.946
2018-01-02 10:00,2018-01-02 08:00,22.112,0.078,1.094,208.208,698.070,0.937
2018-01-02 11:00,2018-01-02 09:00,23.070,0.062,1.092,305.577,965.208,0.925
2018-01-02 12:00,2018-01-02 10:00,24.132,0.331,1.088,410.466,1179.929,0.919
2018-01-02 13:00,2018-01-02 11:00,25.383,0.308,1.084,506.492,1327.506,0.904
2018-01-02 14:00,2018-01-02 12:00,26.651,0.332,1.078,625.376,1397.838,0.882
2018-01-02 15:00,2018-01-02 13:00,27.551,0.438,1.074,650.187,1386.130,0.861
2018-01-02 16:00,2018-01-02 14:00,28.002,0.664,1.071,607.171,1293.366,0.860
2018-01-02 17:00,2018-01-02 15:00,27.798,0.928,1.070,463.334,1125.451,0.878
2018-01-02 18:00,2018-01-02 16:00,27.012,1.138,1.071,301.311,894.206,0.885
2018-01-02 19:00,2018-01-02 17:00,25.759,1.198,1.074,147.850,615.330,0.907
2018-01-02 20:00,2018-01-02 18:00,24.406,1.179,1.079,48.603,307.645,0.929
2018-01-02 21:00,2018-01-02 19:00,23.242,0.954,1.082,3.210,35.423,0.952
2018-01-02 22:00,2018-01-02 20:00,22.674,0.639,1.085,0,0,0.939
2018-01-02 23:00,2018-01-02 21:00,22.285,0.346,1.087,0,0,0.910
2018-01-03 00:00,2018-01-02 22:00,22.057,0.164,1.088,0,0,0.904
2018-01-03 01:00,2018-01-02 23:00,21.908,0.065,1.088,0,0,0.909
2018-01-03 02:00,2018-01-03 00:00,21.799,0.035,1.089,0,0,0.911
2018-01-03 03:00,2018-01-03 01:00,21.664,0.021,1.089,0,0,0.893
2018-01-03 04:00,2018-01-03 02:00,21.470,0.017,1.089,0,0,0.860
2018-01-03 05:00,2018-01-03 03:00,21.282,0.018,1.089,0,0,0.888
2018-01-03 06:00,2018-01-03 04:00,21.094,0.020,1.090,0,0,0.898
2018-01-03 07:00,2018-01-03 05:00,20.935,0.022,1.091,0,0,0.918
2018-01-03 08:00,2018-01-03 06:00,21.045,0.023,1.092,22.491,90.022,0.924
2018-01-03 09:00,2018-01-03 07:00,22.105,0.011,1.091,150.946,395.929,0.954
