# Renewables.ninja Weather (Point API) - -22.875, -43.465 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.8753053", "lon": "-43.4648805", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2020-01-01 00:00,2019-12-31 21:00,23.737,0.017,1.147,0,0,0.829
2020-01-01 01:00,2019-12-31 22:00,23.483,0.020,1.148,0,0,0.765
2020-01-01 02:00,2019-12-31 23:00,23.237,0.007,1.149,0,0,0.798
2020-01-01 03:00,2020-01-01 00:00,22.953,0.005,1.150,0,0,0.772
2020-01-01 04:00,2020-01-01 01:00,22.646,0.004,1.151,0,0,0.648
2020-01-01 05:00,2020-01-01 02:00,22.351,0.004,1.152,0,0,0.792
2020-01-01 06:00,2020-01-01 03:00,22.166,0.005,1.153,0,0,0.935
2020-01-01 07:00,2020-01-01 04:00,22.106,0.007,1.154,0,0,0.947
2020-01-01 08:00,2020-01-01 05:00,22.344,0.005,1.154,30.123,97.605,0.956
2020-01-01 09:00,2020-01-01 06:00,23.268,0.002,1.153,157.547,401.313,0.957
2020-01-01 10:00,2020-01-01 07:00,24.480,0.001,1.149,338.977,698.953,0.953
2020-01-01 11:00,2020-01-01 08:00,25.990,0.001,1.143,527.095,963.625,0.954
2020-01-01 12:00,2020-01-01 09:00,27.358,0.011,1.137,711.418,1177.172,0.954
2020-01-01 13:00,2020-01-01 10:00,28.413,0.031,1.132,848.089,1325.224,0.935
2020-01-01 14:00,2020-01-01 11:00,29.186,0.083,1.128,945.361,1397.627,0.770
2020-01-01 15:00,2020-01-01 12:00,29.686,0.083,1.125,955.295,1389.088,0.752
2020-01-01 16:00,2020-01-01 13:00,30.135,0.091,1.123,920.301,1300.866,0.692
2020-01-01 17:00,2020-01-01 14:00,30.424,0.114,1.120,816.471,1138.373,0.704
2020-01-01 18:00,2020-01-01 15:00,30.172,0.137,1.119,620.625,912.995,0.880
2020-01-01 19:00,2020-01-01 16:00,29.481,0.135,1.120,381.719,639.942,0.930
2020-01-01 20:00,2020-01-01 17:00,28.222,0.151,1.123,136.666,337.879,0.936
2020-01-01 21:00,2020-01-01 18:00,26.486,0.061,1.127,12.519,53.444,0.937
2020-01-01 22:00,2020-01-01 19:00,25.718,0.053,1.130,0,0,0.921
2020-01-01 23:00,2020-01-01 20:00,25.203,0.033,1.134,0,0,0.901
2020-01-02 00:00,2020-01-01 21:00,24.685,0.025,1.137,0,0,0.902
2020-01-02 01:00,2020-01-01 22:00,24.318,0.018,1.139,0,0,0.912
2020-01-02 02:00,2020-01-01 23:00,23.978,0.012,1.141,0,0,0.915
