# Renewables.ninja Weather (Point API) - -22.875, -43.465 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-22.8753053", "lon": "-43.4648805", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2017-01-01", "date_to": "2017-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2017-01-01 00:00,2016-12-31 22:00,26.482,0.068,1.139,0,0,0.882
2017-01-01 01:00,2016-12-31 23:00,26.184,0.082,1.141,0,0,0.861
2017-01-01 02:00,2017-01-01 00:00,25.903,0.130,1.142,0,0,0.826
2017-01-01 03:00,2017-01-01 01:00,25.600,0.215,1.144,0,0,0.804
2017-01-01 04:00,2017-01-01 02:00,25.265,0.220,1.145,0,0,0.801
2017-01-01 05:00,2017-01-01 03:00,24.962,0.183,1.146,0,0,0.791
2017-01-01 06:00,2017-01-01 04:00,24.688,0.105,1.147,0,0,0.792
2017-01-01 07:00,2017-01-01 05:00,24.466,0.027,1.149,0,0,0.761
2017-01-01 08:00,2017-01-01 06:00,24.549,0.016,1.149,18.186,97.175,0.651
2017-01-01 09:00,2017-01-01 07:00,25.245,0.013,1.149,144.743,400.938,0.519
2017-01-01 10:00,2017-01-01 08:00,26.293,0.016,1.146,321.821,698.822,0.544
2017-01-01 11:00,2017-01-01 09:00,27.856,0.012,1.141,532.394,963.654,0.554
2017-01-01 12:00,2017-01-01 10:00,29.375,0.008,1.135,716.950,1177.468,0.579
2017-01-01 13:00,2017-01-01 11:00,30.911,0.007,1.130,858.468,1325.485,0.623
2017-01-01 14:00,2017-01-01 12:00,32.051,0.010,1.125,909.474,1397.888,0.735
2017-01-01 15:00,2017-01-01 13:00,32.386,0.021,1.122,866.176,1389.588,0.741
2017-01-01 16:00,2017-01-01 14:00,31.977,0.037,1.122,732.618,1301.094,0.723
2017-01-01 17:00,2017-01-01 15:00,31.197,0.056,1.124,585.243,1138.601,0.652
2017-01-01 18:00,2017-01-01 16:00,30.053,0.106,1.127,392.820,912.995,0.565
2017-01-01 19:00,2017-01-01 17:00,29.057,0.126,1.131,260.223,639.726,0.485
2017-01-01 20:00,2017-01-01 18:00,28.075,0.155,1.134,116.470,337.447,0.445
2017-01-01 21:00,2017-01-01 19:00,27.116,0.137,1.137,12.207,53.105,0.551
2017-01-01 22:00,2017-01-01 20:00,26.648,0.142,1.139,0,0,0.719
2017-01-01 23:00,2017-01-01 21:00,26.555,0.154,1.140,0,0,0.778
2017-01-02 00:00,2017-01-01 22:00,26.413,0.157,1.140,0,0,0.858
2017-01-02 01:00,2017-01-01 23:00,26.104,0.130,1.140,0,0,0.886
2017-01-02 02:00,2017-01-02 00:00,25.811,0.090,1.140,0,0,0.809
2017-01-02 03:00,2017-01-02 01:00,25.559,0.060,1.140,0,0,0.786
2017-01-02 04:00,2017-01-02 02:00,25.412,0.040,1.140,0,0,0.793
2017-01-02 05:00,2017-01-02 03:00,25.208,0.035,1.140,0,0,0.766
2017-01-02 06:00,2017-01-02 04:00,25.061,0.028,1.140,0,0,0.746
2017-01-02 07:00,2017-01-02 05:00,24.885,0.022,1.141,0,0,0.727
2017-01-02 08:00,2017-01-02 06:00,24.843,0.020,1.142,24.389,96.543,0.743
2017-01-02 09:00,2017-01-02 07:00,25.583,0.027,1.143,122.194,400.313,0.814
2017-01-02 10:00,2017-01-02 08:00,26.720,0.042,1.141,204.530,698.424,0.871
2017-01-02 11:00,2017-01-02 09:00,28.227,0.042,1.136,283.285,963.404,0.876
2017-01-02 12:00,2017-01-02 10:00,29.389,0.033,1.132,358.463,1177.229,0.887
2017-01-02 13:00,2017-01-02 11:00,30.321,0.022,1.128,427.832,1325.485,0.900
2017-01-02 14:00,2017-01-02 12:00,30.743,0.021,1.126,460.275,1397.888,0.910
2017-01-02 15:00,2017-01-02 13:00,31.142,0.018,1.123,445.655,1389.588,0.912
2017-01-02 16:00,2017-01-02 14:00,30.934,0.034,1.123,423.537,1301.094,0.905
2017-01-02 17:00,2017-01-02 15:00,30.636,0.052,1.124,346.221,1138.373,0.891
2017-01-02 18:00,2017-01-02 16:00,30.007,0.096,1.126,256.567,912.711,0.878
2017-01-02 19:00,2017-01-02 17:00,28.929,0.202,1.129,150.133,639.226,0.892
2017-01-02 20:00,2017-01-02 18:00,27.642,0.381,1.133,58.892,336.771,0.926
2017-01-02 21:00,2017-01-02 19:00,26.604,0.489,1.137,5.313,52.603,0.900
2017-01-02 22:00,2017-01-02 20:00,26.192,0.786,1.140,0,0,0.849
2017-01-02 23:00,2017-01-02 21:00,26.051,1.235,1.141,0,0,0.845
2017-01-03 00:00,2017-01-02 22:00,25.933,1.628,1.142,0,0,0.863
2017-01-03 01:00,2017-01-02 23:00,25.769,1.717,1.143,0,0,0.887
2017-01-03 02:00,2017-01-03 00:00,25.630,1.276,1.143,0,0,0.909
2017-01-03 03:00,2017-01-03 01:00,25.552,0.839,1.143,0,0,0.920
2017-01-03 04:00,2017-01-03 02:00,25.517,0.594,1.144,0,0,0.918
2017-01-03 05:00,2017-01-03 03:00,25.499,0.319,1.143,0,0,0.902
2017-01-03 06:00,2017-01-03 04:00,25.269,0.113,1.144,0,0,0.867
2017-01-03 07:00,2017-01-03 05:00,25.063,0.033,1.144,0,0,0.890
2017-01-03 08:00,2017-01-03 06:00,25.113,0.011,1.145,21.060,95.862,0.919
2017-01-03 09:00,2017-01-03 07:00,25.985,0.008,1.146,118.722,399.645,0.912
2017-01-03 10:00,2017-01-03 08:00,27.855,0.014,1.143,268.164,697.953,0.902
2017-01-03 11:00,2017-01-03 09:00,28.694,0.018,1.140,438.115,963.125,0.904
2017-01-03 12:00,2017-01-03 10:00,28.923,0.367,1.138,577.849,1177.172,0.897
2017-01-03 13:00,2017-01-03 11:00,29.289,0.348,1.137,675.555,1325.428,0.900
2017-01-03 14:00,2017-01-03 12:00,29.407,0.479,1.136,642.934,1397.888,0.916
2017-01-03 15:00,2017-01-03 13:00,29.157,0.582,1.136,541.141,1389.588,0.908
2017-01-03 16:00,2017-01-03 14:00,28.684,0.613,1.137,457.864,1300.923,0.888
2017-01-03 17:00,2017-01-03 15:00,28.247,0.550,1.137,374.594,1138.101,0.906
2017-01-03 18:00,2017-01-03 16:00,27.786,0.496,1.138,270.413,912.274,0.892
2017-01-03 19:00,2017-01-03 17:00,27.303,0.513,1.139,175.173,638.692,0.852
2017-01-03 20:00,2017-01-03 18:00,26.657,0.392,1.141,71.320,335.978,0.839
2017-01-03 21:00,2017-01-03 19:00,25.868,0.298,1.142,7.373,52.059,0.841
2017-01-03 22:00,2017-01-03 20:00,25.521,0.202,1.144,0,0,0.855
2017-01-03 23:00,2017-01-03 21:00,25.372,0.114,1.145,0,0,0.851
2017-01-04 00:00,2017-01-03 22:00,25.291,0.054,1.146,0,0,0.849
2017-01-04 01:00,2017-01-03 23:00,25.211,0.044,1.147,0,0,0.860
2017-01-04 02:00,2017-01-04 00:00,25.127,0.052,1.147,0,0,0.881
2017-01-04 03:00,2017-01-04 01:00,25.056,0.043,1.147,0,0,0.886
2017-01-04 04:00,2017-01-04 02:00,25.023,0.047,1.146,0,0,0.882
2017-01-04 05:00,2017-01-04 03:00,24.941,0.043,1.146,0,0,0.836
2017-01-04 06:00,2017-01-04 04:00,24.786,0.043,1.146,0,0,0.681
2017-01-04 07:00,2017-01-04 05:00,24.654,0.049,1.146,0,0,0.566
2017-01-04 08:00,2017-01-04 06:00,24.807,0.035,1.146,29.766,95.106,0.431
2017-01-04 09:00,2017-01-04 07:00,25.958,0.046,1.146,190.645,398.895,0.392
2017-01-04 10:00,2017-01-04 08:00,27.156,0.135,1.143,405.987,697.351,0.410
2017-01-04 11:00,2017-01-04 09:00,28.457,0.191,1.139,605.484,962.773,0.307
2017-01-04 12:00,2017-01-04 10:00,29.658,0.036,1.135,800.200,1176.968,0.133
2017-01-04 13:00,2017-01-04 11:00,30.563,0.019,1.131,937.618,1325.428,0.114
2017-01-04 14:00,2017-01-04 12:00,31.271,0.011,1.127,979.433,1397.684,0.172
2017-01-04 15:00,2017-01-04 13:00,31.808,0.010,1.124,936.653,1389.588,0.198
2017-01-04 16:00,2017-01-04 14:00,32.139,0.015,1.121,870.341,1300.866,0.248
2017-01-04 17:00,2017-01-04 15:00,32.116,0.028,1.119,731.820,1138.101,0.359
2017-01-04 18:00,2017-01-04 16:00,31.769,0.043,1.119,549.006,911.995,0.501
2017-01-04 19:00,2017-01-04 17:00,31.207,0.050,1.120,321.543,638.061,0.658
2017-01-04 20:00,2017-01-04 18:00,30.132,0.024,1.122,134.629,335.146,0.694
2017-01-04 21:00,2017-01-04 19:00,28.522,0.033,1.126,14.095,51.483,0.666
2017-01-04 22:00,2017-01-04 20:00,27.665,0.046,1.130,0,0,0.635
2017-01-04 23:00,2017-01-04 21:00,27.058,0.058,1.133,0,0,0.642
2017-01-05 00:00,2017-01-04 22:00,26.597,0.072,1.137,0,0,0.659
2017-01-05 01:00,2017-01-04 23:00,26.196,0.072,1.139,0,0,0.705
2017-01-05 02:00,2017-01-05 00:00,25.881,0.063,1.141,0,0,0.691
2017-01-05 03:00,2017-01-05 01:00,25.601,0.060,1.142,0,0,0.633
2017-01-05 04:00,2017-01-05 02:00,25.345,0.053,1.143,0,0,0.523
2017-01-05 05:00,2017-01-05 03:00,25.087,0.044,1.143,0,0,0.363
2017-01-05 06:00,2017-01-05 04:00,24.776,0.029,1.144,0,0,0.208
2017-01-05 07:00,2017-01-05 05:00,24.546,0.018,1.145,0,0,0.148
2017-01-05 08:00,2017-01-05 06:00,24.600,0.009,1.147,38.418,94.318,0.132
2017-01-05 09:00,2017-01-05 07:00,25.571,0.004,1.148,220.931,398.094,0.115
