# Renewables.ninja Weather (Point API) - -23.011, -43.322 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-23.0114386", "lon": "-43.3217887", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2023-01-01 00:00,2022-12-31 21:00,22.987,0.346,1.171,0,0,0.141
2023-01-01 01:00,2022-12-31 22:00,22.792,0.071,1.172,0,0,0.127
2023-01-01 02:00,2022-12-31 23:00,22.612,0.011,1.172,0,0,0.119
2023-01-01 03:00,2023-01-01 00:00,22.476,0.005,1.172,0,0,0.092
2023-01-01 04:00,2023-01-01 01:00,22.310,0.004,1.171,0,0,0.048
2023-01-01 05:00,2023-01-01 02:00,22.136,0.005,1.171,0,0,0.038
2023-01-01 06:00,2023-01-01 03:00,22.014,0.006,1.172,0,0,0.043
2023-01-01 07:00,2023-01-01 04:00,21.891,0.009,1.173,0,0,0.045
2023-01-01 08:00,2023-01-01 05:00,22.133,0.016,1.173,44.658,100.885,0.048
2023-01-01 09:00,2023-01-01 06:00,23.086,0.032,1.174,238.851,405.280,0.056
2023-01-01 10:00,2023-01-01 07:00,24.033,0.049,1.171,461.880,702.608,0.062
2023-01-01 11:00,2023-01-01 08:00,25.184,0.063,1.166,664.592,966.809,0.080
2023-01-01 12:00,2023-01-01 09:00,26.224,0.036,1.162,814.886,1179.661,0.093
2023-01-01 13:00,2023-01-01 10:00,26.887,0.047,1.159,921.836,1327.083,0.104
2023-01-01 14:00,2023-01-01 11:00,27.096,0.062,1.157,966.246,1398.528,0.118
2023-01-01 15:00,2023-01-01 12:00,27.030,0.070,1.156,942.405,1389.630,0.135
2023-01-01 16:00,2023-01-01 13:00,26.781,0.082,1.156,857.674,1300.243,0.148
2023-01-01 17:00,2023-01-01 14:00,26.450,0.121,1.157,726.430,1137.199,0.183
2023-01-01 18:00,2023-01-01 15:00,26.001,0.146,1.158,547.815,911.350,0.197
2023-01-01 19:00,2023-01-01 16:00,25.497,0.190,1.159,360.308,638.093,0.178
2023-01-01 20:00,2023-01-01 17:00,24.873,0.225,1.161,163.153,335.934,0.200
2023-01-01 21:00,2023-01-01 18:00,24.034,0.225,1.164,15.472,52.395,0.582
2023-01-01 22:00,2023-01-01 19:00,23.536,0.212,1.167,0,0,0.694
2023-01-01 23:00,2023-01-01 20:00,23.378,0.214,1.168,0,0,0.497
2023-01-02 00:00,2023-01-01 21:00,23.328,0.193,1.168,0,0,0.268
2023-01-02 01:00,2023-01-01 22:00,23.225,0.184,1.168,0,0,0.262
2023-01-02 02:00,2023-01-01 23:00,23.145,0.168,1.168,0,0,0.297
2023-01-02 03:00,2023-01-02 00:00,22.941,0.169,1.168,0,0,0.272
2023-01-02 04:00,2023-01-02 01:00,22.763,0.161,1.168,0,0,0.268
2023-01-02 05:00,2023-01-02 02:00,22.644,0.158,1.168,0,0,0.193
2023-01-02 06:00,2023-01-02 03:00,22.413,0.164,1.169,0,0,0.095
2023-01-02 07:00,2023-01-02 04:00,22.098,0.152,1.170,0,0,0.070
2023-01-02 08:00,2023-01-02 05:00,22.142,0.136,1.171,44.094,100.269,0.068
2023-01-02 09:00,2023-01-02 06:00,22.884,0.118,1.172,240.479,404.695,0.076
2023-01-02 10:00,2023-01-02 07:00,23.773,0.100,1.170,464.524,702.113,0.088
2023-01-02 11:00,2023-01-02 08:00,25.060,0.087,1.164,674.696,966.559,0.098
2023-01-02 12:00,2023-01-02 09:00,26.260,0.103,1.159,857.245,1179.658,0.188
2023-01-02 13:00,2023-01-02 10:00,27.216,0.110,1.154,970.988,1327.083,0.391
2023-01-02 14:00,2023-01-02 11:00,27.858,0.118,1.150,1029.167,1398.528,0.504
2023-01-02 15:00,2023-01-02 12:00,28.261,0.121,1.147,1024.582,1389.630,0.287
2023-01-02 16:00,2023-01-02 13:00,28.336,0.101,1.145,955.223,1300.240,0.084
2023-01-02 17:00,2023-01-02 14:00,28.155,0.086,1.144,823.001,1137.042,0.076
2023-01-02 18:00,2023-01-02 15:00,27.763,0.072,1.144,632.906,911.096,0.264
2023-01-02 19:00,2023-01-02 16:00,27.219,0.057,1.145,400.107,637.593,0.415
2023-01-02 20:00,2023-01-02 17:00,26.571,0.046,1.146,181.800,335.270,0.118
2023-01-02 21:00,2023-01-02 18:00,25.434,0.046,1.150,19.727,51.900,0.249
2023-01-02 22:00,2023-01-02 19:00,24.732,0.044,1.154,0,0,0.370
