# Renewables.ninja Weather (Point API) - -23.011, -43.322 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-23.0114386", "lon": "-43.3217887", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2017-01-01", "date_to": "2017-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2017-01-01 00:00,2016-12-31 22:00,26.881,0.029,1.150,0,0,0.861
2017-01-01 01:00,2016-12-31 23:00,26.686,0.040,1.151,0,0,0.835
2017-01-01 02:00,2017-01-01 00:00,26.396,0.083,1.152,0,0,0.786
2017-01-01 03:00,2017-01-01 01:00,26.103,0.129,1.154,0,0,0.761
2017-01-01 04:00,2017-01-01 02:00,25.822,0.118,1.155,0,0,0.754
2017-01-01 05:00,2017-01-01 03:00,25.595,0.101,1.156,0,0,0.749
2017-01-01 06:00,2017-01-01 04:00,25.425,0.063,1.157,0,0,0.758
2017-01-01 07:00,2017-01-01 05:00,25.278,0.023,1.157,0,0,0.745
2017-01-01 08:00,2017-01-01 06:00,25.359,0.012,1.158,18.350,100.572,0.635
2017-01-01 09:00,2017-01-01 07:00,25.988,0.010,1.158,140.229,404.905,0.527
2017-01-01 10:00,2017-01-01 08:00,26.783,0.013,1.156,306.644,702.281,0.534
2017-01-01 11:00,2017-01-01 09:00,27.854,0.011,1.152,520.120,966.390,0.517
2017-01-01 12:00,2017-01-01 10:00,28.919,0.008,1.147,705.335,1179.496,0.608
2017-01-01 13:00,2017-01-01 11:00,30.129,0.006,1.142,850.112,1326.595,0.631
2017-01-01 14:00,2017-01-01 12:00,31.188,0.006,1.137,911.366,1398.185,0.740
2017-01-01 15:00,2017-01-01 13:00,31.589,0.010,1.134,860.907,1389.130,0.767
2017-01-01 16:00,2017-01-01 14:00,31.179,0.019,1.134,714.527,1300.078,0.761
2017-01-01 17:00,2017-01-01 15:00,30.428,0.026,1.136,567.669,1137.042,0.662
2017-01-01 18:00,2017-01-01 16:00,29.530,0.052,1.140,417.196,911.096,0.493
2017-01-01 19:00,2017-01-01 17:00,28.765,0.059,1.144,284.147,637.674,0.383
2017-01-01 20:00,2017-01-01 18:00,28.018,0.075,1.147,131.589,335.559,0.343
2017-01-01 21:00,2017-01-01 19:00,27.255,0.065,1.149,13.510,52.139,0.446
2017-01-01 22:00,2017-01-01 20:00,26.873,0.059,1.150,0,0,0.579
2017-01-01 23:00,2017-01-01 21:00,26.852,0.063,1.151,0,0,0.668
2017-01-02 00:00,2017-01-01 22:00,26.760,0.070,1.151,0,0,0.814
2017-01-02 01:00,2017-01-01 23:00,26.494,0.060,1.151,0,0,0.877
2017-01-02 02:00,2017-01-02 00:00,26.308,0.043,1.151,0,0,0.824
2017-01-02 03:00,2017-01-02 01:00,26.158,0.030,1.151,0,0,0.822
2017-01-02 04:00,2017-01-02 02:00,26.059,0.027,1.150,0,0,0.840
2017-01-02 05:00,2017-01-02 03:00,25.925,0.030,1.150,0,0,0.772
2017-01-02 06:00,2017-01-02 04:00,25.881,0.029,1.150,0,0,0.740
2017-01-02 07:00,2017-01-02 05:00,25.781,0.024,1.150,0,0,0.733
2017-01-02 08:00,2017-01-02 06:00,25.737,0.024,1.152,23.009,99.925,0.753
2017-01-02 09:00,2017-01-02 07:00,26.293,0.031,1.152,112.572,404.280,0.842
2017-01-02 10:00,2017-01-02 08:00,27.253,0.045,1.150,183.748,701.858,0.884
2017-01-02 11:00,2017-01-02 09:00,28.389,0.043,1.146,258.592,966.136,0.884
2017-01-02 12:00,2017-01-02 10:00,29.211,0.040,1.143,328.801,1179.161,0.899
2017-01-02 13:00,2017-01-02 11:00,29.894,0.027,1.140,388.715,1326.591,0.909
2017-01-02 14:00,2017-01-02 12:00,30.267,0.022,1.138,426.938,1398.185,0.911
2017-01-02 15:00,2017-01-02 13:00,30.518,0.020,1.136,416.094,1389.130,0.917
2017-01-02 16:00,2017-01-02 14:00,30.137,0.036,1.136,397.094,1300.078,0.918
2017-01-02 17:00,2017-01-02 15:00,29.733,0.052,1.138,321.778,1136.699,0.912
2017-01-02 18:00,2017-01-02 16:00,29.134,0.093,1.140,243.800,910.846,0.896
2017-01-02 19:00,2017-01-02 17:00,28.322,0.216,1.143,154.017,637.174,0.895
2017-01-02 20:00,2017-01-02 18:00,27.544,0.462,1.146,61.803,334.892,0.927
2017-01-02 21:00,2017-01-02 19:00,26.848,0.627,1.149,5.394,51.640,0.895
2017-01-02 22:00,2017-01-02 20:00,26.599,0.978,1.150,0,0,0.853
2017-01-02 23:00,2017-01-02 21:00,26.550,1.414,1.152,0,0,0.854
2017-01-03 00:00,2017-01-02 22:00,26.479,1.806,1.153,0,0,0.880
2017-01-03 01:00,2017-01-02 23:00,26.351,1.960,1.153,0,0,0.910
2017-01-03 02:00,2017-01-03 00:00,26.243,1.578,1.153,0,0,0.924
2017-01-03 03:00,2017-01-03 01:00,26.204,1.130,1.153,0,0,0.926
2017-01-03 04:00,2017-01-03 02:00,26.198,0.813,1.153,0,0,0.920
2017-01-03 05:00,2017-01-03 03:00,26.203,0.406,1.152,0,0,0.904
2017-01-03 06:00,2017-01-03 04:00,26.069,0.106,1.152,0,0,0.879
2017-01-03 07:00,2017-01-03 05:00,25.964,0.018,1.153,0,0,0.908
2017-01-03 08:00,2017-01-03 06:00,26.060,0.004,1.154,23.180,99.225,0.923
2017-01-03 09:00,2017-01-03 07:00,26.699,0.002,1.154,129.978,403.570,0.926
2017-01-03 10:00,2017-01-03 08:00,27.914,0.005,1.153,289.532,701.358,0.912
2017-01-03 11:00,2017-01-03 09:00,28.470,0.006,1.151,474.180,965.886,0.897
2017-01-03 12:00,2017-01-03 10:00,28.665,0.119,1.150,614.538,1179.150,0.890
2017-01-03 13:00,2017-01-03 11:00,28.866,0.133,1.150,706.515,1326.583,0.898
2017-01-03 14:00,2017-01-03 12:00,28.873,0.191,1.149,662.677,1398.182,0.920
2017-01-03 15:00,2017-01-03 13:00,28.638,0.234,1.149,557.407,1389.130,0.887
2017-01-03 16:00,2017-01-03 14:00,28.314,0.255,1.150,504.356,1299.743,0.856
2017-01-03 17:00,2017-01-03 15:00,27.964,0.233,1.150,427.287,1136.542,0.886
2017-01-03 18:00,2017-01-03 16:00,27.619,0.213,1.151,321.127,910.346,0.880
2017-01-03 19:00,2017-01-03 17:00,27.242,0.216,1.151,208.247,636.670,0.840
2017-01-03 20:00,2017-01-03 18:00,26.822,0.175,1.152,82.111,334.059,0.834
2017-01-03 21:00,2017-01-03 19:00,26.264,0.130,1.154,8.264,51.098,0.835
2017-01-03 22:00,2017-01-03 20:00,26.012,0.096,1.155,0,0,0.852
2017-01-03 23:00,2017-01-03 21:00,25.923,0.068,1.156,0,0,0.852
2017-01-04 00:00,2017-01-03 22:00,25.891,0.039,1.156,0,0,0.852
2017-01-04 01:00,2017-01-03 23:00,25.860,0.036,1.157,0,0,0.859
2017-01-04 02:00,2017-01-04 00:00,25.835,0.039,1.157,0,0,0.881
2017-01-04 03:00,2017-01-04 01:00,25.804,0.033,1.156,0,0,0.892
2017-01-04 04:00,2017-01-04 02:00,25.800,0.034,1.156,0,0,0.892
2017-01-04 05:00,2017-01-04 03:00,25.762,0.033,1.155,0,0,0.856
2017-01-04 06:00,2017-01-04 04:00,25.709,0.025,1.155,0,0,0.731
2017-01-04 07:00,2017-01-04 05:00,25.700,0.028,1.155,0,0,0.623
2017-01-04 08:00,2017-01-04 06:00,25.857,0.025,1.155,29.166,98.453,0.445
2017-01-04 09:00,2017-01-04 07:00,26.763,0.031,1.155,187.562,402.818,0.366
2017-01-04 10:00,2017-01-04 08:00,27.684,0.063,1.152,408.643,700.781,0.323
2017-01-04 11:00,2017-01-04 09:00,28.679,0.085,1.149,612.109,965.557,0.242
2017-01-04 12:00,2017-01-04 10:00,29.586,0.019,1.146,808.707,1178.996,0.128
2017-01-04 13:00,2017-01-04 11:00,30.237,0.013,1.142,944.813,1326.583,0.081
2017-01-04 14:00,2017-01-04 12:00,30.853,0.008,1.138,1006.461,1398.028,0.113
2017-01-04 15:00,2017-01-04 13:00,31.360,0.008,1.135,973.866,1389.130,0.148
2017-01-04 16:00,2017-01-04 14:00,31.653,0.009,1.132,895.867,1299.740,0.200
2017-01-04 17:00,2017-01-04 15:00,31.699,0.013,1.130,752.368,1136.534,0.302
2017-01-04 18:00,2017-01-04 16:00,31.421,0.019,1.130,566.964,910.096,0.418
2017-01-04 19:00,2017-01-04 17:00,31.038,0.021,1.131,348.669,636.091,0.628
2017-01-04 20:00,2017-01-04 18:00,30.282,0.013,1.133,143.686,333.267,0.665
2017-01-04 21:00,2017-01-04 19:00,29.008,0.015,1.136,14.299,50.525,0.635
2017-01-04 22:00,2017-01-04 20:00,28.286,0.021,1.140,0,0,0.592
2017-01-04 23:00,2017-01-04 21:00,27.685,0.028,1.144,0,0,0.593
2017-01-05 00:00,2017-01-04 22:00,27.216,0.045,1.147,0,0,0.609
2017-01-05 01:00,2017-01-04 23:00,26.844,0.050,1.150,0,0,0.658
2017-01-05 02:00,2017-01-05 00:00,26.563,0.049,1.151,0,0,0.637
2017-01-05 03:00,2017-01-05 01:00,26.331,0.052,1.152,0,0,0.566
2017-01-05 04:00,2017-01-05 02:00,26.129,0.052,1.153,0,0,0.473
2017-01-05 05:00,2017-01-05 03:00,25.936,0.050,1.153,0,0,0.318
2017-01-05 06:00,2017-01-05 04:00,25.699,0.036,1.154,0,0,0.156
2017-01-05 07:00,2017-01-05 05:00,25.527,0.024,1.155,0,0,0.104
2017-01-05 08:00,2017-01-05 06:00,25.544,0.012,1.156,40.728,97.650,0.094
2017-01-05 09:00,2017-01-05 07:00,26.250,0.006,1.157,227.921,402.029,0.091
2017-01-05 10:00,2017-01-05 08:00,27.285,0.005,1.154,450.678,700.279,0.082
2017-01-05 11:00,2017-01-05 09:00,28.660,0.002,1.150,662.330,965.136,0.073
2017-01-05 12:00,2017-01-05 10:00,29.695,0.003,1.145,838.611,1178.658,0.071
2017-01-05 13:00,2017-01-05 11:00,30.723,0.005,1.141,966.443,1326.429,0.076
2017-01-05 14:00,2017-01-05 12:00,31.462,0.010,1.138,1029.577,1398.028,0.071
2017-01-05 15:00,2017-01-05 13:00,31.608,0.013,1.137,1017.298,1389.130,0.062
2017-01-05 16:00,2017-01-05 14:00,31.320,0.016,1.136,933.445,1299.732,0.061
2017-01-05 17:00,2017-01-05 15:00,30.911,0.019,1.136,797.989,1136.042,0.077
2017-01-05 18:00,2017-01-05 16:00,30.389,0.023,1.137,604.081,909.596,0.093
2017-01-05 19:00,2017-01-05 17:00,29.805,0.032,1.140,388.507,635.420,0.109
2017-01-05 20:00,2017-01-05 18:00,28.947,0.034,1.144,167.610,332.392,0.155
2017-01-05 21:00,2017-01-05 19:00,27.851,0.030,1.148,15.974,49.900,0.257
2017-01-05 22:00,2017-01-05 20:00,27.213,0.051,1.150,0,0,0.352
2017-01-05 23:00,2017-01-05 21:00,26.942,0.060,1.152,0,0,0.438
2017-01-06 00:00,2017-01-05 22:00,26.771,0.173,1.153,0,0,0.443
2017-01-06 01:00,2017-01-05 23:00,26.635,0.191,1.154,0,0,0.394
2017-01-06 02:00,2017-01-06 00:00,26.449,0.198,1.153,0,0,0.353
2017-01-06 03:00,2017-01-06 01:00,26.256,0.230,1.153,0,0,0.369
2017-01-06 04:00,2017-01-06 02:00,26.173,0.207,1.152,0,0,0.460
2017-01-06 05:00,2017-01-06 03:00,26.101,0.192,1.152,0,0,0.766
2017-01-06 06:00,2017-01-06 04:00,26.018,0.204,1.153,0,0,0.867
2017-01-06 07:00,2017-01-06 05:00,25.957,0.157,1.153,0,0,0.918
2017-01-06 08:00,2017-01-06 06:00,26.028,0.068,1.154,16.430,96.783,0.936
2017-01-06 09:00,2017-01-06 07:00,26.414,0.028,1.155,85.079,401.154,0.945
2017-01-06 10:00,2017-01-06 08:00,26.907,0.023,1.154,171.935,699.531,0.945
2017-01-06 11:00,2017-01-06 09:00,27.974,0.030,1.151,273.208,964.636,0.942
2017-01-06 12:00,2017-01-06 10:00,29.211,0.029,1.147,399.901,1178.496,0.943
2017-01-06 13:00,2017-01-06 11:00,29.643,0.052,1.145,503.401,1326.091,0.942
2017-01-06 14:00,2017-01-06 12:00,29.732,0.057,1.144,635.692,1398.028,0.931
2017-01-06 15:00,2017-01-06 13:00,29.800,0.078,1.144,745.629,1388.784,0.924
2017-01-06 16:00,2017-01-06 14:00,29.734,0.148,1.144,752.016,1299.578,0.880
2017-01-06 17:00,2017-01-06 15:00,29.474,0.171,1.145,638.950,1135.696,0.770
2017-01-06 18:00,2017-01-06 16:00,29.020,0.232,1.146,460.817,909.096,0.658
2017-01-06 19:00,2017-01-06 17:00,28.422,0.295,1.148,255.572,634.670,0.685
2017-01-06 20:00,2017-01-06 18:00,27.815,0.396,1.150,105.296,331.431,0.671
2017-01-06 21:00,2017-01-06 19:00,27.129,0.380,1.151,10.746,49.244,0.694
2017-01-06 22:00,2017-01-06 20:00,26.853,0.424,1.153,0,0,0.707
2017-01-06 23:00,2017-01-06 21:00,26.857,0.395,1.154,0,0,0.687
2017-01-07 00:00,2017-01-06 22:00,26.872,0.312,1.154,0,0,0.713
2017-01-07 01:00,2017-01-06 23:00,26.746,0.310,1.155,0,0,0.713
2017-01-07 02:00,2017-01-07 00:00,26.616,0.457,1.155,0,0,0.742
2017-01-07 03:00,2017-01-07 01:00,26.483,0.352,1.154,0,0,0.749
2017-01-07 04:00,2017-01-07 02:00,26.289,0.283,1.154,0,0,0.690
2017-01-07 05:00,2017-01-07 03:00,26.143,0.305,1.155,0,0,0.731
2017-01-07 06:00,2017-01-07 04:00,25.993,0.386,1.155,0,0,0.720
2017-01-07 07:00,2017-01-07 05:00,25.882,0.424,1.156,0,0,0.674
2017-01-07 08:00,2017-01-07 06:00,25.903,0.458,1.157,30.578,95.865,0.688
2017-01-07 09:00,2017-01-07 07:00,26.674,0.513,1.157,176.414,400.193,0.634
2017-01-07 10:00,2017-01-07 08:00,27.845,0.465,1.155,365.878,698.858,0.562
2017-01-07 11:00,2017-01-07 09:00,28.579,0.452,1.152,574.314,964.136,0.604
2017-01-07 12:00,2017-01-07 10:00,29.380,0.408,1.149,767.709,1178.150,0.779
2017-01-07 13:00,2017-01-07 11:00,29.817,0.460,1.147,885.332,1326.083,0.713
2017-01-07 14:00,2017-01-07 12:00,29.993,0.426,1.145,946.179,1398.020,0.610
2017-01-07 15:00,2017-01-07 13:00,30.070,0.420,1.144,938.346,1388.630,0.542
2017-01-07 16:00,2017-01-07 14:00,29.846,0.444,1.144,836.896,1299.240,0.407
2017-01-07 17:00,2017-01-07 15:00,29.389,0.427,1.145,690.954,1135.534,0.396
2017-01-07 18:00,2017-01-07 16:00,28.708,0.411,1.147,496.757,908.592,0.404
2017-01-07 19:00,2017-01-07 17:00,28.022,0.485,1.150,302.913,633.920,0.599
2017-01-07 20:00,2017-01-07 18:00,27.263,0.430,1.153,117.275,330.392,0.775
2017-01-07 21:00,2017-01-07 19:00,26.525,0.359,1.155,10.734,48.556,0.825
2017-01-07 22:00,2017-01-07 20:00,26.146,0.360,1.157,0,0,0.840
2017-01-07 23:00,2017-01-07 21:00,25.957,0.320,1.157,0,0,0.915
2017-01-08 00:00,2017-01-07 22:00,25.857,0.361,1.158,0,0,0.882
2017-01-08 01:00,2017-01-07 23:00,25.804,0.581,1.158,0,0,0.811
2017-01-08 02:00,2017-01-08 00:00,25.750,0.989,1.158,0,0,0.904
2017-01-08 03:00,2017-01-08 01:00,25.681,1.251,1.158,0,0,0.837
2017-01-08 04:00,2017-01-08 02:00,25.696,1.218,1.157,0,0,0.896
2017-01-08 05:00,2017-01-08 03:00,25.680,0.980,1.157,0,0,0.905
2017-01-08 06:00,2017-01-08 04:00,25.572,0.677,1.157,0,0,0.911
2017-01-08 07:00,2017-01-08 05:00,25.484,0.336,1.157,0,0,0.913
2017-01-08 08:00,2017-01-08 06:00,25.552,0.106,1.157,11.002,94.905,0.925
2017-01-08 09:00,2017-01-08 07:00,25.689,0.024,1.159,64.239,399.276,0.945
2017-01-08 10:00,2017-01-08 08:00,25.702,0.005,1.160,150.448,698.108,0.950
