# Renewables.ninja Weather (Point API) - -22.945, -43.181 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.945403650000003", "lon": "-43.180818018208925", "date_from": "2021-01-01", "date_to": "2021-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2020-12-31 21:00,25.130,0.064,1.156,0,0,0.501
2021-01-01 01:00,2020-12-31 22:00,24.658,0.076,1.157,0,0,0.750
2021-01-01 02:00,2020-12-31 23:00,24.302,0.075,1.158,0,0,0.788
2021-01-01 03:00,2021-01-01 00:00,24.312,0.079,1.157,0,0,0.732
2021-01-01 04:00,2021-01-01 01:00,24.330,0.077,1.156,0,0,0.784
2021-01-01 05:00,2021-01-01 02:00,24.257,0.083,1.155,0,0,0.831
2021-01-01 06:00,2021-01-01 03:00,24.183,0.093,1.155,0,0,0.760
2021-01-01 07:00,2021-01-01 04:00,24.101,0.074,1.156,0,0,0.644
2021-01-01 08:00,2021-01-01 05:00,24.128,0.059,1.156,27.587,102.377,0.660
2021-01-01 09:00,2021-01-01 06:00,24.780,0.061,1.157,143.513,407.202,0.679
2021-01-01 10:00,2021-01-01 07:00,25.579,0.069,1.155,289.857,704.425,0.685
2021-01-01 11:00,2021-01-01 08:00,26.355,0.045,1.152,426.826,968.191,0.675
2021-01-01 12:00,2021-01-01 09:00,27.052,0.022,1.150,572.287,1180.721,0.643
2021-01-01 13:00,2021-01-01 10:00,27.680,0.034,1.148,725.056,1327.504,0.757
2021-01-01 14:00,2021-01-01 11:00,27.982,0.054,1.146,778.707,1398.366,0.818
2021-01-01 15:00,2021-01-01 12:00,27.978,0.086,1.145,740.733,1388.179,0.885
2021-01-01 16:00,2021-01-01 13:00,27.694,0.148,1.145,628.828,1298.437,0.919
2021-01-01 17:00,2021-01-01 14:00,27.069,0.335,1.148,483.901,1134.650,0.925
2021-01-01 18:00,2021-01-01 15:00,26.041,0.888,1.153,297.364,908.247,0.923
2021-01-01 19:00,2021-01-01 16:00,25.100,1.496,1.157,150.356,634.497,0.916
2021-01-01 20:00,2021-01-01 17:00,24.468,1.660,1.159,45.894,332.088,0.929
2021-01-01 21:00,2021-01-01 18:00,24.204,1.528,1.160,3.350,50.052,0.942
2021-01-01 22:00,2021-01-01 19:00,24.148,1.355,1.161,0,0,0.947
2021-01-01 23:00,2021-01-01 20:00,24.069,1.119,1.162,0,0,0.940
2021-01-02 00:00,2021-01-01 21:00,23.943,0.656,1.163,0,0,0.915
2021-01-02 01:00,2021-01-01 22:00,23.927,0.319,1.163,0,0,0.923
2021-01-02 02:00,2021-01-01 23:00,23.767,0.186,1.162,0,0,0.911
2021-01-02 03:00,2021-01-02 00:00,23.572,0.119,1.161,0,0,0.883
2021-01-02 04:00,2021-01-02 01:00,23.420,0.082,1.161,0,0,0.851
2021-01-02 05:00,2021-01-02 02:00,23.327,0.116,1.161,0,0,0.829
2021-01-02 06:00,2021-01-02 03:00,23.278,0.181,1.162,0,0,0.806
2021-01-02 07:00,2021-01-02 04:00,23.134,0.228,1.162,0,0,0.803
2021-01-02 08:00,2021-01-02 05:00,23.197,0.257,1.162,23.062,101.727,0.674
2021-01-02 09:00,2021-01-02 06:00,23.765,0.247,1.163,167.567,406.589,0.489
2021-01-02 10:00,2021-01-02 07:00,24.319,0.255,1.162,348.584,703.925,0.540
2021-01-02 11:00,2021-01-02 08:00,24.959,0.244,1.161,407.819,967.941,0.561
2021-01-02 12:00,2021-01-02 09:00,25.337,0.248,1.159,555.795,1180.721,0.412
2021-01-02 13:00,2021-01-02 10:00,25.886,0.265,1.157,751.172,1327.504,0.333
2021-01-02 14:00,2021-01-02 11:00,26.267,0.393,1.156,855.350,1398.366,0.333
2021-01-02 15:00,2021-01-02 12:00,26.055,0.664,1.156,740.838,1388.179,0.487
2021-01-02 16:00,2021-01-02 13:00,25.469,1.458,1.158,587.132,1298.437,0.707
2021-01-02 17:00,2021-01-02 14:00,24.874,3.473,1.159,458.225,1134.605,0.722
2021-01-02 18:00,2021-01-02 15:00,24.418,3.625,1.160,341.448,907.972,0.703
2021-01-02 19:00,2021-01-02 16:00,23.919,1.828,1.161,215.711,633.997,0.871
2021-01-02 20:00,2021-01-02 17:00,23.456,1.640,1.163,63.317,331.339,0.903
2021-01-02 21:00,2021-01-02 18:00,23.189,1.558,1.164,5.653,49.565,0.917
2021-01-02 22:00,2021-01-02 19:00,23.044,1.820,1.165,0,0,0.919
2021-01-02 23:00,2021-01-02 20:00,22.991,3.448,1.166,0,0,0.948
2021-01-03 00:00,2021-01-02 21:00,22.974,2.782,1.166,0,0,0.954
2021-01-03 01:00,2021-01-02 22:00,22.920,2.778,1.166,0,0,0.954
2021-01-03 02:00,2021-01-02 23:00,22.829,3.372,1.165,0,0,0.946
2021-01-03 03:00,2021-01-03 00:00,22.705,3.722,1.165,0,0,0.935
2021-01-03 04:00,2021-01-03 01:00,22.603,3.620,1.165,0,0,0.923
2021-01-03 05:00,2021-01-03 02:00,22.519,2.688,1.165,0,0,0.916
2021-01-03 06:00,2021-01-03 03:00,22.498,1.775,1.164,0,0,0.911
2021-01-03 07:00,2021-01-03 04:00,22.505,1.394,1.164,0,0,0.912
2021-01-03 08:00,2021-01-03 05:00,22.631,1.205,1.164,16.215,101.014,0.924
2021-01-03 09:00,2021-01-03 06:00,23.186,0.968,1.164,95.631,405.941,0.916
2021-01-03 10:00,2021-01-03 07:00,23.471,0.643,1.165,203.426,703.425,0.908
2021-01-03 11:00,2021-01-03 08:00,23.940,0.379,1.164,336.814,967.691,0.909
2021-01-03 12:00,2021-01-03 09:00,24.338,0.255,1.163,497.242,1180.276,0.904
2021-01-03 13:00,2021-01-03 10:00,24.825,0.204,1.163,636.878,1327.504,0.865
2021-01-03 14:00,2021-01-03 11:00,25.097,0.226,1.162,780.682,1398.366,0.830
2021-01-03 15:00,2021-01-03 12:00,25.123,0.249,1.161,717.788,1388.179,0.811
2021-01-03 16:00,2021-01-03 13:00,25.035,0.214,1.161,631.822,1298.397,0.845
2021-01-03 17:00,2021-01-03 14:00,24.650,0.190,1.161,454.419,1134.556,0.753
2021-01-03 18:00,2021-01-03 15:00,24.262,0.156,1.163,348.069,907.517,0.651
2021-01-03 19:00,2021-01-03 16:00,23.893,0.137,1.164,236.157,633.497,0.619
2021-01-03 20:00,2021-01-03 17:00,23.443,0.128,1.165,104.873,330.589,0.604
2021-01-03 21:00,2021-01-03 18:00,23.011,0.119,1.166,10.119,49.047,0.646
2021-01-03 22:00,2021-01-03 19:00,22.863,0.254,1.167,0,0,0.833
2021-01-03 23:00,2021-01-03 20:00,22.856,1.608,1.167,0,0,0.837
2021-01-04 00:00,2021-01-03 21:00,22.834,3.691,1.167,0,0,0.884
