# Renewables.ninja Weather (Point API) - -22.945, -43.181 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-22.945403650000003", "lon": "-43.180818018208925", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2018-01-01", "date_to": "2018-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2018-01-01 00:00,2017-12-31 22:00,25.051,0.608,1.150,0,0,0.402
2018-01-01 01:00,2017-12-31 23:00,24.907,0.259,1.151,0,0,0.353
2018-01-01 02:00,2018-01-01 00:00,24.756,0.090,1.151,0,0,0.258
2018-01-01 03:00,2018-01-01 01:00,24.595,0.042,1.151,0,0,0.161
2018-01-01 04:00,2018-01-01 02:00,24.390,0.042,1.151,0,0,0.085
2018-01-01 05:00,2018-01-01 03:00,24.137,0.048,1.152,0,0,0.055
2018-01-01 06:00,2018-01-01 04:00,23.854,0.049,1.154,0,0,0.036
2018-01-01 07:00,2018-01-01 05:00,23.599,0.027,1.155,0,0,0.022
2018-01-01 08:00,2018-01-01 06:00,23.708,0.011,1.157,45.617,102.533,0.022
2018-01-01 09:00,2018-01-01 07:00,24.810,0.008,1.156,245.600,407.441,0.023
2018-01-01 10:00,2018-01-01 08:00,26.248,0.013,1.151,477.658,704.650,0.020
2018-01-01 11:00,2018-01-01 09:00,27.507,0.006,1.147,697.799,968.416,0.018
2018-01-01 12:00,2018-01-01 10:00,28.598,0.005,1.143,883.729,1180.771,0.013
2018-01-01 13:00,2018-01-01 11:00,29.115,0.008,1.141,1009.890,1327.543,0.015
2018-01-01 14:00,2018-01-01 12:00,29.205,0.018,1.139,1065.321,1398.366,0.036
2018-01-01 15:00,2018-01-01 13:00,29.124,0.024,1.138,1047.514,1388.629,0.056
2018-01-01 16:00,2018-01-01 14:00,28.929,0.024,1.139,971.288,1298.486,0.034
2018-01-01 17:00,2018-01-01 15:00,28.567,0.023,1.140,831.584,1135.056,0.052
2018-01-01 18:00,2018-01-01 16:00,27.966,0.019,1.141,621.760,908.472,0.093
2018-01-01 19:00,2018-01-01 17:00,27.277,0.016,1.144,410.060,634.747,0.103
2018-01-01 20:00,2018-01-01 18:00,26.398,0.016,1.147,180.031,332.224,0.158
2018-01-01 21:00,2018-01-01 19:00,25.308,0.030,1.151,16.791,50.176,0.349
