# Renewables.ninja Weather (Point API) - -22.986, -43.187 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.98642585", "lon": "-43.18716059569638", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2020-01-01 00:00,2019-12-31 21:00,24.038,0.020,1.157,0,0,0.838
2020-01-01 01:00,2019-12-31 22:00,23.718,0.022,1.159,0,0,0.741
2020-01-01 02:00,2019-12-31 23:00,23.428,0.010,1.160,0,0,0.719
2020-01-01 03:00,2020-01-01 00:00,23.108,0.006,1.161,0,0,0.658
2020-01-01 04:00,2020-01-01 01:00,22.788,0.005,1.163,0,0,0.462
2020-01-01 05:00,2020-01-01 02:00,22.493,0.005,1.164,0,0,0.687
2020-01-01 06:00,2020-01-01 03:00,22.274,0.005,1.165,0,0,0.928
2020-01-01 07:00,2020-01-01 04:00,22.150,0.006,1.166,0,0,0.932
2020-01-01 08:00,2020-01-01 05:00,22.325,0.005,1.167,38.156,103.051,0.944
2020-01-01 09:00,2020-01-01 06:00,23.141,0.002,1.165,191.803,407.868,0.948
2020-01-01 10:00,2020-01-01 07:00,24.264,0.001,1.161,390.555,704.763,0.946
2020-01-01 11:00,2020-01-01 08:00,25.797,0.001,1.153,596.924,968.458,0.946
2020-01-01 12:00,2020-01-01 09:00,27.321,0.006,1.146,799.958,1180.727,0.946
2020-01-01 13:00,2020-01-01 10:00,28.617,0.016,1.139,936.121,1327.490,0.940
2020-01-01 14:00,2020-01-01 11:00,29.571,0.046,1.135,1025.952,1398.339,0.766
2020-01-01 15:00,2020-01-01 12:00,30.083,0.049,1.132,1036.381,1388.199,0.720
2020-01-01 16:00,2020-01-01 13:00,30.252,0.058,1.130,961.875,1298.533,0.599
2020-01-01 17:00,2020-01-01 14:00,30.106,0.067,1.130,831.376,1134.818,0.609
2020-01-01 18:00,2020-01-01 15:00,29.411,0.077,1.130,637.400,908.741,0.865
2020-01-01 19:00,2020-01-01 16:00,28.500,0.075,1.132,397.924,635.143,0.930
2020-01-01 20:00,2020-01-01 17:00,27.455,0.079,1.135,155.970,333.047,0.931
