# Renewables.ninja Weather (Point API) - -22.986, -43.187 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-22.98642585", "lon": "-43.18716059569638", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2018-01-01", "date_to": "2018-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2018-01-01 00:00,2017-12-31 22:00,25.284,0.628,1.153,0,0,0.411
2018-01-01 01:00,2017-12-31 23:00,25.138,0.263,1.153,0,0,0.366
2018-01-01 02:00,2018-01-01 00:00,25.000,0.090,1.153,0,0,0.269
2018-01-01 03:00,2018-01-01 01:00,24.866,0.041,1.153,0,0,0.162
2018-01-01 04:00,2018-01-01 02:00,24.685,0.043,1.153,0,0,0.087
2018-01-01 05:00,2018-01-01 03:00,24.447,0.049,1.155,0,0,0.059
2018-01-01 06:00,2018-01-01 04:00,24.175,0.051,1.156,0,0,0.038
2018-01-01 07:00,2018-01-01 05:00,23.926,0.027,1.158,0,0,0.023
2018-01-01 08:00,2018-01-01 06:00,24.005,0.010,1.160,45.545,102.742,0.021
2018-01-01 09:00,2018-01-01 07:00,25.032,0.008,1.159,245.094,407.618,0.019
2018-01-01 10:00,2018-01-01 08:00,26.361,0.014,1.153,476.911,704.757,0.020
2018-01-01 11:00,2018-01-01 09:00,27.509,0.004,1.150,697.073,968.458,0.018
2018-01-01 12:00,2018-01-01 10:00,28.527,0.004,1.146,883.093,1180.739,0.012
2018-01-01 13:00,2018-01-01 11:00,28.974,0.007,1.144,1009.769,1327.539,0.013
2018-01-01 14:00,2018-01-01 12:00,29.006,0.017,1.143,1066.197,1398.351,0.036
2018-01-01 15:00,2018-01-01 13:00,28.885,0.022,1.142,1047.711,1388.687,0.056
2018-01-01 16:00,2018-01-01 14:00,28.678,0.022,1.142,973.430,1298.546,0.032
2018-01-01 17:00,2018-01-01 15:00,28.330,0.020,1.143,835.101,1135.256,0.041
2018-01-01 18:00,2018-01-01 16:00,27.780,0.017,1.145,629.385,908.741,0.076
2018-01-01 19:00,2018-01-01 17:00,27.158,0.013,1.148,416.069,635.113,0.088
2018-01-01 20:00,2018-01-01 18:00,26.354,0.013,1.151,182.501,332.684,0.144
2018-01-01 21:00,2018-01-01 19:00,25.356,0.023,1.154,17.280,50.478,0.329
2018-01-01 22:00,2018-01-01 20:00,24.853,0.051,1.156,0,0,0.500
2018-01-01 23:00,2018-01-01 21:00,24.639,0.104,1.158,0,0,0.542
2018-01-02 00:00,2018-01-01 22:00,24.489,0.174,1.158,0,0,0.556
2018-01-02 01:00,2018-01-01 23:00,24.367,0.226,1.159,0,0,0.619
2018-01-02 02:00,2018-01-02 00:00,24.233,0.203,1.159,0,0,0.900
2018-01-02 03:00,2018-01-02 01:00,24.077,0.096,1.158,0,0,0.959
