# Renewables.ninja Wind power (Point API) - -22.986, -43.187 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Sao_Paulo, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "electricity": "kW", "wind_speed": "m/s"}, "params": {"lat": "-22.98642585", "lon": "-43.18716059569638", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": "true", "local_time": "true", "header": "true", "date_from": "2018-01-01", "date_to": "2018-12-31"}}
time,local_time,electricity,wind_speed
2018-01-01 00:00,2017-12-31 22:00,0.058,3.973
2018-01-01 01:00,2017-12-31 23:00,0.061,4.038
2018-01-01 02:00,2018-01-01 00:00,0.087,4.468
2018-01-01 03:00,2018-01-01 01:00,0.112,4.804
2018-01-01 04:00,2018-01-01 02:00,0.114,4.839
2018-01-01 05:00,2018-01-01 03:00,0.091,4.524
2018-01-01 06:00,2018-01-01 04:00,0.059,4.001
2018-01-01 07:00,2018-01-01 05:00,0.028,3.337
2018-01-01 08:00,2018-01-01 06:00,0.012,2.802
2018-01-01 09:00,2018-01-01 07:00,0.005,2.421
2018-01-01 10:00,2018-01-01 08:00,0.009,2.640
2018-01-01 11:00,2018-01-01 09:00,0.003,2.167
2018-01-01 12:00,2018-01-01 10:00,0.001,1.883
2018-01-01 13:00,2018-01-01 11:00,0.003,2.150
2018-01-01 14:00,2018-01-01 12:00,0.012,2.797
2018-01-01 15:00,2018-01-01 13:00,0.038,3.584
2018-01-01 16:00,2018-01-01 14:00,0.075,4.270
2018-01-01 17:00,2018-01-01 15:00,0.112,4.805
2018-01-01 18:00,2018-01-01 16:00,0.131,5.050
2018-01-01 19:00,2018-01-01 17:00,0.143,5.196
2018-01-01 20:00,2018-01-01 18:00,0.123,4.954
2018-01-01 21:00,2018-01-01 19:00,0.090,4.503
2018-01-01 22:00,2018-01-01 20:00,0.064,4.083
2018-01-01 23:00,2018-01-01 21:00,0.043,3.684
2018-01-02 00:00,2018-01-01 22:00,0.024,3.201
2018-01-02 01:00,2018-01-01 23:00,0.008,2.586
2018-01-02 02:00,2018-01-02 00:00,0.011,2.748
2018-01-02 03:00,2018-01-02 01:00,0.066,4.119
2018-01-02 04:00,2018-01-02 02:00,0.195,5.752
2018-01-02 05:00,2018-01-02 03:00,0.180,5.605
2018-01-02 06:00,2018-01-02 04:00,0.067,4.129
2018-01-02 07:00,2018-01-02 05:00,0.041,3.650
2018-01-02 08:00,2018-01-02 06:00,0.058,3.966
2018-01-02 09:00,2018-01-02 07:00,0.035,3.498
2018-01-02 10:00,2018-01-02 08:00,0.017,2.999
2018-01-02 11:00,2018-01-02 09:00,0.012,2.773
2018-01-02 12:00,2018-01-02 10:00,0.002,2.135
2018-01-02 13:00,2018-01-02 11:00,0,1.207
2018-01-02 14:00,2018-01-02 12:00,0,0.427
2018-01-02 15:00,2018-01-02 13:00,0,1.388
2018-01-02 16:00,2018-01-02 14:00,0.004,2.292
2018-01-02 17:00,2018-01-02 15:00,0.021,3.117
2018-01-02 18:00,2018-01-02 16:00,0.058,3.968
2018-01-02 19:00,2018-01-02 17:00,0.093,4.546
2018-01-02 20:00,2018-01-02 18:00,0.099,4.629
2018-01-02 21:00,2018-01-02 19:00,0.073,4.243
2018-01-02 22:00,2018-01-02 20:00,0.034,3.471
2018-01-02 23:00,2018-01-02 21:00,0.006,2.464
2018-01-03 00:00,2018-01-02 22:00,0.001,1.943
2018-01-03 01:00,2018-01-02 23:00,0.004,2.323
2018-01-03 02:00,2018-01-03 00:00,0.017,2.987
2018-01-03 03:00,2018-01-03 01:00,0.025,3.249
2018-01-03 04:00,2018-01-03 02:00,0.031,3.404
2018-01-03 05:00,2018-01-03 03:00,0.045,3.736
2018-01-03 06:00,2018-01-03 04:00,0.078,4.332
2018-01-03 07:00,2018-01-03 05:00,0.121,4.926
2018-01-03 08:00,2018-01-03 06:00,0.133,5.075
2018-01-03 09:00,2018-01-03 07:00,0.106,4.734
2018-01-03 10:00,2018-01-03 08:00,0.086,4.456
2018-01-03 11:00,2018-01-03 09:00,0.123,4.962
2018-01-03 12:00,2018-01-03 10:00,0.146,5.236
2018-01-03 13:00,2018-01-03 11:00,0.117,4.868
2018-01-03 14:00,2018-01-03 12:00,0.113,4.827
2018-01-03 15:00,2018-01-03 13:00,0.160,5.384
2018-01-03 16:00,2018-01-03 14:00,0.233,6.101
2018-01-03 17:00,2018-01-03 15:00,0.295,6.641
2018-01-03 18:00,2018-01-03 16:00,0.300,6.669
2018-01-03 19:00,2018-01-03 17:00,0.259,6.331
2018-01-03 20:00,2018-01-03 18:00,0.218,5.964
2018-01-03 21:00,2018-01-03 19:00,0.196,5.758
2018-01-03 22:00,2018-01-03 20:00,0.194,5.746
2018-01-03 23:00,2018-01-03 21:00,0.228,6.066
2018-01-04 00:00,2018-01-03 22:00,0.201,5.804
2018-01-04 01:00,2018-01-03 23:00,0.150,5.274
2018-01-04 02:00,2018-01-04 00:00,0.086,4.446
2018-01-04 03:00,2018-01-04 01:00,0.045,3.729
2018-01-04 04:00,2018-01-04 02:00,0.064,4.084
2018-01-04 05:00,2018-01-04 03:00,0.085,4.439
2018-01-04 06:00,2018-01-04 04:00,0.108,4.757
2018-01-04 07:00,2018-01-04 05:00,0.164,5.431
2018-01-04 08:00,2018-01-04 06:00,0.199,5.786
2018-01-04 09:00,2018-01-04 07:00,0.231,6.082
2018-01-04 10:00,2018-01-04 08:00,0.253,6.283
2018-01-04 11:00,2018-01-04 09:00,0.216,5.949
2018-01-04 12:00,2018-01-04 10:00,0.188,5.685
2018-01-04 13:00,2018-01-04 11:00,0.180,5.600
