# Renewables.ninja Weather (Point API) - -22.987, -43.202 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.9873023", "lon": "-43.2018710463854", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2020-01-01 00:00,2019-12-31 21:00,24.042,0.020,1.157,0,0,0.840
2020-01-01 01:00,2019-12-31 22:00,23.730,0.022,1.159,0,0,0.740
2020-01-01 02:00,2019-12-31 23:00,23.441,0.010,1.160,0,0,0.722
2020-01-01 03:00,2020-01-01 00:00,23.126,0.006,1.161,0,0,0.664
2020-01-01 04:00,2020-01-01 01:00,22.810,0.005,1.163,0,0,0.472
2020-01-01 05:00,2020-01-01 02:00,22.516,0.005,1.164,0,0,0.694
2020-01-01 06:00,2020-01-01 03:00,22.300,0.005,1.165,0,0,0.929
2020-01-01 07:00,2020-01-01 04:00,22.180,0.007,1.166,0,0,0.932
2020-01-01 08:00,2020-01-01 05:00,22.357,0.005,1.166,37.840,102.814,0.944
2020-01-01 09:00,2020-01-01 06:00,23.174,0.002,1.165,190.424,407.571,0.948
2020-01-01 10:00,2020-01-01 07:00,24.289,0.001,1.161,388.688,704.491,0.947
2020-01-01 11:00,2020-01-01 08:00,25.812,0.001,1.153,595.021,968.226,0.946
2020-01-01 12:00,2020-01-01 09:00,27.325,0.006,1.146,798.404,1180.552,0.947
2020-01-01 13:00,2020-01-01 10:00,28.609,0.016,1.139,935.197,1327.374,0.939
2020-01-01 14:00,2020-01-01 11:00,29.552,0.046,1.135,1026.149,1398.304,0.763
2020-01-01 15:00,2020-01-01 12:00,30.062,0.049,1.132,1037.120,1388.246,0.719
2020-01-01 16:00,2020-01-01 13:00,30.235,0.058,1.131,962.604,1298.664,0.600
2020-01-01 17:00,2020-01-01 14:00,30.102,0.067,1.130,831.737,1135.020,0.612
2020-01-01 18:00,2020-01-01 15:00,29.429,0.077,1.130,637.426,908.991,0.867
2020-01-01 19:00,2020-01-01 16:00,28.532,0.074,1.132,397.346,635.436,0.930
2020-01-01 20:00,2020-01-01 17:00,27.487,0.078,1.135,154.797,333.357,0.931
2020-01-01 21:00,2020-01-01 18:00,26.177,0.039,1.139,13.264,50.881,0.937
2020-01-01 22:00,2020-01-01 19:00,25.479,0.028,1.143,0,0,0.924
2020-01-01 23:00,2020-01-01 20:00,24.953,0.013,1.147,0,0,0.900
2020-01-02 00:00,2020-01-01 21:00,24.515,0.008,1.150,0,0,0.898
2020-01-02 01:00,2020-01-01 22:00,24.235,0.006,1.151,0,0,0.912
2020-01-02 02:00,2020-01-01 23:00,24.025,0.003,1.152,0,0,0.918
2020-01-02 03:00,2020-01-02 00:00,23.877,0.002,1.152,0,0,0.915
2020-01-02 04:00,2020-01-02 01:00,23.733,0.002,1.152,0,0,0.889
2020-01-02 05:00,2020-01-02 02:00,23.604,0.003,1.152,0,0,0.874
2020-01-02 06:00,2020-01-02 03:00,23.554,0.003,1.152,0,0,0.880
