# Renewables.ninja Weather (Point API) - -22.987, -43.202 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-22.9873023", "lon": "-43.2018710463854", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2019-01-01", "date_to": "2019-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2018-12-31 22:00,25.270,3.485,1.157,0,0,0.260
2019-01-01 01:00,2018-12-31 23:00,25.188,2.767,1.157,0,0,0.067
2019-01-01 02:00,2019-01-01 00:00,25.031,0.797,1.157,0,0,0.073
2019-01-01 03:00,2019-01-01 01:00,24.803,0.133,1.157,0,0,0.439
2019-01-01 04:00,2019-01-01 02:00,24.642,0.047,1.158,0,0,0.860
2019-01-01 05:00,2019-01-01 03:00,24.534,0.027,1.158,0,0,0.926
2019-01-01 06:00,2019-01-01 04:00,24.480,0.016,1.159,0,0,0.926
2019-01-01 07:00,2019-01-01 05:00,24.424,0.009,1.160,0,0,0.928
2019-01-01 08:00,2019-01-01 06:00,24.680,0.002,1.161,39.105,102.658,0.936
2019-01-01 09:00,2019-01-01 07:00,25.595,0.001,1.161,221.646,407.446,0.933
2019-01-01 10:00,2019-01-01 08:00,26.600,0,1.158,454.060,704.491,0.871
2019-01-01 11:00,2019-01-01 09:00,27.683,0,1.155,687.854,968.226,0.720
2019-01-01 12:00,2019-01-01 10:00,28.631,0.001,1.151,876.177,1180.563,0.671
2019-01-01 13:00,2019-01-01 11:00,29.662,0.007,1.147,1004.442,1327.434,0.487
2019-01-01 14:00,2019-01-01 12:00,30.728,0.025,1.142,1068.047,1398.316,0.353
2019-01-01 15:00,2019-01-01 13:00,31.311,0.043,1.139,1057.507,1388.733,0.355
2019-01-01 16:00,2019-01-01 14:00,30.905,0.059,1.138,979.295,1298.664,0.314
2019-01-01 17:00,2019-01-01 15:00,30.155,0.061,1.140,829.171,1135.447,0.401
2019-01-01 18:00,2019-01-01 16:00,29.259,0.048,1.144,602.659,908.991,0.392
2019-01-01 19:00,2019-01-01 17:00,28.395,0.045,1.148,373.376,635.401,0.472
2019-01-01 20:00,2019-01-01 18:00,27.625,0.046,1.151,149.179,333.232,0.366
2019-01-01 21:00,2019-01-01 19:00,26.867,0.048,1.152,15.168,50.771,0.455
2019-01-01 22:00,2019-01-01 20:00,26.455,0.048,1.153,0,0,0.494
2019-01-01 23:00,2019-01-01 21:00,26.150,0.050,1.155,0,0,0.288
2019-01-02 00:00,2019-01-01 22:00,25.880,0.056,1.156,0,0,0.341
2019-01-02 01:00,2019-01-01 23:00,25.680,0.078,1.157,0,0,0.825
2019-01-02 02:00,2019-01-02 00:00,25.487,0.147,1.158,0,0,0.923
2019-01-02 03:00,2019-01-02 01:00,25.298,0.271,1.158,0,0,0.928
2019-01-02 04:00,2019-01-02 02:00,25.118,0.390,1.158,0,0,0.928
2019-01-02 05:00,2019-01-02 03:00,24.956,0.495,1.159,0,0,0.924
2019-01-02 06:00,2019-01-02 04:00,24.825,0.514,1.159,0,0,0.929
2019-01-02 07:00,2019-01-02 05:00,24.756,0.280,1.160,0,0,0.943
