# Renewables.ninja Weather (Point API) - -22.953, -43.372 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.9531726", "lon": "-43.3715825", "date_from": "2021-01-01", "date_to": "2021-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2020-12-31 21:00,25.085,0.064,1.157,0,0,0.621
2021-01-01 01:00,2020-12-31 22:00,24.654,0.077,1.158,0,0,0.760
2021-01-01 02:00,2020-12-31 23:00,24.288,0.075,1.158,0,0,0.778
2021-01-01 03:00,2021-01-01 00:00,24.246,0.082,1.157,0,0,0.746
2021-01-01 04:00,2021-01-01 01:00,24.278,0.083,1.156,0,0,0.777
2021-01-01 05:00,2021-01-01 02:00,24.264,0.086,1.155,0,0,0.808
2021-01-01 06:00,2021-01-01 03:00,24.273,0.099,1.154,0,0,0.752
2021-01-01 07:00,2021-01-01 04:00,24.282,0.077,1.155,0,0,0.669
2021-01-01 08:00,2021-01-01 05:00,24.345,0.059,1.155,25.588,99.285,0.673
2021-01-01 09:00,2021-01-01 06:00,25.081,0.061,1.155,141.250,403.368,0.668
2021-01-01 10:00,2021-01-01 07:00,26.089,0.070,1.153,289.053,700.871,0.693
2021-01-01 11:00,2021-01-01 08:00,26.963,0.043,1.150,421.645,965.155,0.720
2021-01-01 12:00,2021-01-01 09:00,27.610,0.021,1.148,585.540,1178.447,0.712
2021-01-01 13:00,2021-01-01 10:00,28.117,0.035,1.146,738.974,1325.999,0.800
2021-01-01 14:00,2021-01-01 11:00,28.275,0.062,1.145,771.770,1397.908,0.849
2021-01-01 15:00,2021-01-01 12:00,28.203,0.101,1.144,724.475,1388.789,0.897
2021-01-01 16:00,2021-01-01 13:00,27.879,0.178,1.145,622.717,1300.123,0.921
2021-01-01 17:00,2021-01-01 14:00,27.191,0.392,1.148,488.520,1137.260,0.921
2021-01-01 18:00,2021-01-01 15:00,26.084,0.974,1.153,288.036,911.479,0.918
2021-01-01 19:00,2021-01-01 16:00,25.074,1.495,1.157,133.568,638.213,0.921
2021-01-01 20:00,2021-01-01 17:00,24.444,1.479,1.159,40.599,336.080,0.937
2021-01-01 21:00,2021-01-01 18:00,24.206,1.253,1.160,3.527,52.401,0.950
2021-01-01 22:00,2021-01-01 19:00,24.128,1.079,1.160,0,0,0.953
2021-01-01 23:00,2021-01-01 20:00,24.048,0.873,1.162,0,0,0.945
2021-01-02 00:00,2021-01-01 21:00,23.934,0.525,1.162,0,0,0.924
2021-01-02 01:00,2021-01-01 22:00,23.927,0.269,1.163,0,0,0.928
2021-01-02 02:00,2021-01-01 23:00,23.840,0.166,1.162,0,0,0.901
2021-01-02 03:00,2021-01-02 00:00,23.736,0.110,1.161,0,0,0.859
2021-01-02 04:00,2021-01-02 01:00,23.544,0.079,1.161,0,0,0.843
2021-01-02 05:00,2021-01-02 02:00,23.363,0.118,1.161,0,0,0.827
2021-01-02 06:00,2021-01-02 03:00,23.280,0.187,1.162,0,0,0.786
2021-01-02 07:00,2021-01-02 04:00,23.156,0.246,1.162,0,0,0.722
2021-01-02 08:00,2021-01-02 05:00,23.222,0.288,1.163,23.342,98.643,0.552
2021-01-02 09:00,2021-01-02 06:00,23.747,0.280,1.163,170.483,402.751,0.426
2021-01-02 10:00,2021-01-02 07:00,24.262,0.292,1.163,343.599,700.371,0.496
2021-01-02 11:00,2021-01-02 08:00,24.900,0.282,1.161,426.592,964.905,0.503
2021-01-02 12:00,2021-01-02 09:00,25.419,0.289,1.159,587.846,1178.447,0.378
2021-01-02 13:00,2021-01-02 10:00,26.006,0.316,1.157,767.035,1325.999,0.316
2021-01-02 14:00,2021-01-02 11:00,26.400,0.475,1.156,879.410,1397.908,0.436
2021-01-02 15:00,2021-01-02 12:00,26.013,0.802,1.157,713.861,1388.789,0.616
2021-01-02 16:00,2021-01-02 13:00,25.392,1.758,1.159,591.710,1300.123,0.728
2021-01-02 17:00,2021-01-02 14:00,24.830,4.176,1.160,482.459,1137.063,0.618
2021-01-02 18:00,2021-01-02 15:00,24.429,4.071,1.161,405.207,911.215,0.578
2021-01-02 19:00,2021-01-02 16:00,23.915,1.849,1.162,238.116,637.713,0.871
2021-01-02 20:00,2021-01-02 17:00,23.373,1.544,1.163,62.177,335.335,0.907
2021-01-02 21:00,2021-01-02 18:00,23.058,1.458,1.165,5.948,51.900,0.917
2021-01-02 22:00,2021-01-02 19:00,22.910,1.950,1.166,0,0,0.919
2021-01-02 23:00,2021-01-02 20:00,22.861,3.986,1.167,0,0,0.947
