# Renewables.ninja Weather (Point API) - -22.953, -43.372 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-22.9531726", "lon": "-43.3715825", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2019-01-01", "date_to": "2019-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2018-12-31 22:00,24.939,3.749,1.155,0,0,0.300
2019-01-01 01:00,2018-12-31 23:00,24.822,3.086,1.155,0,0,0.079
2019-01-01 02:00,2019-01-01 00:00,24.651,0.897,1.155,0,0,0.090
2019-01-01 03:00,2019-01-01 01:00,24.437,0.139,1.155,0,0,0.395
2019-01-01 04:00,2019-01-01 02:00,24.284,0.045,1.155,0,0,0.852
2019-01-01 05:00,2019-01-01 03:00,24.195,0.026,1.155,0,0,0.920
2019-01-01 06:00,2019-01-01 04:00,24.140,0.018,1.156,0,0,0.915
2019-01-01 07:00,2019-01-01 05:00,24.101,0.010,1.157,0,0,0.910
2019-01-01 08:00,2019-01-01 06:00,24.388,0.002,1.158,37.764,99.585,0.927
2019-01-01 09:00,2019-01-01 07:00,25.422,0.001,1.158,216.003,403.694,0.927
2019-01-01 10:00,2019-01-01 08:00,26.521,0,1.155,443.440,701.121,0.845
2019-01-01 11:00,2019-01-01 09:00,27.612,0,1.152,671.327,965.391,0.727
2019-01-01 12:00,2019-01-01 10:00,28.633,0.001,1.148,859.598,1178.476,0.712
2019-01-01 13:00,2019-01-01 11:00,29.646,0.008,1.144,989.965,1326.178,0.551
2019-01-01 14:00,2019-01-01 12:00,30.649,0.028,1.140,1055.371,1397.908,0.353
2019-01-01 15:00,2019-01-01 13:00,31.347,0.048,1.136,1048.627,1389.242,0.328
2019-01-01 16:00,2019-01-01 14:00,31.295,0.066,1.135,977.117,1300.123,0.270
2019-01-01 17:00,2019-01-01 15:00,30.588,0.069,1.136,830.178,1137.534,0.320
2019-01-01 18:00,2019-01-01 16:00,29.597,0.054,1.140,606.429,911.715,0.325
2019-01-01 19:00,2019-01-01 17:00,28.537,0.052,1.144,376.611,638.463,0.376
2019-01-01 20:00,2019-01-01 18:00,27.560,0.055,1.147,156.423,336.455,0.292
2019-01-01 21:00,2019-01-01 19:00,26.630,0.058,1.150,16.334,52.640,0.351
2019-01-01 22:00,2019-01-01 20:00,26.137,0.059,1.151,0,0,0.455
2019-01-01 23:00,2019-01-01 21:00,25.832,0.061,1.152,0,0,0.330
2019-01-02 00:00,2019-01-01 22:00,25.596,0.067,1.153,0,0,0.287
2019-01-02 01:00,2019-01-01 23:00,25.434,0.086,1.154,0,0,0.680
2019-01-02 02:00,2019-01-02 00:00,25.258,0.158,1.155,0,0,0.924
2019-01-02 03:00,2019-01-02 01:00,25.098,0.293,1.155,0,0,0.932
