# Renewables.ninja Wind power (Point API) - -22.953, -43.372 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Sao_Paulo, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "electricity": "kW", "wind_speed": "m/s"}, "params": {"lat": "-22.9531726", "lon": "-43.3715825", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": "true", "local_time": "true", "header": "true", "date_from": "2017-01-01", "date_to": "2017-12-31"}}
time,local_time,electricity,wind_speed
2017-01-01 00:00,2016-12-31 22:00,0.041,3.633
2017-01-01 01:00,2016-12-31 23:00,0.050,3.830
2017-01-01 02:00,2017-01-01 00:00,0.054,3.891
2017-01-01 03:00,2017-01-01 01:00,0.074,4.259
2017-01-01 04:00,2017-01-01 02:00,0.076,4.292
2017-01-01 05:00,2017-01-01 03:00,0.051,3.840
2017-01-01 06:00,2017-01-01 04:00,0.030,3.376
2017-01-01 07:00,2017-01-01 05:00,0.008,2.591
2017-01-01 08:00,2017-01-01 06:00,0,1.616
2017-01-01 09:00,2017-01-01 07:00,0.001,1.918
2017-01-01 10:00,2017-01-01 08:00,0.005,2.423
2017-01-01 11:00,2017-01-01 09:00,0.013,2.846
2017-01-01 12:00,2017-01-01 10:00,0.012,2.807
2017-01-01 13:00,2017-01-01 11:00,0.003,2.220
2017-01-01 14:00,2017-01-01 12:00,0,1.399
2017-01-01 15:00,2017-01-01 13:00,0.001,1.813
2017-01-01 16:00,2017-01-01 14:00,0.013,2.848
2017-01-01 17:00,2017-01-01 15:00,0.074,4.253
2017-01-01 18:00,2017-01-01 16:00,0.124,4.974
2017-01-01 19:00,2017-01-01 17:00,0.105,4.721
2017-01-01 20:00,2017-01-01 18:00,0.056,3.944
2017-01-01 21:00,2017-01-01 19:00,0.022,3.162
2017-01-01 22:00,2017-01-01 20:00,0.003,2.236
2017-01-01 23:00,2017-01-01 21:00,0,1.320
